Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1575833201,2019-12-08T19:26:41Z,DAL89,"33.945419,-118.410179",0,0,61
1575833345,2019-12-08T19:29:05Z,DAL89,"33.945454,-118.409943",0,9,264
1575833364,2019-12-08T19:29:24Z,DAL89,"33.945465,-118.409706",0,9,258
1575833381,2019-12-08T19:29:41Z,DAL89,"33.945473,-118.40947",0,9,244
1575833400,2019-12-08T19:30:00Z,DAL89,"33.945522,-118.409256",0,9,216
1575833428,2019-12-08T19:30:28Z,DAL89,"33.94574,-118.409035",0,9,188
1575833447,2019-12-08T19:30:47Z,DAL89,"33.945946,-118.408989",0,9,174
1575833469,2019-12-08T19:31:09Z,DAL89,"33.946205,-118.409027",0,10,174
1575833487,2019-12-08T19:31:27Z,DAL89,"33.946415,-118.409058",0,10,174
1575833505,2019-12-08T19:31:45Z,DAL89,"33.946655,-118.409073",0,10,174
1575833523,2019-12-08T19:32:03Z,DAL89,"33.94688,-118.409126",0,10,182
1575833541,2019-12-08T19:32:21Z,DAL89,"33.947113,-118.409142",0,10,208
1575833559,2019-12-08T19:32:39Z,DAL89,"33.947319,-118.409035",0,10,225
1575833580,2019-12-08T19:33:00Z,DAL89,"33.947514,-118.408806",0,10,253
1575833596,2019-12-08T19:33:16Z,DAL89,"33.947559,-118.4086",0,10,261
1575833610,2019-12-08T19:33:30Z,DAL89,"33.94759,-118.408356",0,10,261
1575833759,2019-12-08T19:35:59Z,DAL89,"33.947559,-118.40863",0,18,261
1575833768,2019-12-08T19:36:08Z,DAL89,"33.947514,-118.409035",0,22,261
1575833779,2019-12-08T19:36:19Z,DAL89,"33.947433,-118.40979",0,28,264
1575833785,2019-12-08T19:36:25Z,DAL89,"33.947392,-118.410156",0,28,264
1575833797,2019-12-08T19:36:37Z,DAL89,"33.947308,-118.411011",0,30,264
1575833803,2019-12-08T19:36:43Z,DAL89,"33.947266,-118.411415",0,30,261
1575833809,2019-12-08T19:36:49Z,DAL89,"33.947147,-118.411865",0,32,253
1575833815,2019-12-08T19:36:55Z,DAL89,"33.947033,-118.412254",0,32,250
1575833825,2019-12-08T19:37:05Z,DAL89,"33.946915,-118.413002",0,33,261
