Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1577733850,2019-12-30T19:24:10Z,DAL89,"33.945339,-118.410393",0,2,261
1577733872,2019-12-30T19:24:32Z,DAL89,"33.945328,-118.410156",0,10,261
1577733947,2019-12-30T19:25:47Z,DAL89,"33.94545,-118.409897",0,10,261
1577733965,2019-12-30T19:26:05Z,DAL89,"33.945477,-118.409622",0,9,253
1577734019,2019-12-30T19:26:59Z,DAL89,"33.945511,-118.409401",0,2,239
1577734038,2019-12-30T19:27:18Z,DAL89,"33.945568,-118.409187",0,9,216
1577734067,2019-12-30T19:27:47Z,DAL89,"33.945808,-118.408989",0,9,180
1577734087,2019-12-30T19:28:07Z,DAL89,"33.94603,-118.408974",0,9,171
1577734190,2019-12-30T19:29:50Z,DAL89,"33.946278,-118.409019",0,9,174
1577734215,2019-12-30T19:30:15Z,DAL89,"33.946568,-118.409058",0,10,174
1577734237,2019-12-30T19:30:37Z,DAL89,"33.946873,-118.409119",0,10,174
1577734252,2019-12-30T19:30:52Z,DAL89,"33.947102,-118.409172",0,11,194
1577734271,2019-12-30T19:31:11Z,DAL89,"33.947346,-118.409142",0,9,233
1577734289,2019-12-30T19:31:29Z,DAL89,"33.94751,-118.408928",0,10,255
1577734304,2019-12-30T19:31:44Z,DAL89,"33.947559,-118.408722",0,10,261
1577734323,2019-12-30T19:32:03Z,DAL89,"33.947601,-118.408424",0,11,264
1577734427,2019-12-30T19:33:47Z,DAL89,"33.947624,-118.408241",0,0,318
1577734548,2019-12-30T19:35:48Z,DAL89,"33.94812,-118.408951",0,23,334
1577734554,2019-12-30T19:35:54Z,DAL89,"33.948277,-118.409286",0,24,298
1577734560,2019-12-30T19:36:00Z,DAL89,"33.948288,-118.409599",0,25,275
1577734566,2019-12-30T19:36:06Z,DAL89,"33.948254,-118.409943",0,27,264
1577734572,2019-12-30T19:36:12Z,DAL89,"33.948223,-118.410309",0,28,261
1577734579,2019-12-30T19:36:19Z,DAL89,"33.948174,-118.410706",0,28,261
1577734587,2019-12-30T19:36:27Z,DAL89,"33.948109,-118.411316",0,29,264
1577734594,2019-12-30T19:36:34Z,DAL89,"33.948063,-118.411751",0,30,264
1577734604,2019-12-30T19:36:44Z,DAL89,"33.947994,-118.412552",0,31,264
1577734612,2019-12-30T19:36:52Z,DAL89,"33.947941,-118.413094",0,33,264
1577734620,2019-12-30T19:37:00Z,DAL89,"33.947845,-118.413734",0,34,258
1577734627,2019-12-30T19:37:07Z,DAL89,"33.947697,-118.414291",0,15,253
1577734633,2019-12-30T19:37:13Z,DAL89,"33.947624,-118.414795",0,16,261
1577734644,2019-12-30T19:37:24Z,DAL89,"33.947514,-118.415855",0,17,261
1577734654,2019-12-30T19:37:34Z,DAL89,"33.947422,-118.41674",0,17,264
1577734661,2019-12-30T19:37:41Z,DAL89,"33.94733,-118.417595",0,18,261
1577734669,2019-12-30T19:37:49Z,DAL89,"33.947262,-118.418327",0,18,264
1577734682,2019-12-30T19:38:02Z,DAL89,"33.947124,-118.41967",0,20,264
1577734692,2019-12-30T19:38:12Z,DAL89,"33.946987,-118.42099",0,21,261
1577734699,2019-12-30T19:38:19Z,DAL89,"33.946903,-118.421745",0,21,264
1577734711,2019-12-30T19:38:31Z,DAL89,"33.946758,-118.423271",0,23,264
1577734723,2019-12-30T19:38:43Z,DAL89,"33.946602,-118.424835",0,24,264
1577734734,2019-12-30T19:38:54Z,DAL89,"33.946449,-118.426254",0,23,261
1577734741,2019-12-30T19:39:01Z,DAL89,"33.946369,-118.427071",0,16,264
1577734747,2019-12-30T19:39:07Z,DAL89,"33.946289,-118.427483",0,27,253
1577734755,2019-12-30T19:39:15Z,DAL89,"33.945934,-118.427696",0,27,199
1577734762,2019-12-30T19:39:22Z,DAL89,"33.945534,-118.427658",0,30,174
1577734769,2019-12-30T19:39:29Z,DAL89,"33.945179,-118.427612",0,33,174
1577734775,2019-12-30T19:39:35Z,DAL89,"33.944763,-118.427536",0,15,171
1577734781,2019-12-30T19:39:41Z,DAL89,"33.94418,-118.427452",0,17,174
1577734788,2019-12-30T19:39:48Z,DAL89,"33.943634,-118.427376",0,18,171
1577734795,2019-12-30T19:39:55Z,DAL89,"33.942982,-118.427284",0,19,174
1577734807,2019-12-30T19:40:07Z,DAL89,"33.941898,-118.427124",0,18,171
1577734813,2019-12-30T19:40:13Z,DAL89,"33.941414,-118.42704",0,18,171
1577734819,2019-12-30T19:40:19Z,DAL89,"33.940899,-118.426971",0,17,174
1577734826,2019-12-30T19:40:26Z,DAL89,"33.940411,-118.426895",0,17,174
1577734836,2019-12-30T19:40:36Z,DAL89,"33.939434,-118.426758",0,18,171
1577734850,2019-12-30T19:40:50Z,DAL89,"33.938335,-118.42659",0,18,171
1577734856,2019-12-30T19:40:56Z,DAL89,"33.937866,-118.426521",0,15,171
1577734862,2019-12-30T19:41:02Z,DAL89,"33.937443,-118.426468",0,31,171
1577734872,2019-12-30T19:41:12Z,DAL89,"33.936886,-118.426392",0,23,174
1577734878,2019-12-30T19:41:18Z,DAL89,"33.936649,-118.426353",0,17,174
1577735069,2019-12-30T19:44:29Z,DAL89,"33.936413,-118.4263",0,2,165
1577735089,2019-12-30T19:44:49Z,DAL89,"33.936234,-118.426064",0,12,135
1577735102,2019-12-30T19:45:02Z,DAL89,"33.936184,-118.425781",0,14,106
1577735114,2019-12-30T19:45:14Z,DAL89,"33.936199,-118.425552",0,2,92
1577735211,2019-12-30T19:46:51Z,DAL89,"33.936211,-118.425232",0,13,87
1577735222,2019-12-30T19:47:02Z,DAL89,"33.936245,-118.42495",0,13,84
1577735235,2019-12-30T19:47:15Z,DAL89,"33.936264,-118.424744",0,2,81
1577735348,2019-12-30T19:49:08Z,DAL89,"33.936264,-118.424713",0,0,118
1577735677,2019-12-30T19:54:37Z,DAL89,"33.936302,-118.424423",0,11,81
1577735687,2019-12-30T19:54:47Z,DAL89,"33.936314,-118.424217",0,10,84
1577735712,2019-12-30T19:55:12Z,DAL89,"33.936333,-118.424011",0,2,84
1577735733,2019-12-30T19:55:33Z,DAL89,"33.936356,-118.42379",0,10,84
1577735745,2019-12-30T19:55:45Z,DAL89,"33.936378,-118.423553",0,12,81
1577735757,2019-12-30T19:55:57Z,DAL89,"33.936417,-118.423264",0,13,81
1577735869,2019-12-30T19:57:49Z,DAL89,"33.936436,-118.423058",0,9,81
1577735879,2019-12-30T19:57:59Z,DAL89,"33.936459,-118.422836",0,14,81
1577735890,2019-12-30T19:58:10Z,DAL89,"33.936481,-118.422585",0,12,84
1577735951,2019-12-30T19:59:11Z,DAL89,"33.936481,-118.422302",0,12,92
1577735960,2019-12-30T19:59:20Z,DAL89,"33.936256,-118.422104",0,21,137
1577735970,2019-12-30T19:59:30Z,DAL89,"33.935772,-118.421997",0,24,168
1577735981,2019-12-30T19:59:41Z,DAL89,"33.935604,-118.421631",0,18,109
1577735995,2019-12-30T19:59:55Z,DAL89,"33.935661,-118.421173",0,16,84
1577736168,2019-12-30T20:02:48Z,DAL89,"33.935684,-118.420914",0,22,84
1577736175,2019-12-30T20:02:55Z,DAL89,"33.935791,-118.419868",0,42,84
1577736181,2019-12-30T20:03:01Z,DAL89,"33.936001,-118.41787",0,69,81
1577736187,2019-12-30T20:03:07Z,DAL89,"33.936264,-118.415154",0,94,81
1577736198,2019-12-30T20:03:18Z,DAL89,"33.937088,-118.407166",150,139,82
1577736205,2019-12-30T20:03:25Z,DAL89,"33.937637,-118.401901",125,165,83
1577736211,2019-12-30T20:03:31Z,DAL89,"33.938259,-118.395882",100,184,83
1577736218,2019-12-30T20:03:38Z,DAL89,"33.938828,-118.38974",200,189,83
1577736229,2019-12-30T20:03:49Z,DAL89,"33.940025,-118.377113",700,191,83
1577736235,2019-12-30T20:03:55Z,DAL89,"33.940491,-118.371391",925,191,83
1577736241,2019-12-30T20:04:01Z,DAL89,"33.941097,-118.36441",1225,190,84
1577736248,2019-12-30T20:04:08Z,DAL89,"33.94162,-118.358124",1500,187,84
1577736258,2019-12-30T20:04:18Z,DAL89,"33.94268,-118.345703",1750,195,84
1577736265,2019-12-30T20:04:25Z,DAL89,"33.943283,-118.338715",1825,201,83
1577736276,2019-12-30T20:04:36Z,DAL89,"33.944641,-118.325722",2000,211,82
1577736284,2019-12-30T20:04:44Z,DAL89,"33.945473,-118.317719",2050,221,82
1577736295,2019-12-30T20:04:55Z,DAL89,"33.947113,-118.302742",2250,231,82
1577736301,2019-12-30T20:05:01Z,DAL89,"33.948032,-118.295517",2425,232,81
1577736307,2019-12-30T20:05:07Z,DAL89,"33.949081,-118.287331",2600,237,80
1577736313,2019-12-30T20:05:13Z,DAL89,"33.950687,-118.279266",2675,244,74
1577736319,2019-12-30T20:05:19Z,DAL89,"33.952927,-118.271973",2750,251,66
1577736327,2019-12-30T20:05:27Z,DAL89,"33.957485,-118.262497",2875,256,56
1577736334,2019-12-30T20:05:34Z,DAL89,"33.964005,-118.254822",3075,259,38
1577736340,2019-12-30T20:05:40Z,DAL89,"33.970284,-118.250427",3275,260,25
1577736347,2019-12-30T20:05:47Z,DAL89,"33.976776,-118.247978",3425,260,14
1577736355,2019-12-30T20:05:55Z,DAL89,"33.987602,-118.247566",3650,264,355
1577736361,2019-12-30T20:06:01Z,DAL89,"33.995499,-118.249382",3750,271,346
1577736367,2019-12-30T20:06:07Z,DAL89,"34.00296,-118.251793",3900,275,343
1577736373,2019-12-30T20:06:13Z,DAL89,"34.010273,-118.254715",4175,275,340
1577736379,2019-12-30T20:06:19Z,DAL89,"34.017208,-118.257751",4525,273,339
1577736385,2019-12-30T20:06:25Z,DAL89,"34.024052,-118.260841",4825,274,339
1577736395,2019-12-30T20:06:35Z,DAL89,"34.035416,-118.266029",5200,278,339
1577736406,2019-12-30T20:06:46Z,DAL89,"34.049191,-118.271942",5650,281,340
1577736419,2019-12-30T20:06:59Z,DAL89,"34.06517,-118.278419",6100,289,341
1577736430,2019-12-30T20:07:10Z,DAL89,"34.080662,-118.284416",6475,297,341
1577736442,2019-12-30T20:07:22Z,DAL89,"34.09639,-118.291534",6950,303,336
1577736448,2019-12-30T20:07:28Z,DAL89,"34.104218,-118.296295",7225,305,331
1577736455,2019-12-30T20:07:35Z,DAL89,"34.111244,-118.301239",7500,305,328
1577736464,2019-12-30T20:07:44Z,DAL89,"34.122093,-118.309875",8025,304,325
1577736482,2019-12-30T20:08:02Z,DAL89,"34.143173,-118.326508",9025,300,327
1577736494,2019-12-30T20:08:14Z,DAL89,"34.157089,-118.337326",9650,297,327
1577736505,2019-12-30T20:08:25Z,DAL89,"34.171066,-118.348274",10050,304,326
1577736517,2019-12-30T20:08:37Z,DAL89,"34.185196,-118.359413",10450,309,326
1577736530,2019-12-30T20:08:50Z,DAL89,"34.199615,-118.370735",11000,309,326
1577736542,2019-12-30T20:09:02Z,DAL89,"34.214218,-118.382172",11550,310,327
1577736553,2019-12-30T20:09:13Z,DAL89,"34.229023,-118.393707",11750,324,327
1577736565,2019-12-30T20:09:25Z,DAL89,"34.243927,-118.405266",11900,337,327
1577736578,2019-12-30T20:09:38Z,DAL89,"34.26133,-118.418945",12150,351,326
1577736609,2019-12-30T20:10:09Z,DAL89,"34.304947,-118.453247",12925,370,326
1577736641,2019-12-30T20:10:41Z,DAL89,"34.352711,-118.490814",13800,390,326
1577736675,2019-12-30T20:11:15Z,DAL89,"34.405548,-118.532524",15075,400,326
1577736708,2019-12-30T20:11:48Z,DAL89,"34.457779,-118.572403",16200,406,329
1577736742,2019-12-30T20:12:22Z,DAL89,"34.512432,-118.60714",17325,410,333
1577736774,2019-12-30T20:12:54Z,DAL89,"34.569855,-118.641472",18325,419,333
1577736838,2019-12-30T20:13:58Z,DAL89,"34.680542,-118.707947",20375,423,333
1577736900,2019-12-30T20:15:00Z,DAL89,"34.78928,-118.779083",22025,433,330
1577736964,2019-12-30T20:16:04Z,DAL89,"34.900681,-118.855759",23375,444,330
