Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1578169362,2020-01-04T20:22:42Z,DAL89,"33.945217,-118.411377",0,2,92
1578169374,2020-01-04T20:22:54Z,DAL89,"33.945145,-118.411598",0,2,92
1578169415,2020-01-04T20:23:35Z,DAL89,"33.945213,-118.411804",0,2,120
1578169443,2020-01-04T20:24:03Z,DAL89,"33.945339,-118.412048",0,2,118
1578169473,2020-01-04T20:24:33Z,DAL89,"33.945496,-118.412277",0,2,75
1578169500,2020-01-04T20:25:00Z,DAL89,"33.945511,-118.412491",0,2,33
1578169538,2020-01-04T20:25:38Z,DAL89,"33.945309,-118.412659",0,0,180
1578169577,2020-01-04T20:26:17Z,DAL89,"33.945541,-118.412659",0,9,357
1578169600,2020-01-04T20:26:40Z,DAL89,"33.945786,-118.412689",0,9,354
1578169623,2020-01-04T20:27:03Z,DAL89,"33.946049,-118.412735",0,9,354
1578169720,2020-01-04T20:28:40Z,DAL89,"33.946171,-118.41275",0,0,180
1578169786,2020-01-04T20:29:46Z,DAL89,"33.946392,-118.412773",0,11,351
1578169804,2020-01-04T20:30:04Z,DAL89,"33.946671,-118.412834",0,11,348
1578169819,2020-01-04T20:30:19Z,DAL89,"33.946857,-118.413078",0,13,315
1578169829,2020-01-04T20:30:29Z,DAL89,"33.946892,-118.413292",0,14,289
1578169837,2020-01-04T20:30:37Z,DAL89,"33.946869,-118.413651",0,23,267
1578169843,2020-01-04T20:30:43Z,DAL89,"33.946815,-118.414024",0,25,261
1578169849,2020-01-04T20:30:49Z,DAL89,"33.946781,-118.414398",0,27,261
1578169855,2020-01-04T20:30:55Z,DAL89,"33.946743,-118.41478",0,28,261
1578169861,2020-01-04T20:31:01Z,DAL89,"33.946705,-118.415161",0,28,261
1578169870,2020-01-04T20:31:10Z,DAL89,"33.946644,-118.415688",0,27,261
1578169877,2020-01-04T20:31:17Z,DAL89,"33.946602,-118.416122",0,27,264
1578169883,2020-01-04T20:31:23Z,DAL89,"33.946568,-118.416496",0,27,264
1578169889,2020-01-04T20:31:29Z,DAL89,"33.946529,-118.416878",0,27,261
1578169900,2020-01-04T20:31:40Z,DAL89,"33.946472,-118.417526",0,21,264
1578169912,2020-01-04T20:31:52Z,DAL89,"33.946323,-118.41806",0,23,239
1578169919,2020-01-04T20:31:59Z,DAL89,"33.946106,-118.418144",0,23,205
1578169928,2020-01-04T20:32:08Z,DAL89,"33.945717,-118.418098",0,23,174
1578169936,2020-01-04T20:32:16Z,DAL89,"33.945274,-118.41803",0,25,171
1578169944,2020-01-04T20:32:24Z,DAL89,"33.944927,-118.417976",0,25,171
