Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1578512565,2020-01-08T19:42:45Z,DAL89,"33.94524,-118.411316",0,0,98
1578512666,2020-01-08T19:44:26Z,DAL89,"33.945225,-118.411301",0,0,105
1578512806,2020-01-08T19:46:46Z,DAL89,"33.94524,-118.41156",0,9,104
1578512824,2020-01-08T19:47:04Z,DAL89,"33.945274,-118.411819",0,10,118
1578512843,2020-01-08T19:47:23Z,DAL89,"33.945415,-118.412048",0,10,112
1578512860,2020-01-08T19:47:40Z,DAL89,"33.945522,-118.41227",0,10,78
1578512879,2020-01-08T19:47:59Z,DAL89,"33.945553,-118.412491",0,9,33
1578512939,2020-01-08T19:48:59Z,DAL89,"33.945774,-118.412674",0,10,354
1578512963,2020-01-08T19:49:23Z,DAL89,"33.946037,-118.41272",0,9,351
1578513129,2020-01-08T19:52:09Z,DAL89,"33.946266,-118.412758",0,10,351
1578513139,2020-01-08T19:52:19Z,DAL89,"33.946472,-118.412788",0,13,351
1578513153,2020-01-08T19:52:33Z,DAL89,"33.946705,-118.412865",0,12,343
1578513171,2020-01-08T19:52:51Z,DAL89,"33.946835,-118.413094",0,10,309
1578513183,2020-01-08T19:53:03Z,DAL89,"33.946861,-118.413338",0,13,284
1578513191,2020-01-08T19:53:11Z,DAL89,"33.946846,-118.413574",0,16,272
1578513197,2020-01-08T19:53:17Z,DAL89,"33.946838,-118.41378",0,19,267
1578513203,2020-01-08T19:53:23Z,DAL89,"33.9468,-118.414078",0,22,264
1578513215,2020-01-08T19:53:35Z,DAL89,"33.946743,-118.41468",0,26,264
1578513224,2020-01-08T19:53:44Z,DAL89,"33.94669,-118.415268",0,26,264
1578513231,2020-01-08T19:53:51Z,DAL89,"33.946667,-118.415565",0,17,264
1578513242,2020-01-08T19:54:02Z,DAL89,"33.946896,-118.415688",0,13,326
1578513254,2020-01-08T19:54:14Z,DAL89,"33.94717,-118.415726",0,16,348
1578513264,2020-01-08T19:54:24Z,DAL89,"33.947403,-118.415939",0,21,317
1578513270,2020-01-08T19:54:30Z,DAL89,"33.947445,-118.416222",0,22,286
1578513276,2020-01-08T19:54:36Z,DAL89,"33.94743,-118.416534",0,25,270
1578513284,2020-01-08T19:54:44Z,DAL89,"33.94738,-118.417084",0,28,264
1578513290,2020-01-08T19:54:50Z,DAL89,"33.947353,-118.417412",0,29,261
1578513297,2020-01-08T19:54:57Z,DAL89,"33.947296,-118.4179",0,29,261
1578513306,2020-01-08T19:55:06Z,DAL89,"33.946964,-118.418228",0,28,205
1578513314,2020-01-08T19:55:14Z,DAL89,"33.946518,-118.418198",0,27,177
1578513320,2020-01-08T19:55:20Z,DAL89,"33.946175,-118.418144",0,27,174
1578513326,2020-01-08T19:55:26Z,DAL89,"33.945858,-118.418098",0,28,171
1578513332,2020-01-08T19:55:32Z,DAL89,"33.94558,-118.41806",0,28,171
1578513339,2020-01-08T19:55:39Z,DAL89,"33.94519,-118.417999",0,29,174
1578513350,2020-01-08T19:55:50Z,DAL89,"33.944519,-118.4179",0,30,171
