date,value,indicator
1967-01-28,209000,"initial unemployment claims, 4-week avg"
1967-02-04,211000,"initial unemployment claims, 4-week avg"
1967-02-11,216500,"initial unemployment claims, 4-week avg"
1967-02-18,219500,"initial unemployment claims, 4-week avg"
1967-02-25,229000,"initial unemployment claims, 4-week avg"
1967-03-04,252500,"initial unemployment claims, 4-week avg"
1967-03-11,255500,"initial unemployment claims, 4-week avg"
1967-03-18,259500,"initial unemployment claims, 4-week avg"
1967-03-25,260750,"initial unemployment claims, 4-week avg"
1967-04-01,248000,"initial unemployment claims, 4-week avg"
1967-04-08,252000,"initial unemployment claims, 4-week avg"
1967-04-15,265500,"initial unemployment claims, 4-week avg"
1967-04-22,265000,"initial unemployment claims, 4-week avg"
1967-04-29,264000,"initial unemployment claims, 4-week avg"
1967-05-06,263250,"initial unemployment claims, 4-week avg"
1967-05-13,246250,"initial unemployment claims, 4-week avg"
1967-05-20,242500,"initial unemployment claims, 4-week avg"
1967-05-27,235750,"initial unemployment claims, 4-week avg"
1967-06-03,234250,"initial unemployment claims, 4-week avg"
1967-06-10,236000,"initial unemployment claims, 4-week avg"
1967-06-17,234500,"initial unemployment claims, 4-week avg"
1967-06-24,232000,"initial unemployment claims, 4-week avg"
1967-07-01,222250,"initial unemployment claims, 4-week avg"
1967-07-08,222750,"initial unemployment claims, 4-week avg"
1967-07-15,227000,"initial unemployment claims, 4-week avg"
1967-07-22,232500,"initial unemployment claims, 4-week avg"
1967-07-29,232500,"initial unemployment claims, 4-week avg"
1967-08-05,227750,"initial unemployment claims, 4-week avg"
1967-08-12,218000,"initial unemployment claims, 4-week avg"
1967-08-19,211750,"initial unemployment claims, 4-week avg"
1967-08-26,212750,"initial unemployment claims, 4-week avg"
1967-09-02,212000,"initial unemployment claims, 4-week avg"
1967-09-09,219250,"initial unemployment claims, 4-week avg"
1967-09-16,220500,"initial unemployment claims, 4-week avg"
1967-09-23,219500,"initial unemployment claims, 4-week avg"
1967-09-30,216000,"initial unemployment claims, 4-week avg"
1967-10-07,216000,"initial unemployment claims, 4-week avg"
1967-10-14,212500,"initial unemployment claims, 4-week avg"
1967-10-21,216000,"initial unemployment claims, 4-week avg"
1967-10-28,216750,"initial unemployment claims, 4-week avg"
1967-11-04,214500,"initial unemployment claims, 4-week avg"
1967-11-11,216500,"initial unemployment claims, 4-week avg"
1967-11-18,210250,"initial unemployment claims, 4-week avg"
1967-11-25,206250,"initial unemployment claims, 4-week avg"
1967-12-02,199750,"initial unemployment claims, 4-week avg"
1967-12-09,201500,"initial unemployment claims, 4-week avg"
1967-12-16,203000,"initial unemployment claims, 4-week avg"
1967-12-23,210000,"initial unemployment claims, 4-week avg"
1967-12-30,215000,"initial unemployment claims, 4-week avg"
1968-01-06,215250,"initial unemployment claims, 4-week avg"
1968-01-13,219750,"initial unemployment claims, 4-week avg"
1968-01-20,220250,"initial unemployment claims, 4-week avg"
1968-01-27,215750,"initial unemployment claims, 4-week avg"
1968-02-03,221250,"initial unemployment claims, 4-week avg"
1968-02-10,218250,"initial unemployment claims, 4-week avg"
1968-02-17,212000,"initial unemployment claims, 4-week avg"
1968-02-24,210750,"initial unemployment claims, 4-week avg"
1968-03-02,197250,"initial unemployment claims, 4-week avg"
1968-03-09,195750,"initial unemployment claims, 4-week avg"
1968-03-16,194250,"initial unemployment claims, 4-week avg"
1968-03-23,196000,"initial unemployment claims, 4-week avg"
1968-03-30,196500,"initial unemployment claims, 4-week avg"
1968-04-06,193250,"initial unemployment claims, 4-week avg"
1968-04-13,188500,"initial unemployment claims, 4-week avg"
1968-04-20,184250,"initial unemployment claims, 4-week avg"
1968-04-27,199000,"initial unemployment claims, 4-week avg"
1968-05-04,203500,"initial unemployment claims, 4-week avg"
1968-05-11,209250,"initial unemployment claims, 4-week avg"
1968-05-18,213250,"initial unemployment claims, 4-week avg"
1968-05-25,199000,"initial unemployment claims, 4-week avg"
1968-06-01,196500,"initial unemployment claims, 4-week avg"
1968-06-08,196000,"initial unemployment claims, 4-week avg"
1968-06-15,194750,"initial unemployment claims, 4-week avg"
1968-06-22,193500,"initial unemployment claims, 4-week avg"
1968-06-29,192250,"initial unemployment claims, 4-week avg"
1968-07-06,197750,"initial unemployment claims, 4-week avg"
1968-07-13,195750,"initial unemployment claims, 4-week avg"
1968-07-20,193500,"initial unemployment claims, 4-week avg"
1968-07-27,196250,"initial unemployment claims, 4-week avg"
1968-08-03,194250,"initial unemployment claims, 4-week avg"
1968-08-10,202250,"initial unemployment claims, 4-week avg"
1968-08-17,205250,"initial unemployment claims, 4-week avg"
1968-08-24,202250,"initial unemployment claims, 4-week avg"
1968-08-31,197750,"initial unemployment claims, 4-week avg"
1968-09-07,190500,"initial unemployment claims, 4-week avg"
1968-09-14,191250,"initial unemployment claims, 4-week avg"
1968-09-21,190750,"initial unemployment claims, 4-week avg"
1968-09-28,191000,"initial unemployment claims, 4-week avg"
1968-10-05,190000,"initial unemployment claims, 4-week avg"
1968-10-12,187750,"initial unemployment claims, 4-week avg"
1968-10-19,187750,"initial unemployment claims, 4-week avg"
1968-10-26,186000,"initial unemployment claims, 4-week avg"
1968-11-02,185000,"initial unemployment claims, 4-week avg"
1968-11-09,184250,"initial unemployment claims, 4-week avg"
1968-11-16,184500,"initial unemployment claims, 4-week avg"
1968-11-23,188750,"initial unemployment claims, 4-week avg"
1968-11-30,184000,"initial unemployment claims, 4-week avg"
1968-12-07,185250,"initial unemployment claims, 4-week avg"
1968-12-14,186000,"initial unemployment claims, 4-week avg"
1968-12-21,184250,"initial unemployment claims, 4-week avg"
1968-12-28,199500,"initial unemployment claims, 4-week avg"
1969-01-04,200000,"initial unemployment claims, 4-week avg"
1969-01-11,199000,"initial unemployment claims, 4-week avg"
1969-01-18,199000,"initial unemployment claims, 4-week avg"
1969-01-25,191500,"initial unemployment claims, 4-week avg"
1969-02-01,194750,"initial unemployment claims, 4-week avg"
1969-02-08,196250,"initial unemployment claims, 4-week avg"
1969-02-15,196250,"initial unemployment claims, 4-week avg"
1969-02-22,196000,"initial unemployment claims, 4-week avg"
1969-03-01,195500,"initial unemployment claims, 4-week avg"
1969-03-08,194000,"initial unemployment claims, 4-week avg"
1969-03-15,193250,"initial unemployment claims, 4-week avg"
1969-03-22,190500,"initial unemployment claims, 4-week avg"
1969-03-29,186000,"initial unemployment claims, 4-week avg"
1969-04-05,183750,"initial unemployment claims, 4-week avg"
1969-04-12,184000,"initial unemployment claims, 4-week avg"
1969-04-19,185500,"initial unemployment claims, 4-week avg"
1969-04-26,184000,"initial unemployment claims, 4-week avg"
1969-05-03,182750,"initial unemployment claims, 4-week avg"
1969-05-10,181000,"initial unemployment claims, 4-week avg"
1969-05-17,179000,"initial unemployment claims, 4-week avg"
1969-05-24,179750,"initial unemployment claims, 4-week avg"
1969-05-31,182250,"initial unemployment claims, 4-week avg"
1969-06-07,184500,"initial unemployment claims, 4-week avg"
1969-06-14,185250,"initial unemployment claims, 4-week avg"
1969-06-21,188000,"initial unemployment claims, 4-week avg"
1969-06-28,192000,"initial unemployment claims, 4-week avg"
1969-07-05,200750,"initial unemployment claims, 4-week avg"
1969-07-12,207750,"initial unemployment claims, 4-week avg"
1969-07-19,211500,"initial unemployment claims, 4-week avg"
1969-07-26,208750,"initial unemployment claims, 4-week avg"
1969-08-02,201000,"initial unemployment claims, 4-week avg"
1969-08-09,199250,"initial unemployment claims, 4-week avg"
1969-08-16,197500,"initial unemployment claims, 4-week avg"
1969-08-23,199250,"initial unemployment claims, 4-week avg"
1969-08-30,199000,"initial unemployment claims, 4-week avg"
1969-09-06,193750,"initial unemployment claims, 4-week avg"
1969-09-13,196250,"initial unemployment claims, 4-week avg"
1969-09-20,195250,"initial unemployment claims, 4-week avg"
1969-09-27,194750,"initial unemployment claims, 4-week avg"
1969-10-04,197500,"initial unemployment claims, 4-week avg"
1969-10-11,195250,"initial unemployment claims, 4-week avg"
1969-10-18,196250,"initial unemployment claims, 4-week avg"
1969-10-25,199250,"initial unemployment claims, 4-week avg"
1969-11-01,200500,"initial unemployment claims, 4-week avg"
1969-11-08,203250,"initial unemployment claims, 4-week avg"
1969-11-15,202750,"initial unemployment claims, 4-week avg"
1969-11-22,205750,"initial unemployment claims, 4-week avg"
1969-11-29,206750,"initial unemployment claims, 4-week avg"
1969-12-06,204500,"initial unemployment claims, 4-week avg"
1969-12-13,210750,"initial unemployment claims, 4-week avg"
1969-12-20,214500,"initial unemployment claims, 4-week avg"
1969-12-27,219750,"initial unemployment claims, 4-week avg"
1970-01-03,226750,"initial unemployment claims, 4-week avg"
1970-01-10,231750,"initial unemployment claims, 4-week avg"
1970-01-17,240750,"initial unemployment claims, 4-week avg"
1970-01-24,249000,"initial unemployment claims, 4-week avg"
1970-01-31,251250,"initial unemployment claims, 4-week avg"
1970-02-07,254750,"initial unemployment claims, 4-week avg"
1970-02-14,254000,"initial unemployment claims, 4-week avg"
1970-02-21,257750,"initial unemployment claims, 4-week avg"
1970-02-28,258500,"initial unemployment claims, 4-week avg"
1970-03-07,260000,"initial unemployment claims, 4-week avg"
1970-03-14,261500,"initial unemployment claims, 4-week avg"
1970-03-21,259750,"initial unemployment claims, 4-week avg"
1970-03-28,268250,"initial unemployment claims, 4-week avg"
1970-04-04,271000,"initial unemployment claims, 4-week avg"
1970-04-11,279500,"initial unemployment claims, 4-week avg"
1970-04-18,307000,"initial unemployment claims, 4-week avg"
1970-04-25,325250,"initial unemployment claims, 4-week avg"
1970-05-02,340500,"initial unemployment claims, 4-week avg"
1970-05-09,343750,"initial unemployment claims, 4-week avg"
1970-05-16,326000,"initial unemployment claims, 4-week avg"
1970-05-23,312750,"initial unemployment claims, 4-week avg"
1970-05-30,304500,"initial unemployment claims, 4-week avg"
1970-06-06,300250,"initial unemployment claims, 4-week avg"
1970-06-13,299000,"initial unemployment claims, 4-week avg"
1970-06-20,299000,"initial unemployment claims, 4-week avg"
1970-06-27,296500,"initial unemployment claims, 4-week avg"
1970-07-04,290500,"initial unemployment claims, 4-week avg"
1970-07-11,288000,"initial unemployment claims, 4-week avg"
1970-07-18,287500,"initial unemployment claims, 4-week avg"
1970-07-25,286500,"initial unemployment claims, 4-week avg"
1970-08-01,282500,"initial unemployment claims, 4-week avg"
1970-08-08,277000,"initial unemployment claims, 4-week avg"
1970-08-15,278500,"initial unemployment claims, 4-week avg"
1970-08-22,282500,"initial unemployment claims, 4-week avg"
