,order,title,author,pages,url,gender,type,subgenre,avg_goodreads_rating,started,date,faves,year,days_to_read,gender_description
0,1,Brotopia,Emily Chang,317,https://www.goodreads.com/book/show/36288143-brotopia,F,Non-Fiction,Business,4.04,2018-12-26,2019-01-06,,2019,11,Female
1,2,The Human Stain,Philip Roth,384,https://www.goodreads.com/book/show/11734.The_Human_Stain?from_search=true,M,Fiction,Literature,3.87,2019-01-06,2019-01-16,Y,2019,10,Male
2,3,You Know You Want This,Kristen Roupenian,225,https://www.goodreads.com/book/show/40539045-you-know-you-want-this,F,Fiction,Short Stories,3.86,2019-01-16,2019-01-19,,2019,3,Female
3,4,Why Buddhism is True,Robert Wright,336,https://www.goodreads.com/book/show/32895535-why-buddhism-is-true?from_search=true,M,Non-Fiction,Religion,4.05,2019-01-18,2019-04-02,,2019,74,Male
4,5,If Beale Street Could Talk,James Baldwin,197,https://www.goodreads.com/book/show/38463.If_Beale_Street_Could_Talk,M,Fiction,Classics,4.29,2019-01-22,2019-01-28,,2019,6,Male
5,6,Nobody Cares,Anne Donahue,240,https://www.goodreads.com/book/show/36360167-nobody-cares,F,Non-Fiction,Essays,3.67,2019-02-03,2019-02-25,,2019,22,Female
6,7,Acts of Infidelity,Lena Andersson,366,https://www.goodreads.com/book/show/22601256-utan-personligt-ansvar,F,Fiction,Swedish Lit,3.66,2019-02-01,2019-02-08,,2019,7,Female
7,8,There Will Be No Miracles Here,Casey Gerald,394,https://www.goodreads.com/book/show/38650651-there-will-be-no-miracles-here?from_search=true,M,Non-Fiction,Memoir,3.72,2019-01-27,2019-02-11,,2019,15,Male
8,9,The Unbearable Lightness of Being,Milan Kundera,320,https://www.goodreads.com/book/show/9717.The_Unbearable_Lightness_of_Being?from_search=true,M,Fiction,Classics,4.09,2019-02-16,2019-02-23,,2019,7,Male
9,10,The Beauty Myth,Naomi Wolf,368,https://www.goodreads.com/book/show/39926.The_Beauty_Myth,F,Non-Fiction,Feminism,3.9,2019-02-12,2019-11-04,,2019,265,Female
10,11,LOT,Bryan Washington,240,https://www.goodreads.com/book/show/40749395-lot,M,Fiction,Short Stories,3.74,2019-02-28,2019-03-15,Y,2019,15,Male
11,12,Oculus,Sally Wen Mao,119,https://www.goodreads.com/book/show/40121999-oculus,F,Poetry,Contemporary,4.22,2019-03-03,2019-03-11,,2019,8,Female
12,13,Homo Deus: A Brief History of Tomorrow,Yuval Harari,450,https://www.goodreads.com/book/show/31138556-homo-deus?from_search=true,M,Non-Fiction,History,4.29,2019-03-22,2019-04-19,,2019,28,Male
13,14,Heart Berries,Terese Marie Mailhot,143,https://www.goodreads.com/book/show/35840657-heart-berries,F,Non-Fiction,Memoir,3.89,2019-04-03,2019-04-06,,2019,3,Female
14,15,Lake Success,Gary Schneyngart,339,https://www.goodreads.com/book/show/36739942-lake-success,M,Fiction,Contemporary,3.64,2019-04-21,2019-12-07,,2019,230,Male
15,16,Normal People,Sally Rooney,266,https://www.goodreads.com/book/show/37539457-normal-people,F,Fiction,Contemporary,3.89,2019-04-20,2019-04-21,Y,2019,1,Female
16,17,Less,Andrew Sean Greer,273,https://www.goodreads.com/book/show/39927096-less,M,Fiction,Contemporary,3.76,2019-04-25,2019-05-08,,2019,13,Male
17,18,Nobody is Ever Missing,Catherine Lacey,244,https://www.goodreads.com/book/show/18490560-nobody-is-ever-missing?from_search=true,F,Fiction,Contemporary,3.27,2019-05-08,2019-05-13,,2019,5,Female
18,19,The New Me,Halle Butler,208,https://www.goodreads.com/book/show/36342706-the-new-me,F,Fiction,Contemporary,3.6,2019-05-13,2019-05-18,Nope,2019,5,Female
19,20,The Empathy Exams,Leslie Jamison,226,https://www.goodreads.com/en/book/show/17934655,F,Non-Fiction,Essays,3.64,2019-05-18,2019-05-27,,2019,9,Female
20,21,Bad Blood,John Carreyou,339,https://www.goodreads.com/book/show/37976541-bad-blood?from_search=true,M,Non-Fiction,True Crime,4.48,2019-06-01,2019-06-12,,2019,11,Male
21,22,The Recovering: Intoxication and its Aftermath,Leslie Jamison,545,https://www.goodreads.com/book/show/35959632-the-recovering,F,Non-Fiction,Memoir,3.96,2019-05-27,2019-06-01,Y,2019,5,Female
22,23,Evvie Drake Starts Over,Linda Holmes,304,https://www.goodreads.com/book/show/40514431-evvie-drake-starts-over?ac=1&from_search=true,F,Fiction,Young Adult,4.22,2019-06-30,2019-06-30,,2019,0,Female
23,24,How to Change Your Mind,Michael Pollan,480,https://www.goodreads.com/book/show/36613747-how-to-change-your-mind?from_search=true,M,Non-Fiction,Science,4.31,2019-06-12,2019-10-18,,2019,128,Male
24,25,Trust Exercise,Susan Choi,257,https://www.goodreads.com/en/book/show/40046059,F,Fiction,Contemporary,3.23,2019-06-12,2019-06-14,Y,2019,2,Female
25,26,Trick Mirror,Jia Tolentino,256,https://www.goodreads.com/book/show/43126457-trick-mirror?from_search=true,F,Non-Fiction,Essays,4.33,2019-06-15,2019-06-30,Y,2019,15,Female
26,27,Territory of Light,Yuko Tsushima,122,https://www.goodreads.com/book/show/33871745-territory-of-light,F,Fiction,Japanese Lit,3.66,2019-07-01,2019-07-06,,2019,5,Female
27,28,Unclaimed Baggage,Jen Doll,384,https://www.goodreads.com/book/show/36949992-unclaimed-baggage?ac=1&from_search=true,F,Fiction,Young Adult,3.73,2019-01-08,2019-07-11,,2019,184,Female
28,29,Fleishman Is In Trouble,Taffy Brodesser-Akner,384,https://www.goodreads.com/book/show/41880602-fleishman-is-in-trouble?ac=1&from_search=true,F,Fiction,Contemporary,4.1,2019-06-17,2019-06-28,Y,2019,11,Female
29,30,Lifespan,David Sinclair,432,https://www.goodreads.com/book/show/43723901-lifespan?ac=1&from_search=true,M,Non-Fiction,Science,4.27,2019-07-01,2019-07-18,,2019,17,Male
30,31,Uncanny Valley,Anna Wiener,304,https://www.goodreads.com/book/show/45186565-uncanny-valley?ac=1&from_search=true,F,Non-Fiction,Memoir,4.2,2019-07-19,2019-07-21,y,2019,2,Female
31,32,Hit Makers,Derek Thompson,352,https://www.goodreads.com/book/show/30901608-hit-makers,M,Non-Fiction,Pop Culture,3.95,2019-07-20,2019-08-06,,2019,17,Male
