month_year,day_count
2022-05,576105
2022-04,35458535
2022-03,8063725
2022-02,5765964
2022-01,7330772
2021-12,7569631
2021-11,6561856
2021-10,5528700
2021-09,3247265
2021-08,4131464
2021-07,6154112
2021-06,5132718
2021-05,9210760
2021-04,4722857
2021-03,4439146
2021-02,8933254
2021-01,4906506
2020-12,1893285
2020-11,1409870
2020-10,1109841
2020-09,1386147
2020-08,1811856
2020-07,3811608
2020-06,1833862
2020-05,4265418
2020-04,1730146
2020-03,1607935
2020-02,911220
2020-01,1188404
2019-12,1410598
2019-11,1331626
2019-10,1088273
2019-09,818452
2019-08,845837
2019-07,1001477
2019-06,916595
2019-05,854096
2019-04,1278715
2019-03,976346
2019-02,1058121
2019-01,1132731
2018-12,879454
2018-11,977039
2018-10,1696345
2018-09,1005659
2018-08,819094
2018-07,1553757
2018-06,895346
2018-05,1238332
2018-04,590643
2018-03,671856
2018-02,1572927
2018-01,523198
2017-12,728154
2017-11,724282
2017-10,416099
2017-09,413715
2017-08,520865
2017-07,628607
2017-06,778683
2017-05,347195
2017-04,268159
2017-03,336177
2017-02,448275
2017-01,272664
2016-12,189368
2016-11,210245
2016-10,283113
2016-09,344628
2016-08,139084
2016-07,281203
2016-06,313594
2016-05,182671
2016-04,288671
2016-03,98113
2016-02,130367
2016-01,154780
2015-12,212908
2015-11,85078
2015-10,148910
2015-09,134121
2015-08,81771
2015-07,90180
2015-06,103775
2015-05,181816
2015-04,140505
2015-03,120376
2015-02,82996
2015-01,206942
