start,end,day_count
2022-04-01T00:00:00.000Z,2022-04-02T00:00:00.000Z,152568
2022-04-02T00:00:00.000Z,2022-04-03T00:00:00.000Z,122164
2022-04-03T00:00:00.000Z,2022-04-04T00:00:00.000Z,332735
2022-04-04T00:00:00.000Z,2022-04-05T00:00:00.000Z,733823
2022-04-05T00:00:00.000Z,2022-04-06T00:00:00.000Z,1287689
2022-04-06T00:00:00.000Z,2022-04-07T00:00:00.000Z,546997
2022-04-07T00:00:00.000Z,2022-04-08T00:00:00.000Z,547293
2022-04-08T00:00:00.000Z,2022-04-09T00:00:00.000Z,449649
2022-04-09T00:00:00.000Z,2022-04-10T00:00:00.000Z,460515
2022-04-10T00:00:00.000Z,2022-04-11T00:00:00.000Z,621731
2022-04-11T00:00:00.000Z,2022-04-12T00:00:00.000Z,498008
2022-04-12T00:00:00.000Z,2022-04-13T00:00:00.000Z,260288
2022-04-13T00:00:00.000Z,2022-04-14T00:00:00.000Z,248444
2022-04-14T00:00:00.000Z,2022-04-15T00:00:00.000Z,2052518
2022-04-15T00:00:00.000Z,2022-04-16T00:00:00.000Z,1925252
2022-04-16T00:00:00.000Z,2022-04-17T00:00:00.000Z,1108362
2022-04-17T00:00:00.000Z,2022-04-18T00:00:00.000Z,676554
2022-04-18T00:00:00.000Z,2022-04-19T00:00:00.000Z,567675
2022-04-19T00:00:00.000Z,2022-04-20T00:00:00.000Z,477582
2022-04-20T00:00:00.000Z,2022-04-21T00:00:00.000Z,623424
2022-04-21T00:00:00.000Z,2022-04-22T00:00:00.000Z,666343
2022-04-22T00:00:00.000Z,2022-04-23T00:00:00.000Z,521045
2022-04-23T00:00:00.000Z,2022-04-24T00:00:00.000Z,780188
2022-04-24T00:00:00.000Z,2022-04-25T00:00:00.000Z,478423
2022-04-25T00:00:00.000Z,2022-04-26T00:00:00.000Z,4096949
2022-04-26T00:00:00.000Z,2022-04-27T00:00:00.000Z,5490486
2022-04-27T00:00:00.000Z,2022-04-28T00:00:00.000Z,3310309
2022-04-28T00:00:00.000Z,2022-04-29T00:00:00.000Z,3330786
2022-04-29T00:00:00.000Z,2022-04-30T00:00:00.000Z,1799211
2022-04-30T00:00:00.000Z,2022-05-01T00:00:00.000Z,1291524
2022-05-01T00:00:00.000Z,2022-05-01T15:31:53.000Z,576105
2022-03-01T00:00:00.000Z,2022-03-02T00:00:00.000Z,240844
2022-03-02T00:00:00.000Z,2022-03-03T00:00:00.000Z,206795
2022-03-03T00:00:00.000Z,2022-03-04T00:00:00.000Z,227822
2022-03-04T00:00:00.000Z,2022-03-05T00:00:00.000Z,163309
2022-03-05T00:00:00.000Z,2022-03-06T00:00:00.000Z,659192
2022-03-06T00:00:00.000Z,2022-03-07T00:00:00.000Z,412720
2022-03-07T00:00:00.000Z,2022-03-08T00:00:00.000Z,312445
2022-03-08T00:00:00.000Z,2022-03-09T00:00:00.000Z,156491
2022-03-09T00:00:00.000Z,2022-03-10T00:00:00.000Z,282829
2022-03-10T00:00:00.000Z,2022-03-11T00:00:00.000Z,163561
2022-03-11T00:00:00.000Z,2022-03-12T00:00:00.000Z,139731
2022-03-12T00:00:00.000Z,2022-03-13T00:00:00.000Z,115213
2022-03-13T00:00:00.000Z,2022-03-14T00:00:00.000Z,165129
2022-03-14T00:00:00.000Z,2022-03-15T00:00:00.000Z,761636
2022-03-15T00:00:00.000Z,2022-03-16T00:00:00.000Z,387284
2022-03-16T00:00:00.000Z,2022-03-17T00:00:00.000Z,252380
