Transaction Date,Order Total,Commission,Merchant,Domain,Status,Code,Title,Locked,Payment Date
2025-04-03,$45.90 ,$6.88 ,19/99 Beauty,1999beauty.com,active,BEAUTY15,Cream Contour Stick,yes,6/13/25
2024-12-02,$204.07 ,$9.71 ,Ambrosia Bag US,ambrosiaproducebag.com,active,-,Ambrosia Long-Life Linen,yes,1/31/25
2024-12-01,$63.41 ,$3.02 ,Ambrosia Bag US,ambrosiaproducebag.com,active,-,Ambrosia Long-Life Linen,yes,1/31/25
2024-11-28,$42.52 ,$2.02 ,Ambrosia Bag US,ambrosiaproducebag.com,active,-,Ambrosia Long-Life Linen,yes,1/3/25
2024-11-27,$22.12 ,$1.05 ,Ambrosia Bag US,ambrosiaproducebag.com,active,-,Ambrosia Long-Life Linen,yes,1/3/25
2024-01-18,$161.50 ,$19.22 ,AromaTech,aromatechscent.com,active,-,Bestseller Set,yes,5/3/24
2024-11-13,$64.95 ,$1.66 ,ASICS America,asics.com,active,-,JAPAN S,yes,1/24/25
2025-05-28,$101.29 ,$12.92 ,Athleta,athleta.gap.com,active,-,With Ease Crop Tee,yes,7/25/25
2025-05-25,$0.00 ,$0.00 ,Athleta,athleta.gap.com,cancelled,-,With Ease Crop Tee,-,-
2024-03-25,$149.00 ,$15.95 ,Aura Home,aurahome.com.au,active,-,Aura Frame,yes,6/28/24
2025-01-05,$148.22 ,$22.23 ,Away,awaytravel.com,active,-,The Everywhere Bag,yes,3/14/25
2025-01-03,$82.39 ,$12.36 ,Away,awaytravel.com,active,-,The Everywhere Bag,yes,3/14/25
2024-11-04,$75.00 ,$8.93 ,Beekman 1802,beekman1802.com,active,-,Beekman 1802 Milk Shake,yes,5/16/25
2025-11-28,$390.60 ,$49.80 ,Boden USA,,active,-,"Sienna Cotton Shirt-Ivory, Tennis",no,-
2024-01-18,$60.00 ,$1.02 ,Charlotte Tilbury US,charlottetilbury.com/us,active,-,CHARLOTTE TILBURY | Hyaluronic Happikiss Lipstick Balm,yes,4/26/24
2024-08-08,$75.00 ,$9.56 ,Clé de Peau,cledepeaubeaute.com,active,-,CONCEALER,yes,10/21/24
2024-02-15,$378.25 ,$56.74 ,Clare V.,clarev.com,active,CV15-4v6gxC,Clare V Fanny Pack,yes,5/10/24
2025-05-21,$117.00 ,$10.94 ,Coolibar,coolibar.com,active,-,Unisex Gannett UV Gloves | Sleek Grey,yes,10/17/25
2025-05-16,$105.98 ,$9.91 ,Coolibar,coolibar.com,cancelled,BZCE5ZNVX,Unisex Gannett UV Gloves | Sleek Grey,-,-
2025-05-23,$47.00 ,$4.39 ,Coolibar,coolibar.com,active,-,Unisex Gannett UV Gloves | Sleek Grey,yes,10/17/25
2025-05-16,$39.00 ,$3.65 ,Coolibar,coolibar.com,active,-,Unisex Gannett UV Gloves | Sleek Grey,yes,7/18/25
2025-05-20,$39.00 ,$3.65 ,Coolibar,coolibar.com,active,-,Unisex Gannett UV Gloves | Sleek Grey,yes,10/17/25
2025-05-16,$29.99 ,$2.81 ,Coolibar,coolibar.com,active,-,Unisex Gannett UV Gloves | Sleek Grey,yes,7/18/25
2025-05-30,$20.25 ,$1.90 ,Coolibar,coolibar.com,cancelled,GROWINGJOY25,Unisex Gannett UV Gloves | Sleek Grey,-,-
2024-11-30,$566.00 ,$113.20 ,Cuyana,cuyana.com,active,-,Travel Jewelry Case,yes,2/7/25
2024-12-01,$286.00 ,$57.20 ,Cuyana,cuyana.com,active,-,Travel Jewelry Case,yes,2/7/25
2024-12-19,$128.00 ,$25.60 ,Cuyana,cuyana.com,active,-,Travel Jewelry Case,yes,3/7/25
2024-11-28,$98.00 ,$19.60 ,Cuyana,cuyana.com,active,-,Travel Jewelry Case,yes,2/7/25
2024-12-08,$98.00 ,$19.60 ,Cuyana,cuyana.com,active,-,Travel Jewelry Case,yes,3/7/25
2025-05-19,$102.40 ,$17.41 ,Dermstore,dermstore.com,active,-,COLORESCIENCE | Sunforgettable Total Protection Brush-On Shield SPF 50,yes,7/18/25
2025-05-16,$69.00 ,$11.73 ,Dermstore,dermstore.com,active,-,COLORESCIENCE | Sunforgettable Total Protection Brush-On Shield SPF 50,yes,7/18/25
2025-05-17,$55.20 ,$9.38 ,Dermstore,dermstore.com,active,VIP,COLORESCIENCE | Sunforgettable Total Protection Brush-On Shield SPF 50,yes,7/18/25
2025-05-19,$55.20 ,$9.38 ,Dermstore,dermstore.com,active,SUN,COLORESCIENCE | Sunforgettable Total Protection Brush-On Shield SPF 50,yes,7/18/25
