Row Labels,Sum of Commission
Target,$404.09 
Cuyana,$235.20 
Maelove,$191.59 
Sephora,$117.14 
Medik8,$102.37 
Geometry,$78.42 
Jouer Cosmetics,$73.65 
Clare V.,$56.74 
Saint Jane Beauty,$55.93 
lululemon,$51.96 
Boden USA,$49.80 
Dermstore,$47.90 
evolvetogether,$45.22 
Geometry LLC,$44.36 
Rèphr,$39.49 
Coolibar,$37.25 
Mother Science,$34.71 
Away,$34.59 
Tower 28,$34.21 
Ulta,$29.13 
Monastery,$28.44 
Saint Jane,$26.10 
LARQ,$24.99 
KYPRIS Beauty,$19.58 
AromaTech,$19.22 
Skincare Essentials,$19.20 
Field Company,$18.92 
Aura Home,$15.95 
Sarah Creal Beauty,$15.90 
Ambrosia Bag US,$15.80 
Everlane,$14.96 
VETTED Dermlab,$14.62 
OneSkin,$14.10 
VERSED,$14.03 
Sephora Canada,$13.11 
Athleta,$12.92 
"ROBOTIME C&C (JIANGSU) CO.,LTD.",$12.41 
Thrive Causemetics,$11.06 
Saie,$10.50 
Clé de Peau,$9.56 
Marley Monsters,$9.14 
Beekman 1802,$8.93 
P.F. Candle Co.,$8.03 
SkinCeuticals,$7.55 
skinfix,$7.31 
The Company Store,$7.22 
Snif,$7.17 
Zenni Optical,$7.11 
Stylevana,$7.00 
19/99 Beauty,$6.88 
Walmart Affiliate Program,$6.88 
Hero Cosmetics,$6.34 
OUAI,$6.08 
Jones Road,$5.60 
Lunya,$5.10 
Soko Glam,$4.82 
Food52,$4.46 
Quince,$4.25 
Universal Standard,$3.77 
Knix,$3.57 
Style Korean US,$2.98 
Saie Beauty,$2.38 
Thymes,$2.24 
Indeed Laboratories,$2.13 
Prose,$2.02 
ASICS America,$1.66 
Charlotte Tilbury US,$1.02 
Grand Total,"$2,236.76 "
