YEAR ,Bludgeoned,Break on Wheel,Burned,Electrocution,Gas,Gibbeted,Hanging,Hung in Chains,Injection,Other,Pressing,Shot
1608,,,,,,,,,,,,1
1622,,,,,,,1,,,,,
1624,,,,,,,1,,,,,
1626,,,,,,,1,,,,,
1630,,,,,,,1,,,,,
1632,,,,,,,1,,,,,
1633,,,,,,,1,,,,,
1637,,,,,,,2,,,,,
1638,,,,,,,6,,,,,
1639,,,,,,,1,,,,,
1641,,,,,,,1,,,1,,
1642,,,,,,,2,,,,,
1643,,,,,,,2,,,,,
1644,,,,,,,2,,,,,
1646,,,,,,,1,,,,,
1647,,,,,,,1,,,,,
1648,,,,,,,2,,,,,
1649,,,,,,,1,,,,,
1651,,,,,,,3,,,,,
1653,,,,,,,1,,,,,
1655,,,,,,,6,,,,,
1656,,,,,,,1,,,,,1
1657,,,,,,,1,,,,,
1658,,,,,,,1,,,,,
1659,,,,,,,2,,,,,
1660,,,,,,,1,,,1,,
1661,,,,,,,7,,,,,
1662,,,,,,,5,,,,,
1665,,,,,,,1,,,,,
1669,,,,,,,,,,,,1
1670,,,,,,,1,,,,,
1671,,,,,,,5,,,,,
1672,,,,,,,3,,,,,
1673,,,,,,,2,,,,,
1674,,,,,,,4,,,,,
1675,,,,,,,4,,,,,
1676,,,,,,,5,,,,,9
1678,,,,,,,1,,,,,
1679,,,,,,,1,,,,,
1681,,,1,,,,2,,,,,
1683,,,,,,,,,,,,2
1684,,,,,,,1,,,,,
1685,,,,,,,2,,,,,
1688,,,,,,,3,,,,,
1689,,,,,,,12,,,,,
1690,,,,,,,2,,,,,
1691,,,,,,,4,,,,,
1692,,,,,,,20,,,,1,
1693,,,,,,,4,,,,,
1694,,,,,,,1,,,,,
1695,,,,,,,1,,,,,
1696,,,,,,,3,,,,,
1697,,,,,,,1,,,,,
1698,,,,,,,1,,,,,
1699,,,,,,,2,,,,,
1700,,,,,,3,4,,,,,
1701,,,,,,,1,,,,,
1702,,,,,,,1,,,,,
1704,,,,,,,7,,,,,
1705,,,,,,,1,,,,,
1706,,,,,,,5,,,,,
1707,1,,,,,,2,,,,,
1708,,,1,,,,3,,,,,
1709,,,,,,,2,,,,,
1710,,,,,,,2,,,,,
1712,,1,4,,,,16,1,,,,
1713,,,,,,,1,,,,,
1714,,,,,,,1,,,,,
1715,,,,,,,2,,,,,
1716,,,1,,,,2,,,,,
1717,,,3,,,,9,,,,,
