Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1626015838,2021-07-11T15:03:58Z,SWA145,"33.946655,-118.401848",0,0,61
1626016405,2021-07-11T15:13:25Z,SWA145,"33.946644,-118.401718",0,0,87
1626018490,2021-07-11T15:48:10Z,SWA145,"33.883804,-119.142525",13025,397,263
1626018601,2021-07-11T15:50:01Z,SWA145,"33.857956,-119.394669",16700,420,263
1626018652,2021-07-11T15:50:52Z,SWA145,"33.845245,-119.516487",18225,434,262
1626018733,2021-07-11T15:52:13Z,SWA145,"33.824436,-119.710526",20700,445,262
1626018799,2021-07-11T15:53:19Z,SWA145,"33.806793,-119.875031",22725,449,262
1626018841,2021-07-11T15:54:01Z,SWA145,"33.795761,-119.976768",24875,426,262
1626018944,2021-07-11T15:55:44Z,SWA145,"33.768669,-120.222641",27400,436,262
1626019010,2021-07-11T15:56:50Z,SWA145,"33.750824,-120.38224",28875,441,262
1626019078,2021-07-11T15:57:58Z,SWA145,"33.732056,-120.548157",29825,458,262
1626019145,2021-07-11T15:59:05Z,SWA145,"33.712059,-120.722061",30125,486,262
1626019209,2021-07-11T16:00:09Z,SWA145,"33.692276,-120.892433",31450,482,262
1626019374,2021-07-11T16:02:54Z,SWA145,"33.641052,-121.32505",34550,472,261
1626019470,2021-07-11T16:04:30Z,SWA145,"33.611298,-121.57151",35975,469,261
1626019542,2021-07-11T16:05:42Z,SWA145,"33.588463,-121.756149",36000,472,261
1626019580,2021-07-11T16:06:20Z,SWA145,"33.57605,-121.856033",36000,472,261
1626019667,2021-07-11T16:07:47Z,SWA145,"33.547592,-122.08197",36000,475,261
1626019682,2021-07-11T16:08:02Z,SWA145,"33.542679,-122.120888",36000,475,261
1626019793,2021-07-11T16:09:53Z,SWA145,"33.506111,-122.412079",36000,477,261
1626019839,2021-07-11T16:10:39Z,SWA145,"33.490845,-122.528389",36000,475,260
1626019891,2021-07-11T16:11:31Z,SWA145,"33.467381,-122.660728",36000,470,256
1626019938,2021-07-11T16:12:18Z,SWA145,"33.442612,-122.780403",36000,469,256
1626020025,2021-07-11T16:13:45Z,SWA145,"33.397202,-122.998917",36000,469,256
1626020067,2021-07-11T16:14:27Z,SWA145,"33.375347,-123.103882",36000,468,256
1626020168,2021-07-11T16:16:08Z,SWA145,"33.321671,-123.358231",36000,467,255
1626020197,2021-07-11T16:16:37Z,SWA145,"33.306335,-123.430023",36000,467,255
1626020238,2021-07-11T16:17:18Z,SWA145,"33.283722,-123.53582",36000,467,255
1626020329,2021-07-11T16:18:49Z,SWA145,"33.235474,-123.760818",36000,466,255
1626020337,2021-07-11T16:18:57Z,SWA145,"33.230804,-123.78241",36000,466,255
1626020419,2021-07-11T16:20:19Z,SWA145,"33.186859,-123.985603",36000,466,255
1626020551,2021-07-11T16:22:31Z,SWA145,"33.11512,-124.313332",36000,468,255
1626020604,2021-07-11T16:23:24Z,SWA145,"33.085648,-124.445602",36000,468,255
1626020669,2021-07-11T16:24:29Z,SWA145,"33.058769,-124.563103",36000,473,257
1626020738,2021-07-11T16:25:38Z,SWA145,"33.011124,-124.77964",36000,468,255
1626020865,2021-07-11T16:27:45Z,SWA145,"32.939571,-125.095543",36000,469,254
1626033135,2021-07-11T19:52:15Z,SWA145,"23.373972,-151.869354",36000,412,242
1626033270,2021-07-11T19:54:30Z,SWA145,"23.25174,-152.117996",36000,416,241
1626033285,2021-07-11T19:54:45Z,SWA145,"23.238737,-152.144424",36000,416,241
1626033332,2021-07-11T19:55:32Z,SWA145,"23.196121,-152.231003",36000,416,241
1626033426,2021-07-11T19:57:06Z,SWA145,"23.110428,-152.403946",36000,412,241
1626033487,2021-07-11T19:58:07Z,SWA145,"23.055679,-152.514404",36000,410,241
1626033537,2021-07-11T19:58:57Z,SWA145,"23.018921,-152.610535",36000,414,256
1626033544,2021-07-11T19:59:04Z,SWA145,"23.016312,-152.624466",36000,414,259
1626033587,2021-07-11T19:59:47Z,SWA145,"23.000839,-152.713303",36000,415,259
1626033651,2021-07-11T20:00:51Z,SWA145,"22.978603,-152.843628",36000,417,259
1626033740,2021-07-11T20:02:20Z,SWA145,"22.946856,-153.026779",36000,421,259
1626033756,2021-07-11T20:02:36Z,SWA145,"22.940781,-153.061218",36000,422,259
1626033844,2021-07-11T20:04:04Z,SWA145,"22.908588,-153.244736",36000,425,259
1626033867,2021-07-11T20:04:27Z,SWA145,"22.900452,-153.291382",36000,425,259
1626033907,2021-07-11T20:05:07Z,SWA145,"22.885733,-153.376572",36000,427,259
1626033994,2021-07-11T20:06:34Z,SWA145,"22.853472,-153.558197",36000,427,259
1626034066,2021-07-11T20:07:46Z,SWA145,"22.83012,-153.679794",36000,430,263
1626034108,2021-07-11T20:08:28Z,SWA145,"22.810867,-153.797409",36000,426,259
1626034197,2021-07-11T20:09:57Z,SWA145,"22.777451,-153.983719",36000,428,258
1626034244,2021-07-11T20:10:44Z,SWA145,"22.759323,-154.083694",35525,425,259
1626034332,2021-07-11T20:12:12Z,SWA145,"22.726942,-154.262695",34000,416,258
1626034525,2021-07-11T20:15:25Z,SWA145,"22.653168,-154.664536",34000,426,258
1626034536,2021-07-11T20:15:36Z,SWA145,"22.649107,-154.686478",34000,426,258
1626034623,2021-07-11T20:17:03Z,SWA145,"22.615356,-154.867599",33250,429,258
1626034685,2021-07-11T20:18:05Z,SWA145,"22.591049,-154.998306",32275,434,258
1626034747,2021-07-11T20:19:07Z,SWA145,"22.566513,-155.130692",32000,432,258
1626034812,2021-07-11T20:20:12Z,SWA145,"22.540407,-155.268509",32000,431,258
1626034869,2021-07-11T20:21:09Z,SWA145,"22.517578,-155.389679",32000,430,258
1626034955,2021-07-11T20:22:35Z,SWA145,"22.482868,-155.570984",32000,430,258
1626035019,2021-07-11T20:23:39Z,SWA145,"22.457033,-155.706223",32000,431,258
1626035093,2021-07-11T20:24:53Z,SWA145,"22.427145,-155.861206",32000,434,258
1626035153,2021-07-11T20:25:53Z,SWA145,"22.402176,-155.989929",32000,434,258
1626035215,2021-07-11T20:26:55Z,SWA145,"22.377056,-156.120346",32000,434,258
1626035275,2021-07-11T20:27:55Z,SWA145,"22.352325,-156.248154",32000,435,258
1626035338,2021-07-11T20:28:58Z,SWA145,"22.325848,-156.382904",32000,434,257
1626035400,2021-07-11T20:30:00Z,SWA145,"22.300152,-156.512756",32000,435,258
1626035461,2021-07-11T20:31:01Z,SWA145,"22.274689,-156.641724",32000,435,258
1626035522,2021-07-11T20:32:02Z,SWA145,"22.248711,-156.77272",32000,435,257
1626035585,2021-07-11T20:33:05Z,SWA145,"22.222036,-156.905777",32000,436,257
1626035650,2021-07-11T20:34:10Z,SWA145,"22.194443,-157.043411",32000,436,257
1626035711,2021-07-11T20:35:11Z,SWA145,"22.168501,-157.173157",32000,434,257
1626035771,2021-07-11T20:36:11Z,SWA145,"22.142395,-157.301743",32000,434,257
1626035833,2021-07-11T20:37:13Z,SWA145,"22.116119,-157.431488",32000,434,257
1626035894,2021-07-11T20:38:14Z,SWA145,"22.090027,-157.558731",31100,424,257
1626035955,2021-07-11T20:39:15Z,SWA145,"22.064713,-157.682068",30025,412,257
1626036016,2021-07-11T20:40:16Z,SWA145,"22.039902,-157.803726",28975,407,257
1626036077,2021-07-11T20:41:17Z,SWA145,"22.015299,-157.923584",27600,400,257
1626036139,2021-07-11T20:42:19Z,SWA145,"21.990463,-158.042831",25300,387,257
1626036200,2021-07-11T20:43:20Z,SWA145,"21.966797,-158.156479",23050,376,257
1626036261,2021-07-11T20:44:21Z,SWA145,"21.94384,-158.266144",20875,364,257
1626036323,2021-07-11T20:45:23Z,SWA145,"21.921616,-158.37352",18825,353,257
1626036384,2021-07-11T20:46:24Z,SWA145,"21.899323,-158.47908",16675,358,257
1626036414,2021-07-11T20:46:54Z,SWA145,"21.88821,-158.531647",15550,354,257
1626036445,2021-07-11T20:47:25Z,SWA145,"21.877075,-158.584351",14475,348,257
1626036477,2021-07-11T20:47:57Z,SWA145,"21.865911,-158.637131",13325,346,257
1626036508,2021-07-11T20:48:28Z,SWA145,"21.854736,-158.690369",12175,344,257
1626036540,2021-07-11T20:49:00Z,SWA145,"21.843613,-158.742798",11075,342,257
1626036551,2021-07-11T20:49:11Z,SWA145,"21.839767,-158.760925",10675,341,257
1626036562,2021-07-11T20:49:22Z,SWA145,"21.835838,-158.779495",10325,340,257
1626036575,2021-07-11T20:49:35Z,SWA145,"21.831436,-158.800125",10175,330,257
1626036588,2021-07-11T20:49:48Z,SWA145,"21.827133,-158.820343",10050,319,257
1626036600,2021-07-11T20:50:00Z,SWA145,"21.823317,-158.838394",9950,309,257
1626036612,2021-07-11T20:50:12Z,SWA145,"21.819267,-158.857315",9850,299,257
1626036625,2021-07-11T20:50:25Z,SWA145,"21.81546,-158.874939",9675,292,257
1626036637,2021-07-11T20:50:37Z,SWA145,"21.811678,-158.892258",9400,290,256
1626036649,2021-07-11T20:50:49Z,SWA145,"21.808094,-158.908997",9125,289,257
1626036661,2021-07-11T20:51:01Z,SWA145,"21.804611,-158.925827",8875,288,257
1626036673,2021-07-11T20:51:13Z,SWA145,"21.800972,-158.943024",8575,288,257
1626036684,2021-07-11T20:51:24Z,SWA145,"21.797667,-158.958633",8325,287,256
1626036697,2021-07-11T20:51:37Z,SWA145,"21.793945,-158.975815",8025,286,257
1626036709,2021-07-11T20:51:49Z,SWA145,"21.790329,-158.993088",7750,285,257
1626036721,2021-07-11T20:52:01Z,SWA145,"21.786758,-159.009918",7475,284,257
1626036734,2021-07-11T20:52:14Z,SWA145,"21.783142,-159.026993",7200,283,257
1626036744,2021-07-11T20:52:24Z,SWA145,"21.780024,-159.041489",6975,282,256
1626036755,2021-07-11T20:52:35Z,SWA145,"21.776825,-159.056213",6725,281,257
1626036768,2021-07-11T20:52:48Z,SWA145,"21.773163,-159.073242",6450,281,257
1626036780,2021-07-11T20:53:00Z,SWA145,"21.769735,-159.089203",6200,280,257
1626036790,2021-07-11T20:53:10Z,SWA145,"21.766571,-159.103897",5950,280,257
1626036805,2021-07-11T20:53:25Z,SWA145,"21.762333,-159.123337",5650,278,256
1626036818,2021-07-11T20:53:38Z,SWA145,"21.758514,-159.141159",5375,277,256
1626036830,2021-07-11T20:53:50Z,SWA145,"21.755024,-159.156998",5125,276,256
1626036842,2021-07-11T20:54:02Z,SWA145,"21.751556,-159.173172",4875,276,257
1626036849,2021-07-11T20:54:09Z,SWA145,"21.749588,-159.182312",4725,275,257
1626036855,2021-07-11T20:54:15Z,SWA145,"21.747711,-159.19104",4600,274,257
1626036861,2021-07-11T20:54:21Z,SWA145,"21.74604,-159.198715",4475,273,257
1626036867,2021-07-11T20:54:27Z,SWA145,"21.74427,-159.206955",4350,273,257
1626036873,2021-07-11T20:54:33Z,SWA145,"21.742584,-159.21492",4225,273,257
1626036883,2021-07-11T20:54:43Z,SWA145,"21.739929,-159.227493",4050,271,258
1626036890,2021-07-11T20:54:50Z,SWA145,"21.738871,-159.236298",4000,266,265
1626036891,2021-07-11T20:54:51Z,SWA145,"21.738871,-159.237625",4000,266,267
1626036892,2021-07-11T20:54:52Z,SWA145,"21.738918,-159.239609",3975,264,271
1626036893,2021-07-11T20:54:53Z,SWA145,"21.738968,-159.240738",3975,262,273
1626036896,2021-07-11T20:54:56Z,SWA145,"21.739426,-159.244125",3950,260,277
1626036899,2021-07-11T20:54:59Z,SWA145,"21.740314,-159.248001",3925,258,283
1626036901,2021-07-11T20:55:01Z,SWA145,"21.741058,-159.250534",3900,262,275
1626036902,2021-07-11T20:55:02Z,SWA145,"21.741524,-159.251907",3875,254,290
1626036905,2021-07-11T20:55:05Z,SWA145,"21.742781,-159.254868",3850,251,295
1626036906,2021-07-11T20:55:06Z,SWA145,"21.743546,-159.256561",3825,251,295
1626036907,2021-07-11T20:55:07Z,SWA145,"21.744186,-159.257812",3800,254,290
1626036911,2021-07-11T20:55:11Z,SWA145,"21.746645,-159.262238",3725,249,301
1626036912,2021-07-11T20:55:12Z,SWA145,"21.747297,-159.263306",3725,248,302
1626036914,2021-07-11T20:55:14Z,SWA145,"21.748507,-159.265396",3700,247,302
1626036916,2021-07-11T20:55:16Z,SWA145,"21.749451,-159.266998",3700,246,301
1626036919,2021-07-11T20:55:19Z,SWA145,"21.751534,-159.270584",3700,243,301
1626036920,2021-07-11T20:55:20Z,SWA145,"21.751831,-159.271103",3700,242,301
1626036923,2021-07-11T20:55:23Z,SWA145,"21.753489,-159.274139",3700,239,300
1626036924,2021-07-11T20:55:24Z,SWA145,"21.754,-159.275009",3700,237,300
1626036926,2021-07-11T20:55:26Z,SWA145,"21.755165,-159.277084",3700,235,301
1626036929,2021-07-11T20:55:29Z,SWA145,"21.757212,-159.280701",3675,232,301
1626036933,2021-07-11T20:55:33Z,SWA145,"21.759018,-159.283829",3650,228,301
1626036935,2021-07-11T20:55:35Z,SWA145,"21.760565,-159.286606",3625,227,301
1626036936,2021-07-11T20:55:36Z,SWA145,"21.760891,-159.287155",3625,226,301
1626036942,2021-07-11T20:55:42Z,SWA145,"21.764103,-159.292648",3575,222,301
1626036949,2021-07-11T20:55:49Z,SWA145,"21.767853,-159.299118",3500,217,301
1626036955,2021-07-11T20:55:55Z,SWA145,"21.771225,-159.304962",3425,216,302
1626036961,2021-07-11T20:56:01Z,SWA145,"21.774307,-159.310196",3300,219,301
1626036967,2021-07-11T20:56:07Z,SWA145,"21.777649,-159.315948",3150,219,302
1626036973,2021-07-11T20:56:13Z,SWA145,"21.780853,-159.321381",3000,221,302
1626036979,2021-07-11T20:56:19Z,SWA145,"21.784678,-159.327087",2875,219,308
1626036980,2021-07-11T20:56:20Z,SWA145,"21.785004,-159.327438",2875,217,310
1626036981,2021-07-11T20:56:21Z,SWA145,"21.785614,-159.328171",2850,215,312
1626036983,2021-07-11T20:56:23Z,SWA145,"21.787079,-159.32962",2850,213,318
1626036985,2021-07-11T20:56:25Z,SWA145,"21.789055,-159.331253",2825,209,323
1626036987,2021-07-11T20:56:27Z,SWA145,"21.790358,-159.332077",2825,205,328
1626036989,2021-07-11T20:56:29Z,SWA145,"21.792128,-159.333038",2825,202,333
1626036990,2021-07-11T20:56:30Z,SWA145,"21.792917,-159.33345",2825,200,335
1626036992,2021-07-11T20:56:32Z,SWA145,"21.794687,-159.334152",2825,197,340
1626036993,2021-07-11T20:56:33Z,SWA145,"21.795959,-159.334518",2800,196,342
1626036995,2021-07-11T20:56:35Z,SWA145,"21.797241,-159.334869",2800,193,346
1626036996,2021-07-11T20:56:36Z,SWA145,"21.798569,-159.335159",2800,192,347
1626036998,2021-07-11T20:56:38Z,SWA145,"21.800125,-159.335419",2800,190,350
1626037000,2021-07-11T20:56:40Z,SWA145,"21.801361,-159.335617",2800,189,351
1626037001,2021-07-11T20:56:41Z,SWA145,"21.802597,-159.33577",2800,189,353
1626037002,2021-07-11T20:56:42Z,SWA145,"21.803467,-159.335861",2800,187,354
1626037003,2021-07-11T20:56:43Z,SWA145,"21.803858,-159.335892",2800,187,355
1626037005,2021-07-11T20:56:45Z,SWA145,"21.806046,-159.336044",2800,187,356
1626037006,2021-07-11T20:56:46Z,SWA145,"21.806488,-159.33606",2800,187,356
1626037008,2021-07-11T20:56:48Z,SWA145,"21.808548,-159.336166",2800,186,357
1626037009,2021-07-11T20:56:49Z,SWA145,"21.809372,-159.336166",2800,186,357
1626037011,2021-07-11T20:56:51Z,SWA145,"21.811119,-159.336243",2800,187,358
1626037012,2021-07-11T20:56:52Z,SWA145,"21.812073,-159.336258",2775,187,358
1626037014,2021-07-11T20:56:54Z,SWA145,"21.813959,-159.336288",2750,187,358
1626037015,2021-07-11T20:56:55Z,SWA145,"21.814911,-159.336319",2725,188,359
1626037018,2021-07-11T20:56:58Z,SWA145,"21.817219,-159.336349",2675,188,359
1626037021,2021-07-11T20:57:01Z,SWA145,"21.819763,-159.336319",2625,188,359
1626037027,2021-07-11T20:57:07Z,SWA145,"21.824993,-159.336243",2525,187,1
1626037028,2021-07-11T20:57:08Z,SWA145,"21.825897,-159.336212",2500,187,1
1626037030,2021-07-11T20:57:10Z,SWA145,"21.827957,-159.336166",2475,187,1
1626037031,2021-07-11T20:57:11Z,SWA145,"21.828903,-159.336136",2450,187,1
1626037033,2021-07-11T20:57:13Z,SWA145,"21.830612,-159.336121",2425,186,1
1626037034,2021-07-11T20:57:14Z,SWA145,"21.831091,-159.33609",2425,186,1
1626037041,2021-07-11T20:57:21Z,SWA145,"21.837189,-159.335983",2300,185,1
1626037047,2021-07-11T20:57:27Z,SWA145,"21.842497,-159.336044",2225,184,359
1626037052,2021-07-11T20:57:32Z,SWA145,"21.846546,-159.335983",2150,182,1
1626037059,2021-07-11T20:57:39Z,SWA145,"21.852219,-159.33606",2050,182,359
1626037065,2021-07-11T20:57:45Z,SWA145,"21.857346,-159.33606",1950,181,359
1626037071,2021-07-11T20:57:51Z,SWA145,"21.862701,-159.33606",1850,182,359
1626037078,2021-07-11T20:57:58Z,SWA145,"21.868195,-159.33606",1750,182,1
1626037084,2021-07-11T20:58:04Z,SWA145,"21.87355,-159.33606",1675,179,1
1626037089,2021-07-11T20:58:09Z,SWA145,"21.877783,-159.33609",1600,174,359
1626037096,2021-07-11T20:58:16Z,SWA145,"21.882889,-159.33606",1500,169,359
1626037102,2021-07-11T20:58:22Z,SWA145,"21.888117,-159.33609",1400,165,1
1626037109,2021-07-11T20:58:29Z,SWA145,"21.892868,-159.33606",1300,161,2
1626037115,2021-07-11T20:58:35Z,SWA145,"21.897446,-159.33606",1200,157,358
1626037121,2021-07-11T20:58:41Z,SWA145,"21.901794,-159.33606",1125,152,359
1626037127,2021-07-11T20:58:47Z,SWA145,"21.90576,-159.336197",1050,147,358
1626037138,2021-07-11T20:58:58Z,SWA145,"21.913422,-159.336258",925,139,359
1626037144,2021-07-11T20:59:04Z,SWA145,"21.917267,-159.336166",875,136,1
1626037163,2021-07-11T20:59:23Z,SWA145,"21.92894,-159.336121",625,137,1
1626037169,2021-07-11T20:59:29Z,SWA145,"21.932947,-159.33609",550,136,1
1626037179,2021-07-11T20:59:39Z,SWA145,"21.939056,-159.336121",450,135,359
1626037185,2021-07-11T20:59:45Z,SWA145,"21.942993,-159.336166",400,134,359
1626037191,2021-07-11T20:59:51Z,SWA145,"21.946819,-159.336136",325,135,359
1626037198,2021-07-11T20:59:58Z,SWA145,"21.950867,-159.336121",225,137,1
1626037204,2021-07-11T21:00:04Z,SWA145,"21.954712,-159.336121",175,138,1
1626037210,2021-07-11T21:00:10Z,SWA145,"21.958969,-159.33609",75,138,1
1626037217,2021-07-11T21:00:17Z,SWA145,"21.963089,-159.33606",0,140,1
1626037223,2021-07-11T21:00:23Z,SWA145,"21.967442,-159.336044",0,141,359
1626037235,2021-07-11T21:00:35Z,SWA145,"21.974285,-159.336075",0,96,2
1626037241,2021-07-11T21:00:41Z,SWA145,"21.976381,-159.336075",0,63,2
1626037247,2021-07-11T21:00:47Z,SWA145,"21.97776,-159.33606",0,48,2
1626037254,2021-07-11T21:00:54Z,SWA145,"21.979145,-159.33606",0,39,2
1626037260,2021-07-11T21:01:00Z,SWA145,"21.980047,-159.33606",0,26,2
1626037266,2021-07-11T21:01:06Z,SWA145,"21.980598,-159.33606",0,17,2
1626037272,2021-07-11T21:01:12Z,SWA145,"21.980907,-159.33606",0,9,2
