Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1626708951,2021-07-19T15:35:51Z,SWA145,"33.949287,-118.400009",0,8,81
1626708957,2021-07-19T15:35:57Z,SWA145,"33.949333,-118.399773",0,6,75
1626708965,2021-07-19T15:36:05Z,SWA145,"33.949429,-118.399559",0,4,59
1626708979,2021-07-19T15:36:19Z,SWA145,"33.94965,-118.399368",0,5,28
1626708987,2021-07-19T15:36:27Z,SWA145,"33.94986,-118.399323",0,6,8
1626708994,2021-07-19T15:36:34Z,SWA145,"33.950111,-118.399307",0,9,2
1626709000,2021-07-19T15:36:40Z,SWA145,"33.950325,-118.399315",0,9,354
1626709007,2021-07-19T15:36:47Z,SWA145,"33.950443,-118.399544",0,7,286
1626709014,2021-07-19T15:36:54Z,SWA145,"33.950409,-118.399826",0,9,264
1626709017,2021-07-19T15:36:57Z,SWA145,"33.950382,-118.400055",0,16,261
1626709019,2021-07-19T15:36:59Z,SWA145,"33.950348,-118.40033",0,25,261
1626709021,2021-07-19T15:37:01Z,SWA145,"33.950317,-118.400711",0,34,264
1626709022,2021-07-19T15:37:02Z,SWA145,"33.950294,-118.400932",0,39,264
1626709023,2021-07-19T15:37:03Z,SWA145,"33.950272,-118.401169",0,43,264
1626709024,2021-07-19T15:37:04Z,SWA145,"33.950237,-118.401436",0,48,264
1626709028,2021-07-19T15:37:08Z,SWA145,"33.950069,-118.403152",0,70,261
1626709041,2021-07-19T15:37:21Z,SWA145,"33.949402,-118.409691",25,115,263
1626709054,2021-07-19T15:37:34Z,SWA145,"33.948303,-118.420731",25,165,263
1626709095,2021-07-19T15:38:15Z,SWA145,"33.944683,-118.461571",1350,194,262
1626709115,2021-07-19T15:38:35Z,SWA145,"33.942959,-118.484573",1750,220,266
1626709121,2021-07-19T15:38:41Z,SWA145,"33.942581,-118.492424",1900,221,266
1626709129,2021-07-19T15:38:49Z,SWA145,"33.942169,-118.502884",2100,233,267
1626709137,2021-07-19T15:38:57Z,SWA145,"33.941849,-118.513443",2400,238,267
1626709144,2021-07-19T15:39:04Z,SWA145,"33.941422,-118.522797",2725,238,266
1626709155,2021-07-19T15:39:15Z,SWA145,"33.940586,-118.537331",3225,239,265
1626709166,2021-07-19T15:39:26Z,SWA145,"33.939514,-118.55175",3625,244,264
1626709186,2021-07-19T15:39:46Z,SWA145,"33.936951,-118.581047",4275,261,263
1626709197,2021-07-19T15:39:57Z,SWA145,"33.935417,-118.596558",4650,266,263
1626709206,2021-07-19T15:40:06Z,SWA145,"33.934299,-118.610397",4975,271,264
1626709213,2021-07-19T15:40:13Z,SWA145,"33.933563,-118.620956",5250,273,265
1626709235,2021-07-19T15:40:35Z,SWA145,"33.931229,-118.653687",6050,282,264
1626709261,2021-07-19T15:41:01Z,SWA145,"33.927921,-118.695946",7225,285,264
1626709276,2021-07-19T15:41:16Z,SWA145,"33.925922,-118.718719",7875,284,263
1626709291,2021-07-19T15:41:31Z,SWA145,"33.92363,-118.742424",8550,285,263
1626709302,2021-07-19T15:41:42Z,SWA145,"33.921871,-118.759628",9025,286,262
1626709312,2021-07-19T15:41:52Z,SWA145,"33.920147,-118.776001",9450,286,262
1626709441,2021-07-19T15:44:01Z,SWA145,"33.895893,-119.017754",12300,390,263
1626709473,2021-07-19T15:44:33Z,SWA145,"33.888958,-119.087448",13350,399,263
1626709514,2021-07-19T15:45:14Z,SWA145,"33.87973,-119.178345",14850,405,263
1626709546,2021-07-19T15:45:46Z,SWA145,"33.872292,-119.25058",16050,407,262
1626709576,2021-07-19T15:46:16Z,SWA145,"33.865265,-119.318138",17025,412,262
1626709610,2021-07-19T15:46:50Z,SWA145,"33.857071,-119.397186",17925,422,262
1626709642,2021-07-19T15:47:22Z,SWA145,"33.849342,-119.471397",18900,428,262
1626709706,2021-07-19T15:48:26Z,SWA145,"33.833096,-119.625153",20700,441,262
1626709766,2021-07-19T15:49:26Z,SWA145,"33.817429,-119.772163",22500,443,262
1626709829,2021-07-19T15:50:29Z,SWA145,"33.800835,-119.925613",24300,441,262
1626709902,2021-07-19T15:51:42Z,SWA145,"33.781311,-120.104729",25750,451,262
1626709921,2021-07-19T15:52:01Z,SWA145,"33.776047,-120.152481",26175,451,262
1626710008,2021-07-19T15:53:28Z,SWA145,"33.752243,-120.367279",28100,448,262
1626710072,2021-07-19T15:54:32Z,SWA145,"33.734497,-120.523621",29300,448,262
1626710132,2021-07-19T15:55:32Z,SWA145,"33.717552,-120.673431",30225,453,262
1626710208,2021-07-19T15:56:48Z,SWA145,"33.695435,-120.862",31400,456,261
1626710274,2021-07-19T15:57:54Z,SWA145,"33.675983,-121.027161",32625,452,262
1626710334,2021-07-19T15:58:54Z,SWA145,"33.658478,-121.176682",33425,454,262
1626710402,2021-07-19T16:00:02Z,SWA145,"33.638229,-121.347031",34000,457,261
1626710464,2021-07-19T16:01:04Z,SWA145,"33.61956,-121.501633",34000,457,261
1626710526,2021-07-19T16:02:06Z,SWA145,"33.600769,-121.657387",34000,457,261
1626710590,2021-07-19T16:03:10Z,SWA145,"33.580948,-121.816071",34000,456,261
1626710651,2021-07-19T16:04:11Z,SWA145,"33.561768,-121.968872",34000,456,261
1626710716,2021-07-19T16:05:16Z,SWA145,"33.541214,-122.13089",34000,457,261
1626710776,2021-07-19T16:06:16Z,SWA145,"33.521988,-122.282005",34000,458,261
1626710839,2021-07-19T16:07:19Z,SWA145,"33.501801,-122.4384",34000,458,261
1626710901,2021-07-19T16:08:21Z,SWA145,"33.480881,-122.593689",34000,459,257
1626710962,2021-07-19T16:09:22Z,SWA145,"33.44997,-122.744469",34000,459,256
1626711023,2021-07-19T16:10:23Z,SWA145,"33.418671,-122.895432",34000,458,255
1626711084,2021-07-19T16:11:24Z,SWA145,"33.387405,-123.045471",34000,455,255
1626711146,2021-07-19T16:12:26Z,SWA145,"33.355865,-123.196182",34000,453,255
1626711198,2021-07-19T16:13:18Z,SWA145,"33.329361,-123.321533",34000,451,255
1626711289,2021-07-19T16:14:49Z,SWA145,"33.28294,-123.539917",34000,452,255
1626711319,2021-07-19T16:15:19Z,SWA145,"33.267208,-123.613457",34000,452,255
1626711358,2021-07-19T16:15:58Z,SWA145,"33.247238,-123.706551",34000,454,255
1626711421,2021-07-19T16:17:01Z,SWA145,"33.214279,-123.859421",34000,455,255
1626711542,2021-07-19T16:19:02Z,SWA145,"33.149918,-124.155067",34000,458,255
1626711605,2021-07-19T16:20:05Z,SWA145,"33.115906,-124.309647",34000,460,255
1626711647,2021-07-19T16:20:47Z,SWA145,"33.093018,-124.413078",34000,461,255
1626711739,2021-07-19T16:22:19Z,SWA145,"33.043106,-124.637878",34000,460,255
1626711806,2021-07-19T16:23:26Z,SWA145,"33.006283,-124.801605",34000,459,254
1626711817,2021-07-19T16:23:37Z,SWA145,"32.999905,-124.829796",34000,459,254
1626711909,2021-07-19T16:25:09Z,SWA145,"32.949627,-125.051323",34000,457,254
1626712016,2021-07-19T16:26:56Z,SWA145,"32.890087,-125.312019",34000,456,254
1626712061,2021-07-19T16:27:41Z,SWA145,"32.864948,-125.420929",34000,456,254
1626712191,2021-07-19T16:29:51Z,SWA145,"32.792,-125.734543",34000,456,254
