Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1626794162,2021-07-20T15:16:02Z,SWA145,"33.946228,-118.400246",0,0,168
1626796345,2021-07-20T15:52:25Z,SWA145,"33.946449,-118.400299",0,3,174
1626796364,2021-07-20T15:52:44Z,SWA145,"33.946659,-118.40033",0,3,180
1626796384,2021-07-20T15:53:04Z,SWA145,"33.946873,-118.400375",0,2,174
1626796423,2021-07-20T15:53:43Z,SWA145,"33.947277,-118.400475",0,2,255
1626796636,2021-07-20T15:57:16Z,SWA145,"33.947487,-118.400345",0,4,5
1626796646,2021-07-20T15:57:26Z,SWA145,"33.947731,-118.400314",0,5,5
1626796654,2021-07-20T15:57:34Z,SWA145,"33.947937,-118.400276",0,6,5
1626796662,2021-07-20T15:57:42Z,SWA145,"33.948162,-118.400284",0,7,351
1626796670,2021-07-20T15:57:50Z,SWA145,"33.948383,-118.400482",0,7,312
1626796676,2021-07-20T15:57:56Z,SWA145,"33.948441,-118.400696",0,7,286
1626796682,2021-07-20T15:58:02Z,SWA145,"33.948566,-118.400902",0,7,306
1626796689,2021-07-20T15:58:09Z,SWA145,"33.948792,-118.401001",0,7,343
1626796698,2021-07-20T15:58:18Z,SWA145,"33.949013,-118.401001",0,3,5
1626796760,2021-07-20T15:59:20Z,SWA145,"33.949184,-118.40078",0,3,53
1626796771,2021-07-20T15:59:31Z,SWA145,"33.94923,-118.40049",0,6,78
1626796779,2021-07-20T15:59:39Z,SWA145,"33.949268,-118.400261",0,4,84
1626796804,2021-07-20T16:00:04Z,SWA145,"33.949291,-118.400047",0,4,81
1626796812,2021-07-20T16:00:12Z,SWA145,"33.949314,-118.399826",0,5,81
1626796823,2021-07-20T16:00:23Z,SWA145,"33.949402,-118.39959",0,4,67
1626796853,2021-07-20T16:00:53Z,SWA145,"33.949619,-118.399361",0,2,33
1626796869,2021-07-20T16:01:09Z,SWA145,"33.949932,-118.3993",0,6,5
1626796887,2021-07-20T16:01:27Z,SWA145,"33.950432,-118.399498",0,6,309
1626796895,2021-07-20T16:01:35Z,SWA145,"33.95042,-118.399773",0,8,264
1626796898,2021-07-20T16:01:38Z,SWA145,"33.950397,-118.399994",0,16,264
1626796901,2021-07-20T16:01:41Z,SWA145,"33.950359,-118.40033",0,25,261
1626796902,2021-07-20T16:01:42Z,SWA145,"33.95034,-118.400558",0,34,261
1626796904,2021-07-20T16:01:44Z,SWA145,"33.950294,-118.400986",0,44,261
1626796906,2021-07-20T16:01:46Z,SWA145,"33.950233,-118.401535",0,53,264
1626796907,2021-07-20T16:01:47Z,SWA145,"33.950203,-118.401848",0,57,264
1626796908,2021-07-20T16:01:48Z,SWA145,"33.950176,-118.402176",0,61,264
1626796909,2021-07-20T16:01:49Z,SWA145,"33.950123,-118.402672",0,66,264
