Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1627916489,2021-08-02T15:01:29Z,SWA145,"33.947311,-118.400742",0,0,264
1627919779,2021-08-02T15:56:19Z,SWA145,"33.94733,-118.400528",0,4,267
1627919787,2021-08-02T15:56:27Z,SWA145,"33.947346,-118.400314",0,5,289
1627920110,2021-08-02T16:01:50Z,SWA145,"33.947582,-118.400124",0,5,5
1627920123,2021-08-02T16:02:03Z,SWA145,"33.947994,-118.400078",0,7,2
1627920138,2021-08-02T16:02:18Z,SWA145,"33.948418,-118.40033",0,7,303
1627920143,2021-08-02T16:02:23Z,SWA145,"33.948475,-118.400558",0,7,292
1627920153,2021-08-02T16:02:33Z,SWA145,"33.948742,-118.400772",0,8,337
1627920159,2021-08-02T16:02:39Z,SWA145,"33.948944,-118.40078",0,7,5
1627920174,2021-08-02T16:02:54Z,SWA145,"33.949196,-118.400414",0,7,73
1627920183,2021-08-02T16:03:03Z,SWA145,"33.949257,-118.400055",0,9,81
1627920187,2021-08-02T16:03:07Z,SWA145,"33.949287,-118.399826",0,10,81
1627920192,2021-08-02T16:03:12Z,SWA145,"33.949337,-118.399597",0,8,75
1627920197,2021-08-02T16:03:17Z,SWA145,"33.949425,-118.399391",0,7,59
1627920207,2021-08-02T16:03:27Z,SWA145,"33.949638,-118.3992",0,6,30
1627920214,2021-08-02T16:03:34Z,SWA145,"33.94986,-118.399139",0,7,8
1627920221,2021-08-02T16:03:41Z,SWA145,"33.9501,-118.39917",0,8,354
1627920227,2021-08-02T16:03:47Z,SWA145,"33.950302,-118.399261",0,9,331
1627920232,2021-08-02T16:03:52Z,SWA145,"33.950397,-118.399529",0,11,284
1627920238,2021-08-02T16:03:58Z,SWA145,"33.950363,-118.400093",0,25,264
1627920240,2021-08-02T16:04:00Z,SWA145,"33.950329,-118.400444",0,35,261
1627920241,2021-08-02T16:04:01Z,SWA145,"33.950314,-118.400673",0,40,261
1627920245,2021-08-02T16:04:05Z,SWA145,"33.950203,-118.401649",0,55,261
1627920249,2021-08-02T16:04:09Z,SWA145,"33.950058,-118.403107",0,72,261
1627920251,2021-08-02T16:04:11Z,SWA145,"33.949963,-118.403976",0,82,261
1627920252,2021-08-02T16:04:12Z,SWA145,"33.949894,-118.404694",0,90,261
1627920264,2021-08-02T16:04:24Z,SWA145,"33.949127,-118.412323",0,126,263
1627920279,2021-08-02T16:04:39Z,SWA145,"33.947754,-118.42572",150,170,262
