Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1628348520,2021-08-07T15:02:00Z,SWA145,"33.947639,-118.400726",0,0,244
1628350060,2021-08-07T15:27:40Z,SWA145,"33.94772,-118.400513",0,4,253
1628350069,2021-08-07T15:27:49Z,SWA145,"33.947788,-118.400299",0,4,281
1628350089,2021-08-07T15:28:09Z,SWA145,"33.947754,-118.400085",0,1,5
1628350257,2021-08-07T15:30:57Z,SWA145,"33.947742,-118.400475",0,0,5
1628350292,2021-08-07T15:31:32Z,SWA145,"33.947754,-118.400085",0,0,5
1628350443,2021-08-07T15:34:03Z,SWA145,"33.948021,-118.40007",0,7,2
1628350455,2021-08-07T15:34:15Z,SWA145,"33.948372,-118.400276",0,7,315
1628350460,2021-08-07T15:34:20Z,SWA145,"33.948452,-118.400482",0,8,292
1628350467,2021-08-07T15:34:27Z,SWA145,"33.948616,-118.400719",0,11,320
1628350471,2021-08-07T15:34:31Z,SWA145,"33.94886,-118.400803",0,11,351
1628350477,2021-08-07T15:34:37Z,SWA145,"33.949104,-118.400688",0,10,33
1628350486,2021-08-07T15:34:46Z,SWA145,"33.94923,-118.400215",0,9,81
1628350491,2021-08-07T15:34:51Z,SWA145,"33.949265,-118.399956",0,10,81
1628350496,2021-08-07T15:34:56Z,SWA145,"33.949299,-118.399712",0,8,81
1628350504,2021-08-07T15:35:04Z,SWA145,"33.949383,-118.399475",0,5,67
1628350514,2021-08-07T15:35:14Z,SWA145,"33.949535,-118.399261",0,6,47
1628350522,2021-08-07T15:35:22Z,SWA145,"33.949745,-118.399139",0,8,16
1628350526,2021-08-07T15:35:26Z,SWA145,"33.949963,-118.399155",0,12,357
1628350534,2021-08-07T15:35:34Z,SWA145,"33.950363,-118.399437",0,16,303
1628350537,2021-08-07T15:35:37Z,SWA145,"33.950397,-118.399719",0,17,270
1628350539,2021-08-07T15:35:39Z,SWA145,"33.950382,-118.399956",0,21,261
1628350541,2021-08-07T15:35:41Z,SWA145,"33.950348,-118.400299",0,31,261
1628350542,2021-08-07T15:35:42Z,SWA145,"33.950317,-118.400513",0,36,261
1628350545,2021-08-07T15:35:45Z,SWA145,"33.950222,-118.401405",0,55,264
1628350553,2021-08-07T15:35:53Z,SWA145,"33.949883,-118.404762",0,90,261
1628350554,2021-08-07T15:35:54Z,SWA145,"33.949837,-118.405251",0,94,261
1628350578,2021-08-07T15:36:18Z,SWA145,"33.947941,-118.423462",125,174,262
1628350584,2021-08-07T15:36:24Z,SWA145,"33.94738,-118.429245",300,178,263
1628350591,2021-08-07T15:36:31Z,SWA145,"33.946636,-118.436676",500,185,262
1628350599,2021-08-07T15:36:39Z,SWA145,"33.945751,-118.444687",850,185,262
1628350620,2021-08-07T15:37:00Z,SWA145,"33.943405,-118.466698",1525,201,265
1628350629,2021-08-07T15:37:09Z,SWA145,"33.943039,-118.477234",1700,213,268
1628350638,2021-08-07T15:37:18Z,SWA145,"33.94268,-118.48835",1850,226,267
1628350648,2021-08-07T15:37:28Z,SWA145,"33.942352,-118.501732",1975,244,268
1628350656,2021-08-07T15:37:36Z,SWA145,"33.941887,-118.512558",2100,256,265
1628350663,2021-08-07T15:37:43Z,SWA145,"33.941208,-118.522804",2250,266,265
1628350675,2021-08-07T15:37:55Z,SWA145,"33.93988,-118.541641",2600,279,264
1628350681,2021-08-07T15:38:01Z,SWA145,"33.93919,-118.550888",2900,278,264
1628350687,2021-08-07T15:38:07Z,SWA145,"33.938507,-118.560364",3300,273,264
1628350696,2021-08-07T15:38:16Z,SWA145,"33.937454,-118.573868",3775,272,264
1628350704,2021-08-07T15:38:24Z,SWA145,"33.936581,-118.58522",4100,273,264
1628350711,2021-08-07T15:38:31Z,SWA145,"33.935623,-118.596344",4475,271,264
1628350719,2021-08-07T15:38:39Z,SWA145,"33.934719,-118.607941",4850,270,264
1628350726,2021-08-07T15:38:46Z,SWA145,"33.933838,-118.618713",5125,271,264
1628350739,2021-08-07T15:38:59Z,SWA145,"33.932159,-118.637299",5650,271,263
