Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1628608225,2021-08-10T15:10:25Z,SWA145,"33.9478,-118.401848",0,0,143
1628609619,2021-08-10T15:33:39Z,SWA145,"33.948021,-118.402046",0,3,185
1628609633,2021-08-10T15:33:53Z,SWA145,"33.948231,-118.402008",0,3,227
1628609762,2021-08-10T15:36:02Z,SWA145,"33.948311,-118.401588",0,0,261
1628609774,2021-08-10T15:36:14Z,SWA145,"33.94836,-118.401901",0,0,261
1628609780,2021-08-10T15:36:20Z,SWA145,"33.948311,-118.401588",0,0,261
1628609792,2021-08-10T15:36:32Z,SWA145,"33.948349,-118.401993",0,3,264
1628609802,2021-08-10T15:36:42Z,SWA145,"33.948315,-118.402206",0,5,264
1628609809,2021-08-10T15:36:49Z,SWA145,"33.948299,-118.402435",0,7,264
1628609820,2021-08-10T15:37:00Z,SWA145,"33.948372,-118.402893",0,8,298
1628609828,2021-08-10T15:37:08Z,SWA145,"33.948624,-118.403061",0,8,340
1628609836,2021-08-10T15:37:16Z,SWA145,"33.948929,-118.402924",0,9,39
1628609842,2021-08-10T15:37:22Z,SWA145,"33.949024,-118.402626",0,9,75
1628609846,2021-08-10T15:37:26Z,SWA145,"33.949047,-118.402405",0,10,81
1628609850,2021-08-10T15:37:30Z,SWA145,"33.94907,-118.402184",0,10,84
1628609856,2021-08-10T15:37:36Z,SWA145,"33.949093,-118.401833",0,11,84
1628609860,2021-08-10T15:37:40Z,SWA145,"33.949127,-118.401566",0,12,84
1628609875,2021-08-10T15:37:55Z,SWA145,"33.949219,-118.400581",0,11,84
1628609880,2021-08-10T15:38:00Z,SWA145,"33.949257,-118.40033",0,8,84
1628609887,2021-08-10T15:38:07Z,SWA145,"33.94928,-118.40007",0,5,81
1628609900,2021-08-10T15:38:20Z,SWA145,"33.94931,-118.399857",0,3,81
1628609910,2021-08-10T15:38:30Z,SWA145,"33.949368,-118.399643",0,5,70
1628609963,2021-08-10T15:39:23Z,SWA145,"33.949524,-118.399429",0,0,42
1628609979,2021-08-10T15:39:39Z,SWA145,"33.949791,-118.399323",0,7,11
1628609984,2021-08-10T15:39:44Z,SWA145,"33.950012,-118.39933",0,9,354
1628609989,2021-08-10T15:39:49Z,SWA145,"33.950226,-118.399391",0,9,345
1628610000,2021-08-10T15:40:00Z,SWA145,"33.95042,-118.399597",0,4,295
1628610010,2021-08-10T15:40:10Z,SWA145,"33.950386,-118.399925",0,12,264
1628610012,2021-08-10T15:40:12Z,SWA145,"33.950363,-118.400131",0,19,264
1628610014,2021-08-10T15:40:14Z,SWA145,"33.950329,-118.400627",0,34,264
1628610017,2021-08-10T15:40:17Z,SWA145,"33.950279,-118.401161",0,43,261
1628610018,2021-08-10T15:40:18Z,SWA145,"33.950226,-118.401665",0,53,261
1628610020,2021-08-10T15:40:20Z,SWA145,"33.95015,-118.40226",0,62,261
1628610022,2021-08-10T15:40:22Z,SWA145,"33.950089,-118.40287",0,66,264
1628610024,2021-08-10T15:40:24Z,SWA145,"33.949978,-118.403923",0,80,264
1628610026,2021-08-10T15:40:26Z,SWA145,"33.949917,-118.404617",0,84,264
1628610038,2021-08-10T15:40:38Z,SWA145,"33.94915,-118.411957",100,128,262
1628610044,2021-08-10T15:40:44Z,SWA145,"33.948624,-118.417038",75,146,262
1628610066,2021-08-10T15:41:06Z,SWA145,"33.946518,-118.437607",700,175,263
1628610077,2021-08-10T15:41:17Z,SWA145,"33.945374,-118.448761",1175,179,262
1628610099,2021-08-10T15:41:39Z,SWA145,"33.943359,-118.471626",1675,204,266
1628610107,2021-08-10T15:41:47Z,SWA145,"33.942947,-118.48127",1850,212,267
1628610119,2021-08-10T15:41:59Z,SWA145,"33.942493,-118.495789",2075,231,268
1628610124,2021-08-10T15:42:04Z,SWA145,"33.942352,-118.502121",2175,235,268
1628610133,2021-08-10T15:42:13Z,SWA145,"33.940819,-118.514618",2475,244,256
1628610143,2021-08-10T15:42:23Z,SWA145,"33.935806,-118.526733",3000,239,237
1628610146,2021-08-10T15:42:26Z,SWA145,"33.933746,-118.529755",3150,239,230
1628610148,2021-08-10T15:42:28Z,SWA145,"33.932007,-118.531998",3225,239,226
1628610158,2021-08-10T15:42:38Z,SWA145,"33.922894,-118.539673",3625,243,209
1628610159,2021-08-10T15:42:39Z,SWA145,"33.92244,-118.539955",3650,243,209
1628610161,2021-08-10T15:42:41Z,SWA145,"33.919876,-118.541641",3725,247,208
1628610164,2021-08-10T15:42:44Z,SWA145,"33.916809,-118.543602",3800,251,208
1628610169,2021-08-10T15:42:49Z,SWA145,"33.911636,-118.547073",3875,257,209
1628610179,2021-08-10T15:42:59Z,SWA145,"33.901154,-118.554443",4150,266,210
1628610189,2021-08-10T15:43:09Z,SWA145,"33.890587,-118.561874",4425,273,210
1628610196,2021-08-10T15:43:16Z,SWA145,"33.882813,-118.567368",4700,276,210
1628610201,2021-08-10T15:43:21Z,SWA145,"33.876854,-118.571487",4925,276,210
1628610208,2021-08-10T15:43:28Z,SWA145,"33.869125,-118.576813",5175,280,209
1628610221,2021-08-10T15:43:41Z,SWA145,"33.854141,-118.586983",5750,282,209
1628610233,2021-08-10T15:43:53Z,SWA145,"33.840778,-118.595924",6300,281,209
1628610248,2021-08-10T15:44:08Z,SWA145,"33.823135,-118.607597",6975,282,208
