Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1628782265,2021-08-12T15:31:05Z,SWA145,"33.947624,-118.400948",0,0,244
1628782344,2021-08-12T15:32:24Z,SWA145,"33.947697,-118.400734",0,3,250
1628782358,2021-08-12T15:32:38Z,SWA145,"33.947788,-118.400429",0,4,289
1628782605,2021-08-12T15:36:45Z,SWA145,"33.948006,-118.400261",0,5,5
1628782613,2021-08-12T15:36:53Z,SWA145,"33.948235,-118.400276",0,6,351
1628782624,2021-08-12T15:37:04Z,SWA145,"33.948452,-118.400558",0,7,298
1628782631,2021-08-12T15:37:11Z,SWA145,"33.948521,-118.40078",0,7,289
1628782639,2021-08-12T15:37:19Z,SWA145,"33.94873,-118.400986",0,7,331
1628782649,2021-08-12T15:37:29Z,SWA145,"33.948933,-118.400986",0,4,20
1628782660,2021-08-12T15:37:40Z,SWA145,"33.94915,-118.400848",0,5,39
1628782669,2021-08-12T15:37:49Z,SWA145,"33.94923,-118.400597",0,4,73
1628782703,2021-08-12T15:38:23Z,SWA145,"33.948814,-118.401001",0,0,81
1628782737,2021-08-12T15:38:57Z,SWA145,"33.949245,-118.400429",0,0,81
1628782806,2021-08-12T15:40:06Z,SWA145,"33.949276,-118.400162",0,5,84
1628782813,2021-08-12T15:40:13Z,SWA145,"33.949303,-118.399902",0,7,81
1628782819,2021-08-12T15:40:19Z,SWA145,"33.949371,-118.399658",0,8,67
1628782827,2021-08-12T15:40:27Z,SWA145,"33.949551,-118.399437",0,6,45
1628782835,2021-08-12T15:40:35Z,SWA145,"33.949757,-118.399338",0,6,19
1628782843,2021-08-12T15:40:43Z,SWA145,"33.949997,-118.399338",0,7,357
1628782851,2021-08-12T15:40:51Z,SWA145,"33.950256,-118.399384",0,7,348
1628782861,2021-08-12T15:41:01Z,SWA145,"33.950432,-118.399628",0,5,298
1628782869,2021-08-12T15:41:09Z,SWA145,"33.950409,-118.399841",0,5,264
1628782876,2021-08-12T15:41:16Z,SWA145,"33.950397,-118.400047",0,6,264
1628782882,2021-08-12T15:41:22Z,SWA145,"33.950375,-118.400276",0,8,261
1628782885,2021-08-12T15:41:25Z,SWA145,"33.950348,-118.400528",0,19,261
