Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1627426379,2021-07-27T22:52:59Z,SWA144,"21.977486,-159.348892",0,0,315
1627426878,2021-07-27T23:01:18Z,SWA144,"21.977312,-159.348663",0,5,315
1627426892,2021-07-27T23:01:32Z,SWA144,"21.977114,-159.34845",0,4,286
1627426904,2021-07-27T23:01:44Z,SWA144,"21.977055,-159.348236",0,3,233
1627427033,2021-07-27T23:03:53Z,SWA144,"21.976835,-159.348465",0,7,225
1627427040,2021-07-27T23:04:00Z,SWA144,"21.976671,-159.348785",0,8,225
1627427048,2021-07-27T23:04:08Z,SWA144,"21.97645,-159.348877",0,6,222
1627427059,2021-07-27T23:04:19Z,SWA144,"21.976215,-159.348969",0,6,196
1627427066,2021-07-27T23:04:26Z,SWA144,"21.976009,-159.348938",0,7,163
1627427073,2021-07-27T23:04:33Z,SWA144,"21.975803,-159.348755",0,10,137
1627427080,2021-07-27T23:04:40Z,SWA144,"21.975565,-159.348511",0,10,135
1627427086,2021-07-27T23:04:46Z,SWA144,"21.975332,-159.348343",0,9,157
1627427091,2021-07-27T23:04:51Z,SWA144,"21.975128,-159.348389",0,9,194
1627427099,2021-07-27T23:04:59Z,SWA144,"21.974903,-159.348572",0,8,222
1627427106,2021-07-27T23:05:06Z,SWA144,"21.974682,-159.348785",0,9,227
1627427113,2021-07-27T23:05:13Z,SWA144,"21.974472,-159.34903",0,9,225
1627427121,2021-07-27T23:05:21Z,SWA144,"21.974239,-159.349258",0,9,225
1627427799,2021-07-27T23:16:39Z,SWA144,"21.974018,-159.349487",0,3,219
1627427815,2021-07-27T23:16:55Z,SWA144,"21.973812,-159.349564",0,3,196
1627427848,2021-07-27T23:17:28Z,SWA144,"21.97361,-159.349503",0,1,160
1627427864,2021-07-27T23:17:44Z,SWA144,"21.973377,-159.349319",0,9,140
1627427869,2021-07-27T23:17:49Z,SWA144,"21.973228,-159.349091",0,12,118
