date,begin,end,plane,flight_time,leave_sched,leave_actual,land_sched,,land_actual,
6-Aug-21,Los Angeles (LAX),Lihue (LIH),B38M (N8718Q),5:29,8:30 AM,9:18 AM,11:20 AM,,Landed 11:48 AM,
5-Aug-21,Los Angeles (LAX),Lihue (LIH),B738 (N8309C),5:23,8:30 AM,8:40 AM,11:20 AM,,Landed 11:02 AM,
4-Aug-21,Los Angeles (LAX),Lihue (LIH),B738 (N8309C),5:31,8:30 AM,8:40 AM,11:20 AM,,Landed 11:11 AM,
3-Aug-21,Los Angeles (LAX),Lihue (LIH),B38M (N8713M),5:24,8:30 AM,8:40 AM,11:20 AM,,Landed 11:04 AM,
2-Aug-21,Los Angeles (LAX),Lihue (LIH),B38M (N8713M),5:25,8:30 AM,9:04 AM,11:20 AM,,Landed 11:29 AM,
1-Aug-21,Los Angeles (LAX),Lihue (LIH),B38M (N8729H),5:31,8:30 AM,8:41 AM,11:20 AM,,Landed 11:13 AM,
31-Jul-21,Los Angeles (LAX),Lihue (LIH),B38M (N8731J),5:28,8:30 AM,8:51 AM,11:20 AM,,Landed 11:19 AM,
30-Jul-21,Los Angeles (LAX),Lihue (LIH),B38M (N8731J),5:22,8:30 AM,8:45 AM,11:20 AM,,Landed 11:07 AM,
29-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8324A),5:34,8:30 AM,8:34 AM,11:20 AM,,Landed 11:08 AM,
28-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8324A),5:41,8:30 AM,8:47 AM,11:20 AM,,Landed 11:28 AM,
27-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8305E),5:36,8:30 AM,8:37 AM,11:20 AM,,Landed 11:13 AM,
26-Jul-21,Los Angeles (LAX),Lihue (LIH),B38M (N8706W),5:33,8:30 AM,8:40 AM,11:20 AM,,Landed 11:13 AM,
25-Jul-21,Los Angeles (LAX),Lihue (LIH),B38M (N8717M),5:29,8:30 AM,9:03 AM,11:20 AM,,Landed 11:33 AM,
24-Jul-21,Los Angeles (LAX),Lihue (LIH),B38M (N8722L),5:22,8:30 AM,8:43 AM,11:20 AM,,Landed 11:06 AM,
23-Jul-21,Los Angeles (LAX),Lihue (LIH),B38M (N8704Q),5:21,8:30 AM,8:52 AM,11:20 AM,,Landed 11:13 AM,
22-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8328A),5:32,8:30 AM,8:40 AM,11:20 AM,,Landed 11:12 AM,
21-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8311Q),4:55,8:30 AM,9:21 AM,11:20 AM,,Landed 11:16 AM,
20-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8327A),5:22,8:30 AM,9:02 AM,11:20 AM,,Landed 11:24 AM,
19-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8311Q),5:20,8:30 AM,8:37 AM,11:20 AM,,Landed 10:57 AM,
18-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8303R),5:12,8:30 AM,8:33 AM,11:20 AM,,Landed 10:44 AM,
17-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8303R),5:14,8:30 AM,8:43 AM,11:20 AM,,Landed 10:57 AM,
16-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8315C),5:12,8:30 AM,8:35 AM,11:20 AM,,Landed 10:47 AM,
15-Jul-21,Los Angeles (LAX),Lihue (LIH),B38M (N8725L),5:14,8:30 AM,8:41 AM,11:20 AM,,Landed 10:55 AM,
14-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8302F),5:11,8:30 AM,8:38 AM,11:20 AM,,Landed 10:49 AM,
13-Jul-21,Los Angeles (LAX),Lihue (LIH),B38M (N8710M),5:18,8:30 AM,8:43 AM,11:20 AM,,Landed 11:01 AM,
12-Jul-21,Los Angeles (LAX),Lihue (LIH),B38M (N8713M),5:23,8:30 AM,8:57 AM,11:20 AM,,Landed 11:20 AM,
11-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8329B),5:22,8:30 AM,8:38 AM,11:20 AM,,Landed 11:00 AM,
10-Jul-21,Los Angeles (LAX),Lihue (LIH),B38M (N8730Q),5:26,8:30 AM,9:14 AM,11:20 AM,,Landed 11:41 AM,
9-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8306H),5:20,8:30 AM,8:40 AM,11:20 AM,,Landed 11:01 AM,
8-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8306H),5:29,8:30 AM,8:31 AM,11:20 AM,,Landed 11:00 AM,
7-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8306H),5:23,8:30 AM,8:38 AM,11:20 AM,,Landed 11:01 AM,
6-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8328A),5:20,8:30 AM,8:43 AM,11:20 AM,,Landed 11:03 AM,
5-Jul-21,Los Angeles (LAX),Lihue (LIH),B38M (N8747Q),5:25,8:30 AM,8:50 AM,11:20 AM,,Landed 11:15 AM,
4-Jul-21,Los Angeles (LAX),Lihue (LIH),B38M (N8747Q),5:11,8:30 AM,8:53 AM,11:20 AM,,Landed 11:04 AM,
3-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8329B),5:14,8:30 AM,8:39 AM,11:20 AM,,Landed 10:53 AM,
2-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8329B),5:08,8:30 AM,8:42 AM,11:20 AM,,Landed 10:50 AM,
1-Jul-21,Los Angeles (LAX),Lihue (LIH),B738 (N8301J),5:09,8:30 AM,8:35 AM,11:20 AM,,Landed 10:44 AM,
30-Jun-21,Los Angeles (LAX),Lihue (LIH),B738 (N8301J),5:09,8:30 AM,8:54 AM,11:20 AM,,Landed 11:03 AM,
29-Jun-21,Los Angeles (LAX),Lihue (LIH),B38M (N8708Q),5:13,8:30 AM,8:41 AM,11:20 AM,,Landed 10:53 AM,
28-Jun-21,Los Angeles (LAX),Lihue (LIH),B38M (N8729H),5:09,8:30 AM,8:52 AM,11:20 AM,,Landed 11:00 AM,
27-Jun-21,Los Angeles (LAX),Lihue (LIH),B38M (N8747Q),5:15,8:30 AM,9:07 AM,11:20 AM,,Landed 11:22 AM,
