flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
585549326,10527058,N14LA,B412,N14LA,N14LA,,CPM,CPM,
585567312,11101548,N704WP,AS50,N704WP,N704WP,WHP,,,
585581789,11060318,N664PD,B06,N664PD,N664PD,,,,
585512574,10578214,N190LA,H60,N190LA,N190LA,PMD,WHP,WHP,
585414089,10694319,N304FD,A139,FIRE4,,VNY,LAX,LAX,
585447010,11358115,N957LA,AS50,N957LA,,EMT,,,
585535092,11060318,N664PD,B06,N664PD,N664PD,,,,
585555601,10527058,N14LA,B412,N14LA,N14LA,,,,
585432184,11058416,N662PD,AS50,N662PD,,,BUR,BUR,
585410115,11101548,N704WP,AS50,N704WP,,WHP,LGB,LGB,
585538745,11353317,N952JH,AS32,N952JH,,LGB,,,
585552845,11058416,N662PD,AS50,N662PD,N662PD,,FUL,FUL,
585542040,11101548,N704WP,AS50,N704WP,N704WP,WHP,VNY,VNY,
585441225,11351458,N950LA,AS50,N950LA,,,BUR,BUR,
585557785,11360017,N959LA,AS50,N959LA,N959LA,LGB,WHP,WHP,
585463598,10601970,N213PF,AS50,N213PF,,,VNY,VNY,
585396714,11061269,N665PD,AS50,N665PD,,,,,
585473134,10601970,N213PF,AS50,N213PF,N213PF,VNY,,,
585415959,10691466,N301FD,A139,FIRE1,,VNY,VNY,VNY,
585416246,10616756,N228LA,AS50,N228LA,,,,,
585432050,10601970,N213PF,AS50,N213PF,,,WHP,WHP,
585528807,10612001,N223LA,AS50,POLICE,,,,,
585406837,11354311,N953LA,AS50,N953LA,,LGB,POC,POC,
585433974,11358115,N957LA,AS50,N957LA,,LGB,EMT,EMT,
585564728,11061269,N665PD,AS50,N665PD,,CNO,,,
585575430,11314118,N913WB,AS50,N913WB,N913WB,,VNY,VNY,
585551558,10497326,N110LA,B412,N110LA,N110LA,WHP,POC,POC,
585593795,10617707,N229LA,AS50,N229LA,N229LA,,BUR,BUR,
585526787,11101548,N704WP,AS50,N704WP,N704WP,WHP,VNY,VNY,
585397925,10617707,N229LA,AS50,N229LA,,,BUR,BUR,
585439121,11064122,N668PD,AS50,N668PD,,,VNY,VNY,
585392677,10695270,N305FD,A139,N305FD,,VNY,VNY,VNY,
585528627,10696221,N306FD,B06,N306FD,N306FD,VNY,WHP,WHP,
585447927,10616756,N228LA,AS50,N228LA,,,,,
585550724,10695270,N305FD,A139,N305FD,N305FD,VNY,VNY,VNY,
585396346,10601970,N213PF,AS50,N213PF,,,BUR,BUR,
585323916,11358115,N957LA,AS50,N957LA,,LGB,EMT,EMT,
585579474,11220365,N821LA,H60,N821LA,N821LA,,QQH,QQH,
585545952,10617707,N229LA,AS50,N229LA,,,,,
585518865,10601970,N213PF,AS50,N213PF,N213PF,,,,
585502849,11058416,N662PD,AS50,N662PD,N662PD,,,,
585565358,10694319,N304FD,A139,FIRE4,,VNY,,,
585553802,10695270,N305FD,A139,N305FD,N305FD,VNY,,,
585574843,10601970,N213PF,AS50,N213PF,N213PF,,,,
585540046,10527058,N14LA,B412,N14LA,N14LA,WHP,,,
585513005,11354311,N953LA,AS50,N953LA,N953LA,LGB,TOA,TOA,
585592694,10527058,N14LA,B412,N14LA,N14LA,,,,
585584672,11351614,N950SG,AS32,L950SG,,LGB,LGB,LGB,
585566583,11060318,N664PD,B06,N664PD,N664PD,,FUL,FUL,
585411893,11358115,N957LA,AS50,N957LA,,EMT,CPM,CPM,
585594617,11351458,N950LA,AS50,N950LA,N950LA,POC,WJF,WJF,
585419048,10696221,N306FD,B06,N306FD,,VNY,,,
585572630,11061269,N665PD,AS50,N665PD,N665PD,,ONT,ONT,
585400561,10578214,N190LA,H60,N190LA,,WHP,,,
585592860,10601970,N213PF,AS50,N213PF,N213PF,BUR,,,
585463858,11058416,N662PD,AS50,N662PD,,,BUR,BUR,
585514840,10497326,N110LA,B412,N110LA,N110LA,POC,WHP,WHP,
585435372,11351458,N950LA,AS50,N950LA,,WJF,PMD,PMD,
585584679,11351458,N950LA,AS50,N950LA,,BUR,LGB,LGB,
585415230,10696221,N306FD,B06,N306FD,,VNY,,,
585556829,11061269,N665PD,AS50,N665PD,N665PD,,SBD,SBD,
585550521,10616756,N228LA,AS50,N228LA,N228LA,,EMT,EMT,
585563464,11360017,N959LA,AS50,N959LA,N959LA,,,,
585402429,11353317,N952JH,AS32,N952JH,,PMD,LGB,LGB,
585405620,10578214,N190LA,H60,N190LA,,WHP,WJF,WJF,
585598182,10616756,N228LA,AS50,N228LA,N228LA,,HHR,HHR,
585530930,11314118,N913WB,AS50,N913WB,N913WB,,FUL,FUL,
585428198,11351458,N950LA,AS50,N950LA,,WJF,,,
585519026,11057465,N661PD,AS50,N661PD,N661PD,VNY,VNY,VNY,
585550340,10694319,N304FD,A139,FIRE4,,VNY,VNY,VNY,
