snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1567208590,3000,333,34.18961,-117.86562,8444,0,1206
1567208613,3600,357,34.21027,-117.87809,8444,0,1206
1567208637,3800,349,34.22469,-117.87996,8444,0,1206
1567208646,4000,340,34.23288,-117.88375,8444,0,1206
1567208672,4100,332,34.23649,-117.88616,8444,70,1206
1567208701,4200,332,34.24295,-117.89106,8444,70,1206
1567208738,4500,332,34.25523,-117.89641,8444,70,1206
1567208757,5100,332,34.27017,-117.90391,8444,70,1206
1567208778,5200,344,34.27287,-117.90466,8444,74,1206
1567208798,5499,355,34.28478,-117.90882,8444,116,1206
1567208813,5700,355,34.28807,-117.91167,8444,116,1206
1567208838,6000,307,34.30395,-117.91012,8444,77,1206
1567208857,6200,307,34.30804,-117.91098,8444,77,1206
1567208917,6400,307,34.31252,-117.91140,8444,77,1206
1567208941,6900,307,34.32932,-117.91556,8444,77,1206
