snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1570127222,1300,250,34.08997,-117.79667,21889,66,0000
1570127386,1400,253,34.08522,-117.89064,1451,114,0000
1570127396,1400,252,34.08366,-117.89648,1451,116,1200
1570127410,1300,249,34.08101,-117.90556,1451,116,1200
1570127421,1300,246,34.07870,-117.91231,1451,115,1200
1570127428,1200,245,34.07740,-117.91574,1451,116,1200
1570127434,1200,244,34.07587,-117.91975,1451,116,1200
1570127442,1200,248,34.07410,-117.92472,1451,117,1200
1570127449,1100,248,34.07293,-117.92828,1451,115,1200
1570127458,1100,248,34.07098,-117.93425,1451,115,1200
1570127464,1100,249,34.06984,-117.93784,1451,114,1200
1570127471,1100,250,34.06874,-117.94148,1451,115,1200
1570127482,1100,249,34.06656,-117.94870,1451,114,1200
1570127491,1000,248,34.06508,-117.95314,1451,113,1200
1570127497,1000,247,34.06358,-117.95746,1451,112,1200
1570127504,1000,246,34.06237,-117.96089,1451,111,1200
1570127516,1000,243,34.05971,-117.96747,1451,111,1200
1570127522,1000,241,34.05839,-117.97057,1451,112,1200
1570127535,900,241,34.05492,-117.97814,1451,110,1200
1570127542,1000,242,34.05299,-117.98251,1451,110,1200
1570127549,900,242,34.05161,-117.98573,1451,109,1200
1570127560,900,242,34.04874,-117.99221,1451,108,1200
1570127566,900,241,34.04738,-117.99539,1451,108,1200
1570127572,1000,243,34.04598,-117.99860,1451,108,1200
1570127579,900,243,34.04463,-118.00192,1451,111,1200
1570127590,900,241,34.04178,-118.00841,1451,109,1200
1570127596,900,240,34.04025,-118.01170,1451,110,1200
1570127603,900,239,34.03867,-118.01502,1451,111,1200
1570127609,900,239,34.03718,-118.01800,1451,110,1200
1570127619,900,240,34.03434,-118.02361,1451,108,1200
1570127626,900,243,34.03276,-118.02721,1451,107,1200
1570127632,800,246,34.03173,-118.02985,1451,107,1200
1570127638,900,248,34.03029,-118.03408,1451,107,1200
1570127644,800,250,34.02931,-118.03740,1451,106,1200
1570127650,800,253,34.02837,-118.04092,1451,107,1200
1570127660,800,251,34.02699,-118.04627,1451,109,1200
1570127666,800,250,34.02605,-118.04953,1451,110,1200
1570127677,800,248,34.02393,-118.05656,1451,109,1200
1570127683,800,246,34.02284,-118.05971,1451,107,1200
1570127690,800,245,34.02155,-118.06312,1451,105,1200
1570127702,800,245,34.01912,-118.06956,1451,104,1200
1570127709,800,244,34.01784,-118.07282,1451,98,1200
1570127715,800,242,34.01665,-118.07568,1451,95,1200
1570127721,800,241,34.01540,-118.07848,1451,94,1200
1570127733,800,239,34.01288,-118.08386,1451,91,1200
1570127744,800,236,34.01015,-118.08907,1451,93,1200
1570127751,800,241,34.00879,-118.09187,1451,92,1200
1570127762,800,251,34.00678,-118.09747,1451,92,1200
1570127771,800,254,34.00571,-118.10207,1451,92,1200
1570127777,800,254,34.00502,-118.10504,1451,92,1200
1570127786,900,252,34.00392,-118.10947,1451,96,1200
1570127792,800,250,34.00305,-118.11256,1451,96,1200
1570127798,800,250,34.00218,-118.11552,1451,92,1200
1570127811,800,246,34.00036,-118.12099,1451,89,1200
1570127822,800,245,33.99854,-118.12608,1451,85,1200
1570127829,800,245,33.99747,-118.12887,1451,83,1200
1570127840,700,241,33.99542,-118.13381,1451,78,1200
1570127846,700,240,33.99435,-118.13604,1451,79,1200
1570127859,700,239,33.99220,-118.14058,1451,79,1200
1570127871,700,237,33.98991,-118.14513,1451,76,1200
