date,club,views
2020-09-12,Arsenal,33516
2020-09-13,Arsenal,17922
2020-09-14,Arsenal,14769
2020-09-15,Arsenal,15256
2020-09-16,Arsenal,16964
2020-09-17,Arsenal,12689
2020-09-18,Arsenal,12173
2020-09-19,Arsenal,19007
2020-09-02,Arsenal,15007
2020-09-21,Arsenal,16303
2020-09-22,Arsenal,13445
2020-09-23,Arsenal,13820
2020-09-24,Arsenal,12606
2020-09-25,Arsenal,10154
2020-09-26,Arsenal,10436
2020-09-27,Arsenal,9982
2020-09-28,Arsenal,17169
2020-09-29,Arsenal,11046
2020-09-03,Arsenal,9311
2020-10-01,Arsenal,12934
2020-10-02,Arsenal,11549
2020-10-03,Arsenal,10179
2020-10-04,Arsenal,15188
2020-10-05,Arsenal,28173
2020-10-06,Arsenal,35792
2020-10-07,Arsenal,15383
2020-10-08,Arsenal,12666
2020-10-09,Arsenal,10021
2020-10-01,Arsenal,8811
2020-10-11,Arsenal,8851
2020-10-12,Arsenal,8495
2020-10-13,Arsenal,9318
2020-10-14,Arsenal,8324
2020-10-15,Arsenal,8141
2020-10-16,Arsenal,8771
2020-10-17,Arsenal,14061
2020-10-18,Arsenal,9274
2020-10-19,Arsenal,7932
2020-10-02,Arsenal,8802
2020-10-21,Arsenal,10494
2020-10-22,Arsenal,12141
2020-10-23,Arsenal,9694
2020-10-24,Arsenal,8454
2020-10-25,Arsenal,12309
2020-10-26,Arsenal,9151
2020-10-27,Arsenal,7461
2020-10-28,Arsenal,6838
2020-10-29,Arsenal,10825
2020-10-03,Arsenal,9267
2020-10-31,Arsenal,6996
2020-11-01,Arsenal,15876
2020-11-02,Arsenal,10558
2020-11-03,Arsenal,7873
2020-11-04,Arsenal,6261
2020-11-05,Arsenal,9390
2020-11-06,Arsenal,7802
2020-11-07,Arsenal,7219
2020-11-08,Arsenal,11670
2020-11-09,Arsenal,8105
2020-11-01,Arsenal,6294
2020-11-11,Arsenal,5739
2020-11-12,Arsenal,5830
2020-11-13,Arsenal,5480
2020-11-14,Arsenal,5072
2020-11-15,Arsenal,5761
2020-11-16,Arsenal,5175
2020-11-17,Arsenal,5297
2020-11-18,Arsenal,5722
2020-11-19,Arsenal,5271
2020-11-02,Arsenal,5461
2020-11-21,Arsenal,6551
2020-11-22,Arsenal,11848
2020-11-23,Arsenal,7881
