clubname,yellow_cards,red_cards,updated
Liverpool,85.0,6.0,2021-03-31 16:54:31.777993
Sheffield United,55.0,3.0,2021-03-31 16:54:31.777993
Newcastle United,54.0,2.0,2021-03-31 16:54:31.777993
Fulham,54.0,3.0,2021-03-31 16:54:31.777993
Aston Villa,51.0,2.0,2021-03-31 16:54:31.777993
Leicester City,50.0,0.0,2021-03-31 16:54:31.777993
Manchester United,48.0,1.0,2021-03-31 16:54:31.777993
Leeds United,45.0,0.0,2021-03-31 16:54:31.777993
Tottenham Hotspur,44.0,2.0,2021-03-31 16:54:31.777993
Wolverhampton Wanderers,44.0,1.0,2021-03-31 16:54:31.777993
Southampton,43.0,2.0,2021-03-31 16:54:31.777993
Arsenal,42.0,5.0,2021-03-31 16:54:31.777993
Crystal Palace,41.0,2.0,2021-03-31 16:54:31.777993
Burnley,39.0,0.0,2021-03-31 16:54:31.777993
West Bromwich Albion,39.0,4.0,2021-03-31 16:54:31.777993
Brighton & Hove Albion,37.0,3.0,2021-03-31 16:54:31.777993
Manchester City,30.0,0.0,2021-03-31 16:54:31.777993
West Ham United,24.0,2.0,2021-03-31 16:54:31.777993
Everton,23.0,0.0,2021-03-31 16:54:31.777993
Chelsea,9.0,0.0,2021-03-31 16:54:31.777993
