state,population,statename,donation_amount_sum,per100k
Alabama,5024279,Alabama,28362.0,564.4989062112196
Alaska,733391,Alaska,20838.0,2841.3220233136212
Arizona,7151502,Arizona,110170.0,1540.5155448463834
Arkansas,3011524,Arkansas,15275.0,507.2182722103493
California,39538223,California,536422.0,1356.7175236985233
Colorado,5773714,Colorado,93347.0,1616.7582945743418
Connecticut,3605944,Connecticut,34643.0,960.7193012426151
Delaware,989948,Delaware,7955.0,803.577561649703
District of Columbia,689545,District of Columbia,3947.0,572.4064419290982
Florida,21538187,Florida,251287.0,1166.7045141728968
Georgia,10711908,Georgia,85029.0,793.7801556921512
Hawaii,1455271,Hawaii,16047.0,1102.681218824535
Idaho,1839106,Idaho,59268.0,3222.6527454099983
Illinois,12812508,Illinois,110773.0,864.5692162689771
Indiana,6785528,Indiana,50521.0,744.5404395943838
Iowa,3190369,Iowa,19526.0,612.0295175887178
Kansas,2937880,Kansas,24572.0,836.3854207796098
Kentucky,4505836,Kentucky,19636.0,435.79038384885735
Louisiana,4657757,Louisiana,20742.0,445.3216430140087
Maine,1362359,Maine,14642.0,1074.753424024064
Maryland,6177224,Maryland,47898.0,775.3968449258114
Massachusetts,7029917,Massachusetts,70526.0,1003.226638379941
Michigan,10077331,Michigan,114545.0,1136.6600938284155
Minnesota,5706494,Minnesota,89497.0,1568.3360045590164
Mississippi,2961279,Mississippi,11047.0,373.04826731962777
Missouri,6154913,Missouri,48523.0,788.3620775793257
Montana,1084225,Montana,25005.0,2306.255620374
Nebraska,1961504,Nebraska,15699.0,800.3552376135863
Nevada,3104614,Nevada,61150.0,1969.6490449376315
New Hampshire,1377529,New Hampshire,28679.0,2081.916242779644
New Jersey,9288994,New Jersey,68912.0,741.8672032730348
New Mexico,2117522,New Mexico,21803.0,1029.646917481849
New York,20201249,New York,151081.0,747.8794999259699
North Carolina,10439388,North Carolina,91331.0,874.8692931041552
North Dakota,779094,North Dakota,16625.0,2133.888850382624
Ohio,11799448,Ohio,88646.0,751.2724324053125
Oklahoma,3959353,Oklahoma,33866.0,855.3417692234059
Oregon,4237256,Oregon,61320.0,1447.1629752840045
Pennsylvania,13002700,Pennsylvania,114282.0,878.9097648949834
Rhode Island,1097379,Rhode Island,8037.0,732.3814288409019
South Carolina,5118425,South Carolina,44102.0,861.632240386447
South Dakota,886667,South Dakota,12266.0,1383.3829385778427
Tennessee,6910840,Tennessee,69557.0,1006.491251425297
Texas,29145505,Texas,309924.0,1063.3680905511847
Utah,3271616,Utah,38600.0,1179.8450673917723
Vermont,643077,Vermont,10562.0,1642.4160714813313
Virginia,8631393,Virginia,82618.0,957.180376330912
Washington,7705281,Washington,177947.0,2309.416100464084
West Virginia,1793716,West Virginia,7702.0,429.38792986180647
Wisconsin,5893718,Wisconsin,53570.0,908.9338851977649
Wyoming,576851,Wyoming,9538.0,1653.4599055908718
Puerto Rico,3285874,Puerto Rico,1465.0,44.58478931328469
