incident_id,incident_date,state,city_or_county,address,no_killed,no_injured,total,year,ap_state,postal_state,full_address
2348384,2022-07-04,Illinois,Highland Park,Central Ave and 2nd St,6,31,37,2022,Ill.,IL,"Central Ave and 2nd St, Highland Park, IL"
2348303,2022-07-03,Arizona,Surprise,W Carlin Dr,3,4,7,2022,Ariz.,AZ,"W Carlin Dr, Surprise, AZ"
2347060,2022-07-02,Texas,Haltom City,5700 block of Diamond Oaks Dr N,3,4,7,2022,Texas,TX,"5700 Diamond Oaks Dr N, Haltom City, TX"
2345144,2022-06-30,Kentucky,Allen,49 N Railroad St,3,5,8,2022,Ky.,KY,"49 N Railroad St, Allen, KY"
2328374,2022-06-12,California,Los Angeles,3300 block of E 14th St,3,4,7,2022,Calif.,CA,"3300 E 14th St, Los Angeles, CA"
2325498,2022-06-09,Maryland,Smithsburg,12912 Bikle Rd,3,3,6,2022,Mass.,MD,"12912 Bikle Rd, Smithsburg, MD"
2323642,2022-06-07,Virginia,Portsmouth,1628 Maple Ave,4,0,4,2022,Va.,VA,"1628 Maple Ave, Portsmouth, VA"
2321772,2022-06-05,Michigan,Saginaw,300 block of S 11th St,3,2,5,2022,Mich.,MI,"300 S 11th St, Saginaw, MI"
2321266,2022-06-04,Pennsylvania,Philadelphia,200 block of South St,3,11,14,2022,Pa.,PA,"200 South St, Philadelphia, PA"
2319567,2022-06-02,Texas,Centerville,1696 TX-7 W,6,0,6,2022,Texas,TX,"1696 TX-7 W, Centerville, TX"
2318310,2022-06-01,Oklahoma,Tulsa,6161 S Yale Ave,5,0,5,2022,Okla.,OK,"6161 S Yale Ave, Tulsa, OK"
2313970,2022-05-27,Michigan,Stanwood,10711 185th Ave,4,1,5,2022,Mich.,MI,"10711 185th Ave, Stanwood, MI"
2310278,2022-05-24,Texas,Uvalde,715 Old Carrizo Rd,22,17,39,2022,Texas,TX,"715 Old Carrizo Rd, Uvalde, TX"
2301751,2022-05-14,New York,Buffalo,1275 Jefferson Ave,10,3,13,2022,N.Y.,NY,"1275 Jefferson Ave, Buffalo, NY"
2297261,2022-05-08,Georgia,Clarkston,6500 block of Old Hampton Dr,3,3,6,2022,Ga.,GA,"6500 Old Hampton Dr, Clarkston, GA"
2288842,2022-04-27,Mississippi,Biloxi,2688 Beach Blvd,4,0,4,2022,Miss.,MS,"2688 Beach Blvd, Biloxi, MS"
2285267,2022-04-21,Arkansas,Mountain View,646 Northcutt Rd,4,0,4,2022,Ark.,AR,"646 Northcutt Rd, Mountain View, AR"
2283535,2022-04-20,Minnesota,Duluth,715 E 12th St,5,0,5,2022,Minn.,MN,"715 E 12th St, Duluth, MN"
2269082,2022-04-03,California,Sacramento,J St and 10th St,6,12,18,2022,Calif.,CA,"J St and 10th St, Sacramento, CA"
2258012,2022-03-19,North Carolina,Fayetteville,1707 Owen Dr,3,3,6,2022,N.C.,NC,"1707 Owen Dr, Fayetteville, NC"
2257316,2022-03-19,Virginia,Norfolk,320 Granby St,3,2,5,2022,Va.,VA,"320 Granby St, Norfolk, VA"
2252719,2022-03-12,Maryland,Baltimore,Gwynn Oak Ave and Liberty Heights Ave,3,1,4,2022,Mass.,MD,"Gwynn Oak Ave and Liberty Heights Ave, Baltimore, MD"
2243861,2022-02-28,California,Sacramento,2041 Wyda Way,5,0,5,2022,Calif.,CA,"2041 Wyda Way, Sacramento, CA"
2227058,2022-02-05,Texas,Corsicana,2919 W 2nd Ave,6,2,8,2022,Texas,TX,"2919 W 2nd Ave, Corsicana, TX"
2222557,2022-01-29,Missouri,Saint Louis,4900 block of Cote Brilliante,3,1,4,2022,Mo.,MO,"4900 Cote Brilliante, Saint Louis, MO"
2217882,2022-01-23,California,Inglewood,1300 block of North Park Ave,4,1,5,2022,Calif.,CA,"1300 North Park Ave, Inglewood, CA"
2218159,2022-01-23,Wisconsin,Milwaukee,2505 N 21st St,6,0,6,2022,Wis.,WI,"2505 N 21st St, Milwaukee, WI"
2215955,2022-01-19,Maryland,Baltimore,E Monument St and N Montford Ave,3,1,4,2022,Mass.,MD,"E Monument St and N Montford Ave, Baltimore, MD"
2201716,2021-12-31,Mississippi,Gulfport,1200 block of Lewis Ave,4,3,7,2021,Miss.,MS,"1200 Lewis Ave, Gulfport, MS"
2201052,2021-12-30,Missouri,Kirksville,700 block of E Dodson St,3,1,4,2021,Mo.,MO,"700 E Dodson St, Kirksville, MO"
2198521,2021-12-27,Colorado,Denver,56 Broadway,6,2,8,2021,Colo.,CO,"56 Broadway, Denver, CO"
2197391,2021-12-26,Texas,Garland,730 W Walnut St,3,1,4,2021,Texas,TX,"730 W Walnut St, Garland, TX"
2181096,2021-12-02,North Carolina,Elizabeth City,Perry St and Jordan St,3,3,6,2021,N.C.,NC,"Perry St and Jordan St, Elizabeth City, NC"
2178487,2021-11-30,Michigan,Oxford,745 N Oxford Rd,4,7,11,2021,Mich.,MI,"745 N Oxford Rd, Oxford, MI"
2179099,2021-11-30,Georgia,Rex,3600 block of Jervis Court,4,2,6,2021,Ga.,GA,"3600 Jervis Court, Rex, GA"
2177416,2021-11-28,California,Lancaster,3500 block of Garnet Lane,5,0,5,2021,Calif.,CA,"3500 Garnet Lane, Lancaster, CA"
2176058,2021-11-26,Tennessee,Nashville,2815 Torbett St,3,4,7,2021,Tenn.,TN,"2815 Torbett St, Nashville, TN"
2166750,2021-11-14,Arizona,Tucson,1655 W Ajo Way,4,1,5,2021,Ariz.,AZ,"1655 W Ajo Way, Tucson, AZ"
2163617,2021-11-09,South Dakota,Scotland,710 2nd St,3,2,5,2021,S.D.,SD,"710 2nd St, Scotland, SD"
2162196,2021-11-08,Texas,Victoria,10700 FM 236,3,1,4,2021,Texas,TX,"10700 FM 236, Victoria, TX"
2158417,2021-11-03,Virginia,Norfolk,821 Whitaker Ln,3,2,5,2021,Va.,VA,"821 Whitaker Ln, Norfolk, VA"
2150274,2021-10-25,Idaho,Boise,350 N Milwaukee St,3,3,6,2021,Idaho,ID,"350 N Milwaukee St, Boise, ID"
2147301,2021-10-21,Washington,Tacoma,4258 Everett St,4,0,4,2021,Wash.,WA,"4258 Everett St, Tacoma, WA"
2147042,2021-10-20,Michigan,Farwell,9539 S Harrison Ave,4,0,4,2021,Mich.,MI,"9539 S Harrison Ave, Farwell, MI"
2145931,2021-10-19,Wisconsin,Kenosha,610 40th Pl,3,2,5,2021,Wis.,WI,"610 40th Pl, Kenosha, WI"
2143605,2021-10-17,Mississippi,Jackson,3243 Medgar Evers Blvd,3,3,6,2021,Miss.,MS,"3243 Medgar Evers Blvd, Jackson, MS"
2139674,2021-10-12,Mississippi,Meridian,2000 block of 17th St,3,1,4,2021,Miss.,MS,"2000 17th St, Meridian, MS"
