Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,total
946496,1-Oct-17,Nevada,Las Vegas,3950 Las Vegas Blvd S,59,441,500
577157,12-Jun-16,Florida,Orlando,1912 S Orange Ave,50,53,103
980577,5-Nov-17,Texas,Sutherland Springs,216 4th St,27,20,47
1466705,3-Aug-19,Texas,El Paso,7101 Gateway Blvd,23,23,46
456893,2-Dec-15,California,San Bernardino,1365 South Waterman Ave,16,19,35
1049217,14-Feb-18,Florida,Pompano Beach (Parkland),5901 Pine Island Rd,17,17,34
1492441,31-Aug-19,Texas,Odessa,8250 TX 191,8,23,31
1119336,14-Dec-12,Connecticut,Sandy Hook,12 Dickenson Dr,28,2,30
2257739,19-Mar-22,Arkansas,Dumas,611 Highway 65 S,1,26,27
1467828,4-Aug-19,Ohio,Dayton,419 E 5th St,10,17,27
341622,17-May-15,Texas,Waco,4671 S Jack Kultgen Fwy,9,18,27
2310278,24-May-22,Texas,Uvalde,715 Old Carrizo Rd,20,6,26
879953,1-Jul-17,Arkansas,Little Rock,220 W 6th St,0,25,25
2019622,30-May-21,Florida,Hialeah,7630 NW 186th St,3,20,23
1118785,18-May-18,Texas,Santa Fe,16000 Hwy 6,10,13,23
1758966,9-Aug-20,District of Columbia,Washington,3300 block of Dubois Pl SE,1,21,22
1460448,28-Jul-19,California,Gilroy,7050 Miller Ave,4,17,21
611479,25-Jul-16,Florida,Fort Myers,3580 Evans Ave,2,19,21
1142789,17-Jun-18,New Jersey,Trenton,635 S Clinton Ave,1,19,20
121031,2-Apr-14,Texas,Fort Hood,Motor Pool Road and Tank Destroyer Boulevard,4,16,20
1635750,7-Mar-20,Ohio,Cleveland,3804 E 93rd St,1,18,19
423223,1-Oct-15,Oregon,Roseburg,1140 Umpqua College Rd,10,9,19
486209,12-May-13,Louisiana,New Orleans,1400 block of Frenchmen St,0,19,19
2269082,3-Apr-22,California,Sacramento,J St and 10th St,6,12,18
1241819,27-Oct-18,Pennsylvania,Pittsburgh,5898 Wilkins Ave,11,7,18
987611,14-Nov-17,California,Corning,17357 Stagecoach Rd,6,12,18
511436,25-Feb-16,Kansas,Hesston,200 S Ridge Rd,4,14,18
493842,9-Nov-13,Texas,Cypress,7300 block of Enchanted Creek Drive,2,16,18
2301494,13-May-22,Wisconsin,Milwaukee,Water St and Juneau Ave,0,17,17
