FY,Area,Legend,Rate
2019/2020,00001,GENERAL,1.0000
2019/2020,10511,COMMNTY COLLEGE,0.0295
2019/2020,01102,COMMNTY COLLEGE,0.0272
2019/2020,11549,COMMNTY COLLEGE,0.0478
2019/2020,01213,COUNTY,0.0000
2019/2020,12634,COUNTY,0.0000
2019/2020,13164,GENERAL,1.0000
2019/2020,13556,COMMNTY COLLEGE,0.0469
2019/2020,13917,GENERAL,1.0000
2019/2020,14294,SPECIAL WATER,0.0705
2019/2020,01463,GENERAL,1.0000
2019/2020,14965,COUNTY,0.0000
2019/2020,15233,COUNTY,0.0000
2019/2020,15493,COMMNTY COLLEGE,0.0257
2019/2020,15734,COUNTY,0.0000
2019/2020,16079,UNIFIED SCHOOLS,0.1402
2019/2020,16321,GENERAL,1.0000
2019/2020,01658,UNIFIED SCHOOLS,0.1255
2019/2020,16811,UNIFIED SCHOOLS,0.0787
2019/2020,01902,GENERAL,1.0000
2019/2020,02113,GENERAL,1.0000
2019/2020,02341,CITY-CLAREMONT,0.0085
2019/2020,02559,GENERAL,1.0000
2019/2020,02739,COUNTY,0.0000
2019/2020,00292,UNIFIED SCHOOLS,0.1255
2019/2020,03101,CITY-WEST COVINA,0.0000
2019/2020,03281,COUNTY,0.0000
2019/2020,03453,GENERAL,1.0000
2019/2020,03608,GENERAL,1.0000
2019/2020,00377,UNIFIED SCHOOLS,0.1255
2019/2020,03987,COMMNTY COLLEGE,0.0272
2019/2020,04146,METRO WATER DIST,0.0035
2019/2020,04305,METRO WATER DIST,0.0035
2019/2020,04473,UNIFIED SCHOOLS,0.0825
2019/2020,04655,GENERAL,1.0000
2019/2020,04893,GENERAL,1.0000
2019/2020,05061,CITY-LA VERNE,0.0000
2019/2020,05240,ELEM SCHOOLS,0.0653
2019/2020,05429,COMMNTY COLLEGE,0.0478
2019/2020,05580,COMMNTY COLLEGE,0.0631
2019/2020,05728,METRO WATER DIST,0.0035
2019/2020,05897,SPECIAL WATER,0.0705
2019/2020,06006,METRO WATER DIST,0.0035
2019/2020,06174,COUNTY,0.0000
2019/2020,06316,COMMNTY COLLEGE,0.0272
2019/2020,06434,GENERAL,1.0000
2019/2020,06559,HIGH SCHOOLS,0.1097
2019/2020,06688,WATER DISTRICT,0.2182
2019/2020,06827,SPECIAL WATER,0.0706
2019/2020,06936,COUNTY,0.0000
2019/2020,07059,GENERAL,1.0000
2019/2020,07212,CITY-LONG BEACH,0.0000
2019/2020,07358,COMMNTY COLLEGE,0.0469
2019/2020,00075,CITY-CARSON,0.0000
2019/2020,00763,UNIFIED SCHOOLS,0.1255
2019/2020,07737,COUNTY,0.0000
2019/2020,07822,ELEM SCHOOLS,0.0071
2019/2020,07963,CITY-PICO RIVERA,0.0000
2019/2020,08042,UNIFIED SCHOOLS,0.1076
2019/2020,08103,COMMNTY COLLEGE,0.0272
2019/2020,08178,METRO WATER DIST,0.0035
2019/2020,08239,GENERAL,1.0000
2019/2020,08287,COMMNTY COLLEGE,0.0478
2019/2020,08342,COUNTY,0.0000
2019/2020,08395,METRO WATER DIST,0.0035
2019/2020,08435,UNIFIED SCHOOLS,0.1076
2019/2020,08485,COMMNTY COLLEGE,0.0272
2019/2020,08537,COMMNTY COLLEGE,0.0478
2019/2020,08537,COUNTY,0.0000
2019/2020,08537,GENERAL,1.0000
2019/2020,08537,METRO WATER DIST,0.0035
2019/2020,08537,UNIFIED SCHOOLS,0.0954
2019/2020,08538,CITY AZUSA,0.0000
2019/2020,08538,COMMNTY COLLEGE,0.0217
2019/2020,08538,COUNTY,0.0000
2019/2020,08538,GENERAL,1.0000
2019/2020,08538,MUNICIPAL WATER,0.0300
2019/2020,08538,UNIFIED SCHOOLS,0.1142
2019/2020,08539,CITY-WALNUT,0.0000
2019/2020,08539,COMMNTY COLLEGE,0.0478
2019/2020,08539,COUNTY,0.0000
2019/2020,08539,GENERAL,1.0000
2019/2020,08539,METRO WATER DIST,0.0035
2019/2020,08539,UNIFIED SCHOOLS,0.0954
2019/2020,08540,CITY-SAN MARINO,0.0000
2019/2020,08540,COMMNTY COLLEGE,0.0072
2019/2020,08540,COUNTY,0.0000
2019/2020,08540,GENERAL,1.0000
2019/2020,08540,METRO WATER DIST,0.0035
2019/2020,08540,UNIFIED SCHOOLS,0.0669
2019/2020,08541,CITY-SAN MARINO,0.0000
2019/2020,08541,COMMNTY COLLEGE,0.0072
2019/2020,08541,COUNTY,0.0000
2019/2020,08541,GENERAL,1.0000
2019/2020,08541,METRO WATER DIST,0.0035
2019/2020,08541,UNIFIED SCHOOLS,0.0669
2019/2020,08542,CITY-SAN MARINO,0.0000
2019/2020,08542,COMMNTY COLLEGE,0.0072
2019/2020,08542,COUNTY,0.0000
2019/2020,08542,GENERAL,1.0000
2019/2020,08542,METRO WATER DIST,0.0035
2019/2020,08542,UNIFIED SCHOOLS,0.0669
2019/2020,08543,CITY-SAN MARINO,0.0000
2019/2020,08543,COMMNTY COLLEGE,0.0072
2019/2020,08543,COUNTY,0.0000
2019/2020,08543,GENERAL,1.0000
2019/2020,08543,METRO WATER DIST,0.0035
2019/2020,08543,UNIFIED SCHOOLS,0.0669
2019/2020,08544,COMMNTY COLLEGE,0.0295
2019/2020,08544,COUNTY,0.0000
2019/2020,08544,ELEM SCHOOLS,0.0071
2019/2020,08544,GENERAL,1.0000
2019/2020,08544,HIGH SCHOOLS,0.0549
2019/2020,08544,SPECIAL WATER,0.0706
2019/2020,08545,CITY-LANCASTER,0.0000
2019/2020,08545,COMMNTY COLLEGE,0.0472
2019/2020,08545,COUNTY,0.0000
2019/2020,08545,ELEM SCHOOLS,0.0586
2019/2020,10511,COUNTY,0.0000
2019/2020,10511,ELEM SCHOOLS,0.0198
2019/2020,10511,GENERAL,1.0000
2019/2020,10511,HIGH SCHOOLS,0.0549
2019/2020,10511,SPECIAL WATER,0.0706
2019/2020,10519,COMMNTY COLLEGE,0.0272
2019/2020,10519,COUNTY,0.0000
2019/2020,10519,GENERAL,1.0000
2019/2020,10519,SPECIAL WATER,0.0706
2019/2020,10519,UNIFIED SCHOOLS,0.1255
2019/2020,01052,CITY-CARSON,0.0000
2019/2020,01052,COMMNTY COLLEGE,0.0272
2019/2020,01052,COUNTY,0.0000
2019/2020,01052,GENERAL,1.0000
2019/2020,01052,METRO WATER DIST,0.0035
2019/2020,01052,UNIFIED SCHOOLS,0.1255
2019/2020,10520,COMMNTY COLLEGE,0.0272
2019/2020,10520,COUNTY,0.0000
2019/2020,10520,GENERAL,1.0000
2019/2020,10520,UNIFIED SCHOOLS,0.1255
2019/2020,10522,COMMNTY COLLEGE,0.0295
2019/2020,10522,COUNTY,0.0000
2019/2020,10522,ELEM SCHOOLS,0.0071
2019/2020,10522,GENERAL,1.0000
2019/2020,10522,HIGH SCHOOLS,0.0549
2019/2020,10522,SPECIAL WATER,0.0706
2019/2020,10523,COMMNTY COLLEGE,0.0295
2019/2020,10523,COUNTY,0.0000
2019/2020,10523,ELEM SCHOOLS,0.0071
2019/2020,10523,GENERAL,1.0000
2019/2020,10523,HIGH SCHOOLS,0.0549
2019/2020,10523,SPECIAL WATER,0.0706
2019/2020,10524,COMMNTY COLLEGE,0.0295
2019/2020,10524,COUNTY,0.0000
2019/2020,10524,ELEM SCHOOLS,0.0071
2019/2020,10524,GENERAL,1.0000
2019/2020,10524,HIGH SCHOOLS,0.0549
2019/2020,10524,SPECIAL WATER,0.0706
2019/2020,10526,COMMNTY COLLEGE,0.0295
2019/2020,10526,COUNTY,0.0000
2019/2020,10526,ELEM SCHOOLS,0.0071
2019/2020,10526,GENERAL,1.0000
2019/2020,10526,HIGH SCHOOLS,0.0549
2019/2020,10526,SPECIAL WATER,0.0706
2019/2020,10527,COMMNTY COLLEGE,0.0295
2019/2020,10527,COUNTY,0.0000
2019/2020,10527,ELEM SCHOOLS,0.0071
2019/2020,10527,GENERAL,1.0000
2019/2020,10527,HIGH SCHOOLS,0.0549
2019/2020,10527,SPECIAL WATER,0.0706
2019/2020,01053,CITY-COMMERCE,0.0000
2019/2020,01053,COMMNTY COLLEGE,0.0272
2019/2020,01053,COUNTY,0.0000
2019/2020,01053,GENERAL,1.0000
2019/2020,01053,METRO WATER DIST,0.0035
2019/2020,01053,UNIFIED SCHOOLS,0.1255
2019/2020,10534,COMMNTY COLLEGE,0.0295
2019/2020,10534,COUNTY,0.0000
2019/2020,10534,ELEM SCHOOLS,0.0071
2019/2020,10534,GENERAL,1.0000
2019/2020,10534,HIGH SCHOOLS,0.0549
2019/2020,10534,SPECIAL WATER,0.0706
2019/2020,10535,COMMNTY COLLEGE,0.0295
2019/2020,10535,COUNTY,0.0000
2019/2020,10535,ELEM SCHOOLS,0.0388
2019/2020,10535,GENERAL,1.0000
2019/2020,10535,HIGH SCHOOLS,0.0549
2019/2020,10535,SPECIAL WATER,0.0706
2019/2020,10536,COMMNTY COLLEGE,0.0295
2019/2020,10536,COUNTY,0.0000
2019/2020,10536,ELEM SCHOOLS,0.0388
2019/2020,10536,GENERAL,1.0000
2019/2020,10536,HIGH SCHOOLS,0.0549
2019/2020,10536,SPECIAL WATER,0.0706
2019/2020,01054,CITY-CARSON,0.0000
2019/2020,01054,COMMNTY COLLEGE,0.0272
2019/2020,01054,COUNTY,0.0000
2019/2020,01054,GENERAL,1.0000
2019/2020,01054,METRO WATER DIST,0.0035
2019/2020,01054,UNIFIED SCHOOLS,0.1255
2019/2020,10541,COMMNTY COLLEGE,0.0257
2019/2020,10541,COUNTY,0.0000
2019/2020,10541,ELEM SCHOOLS,0.0843
2019/2020,10541,GENERAL,1.0000
2019/2020,10541,HIGH SCHOOLS,0.0550
2019/2020,10541,METRO WATER DIST,0.0035
2019/2020,10542,COMMNTY COLLEGE,0.0257
2019/2020,10542,COUNTY,0.0000
2019/2020,10542,ELEM SCHOOLS,0.0510
2019/2020,10542,GENERAL,1.0000
2019/2020,10542,HIGH SCHOOLS,0.0550
2019/2020,10542,METRO WATER DIST,0.0035
2019/2020,10543,COMMNTY COLLEGE,0.0257
2019/2020,10543,COUNTY,0.0000
2019/2020,10543,ELEM SCHOOLS,0.0510
2019/2020,10543,GENERAL,1.0000
2019/2020,10543,HIGH SCHOOLS,0.0550
2019/2020,10543,METRO WATER DIST,0.0035
2019/2020,01102,COUNTY,0.0000
2019/2020,01102,GENERAL,1.0000
2019/2020,01102,METRO WATER DIST,0.0035
2019/2020,01102,UNIFIED SCHOOLS,0.1255
2019/2020,11020,CITY-CALABASAS T,0.0000
2019/2020,11020,COMMNTY COLLEGE,0.0272
2019/2020,11020,COUNTY,0.0000
2019/2020,11020,GENERAL,1.0000
2019/2020,11020,METRO WATER DIST,0.0035
2019/2020,11020,UNIFIED SCHOOLS,0.0756
2019/2020,11021,CITY-CALABASAS T,0.0000
2019/2020,11021,COMMNTY COLLEGE,0.0272
2019/2020,11021,COUNTY,0.0000
2019/2020,11021,GENERAL,1.0000
2019/2020,11021,METRO WATER DIST,0.0035
2019/2020,11021,UNIFIED SCHOOLS,0.0756
2019/2020,11022,CITY-CALABASAS T,0.0000
2019/2020,11022,COMMNTY COLLEGE,0.0272
2019/2020,11022,COUNTY,0.0000
2019/2020,11022,GENERAL,1.0000
2019/2020,11022,METRO WATER DIST,0.0035
2019/2020,11022,UNIFIED SCHOOLS,0.0756
2019/2020,11023,CITY-CALABASAS T,0.0000
2019/2020,11023,COMMNTY COLLEGE,0.0272
2019/2020,11023,COUNTY,0.0000
2019/2020,11023,GENERAL,1.0000
2019/2020,11023,METRO WATER DIST,0.0035
2019/2020,11023,UNIFIED SCHOOLS,0.0756
2019/2020,11025,CITY-CALABASAS T,0.0000
2019/2020,11025,COMMNTY COLLEGE,0.0272
2019/2020,11025,COUNTY,0.0000
2019/2020,11025,GENERAL,1.0000
2019/2020,11025,METRO WATER DIST,0.0035
2019/2020,11025,UNIFIED SCHOOLS,0.0756
2019/2020,11026,CITY-CALABASAS T,0.0000
2019/2020,11026,COMMNTY COLLEGE,0.0272
2019/2020,11026,COUNTY,0.0000
2019/2020,11026,GENERAL,1.0000
2019/2020,11026,METRO WATER DIST,0.0035
2019/2020,11026,UNIFIED SCHOOLS,0.0756
2019/2020,11027,CITY-CALABASAS T,0.0000
2019/2020,11027,COMMNTY COLLEGE,0.0272
2019/2020,11027,COUNTY,0.0000
2019/2020,11027,GENERAL,1.0000
2019/2020,11027,METRO WATER DIST,0.0035
2019/2020,11027,UNIFIED SCHOOLS,0.0756
2019/2020,11028,CITY-CALABASAS T,0.0000
2019/2020,11028,COMMNTY COLLEGE,0.0272
2019/2020,11028,COUNTY,0.0000
2019/2020,11028,GENERAL,1.0000
2019/2020,11028,METRO WATER DIST,0.0035
2019/2020,11028,UNIFIED SCHOOLS,0.0756
2019/2020,11029,CITY-CALABASAS T,0.0000
2019/2020,11029,COMMNTY COLLEGE,0.0272
2019/2020,11029,COUNTY,0.0000
2019/2020,11029,GENERAL,1.0000
2019/2020,11029,METRO WATER DIST,0.0035
2019/2020,11029,UNIFIED SCHOOLS,0.0756
2019/2020,01103,COMMNTY COLLEGE,0.0272
2019/2020,01103,COUNTY,0.0000
2019/2020,01103,GENERAL,1.0000
2019/2020,01103,METRO WATER DIST,0.0035
