,generalcommodity,datetime,tons
0,Refuse,2016-01-02,3372.0
1,Refuse,2016-01-03,36.0
2,Refuse,2016-01-04,3366.0
3,Refuse,2016-01-05,3543.0
4,Refuse,2016-01-06,3461.0
5,Refuse,2016-01-07,3340.0
6,Refuse,2016-01-08,3149.0
7,Refuse,2016-01-09,30.0
8,Refuse,2016-01-10,43.0
9,Refuse,2016-01-11,3429.0
10,Refuse,2016-01-12,3585.0
11,Refuse,2016-01-13,3423.0
12,Refuse,2016-01-14,3158.0
13,Refuse,2016-01-15,3178.0
14,Refuse,2016-01-16,33.0
15,Refuse,2016-01-17,40.0
16,Refuse,2016-01-18,3338.0
17,Refuse,2016-01-19,3356.0
18,Refuse,2016-01-20,3096.0
19,Refuse,2016-01-21,3042.0
20,Refuse,2016-01-22,2991.0
21,Refuse,2016-01-23,30.0
22,Refuse,2016-01-24,28.0
23,Refuse,2016-01-25,3431.0
24,Refuse,2016-01-26,3276.0
25,Refuse,2016-01-27,3086.0
26,Refuse,2016-01-28,2984.0
27,Refuse,2016-01-29,3041.0
28,Refuse,2016-01-30,30.0
29,Refuse,2016-01-31,20.0
30,Refuse,2016-02-01,3255.0
31,Refuse,2016-02-02,3104.0
32,Refuse,2016-02-03,3063.0
33,Refuse,2016-02-04,2970.0
34,Refuse,2016-02-05,3047.0
35,Refuse,2016-02-06,30.0
36,Refuse,2016-02-07,41.0
37,Refuse,2016-02-08,2765.0
38,Refuse,2016-02-09,3505.0
39,Refuse,2016-02-10,3131.0
40,Refuse,2016-02-11,2894.0
41,Refuse,2016-02-12,3112.0
42,Refuse,2016-02-13,34.0
43,Refuse,2016-02-14,22.0
44,Refuse,2016-02-15,3171.0
45,Refuse,2016-02-16,3128.0
46,Refuse,2016-02-17,3008.0
47,Refuse,2016-02-18,2914.0
48,Refuse,2016-02-19,2932.0
49,Refuse,2016-02-20,31.0
50,Refuse,2016-02-21,35.0
51,Refuse,2016-02-22,3425.0
52,Refuse,2016-02-23,3340.0
53,Refuse,2016-02-24,3272.0
54,Refuse,2016-02-25,3135.0
55,Refuse,2016-02-26,3024.0
56,Refuse,2016-02-27,53.0
57,Refuse,2016-02-28,29.0
58,Refuse,2016-02-29,3450.0
59,Refuse,2016-03-01,3316.0
60,Refuse,2016-03-02,3060.0
61,Refuse,2016-03-03,3132.0
62,Refuse,2016-03-04,3022.0
63,Refuse,2016-03-05,24.0
64,Refuse,2016-03-06,28.0
65,Refuse,2016-03-07,3115.0
66,Refuse,2016-03-08,3613.0
67,Refuse,2016-03-09,3498.0
68,Refuse,2016-03-10,3152.0
69,Refuse,2016-03-11,3166.0
70,Refuse,2016-03-12,16.0
71,Refuse,2016-03-13,9.0
72,Refuse,2016-03-14,3644.0
73,Refuse,2016-03-15,3534.0
74,Refuse,2016-03-16,3217.0
75,Refuse,2016-03-17,3172.0
76,Refuse,2016-03-18,3278.0
77,Refuse,2016-03-19,33.0
78,Refuse,2016-03-20,38.0
79,Refuse,2016-03-21,3543.0
80,Refuse,2016-03-22,3388.0
81,Refuse,2016-03-23,3226.0
82,Refuse,2016-03-24,3029.0
83,Refuse,2016-03-25,3101.0
84,Refuse,2016-03-26,40.0
85,Refuse,2016-03-27,33.0
86,Refuse,2016-03-28,3779.0
87,Refuse,2016-03-29,3298.0
88,Refuse,2016-03-30,3290.0
89,Refuse,2016-03-31,3101.0
90,Refuse,2016-04-01,3110.0
91,Refuse,2016-04-02,41.0
92,Refuse,2016-04-03,35.0
93,Refuse,2016-04-04,3561.0
94,Refuse,2016-04-05,3469.0
95,Refuse,2016-04-06,3154.0
96,Refuse,2016-04-07,3100.0
97,Refuse,2016-04-08,3078.0
98,Refuse,2016-04-09,39.0
99,Refuse,2016-04-10,37.0
100,Refuse,2016-04-11,3510.0
101,Refuse,2016-04-12,3373.0
102,Refuse,2016-04-13,3257.0
103,Refuse,2016-04-14,2975.0
104,Refuse,2016-04-15,2665.0
105,Refuse,2016-04-16,38.0
106,Refuse,2016-04-17,47.0
107,Refuse,2016-04-18,3753.0
108,Refuse,2016-04-19,3499.0
109,Refuse,2016-04-20,3278.0
110,Refuse,2016-04-21,3070.0
111,Refuse,2016-04-22,3146.0
112,Refuse,2016-04-23,48.0
113,Refuse,2016-04-24,40.0
114,Refuse,2016-04-25,3624.0
115,Refuse,2016-04-26,3420.0
116,Refuse,2016-04-27,3350.0
117,Refuse,2016-04-28,3142.0
118,Refuse,2016-04-29,3120.0
119,Refuse,2016-04-30,16.0
120,Refuse,2016-05-01,36.0
121,Refuse,2016-05-02,3587.0
122,Refuse,2016-05-03,3578.0
123,Refuse,2016-05-04,3307.0
124,Refuse,2016-05-05,3154.0
125,Refuse,2016-05-06,3198.0
126,Refuse,2016-05-07,56.0
127,Refuse,2016-05-08,40.0
128,Refuse,2016-05-09,3400.0
129,Refuse,2016-05-10,3404.0
130,Refuse,2016-05-11,3315.0
131,Refuse,2016-05-12,2917.0
132,Refuse,2016-05-13,3383.0
133,Refuse,2016-05-14,37.0
134,Refuse,2016-05-15,44.0
135,Refuse,2016-05-16,3474.0
136,Refuse,2016-05-17,3528.0
137,Refuse,2016-05-18,3357.0
138,Refuse,2016-05-19,3062.0
139,Refuse,2016-05-20,3239.0
140,Refuse,2016-05-21,40.0
141,Refuse,2016-05-22,51.0
142,Refuse,2016-05-23,3590.0
143,Refuse,2016-05-24,3499.0
144,Refuse,2016-05-25,3428.0
145,Refuse,2016-05-26,3149.0
146,Refuse,2016-05-27,3045.0
147,Refuse,2016-05-28,51.0
148,Refuse,2016-05-29,37.0
149,Refuse,2016-05-30,3495.0
150,Refuse,2016-05-31,3128.0
151,Refuse,2016-06-01,3292.0
152,Refuse,2016-06-02,3143.0
153,Refuse,2016-06-03,3132.0
154,Refuse,2016-06-04,42.0
155,Refuse,2016-06-05,45.0
156,Refuse,2016-06-06,3776.0
157,Refuse,2016-06-07,3558.0
158,Refuse,2016-06-08,3582.0
159,Refuse,2016-06-09,3147.0
160,Refuse,2016-06-10,3492.0
161,Refuse,2016-06-11,42.0
162,Refuse,2016-06-12,46.0
163,Refuse,2016-06-13,3517.0
164,Refuse,2016-06-14,3400.0
165,Refuse,2016-06-15,3410.0
166,Refuse,2016-06-16,3127.0
167,Refuse,2016-06-17,3095.0
168,Refuse,2016-06-18,46.0
169,Refuse,2016-06-19,32.0
170,Refuse,2016-06-20,3565.0
171,Refuse,2016-06-21,3305.0
172,Refuse,2016-06-22,3280.0
173,Refuse,2016-06-23,3124.0
174,Refuse,2016-06-24,3375.0
175,Refuse,2016-06-25,45.0
176,Refuse,2016-06-26,37.0
177,Refuse,2016-06-27,3585.0
178,Refuse,2016-06-28,3560.0
179,Refuse,2016-06-29,3384.0
180,Refuse,2016-06-30,3091.0
181,Refuse,2016-07-01,3215.0
182,Refuse,2016-07-02,39.0
183,Refuse,2016-07-03,29.0
184,Refuse,2016-07-04,76.0
185,Refuse,2016-07-05,3942.0
186,Refuse,2016-07-06,3941.0
187,Refuse,2016-07-07,3673.0
188,Refuse,2016-07-08,3607.0
189,Refuse,2016-07-09,3543.0
190,Refuse,2016-07-10,35.0
191,Refuse,2016-07-11,3455.0
