record_id,date_reported,date_occurred,time_occurred,division,division_name,reporting_district,part_type,crime_code,crime_code_description,modus_operandi_code,victim_age,victim_sex,victim_descent,premises_code,premises_description,weapon_code,weapon_description,status_code,status_code_description,crm_cd_1,crm_cd_2,crm_cd_3,crm_cd_4,address,cross_street,latitude,longitude,division,year,quarter,day,month,weekday,monthname,descent_description,hour,minute
200405562,2020-02-10,2020-02-10,0200,4.0,Hollenbeck,449,1,110,Criminal homicide,0913 1100 1402 0430 1820 0302 1309 0906,29,male,H,501,Single family dwelling,109.0,Semi-automatic pistol,AA,adult_arrest,110,nan,,,2600    MARENGO                      ST,,34.0545,-118.1992,,2020,1,10,2,0,February,hispanic,02,00
200407038,2020-03-17,2020-03-17,0905,4.0,Hollenbeck,478,1,110,Criminal homicide,0302 0334 0430 0202 0906 1100 2004 1407 1822 0341,26,male,H,102,Sidewalk,109.0,Semi-automatic pistol,AA,adult_arrest,110,998,,,900    GRANDE VISTA                 AV,,34.028,-118.2048,,2020,1,17,3,1,March,hispanic,09,05
200401071,2020-09-26,2020-09-26,0900,4.0,Hollenbeck,453,1,110,Criminal homicide,1822 0400 0416 0429 1202,62,male,H,101,Street,400.0,"Strong-arm (hands, fist, feet or bodily force)",IC,invest_cont,110,nan,,,1800    PENNSYLVANIA                 AV,,34.0475,-118.2169,,2020,3,26,9,5,September,hispanic,09,00
200407880,2020-04-16,2020-04-15,2259,4.0,Hollenbeck,466,1,110,Criminal homicide,1402 1407 0946 1270 1809 1822 1100 0906 0430,45,male,H,108,Parking lot,102.0,Hand gun,AA,adult_arrest,110,998,,,2800 E  CESAR E CHAVEZ               AV,,34.0445,-118.2025,,2020,2,15,4,2,April,hispanic,22,59
200408872,2020-05-15,2020-05-15,0710,4.0,Hollenbeck,453,1,110,Criminal homicide,0906 1822 1100 0430 0334 1407 0302,40,male,H,109,Park/playground,102.0,Hand gun,IC,invest_cont,110,998,,,700    ECHANDIA                     ST,,34.0542,-118.2172,,2020,2,15,5,4,May,hispanic,07,10
200410897,2020-07-18,2020-07-18,1212,4.0,Hollenbeck,479,1,110,Criminal homicide,1816 0430 1402 1407 0906 1218 2004 1100 0913 1817,55,male,H,502,"Multi-unit dwelling (apartment, duplex, etc)",102.0,Hand gun,AA,adult_arrest,110,nan,,,3700    WHITTIER                     BL,,34.0244,-118.1934,,2020,3,18,7,5,July,hispanic,12,12
200412535,2020-09-07,2020-09-07,2120,4.0,Hollenbeck,459,1,110,Criminal homicide,0430 1100 1407 1402 0907 0913 1817,31,male,H,102,Sidewalk,102.0,Hand gun,IC,invest_cont,110,nan,,,3200    WINTER                       ST,,34.0451,-118.1925,,2020,3,7,9,0,September,hispanic,21,20
200407715,2020-04-09,2020-04-09,1955,4.0,Hollenbeck,459,1,110,Criminal homicide,1407 1822 1100 0430 0305,44,male,H,102,Sidewalk,109.0,Semi-automatic pistol,IC,invest_cont,110,998,,,400 N  EVERGREEN                    AV,,34.0436,-118.2004,,2020,2,9,4,3,April,hispanic,19,55
200409680,2020-06-10,2020-06-10,1935,4.0,Hollenbeck,499,1,110,Criminal homicide,0430 1100 0906 1402 0913 1817,36,male,H,102,Sidewalk,102.0,Hand gun,AA,adult_arrest,110,998,,,1200    LOS PALOS                    ST,,34.0189,-118.1954,,2020,2,10,6,2,June,hispanic,19,35
200413365,2020-10-02,2020-10-01,2200,4.0,Hollenbeck,404,1,110,Criminal homicide,1402 1100 0430 1822 0906 0305,37,male,H,101,Street,106.0,Unknown firearm,IC,invest_cont,110,nan,,,6700    MARMION                      WY,,34.1106,-118.1794,,2020,4,1,10,3,October,hispanic,22,00
200409822,2020-06-15,2020-06-15,2110,4.0,Hollenbeck,407,1,110,Criminal homicide,0906 1100 0430 1822 1407 1402,38,male,H,108,Parking lot,109.0,Semi-automatic pistol,IC,invest_cont,110,998,,,3800    MONTEREY                     RD,,34.0907,-118.18799999999999,,2020,2,15,6,0,June,hispanic,21,10
200409237,2020-05-26,2020-05-25,1300,4.0,Hollenbeck,491,1,110,Criminal homicide,1501 0400 1218 1822 0430 1100,27,female,H,710,Other premise,500.0,Unknown weapon/other weapon,IC,invest_cont,110,nan,,,1500    RIO VISTA                    AV,,34.0234,-118.2229,,2020,2,25,5,0,May,hispanic,13,00
200405639,2020-02-12,2020-02-12,0753,4.0,Hollenbeck,404,1,110,Criminal homicide,1100 0430 1218 1822 0906,54,male,H,109,Park/playground,106.0,Unknown firearm,IC,invest_cont,110,nan,,,5500    VIA MARISOL,,34.1045,-118.185,,2020,1,12,2,2,February,hispanic,07,53
200412359,2020-09-01,2020-09-01,0235,4.0,Hollenbeck,438,1,110,Criminal homicide,0906 1100 0430 1822 1407 1402,35,male,H,152,Underpass/bridge*,102.0,Hand gun,IC,invest_cont,110,nan,,,ALHAMBRA                     AV,VALLEY                       BL,34.0757,-118.1711,,2020,3,1,9,1,September,hispanic,02,35
200409502,2020-06-04,2020-06-04,2210,4.0,Hollenbeck,466,1,110,Criminal homicide,0430 1402 0906 1100 1822,24,male,H,101,Street,109.0,Semi-automatic pistol,AA,adult_arrest,110,998,,,200 N  SOTO                         ST,,34.0453,-118.2088,,2020,2,4,6,3,June,hispanic,22,10
210404049,2021-01-02,2021-01-02,1530,4.0,Hollenbeck,453,1,110,Criminal homicide,0906 1822 0430 1402 1100,15,male,H,107,Vacant lot,102.0,Hand gun,IC,invest_cont,110,998,,,600    ECHANDIA                     ST,,34.0527,-118.2183,,2021,1,2,1,5,January,hispanic,15,30
200401042,2020-09-13,2020-09-13,2020,4.0,Hollenbeck,449,1,110,Criminal homicide,0906 1822 1100 0430 1407,36,male,H,101,Street,102.0,Hand gun,IC,invest_cont,110,998,,,MARENGO,FICKETT,34.0544,-118.2007,,2020,3,13,9,6,September,hispanic,20,20
200413210,2020-09-27,2020-09-27,0930,4.0,Hollenbeck,491,1,110,Criminal homicide,1100 0430 1218 1822 1402,50,male,H,116,Other/outside,102.0,Hand gun,IC,invest_cont,110,998,,,2500 E  OLYMPIC                      BL,,34.0254,-118.2227,,2020,3,27,9,6,September,hispanic,09,30
200413477,2020-10-05,2020-10-05,0150,4.0,Hollenbeck,478,1,110,Criminal homicide,1402 0906 1100 1822 0430,29,male,H,101,Street,109.0,Semi-automatic pistol,IC,invest_cont,110,998,,,600    SPENCE                       ST,,34.0285,-118.2031,,2020,4,5,10,0,October,hispanic,01,50
200410989,2020-07-20,2020-07-20,2230,4.0,Hollenbeck,499,1,110,Criminal homicide,1100 0430 0906 1270 1822 1402 1419,34,male,W,101,Street,106.0,Unknown firearm,IC,invest_cont,110,998,,,BESWICK,CALZONA                      ST,34.0205,-118.1957,,2020,3,20,7,0,July,white,22,30
200413189,2020-09-27,2020-09-27,0025,4.0,Hollenbeck,403,1,110,Criminal homicide,1218 1100 0430 0906 1822,34,male,H,101,Street,102.0,Hand gun,IC,invest_cont,110,nan,,,4600    GRIFFIN                      AV,,34.1002,-118.2008,,2020,3,27,9,6,September,hispanic,00,25
210406499,2021-03-10,2021-03-10,1230,4.0,Hollenbeck,438,1,110,Criminal homicide,1100 1822 0906 0430 1270 1402,46,male,H,101,Street,102.0,Hand gun,IC,invest_cont,110,998,,,2400 N  EASTERN                      AV,,34.0728,-118.1804,,2021,1,10,3,2,March,hispanic,12,30
200415689,2020-12-07,2020-12-07,0849,4.0,Hollenbeck,411,1,110,Criminal homicide,0906 1100 0430 1218 1822,50,male,H,102,Sidewalk,102.0,Hand gun,IC,invest_cont,110,nan,,,300 N  AVENUE 21,,34.0775,-118.2218,,2020,4,7,12,0,December,hispanic,08,49
200414483,2020-10-31,2020-10-31,1021,4.0,Hollenbeck,499,1,110,Criminal homicide,1100 0416 1218 0906 1270 0430 0913,44,male,H,101,Street,102.0,Hand gun,AA,adult_arrest,110,nan,,,3600    NOAKES                       ST,,34.0145,-118.2002,,2020,4,31,10,5,October,hispanic,10,21
200411734,2020-08-13,2020-08-13,1655,4.0,Hollenbeck,464,1,110,Criminal homicide,0910 1100 0430 1402 1407 1822 2047,25,male,H,962,Mta - gold line - soto,109.0,Semi-automatic pistol,IC,invest_cont,110,998,,,2300 E  1ST                          ST,,34.0441,-118.2105,,2020,3,13,8,3,August,hispanic,16,55
200416454,2020-12-31,2020-12-31,1330,4.0,Hollenbeck,404,1,110,Criminal homicide,1100 1822 0430 1402 0906 1270,34,male,H,101,Street,102.0,Hand gun,IC,invest_cont,110,998,,,AVENUE 60,PASADENA,34.1077,-118.1861,,2020,4,31,12,3,December,hispanic,13,30
200411096,2020-07-23,2020-07-23,1920,4.0,Hollenbeck,409,1,110,Criminal homicide,1402 1100 1822 0430,20,male,W,101,Street,102.0,Hand gun,AA,adult_arrest,110,998,,,4200    LOWELL                       AV,,34.093,-118.1618,,2020,3,23,7,3,July,white,19,20
200416452,2020-12-31,2020-12-31,0855,4.0,Hollenbeck,497,1,110,Criminal homicide,1100 1822 1218 0430,45,male,H,116,Other/outside,106.0,Unknown firearm,IC,invest_cont,110,nan,,,2800 E  LUGO                         ST,,34.0166,-118.22,,2020,4,31,12,3,December,hispanic,08,55
