,reporting_district,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,156,10,39,223,214,150,134,199,317,153,24
1,166,5,39,232,282,196,100,79,189,116,18
2,1307,11,35,93,147,46,44,18,21,17,16
3,176,1,14,52,46,22,65,155,132,71,16
4,157,6,20,372,388,424,304,643,492,89,16
5,171,0,1,0,0,3,11,18,40,30,15
6,165,1,3,34,25,30,16,11,81,46,14
7,566,0,0,0,0,0,1,29,12,57,14
8,155,3,21,140,195,146,162,318,270,63,12
9,138,5,29,177,239,236,295,240,530,116,12
10,148,0,11,112,164,181,168,170,260,43,12
11,883,0,0,0,0,1,1,4,8,31,11
12,884,0,0,1,0,0,2,0,28,15,11
13,668,27,10,6,2,0,1,22,8,5,11
14,1138,0,0,0,1,0,0,0,0,0,8
15,666,36,54,48,25,47,104,136,217,75,7
16,318,0,0,0,0,0,1,0,0,0,7
17,153,0,0,27,14,13,16,23,15,28,7
18,853,0,2,5,1,1,4,15,43,16,6
19,162,0,0,9,16,9,11,35,18,6,6
20,1761,0,0,0,0,0,0,1,2,0,6
21,135,0,2,19,32,13,45,18,12,6,6
22,2156,0,0,0,0,0,0,0,0,0,6
23,663,0,0,0,0,3,7,5,8,12,6
24,676,2,2,4,2,2,4,2,2,17,6
25,163,0,0,4,6,3,0,11,4,4,6
26,893,0,0,0,0,0,0,1,25,2,6
27,897,0,0,0,0,0,0,0,2,10,6
28,158,23,35,202,425,341,184,229,276,69,5
29,854,1,0,0,1,5,7,11,28,48,5
30,645,148,71,126,122,42,48,64,57,23,5
31,174,0,2,1,1,0,1,3,3,1,5
32,637,17,21,24,36,4,20,22,16,33,5
33,646,124,143,269,257,131,77,111,168,55,5
34,337,0,0,1,0,0,0,0,0,0,4
35,2187,0,0,1,0,0,0,1,1,4,4
36,182,0,0,7,14,4,6,9,16,6,4
37,503,0,0,0,0,0,0,0,0,14,3
38,246,0,1,1,4,1,0,0,0,2,3
39,154,0,2,12,40,36,29,64,15,2,3
40,882,0,1,0,0,1,1,2,13,14,3
41,128,0,0,7,17,35,19,6,6,12,3
42,192,1,11,39,111,102,137,33,35,33,3
43,636,111,110,177,207,92,41,71,53,40,3
44,1128,0,0,0,0,0,0,0,0,0,3
45,1109,0,0,0,0,0,0,1,0,0,3
46,111,0,1,32,46,74,239,412,493,101,3
47,256,1,1,1,0,0,0,0,0,0,3
48,123,1,1,0,3,3,13,3,0,0,2
49,2177,0,0,0,2,0,0,0,0,0,2
50,836,0,0,0,0,0,0,0,0,0,2
51,1563,1,0,0,1,0,0,0,0,0,2
52,2103,0,0,0,0,0,0,0,0,0,2
53,159,0,4,10,11,8,9,31,10,8,2
54,139,0,0,2,3,0,0,0,2,1,2
55,289,0,0,0,1,0,0,0,0,0,2
56,1303,12,34,99,91,32,12,0,6,2,2
