,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Venice,93,45,496,857,788,835,704,600,415,235
1,Skid Row,57,220,1539,2055,1853,1332,1894,2225,667,131
2,Downtown,39,132,618,945,780,1170,1401,1520,657,120
3,Hollywood,589,560,817,799,460,535,613,721,706,108
4,Westlake,2,12,38,37,18,17,72,65,118,60
5,Sawtelle,2,4,9,3,12,26,88,169,245,53
6,San Pedro,20,0,0,1,0,9,81,35,91,17
7,Woodland Hills,0,0,2,3,0,1,3,7,10,15
8,East Hollywood,34,37,47,27,23,14,124,24,32,14
9,West Los Angeles,1,0,2,0,0,12,6,45,16,13
10,Highland Park,9,7,1,2,0,1,4,0,0,11
11,Pico-Union,6,23,6,22,3,0,3,5,16,10
12,Exposition Park,1,10,5,2,0,0,0,0,2,10
13,Palms,1,0,1,3,1,4,0,5,15,9
14,University Park,0,1,1,3,0,5,0,0,1,8
15,Chatsworth,1,0,2,0,0,0,1,3,3,6
16,Rancho Park,0,0,0,0,0,1,2,29,4,6
17,Echo Park,2,5,4,7,10,0,25,7,13,6
18,Canoga Park,11,6,8,6,13,23,1,9,0,4
19,Valley Village,0,0,4,1,1,1,4,2,3,3
20,Eagle Rock,1,0,1,14,5,0,6,4,2,3
21,Tarzana,0,1,1,1,3,0,2,2,10,3
22,Los Feliz,5,10,16,8,6,7,20,18,3,2
23,Arleta,3,2,0,0,1,8,1,0,0,2
24,Sherman Oaks,2,1,2,4,0,2,3,1,1,2
25,Jefferson Park,0,5,2,8,0,3,0,0,0,2
26,Hollywood Hills,19,50,51,36,43,48,20,12,73,2
27,Studio City,1,4,11,26,14,20,1,5,34,2
28,Chatsworth Reservoir,0,0,0,0,0,0,0,0,0,2
29,Florence,0,27,7,70,37,4,3,0,0,2
30,Valley Glen,0,2,8,4,6,9,20,3,4,2
31,Van Nuys,8,3,29,5,1,25,95,23,7,1
32,El Sereno,0,1,0,0,2,0,0,0,0,1
33,Koreatown,8,4,3,5,2,4,10,17,9,1
34,Mar Vista,2,0,0,1,3,5,3,8,17,1
35,Mid-City,3,14,3,4,2,6,1,7,27,1
36,Baldwin Hills/Crenshaw,1,3,4,3,0,0,1,0,0,1
37,Historic South-Central,9,30,64,88,131,109,20,13,14,1
38,Sun Valley,3,0,7,9,2,5,1,3,4,1
39,Central-Alameda,10,15,21,17,1,3,0,0,0,1
40,Harbor City,59,5,0,0,0,0,1,0,1,1
41,North Hills,156,46,25,37,16,8,0,9,6,1
42,Pacoima,2,0,4,1,1,0,0,0,0,1
43,Chinatown,0,1,6,10,29,37,71,35,7,1
44,Vermont Vista,9,5,46,29,97,252,15,0,0,0
45,Reseda,0,1,8,3,0,0,0,2,0,0
46,Windsor Square,0,0,0,0,0,0,0,0,1,0
47,Watts,5,3,4,10,4,6,3,0,1,0
48,Playa del Rey,0,0,0,0,0,1,0,0,0,0
49,Winnetka,0,1,4,1,0,0,0,0,1,0
50,Vermont-Slauson,0,1,0,2,27,1,0,0,0,0
51,Vermont Square,1,9,6,1,15,1,3,0,1,0
52,Silver Lake,3,1,10,1,5,9,13,1,1,0
53,Pico-Robertson,0,0,0,3,0,0,0,2,4,0
54,Wilmington,16,1,0,0,0,0,1,5,9,0
