city,street,state,zip,country,latitude,longitude
Houston,9011 W Sam Houston Parkway N,TX,77064,US,29.903814303394554,-95.55402452211115
Miami,10725 NW 41st Street,FL,33178,US,25.812096013206872,-80.37070478100298
Wantagh,1198 Wantagh Avenue,NY,11793,US,40.693785136786744,-73.50796542165739
North Baldwin,1221 Grand Avenue,NY,11510,US,40.68051761650015,-73.6145216309302
Poinciana,4466 Pleasant Hill Road,FL,34758,US,28.15612412474003,-81.44061834631452
Charlotte,2834 Boyer Street,NC,28208,US,35.228433111277894,-80.92399220558616
Charlotte,6424 Albemarle Rd,NC,28212,US,35.2025520216369,-80.73530902069126
Coral Springs,5850 Wiles Road,FL,33067,US,26.2857903,-80.2041542
Jacksonville,4495 Roosevelt Blvd,FL,32210,US,30.280957061054757,-81.71975706031776
Florence,2060 W. Evans St,SC,29501,US,34.19271308804368,-79.8076510963125
Sunnyvale,1065 East El Camino Real,CA,94087,US,37.35259682530097,-122.00373134340128
Modesto,3250 Dale Road,CA,95356,US,37.68659688438188,-121.04934331039226
Saint Augustine,"1805 U.S. Highway 1, S",FL,32084,US,29.868242088735713,-81.3239150435686
McKeesport,640 Longrun Road; Olympia Ctr,PA,15132,US,40.32320807888659,-79.83268871717928
Clear Lake,10 Plaza Drive,IA,50428,US,43.14602518401923,-93.36136935887816
Leeds,1815 Ashville Road NE Highway 411,AL,35094,US,33.56195,-86.522892
Upper Marlboro,10 Watkins Park Drive,MD,20774,US,38.899530118561714,-76.79144465950719
Coronado,100 B Ave,CA,92118,US,32.6977182,-117.1702474
Danville,100 May Blvd,KY,40422,US,37.616346,-84.777875
Auburn,1002 Auburn Way,WA,98002,US,47.31717604894941,-122.22148756951304
Dallas,1003 Dallas-Cherryville Highway,NC,28034,US,35.31525186109214,-81.19044664723873
Pelzer,101 Depot Road,SC,29669,US,34.64269586734955,-82.4665304455541
Huntsville,1003 Jordan Lane,AL,35816,US,34.735935495206085,-86.62771817541767
Lemoore,1019 North Lemoore Avenue,CA,93245,US,36.31166993058123,-119.78121134106357
