storeid,latitude,longitude,address,city,state,statename,zip,phone,locationtype
15047,33.9795368,-118.4386116,"4708 1/2 Admiralty Way, #A-3",Marina del Rey,CA,California,90292,(310) 827-3900,Street Front
15180,33.9854413,-118.395128,6000 Sepulveda Blvd,Culver City,CA,California,90230,(310) 390-2333,Mall
15037,34.0339764,-118.4927491,"1612 Montana Ave, ",Santa Monica,CA,California,90403,(310) 264-4791,Street Front
15329,33.9415889,-118.40853,"1 World Way, LAX, ",Los Angeles,CA,California,90045,,Airport
15020,34.063521,-118.3988964,"240 S Beverly Dr, #A",Beverly Hills,CA,California,90212,(310) 734-7543,Street Front
15034,33.9042969,-118.3950957,"730 S Allied Way, Spc #B2.01",El Segundo,CA,California,90245,(310) 414-9351,Street Front
15442,34.0551603,-118.3083861,928 S Western Ave,Los Angeles,CA,California,90006,(818) 644-7222,Other
15006,34.1429064,-118.393955,12044 1/2 Ventura Blvd,Studio City,CA,California,91604,(818) 505-0733,Street Front
15023,34.1088901,-118.2717419,"2829 Hyperion Avenue, ",Los Angeles,CA,California,90027,(323) 644-1889,Street Front
15074,33.837818,-118.3542122,21157 Hawthorne Blvd,Torrance,CA,California,90503,(310) 316-4721,Street Front
15069,34.1816414,-118.3112754,120 E Palm Ave,Burbank,CA,California,91502,(818) 840-9000,Street Front
15048,34.231161,-118.5530849,"8850 Tampa Ave, Ste 101",Northridge,CA,California,91324,(818) 885-0021,Street Front
15015,33.7690854,-118.1919227,112 E Broadway,Long Beach,CA,California,90802,(562) 432-4929,Street Front
15067,34.1454708,-118.0006472,612 S Myrtle Ave,Monrovia,CA,California,91016,(626) 359-9729,Street Front
15448,33.8595836,-117.9978239,6940 Beach Boulevard,Buena Park,CA,California,90621,() -,Other
15349,33.803409,-117.8774502,"2626 E Katella Ave, Space D",Anaheim,CA,California,92806,(657) 221-0670,Public Transportation
15443,33.6778994,-117.8623738,18601 Airport Way,Santa Ana,CA,California,92707,() -,Unknown
15055,33.9756709,-117.5511273,"12257 Limonite Ave, Ste 840",Eastvale,CA,California,91752,(951) 360-1282,Street Front
15053,33.8131194,-117.5072711,"2795 Cabot Dr, Ste 103",Corona,CA,California,92883,(951) 277-7476,Street Front
15406,34.0602297,-117.1886754,"540 W Stuart Ave, Ste 110/B",Redlands,CA,California,92374,(909) 735-5074,Strip Center-Office Bldg
15354,32.8722623,-117.2149562,"4313 La Jolla Village Dr, Suite 9070",San Diego,CA,California,92122,(858) 886-7188,Kiosk
15128,32.7674839,-117.1656617,"7007 Friars Road, Ste 915",San Diego,CA,California,92108,(619) 725-0905,Street Front
15384,37.3255657,-121.9450002,"2855 Stevens Creek Blvd, #9246",Santa Clara,CA,California,95050,(408) 234-1502,Mall
15408,37.7975941,-121.209489,603 E Yosemite Ave,Manteca,CA,California,95336,,Free Standing Building
15089,37.3668565,-122.0317038,122 E El Camino Real,Sunnyvale,CA,California,94087,(408) 735-9300,Street Front
15441,37.5096269,-121.9605391,4620 Auto Mall Parkway,Fremont,CA,California,97538,() -,Unknown
15079,37.4424531,-122.1705008,"680 Stanford Shopping Ctr, Ste 14",Palo Alto,CA,California,94304,(650) 322-6030,Mall
15304,37.6239079,-122.3815924,"SFO International Airport, Terminal 2 Boarding Area D, Quick Serve, Sector 8, Space 9-D.2.350, ",San Francisco,CA,California,94128,(650) 821-8211,Airport
15083,38.4240368,-121.4167761,"7405 Laguna Blvd, Ste 160",Elk Grove,CA,California,95758,(916) 683-3292,Street Front
15097,38.6490366,-121.1187213,"280 Palladio Pkwy, Ste 933",Folsom,CA,California,95630,(916) 983-3550,Street Front
15081,38.5957511,-121.4162368,"2100 Arden Way, Ste 195",Sacramento,CA,California,95825,(916) 921-5852,Street Front
15417,38.5703192,-121.4902511,1716 15th St,Sacramento,CA,California,95814,(916) 954-0220,Street Front
15181,38.7734416,-121.2692829,"1151 Galleria Blvd, Spc 9125",Roseville,CA,California,95678,(916) 772-7465,Mall
15393,33.5036822,-111.9293812,"7014 E Camelback Rd, Space #K132",Scottsdale,AZ,Arizona,85251,(480) 702-0198,Kiosk
15394,33.3015863,-111.8985934,"3111 W Chandler Blvd, Space #K107",Chandler,AZ,Arizona,85226,(623) 292-2008,Kiosk
15363,32.3206685,-111.04565,"3820 W River Road, Suite 140",Tucson,AZ,Arizona,85741,(520) 575-5869,Street Front
15091,39.698041,-104.9400903,"1000 S Colorado Blvd, Building A Ste 107",Glendale,CO,Colorado,80246,(303) 756-7465,Street Front
15438,47.0958873,-122.357252,"17710 Canyon Rd E, Ste 400",Puyallup,WA,Washington,98375,() -,Other
15439,47.1149305,-122.2939318,15518 Meridian Ave,Puyallup,WA,Washington,98375,() -,Other
15397,35.211313,-97.4444859,323 W Boyd St,Norman,OK,Oklahoma,73069,(405) 857-9213,Street Front
15205,30.2576953,-97.8069052,2901 S Capital of Texas Hwy,Austin,TX,Texas,78746,(512) 792-9110,Mall
15170,30.2749739,-97.7989715,"3300 Bee Caves Rd, Suite 640",Westlake Hills,TX,Texas,78746,(512) 330-9994,Street Front
15082,32.6797163,-97.1060617,"4000 Bagpiper Way, Ste 130",Arlington,TX,Texas,76018,(817) 642-5616,Street Front
15372,32.8904574,-97.0357822,2400 Aviation Way,Dallas,TX,Texas,75261,(469) 865-1300,Airport
15373,32.8904574,-97.0357822,2400 Aviation Way,Dallas,TX,Texas,75261,(469) 865-1300,Airport
15346,32.898088,-97.0337141,"International Pkwy, DFW Airport, Terminal A Gate 28",Dallas,TX,Texas,75261,(469) 865-1300,Airport
15347,32.898088,-97.0337141,"International Pkwy, DFW Airport, Terminal A Gate 18",Dallas,TX,Texas,75261,(469) 865-1300,Airport
15350,33.0474585,-96.828584,"3310 Dallas Parkway, #117",Plano,TX,Texas,75093,(972) 378-5644,Strip Mall
15411,33.1279727,-96.6587213,"190 E Stacy Rd, Ste 1424",Allen,TX,Texas,75002,,Mall
15147,29.7397946,-95.4631754,"5085 Westheimer Rd, ",Houston,TX,Texas,77056,(713) 877-8902,Mall
15153,29.7420824,-95.44285,"3838 Westheimer Rd, ",Houston,TX,Texas,77027,(713) 622-3401,Street Front
15130,42.2403679,-83.7475749,"100 Briarwood Circle, Kiosk No. K134",Ann Arbor,MI,Michigan,48108,(734) 222-4700,Mall
15359,42.4899334,-83.4759009,"27500 Novi Rd., STE 103",Novi,MI,Michigan,48377,(248) 277-4393,Mall
15330,42.2253803,-83.3415334,"Detroit Metropolitan Wayne County Airport, McNamara Terminal,, ",Detroit,MI,Michigan,48242,(734) 955-1227,Airport
15348,42.2001115,-83.2542158,"23000 Eureka Rd, ",Taylor,MI,Michigan,48180,,Kiosk
15378,42.1062262,-80.1333489,906 W Erie Plaza Dr,Erie,PA,Pennsylvania,16505,(814) 651-0658,Street Front
15312,39.188537,-76.6780767,"Terminal A S-21, ",Baltimore,MD,Maryland,21240,(410) 859-1820,Airport
15385,26.0078598,-80.28787,"10630 Pines Blvd, Unit #104",Pembroke Pines,FL,Florida,33026,(954) 417-6360,Strip Mall
15206,41.3162805,-74.1257694,499 Red Apple Ct,Central Valley,NY,New York,10917,(845) 928-9363,Other
15045,40.737248,-73.9972601,509 6th Avenue,New York,NY,New York,10011,(212) 414-8429,Street Front
15064,40.7587929,-73.9919843,596 9th Ave,New York,NY,New York,10036,(212) 957-8440,Street Front
15005,40.7476228,-73.9861447,7 W 32nd St,New York,NY,New York,10001,(212) 695-9631,Street Front
15038,40.7776562,-73.9827415,2041 Broadway,New York,NY,New York,10023,(212) 580-3410,Street Front
15161,40.7928328,-73.9726193,"2508 Broadway, ",New York,NY,New York,10025,(646) 490-7866,Street Front
15035,40.8054834,-73.9662891,2851 Broadway,New York,NY,New York,10025,(212) 222-0191,Street Front
15152,40.6721076,-73.9769793,161 7th Ave,Brooklyn,NY,New York,11215,(718) 788-0615,Street Front
15057,40.7579055,-73.9667366,"1039 2nd Avenue, ",New York,NY,New York,10022,(212) 223-1918,Street Front
15012,40.7752378,-73.9540301,"1577 2nd Avenue, ",New York,NY,New York,10028,(212) 861-0574,Street Front
15361,40.9112732,-73.779946,33 LeCount Place,New Rochelle,NY,New York,10801,(914) 740-7545,Street Front
15149,41.7237662,-71.476944,400 Bald Hill Rd,Warwick,RI,Rhode Island,02886,(401) 921-6267,Mall
15124,41.763136,-71.4587969,"53 Hillside Rd, ",Cranston,RI,Rhode Island,02920,(401) 383-7601,Street Front
