,notes,race,race_code,hispanic_origin,hispanic_origin_code,cause_of_death,cause_of_death_code,deaths,population,crude_rate,cdc_maternal_mortality,race_whispanicorigin
0,,American Indian or Alaska Native,1002-5,Hispanic or Latino,2135-2,Other specified pregnancy-related conditions,O26.8,2.0,2133093,Unreliable,recorded,Hispanic or Latino
1,Total,American Indian or Alaska Native,1002-5,Hispanic or Latino,2135-2,,,2.0,2133093,Unreliable,recorded,Hispanic or Latino
13,,Asian or Pacific Islander,A-PI,Hispanic or Latino,2135-2,Other specified pregnancy-related conditions,O26.8,1.0,1128901,Unreliable,recorded,Hispanic or Latino
14,,Asian or Pacific Islander,A-PI,Hispanic or Latino,2135-2,"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium",O99.4,1.0,1128901,Unreliable,recorded,Hispanic or Latino
15,Total,Asian or Pacific Islander,A-PI,Hispanic or Latino,2135-2,,,2.0,1128901,Unreliable,recorded,Hispanic or Latino
44,,Black or African American,2054-5,Hispanic or Latino,2135-2,"Unspecified abortion, complete or unspecified, with other and unspecified complications",O06.8,1.0,3560612,Unreliable,recorded,Hispanic or Latino
45,,Black or African American,2054-5,Hispanic or Latino,2135-2,"Eclampsia, unspecified as to time period",O15.9,1.0,3560612,Unreliable,recorded,Hispanic or Latino
46,,Black or African American,2054-5,Hispanic or Latino,2135-2,Unspecified maternal hypertension,O16,1.0,3560612,Unreliable,recorded,Hispanic or Latino
47,,Black or African American,2054-5,Hispanic or Latino,2135-2,Other specified pregnancy-related conditions,O26.8,1.0,3560612,Unreliable,recorded,Hispanic or Latino
48,,Black or African American,2054-5,Hispanic or Latino,2135-2,Amniotic fluid embolism,O88.1,1.0,3560612,Unreliable,recorded,Hispanic or Latino
49,,Black or African American,2054-5,Hispanic or Latino,2135-2,Death from indirect obstetric cause occurring more than 42 days but less than one year after delivery,O96.1,2.0,3560612,Unreliable,not recorded,Hispanic or Latino
50,,Black or African American,2054-5,Hispanic or Latino,2135-2,"Other viral diseases complicating pregnancy, childbirth and the puerperium",O98.5,2.0,3560612,Unreliable,recorded,Hispanic or Latino
51,,Black or African American,2054-5,Hispanic or Latino,2135-2,"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium",O99.8,1.0,3560612,Unreliable,recorded,Hispanic or Latino
52,Total,Black or African American,2054-5,Hispanic or Latino,2135-2,,,10.0,3560612,Unreliable,recorded,Hispanic or Latino
110,,White,2106-3,Hispanic or Latino,2135-2,Tubal pregnancy,O00.1,1.0,54490273,Unreliable,recorded,Hispanic or Latino
111,,White,2106-3,Hispanic or Latino,2135-2,"Ectopic pregnancy, unspecified",O00.9,3.0,54490273,Unreliable,recorded,Hispanic or Latino
112,,White,2106-3,Hispanic or Latino,2135-2,"Hydatidiform mole, unspecified",O01.9,1.0,54490273,Unreliable,recorded,Hispanic or Latino
113,,White,2106-3,Hispanic or Latino,2135-2,"Spontaneous abortion, complete or unspecified, without complication",O03.9,1.0,54490273,Unreliable,recorded,Hispanic or Latino
114,,White,2106-3,Hispanic or Latino,2135-2,"Unspecified abortion, complete or unspecified, without complication",O06.9,1.0,54490273,Unreliable,recorded,Hispanic or Latino
115,,White,2106-3,Hispanic or Latino,2135-2,"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",O10.0,1.0,54490273,Unreliable,recorded,Hispanic or Latino
116,,White,2106-3,Hispanic or Latino,2135-2,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",O10.1,9.0,54490273,Unreliable,recorded,Hispanic or Latino
117,,White,2106-3,Hispanic or Latino,2135-2,Pre-existing hypertensive disorder with superimposed proteinuria,O11,1.0,54490273,Unreliable,recorded,Hispanic or Latino
118,,White,2106-3,Hispanic or Latino,2135-2,Gestational [pregnancy-induced] hypertension without significant proteinuria,O13,1.0,54490273,Unreliable,recorded,Hispanic or Latino
119,,White,2106-3,Hispanic or Latino,2135-2,"Pre-eclampsia, unspecified",O14.9,4.0,54490273,Unreliable,recorded,Hispanic or Latino
120,,White,2106-3,Hispanic or Latino,2135-2,Eclampsia in pregnancy,O15.0,1.0,54490273,Unreliable,recorded,Hispanic or Latino
121,,White,2106-3,Hispanic or Latino,2135-2,Deep phlebothrombosis in pregnancy,O22.3,1.0,54490273,Unreliable,recorded,Hispanic or Latino
122,,White,2106-3,Hispanic or Latino,2135-2,"Venous complication in pregnancy, unspecified",O22.9,1.0,54490273,Unreliable,recorded,Hispanic or Latino
123,,White,2106-3,Hispanic or Latino,2135-2,Infections of kidney in pregnancy,O23.0,2.0,54490273,Unreliable,recorded,Hispanic or Latino
124,,White,2106-3,Hispanic or Latino,2135-2,Infections of the genital tract in pregnancy,O23.5,1.0,54490273,Unreliable,recorded,Hispanic or Latino
125,,White,2106-3,Hispanic or Latino,2135-2,"Pre-existing diabetes mellitus, insulin-dependent",O24.0,1.0,54490273,Unreliable,recorded,Hispanic or Latino
126,,White,2106-3,Hispanic or Latino,2135-2,Diabetes mellitus arising in pregnancy,O24.4,1.0,54490273,Unreliable,recorded,Hispanic or Latino
127,,White,2106-3,Hispanic or Latino,2135-2,"Diabetes mellitus in pregnancy, unspecified",O24.9,2.0,54490273,Unreliable,recorded,Hispanic or Latino
128,,White,2106-3,Hispanic or Latino,2135-2,"Liver disorders in pregnancy, childbirth and the puerperium",O26.6,6.0,54490273,Unreliable,recorded,Hispanic or Latino
129,,White,2106-3,Hispanic or Latino,2135-2,Other specified pregnancy-related conditions,O26.8,41.0,54490273,0.1,recorded,Hispanic or Latino
130,,White,2106-3,Hispanic or Latino,2135-2,Morbidly adherent placenta,O43.2,2.0,54490273,Unreliable,recorded,Hispanic or Latino
