origin_fips,origin_county_name,origin_state_abbr,returns
06037,Los Angeles County,CA,140088.0
17031,Cook County,IL,90530.0
48201,Harris County,TX,79482.0
36061,New York County,NY,76950.0
36047,Kings County,NY,66414.0
48113,Dallas County,TX,65270.0
06073,San Diego County,CA,60134.0
04013,Maricopa County,AZ,58957.0
06059,Orange County,CA,57989.0
36081,Queens County,NY,55012.0
12086,Miami-Dade County,FL,54926.0
53033,King County,WA,52635.0
12011,Broward County,FL,48926.0
48453,Travis County,TX,47243.0
13121,Fulton County,GA,44483.0
48439,Tarrant County,TX,42884.0
06085,Santa Clara County,CA,42644.0
25017,Middlesex County,MA,42627.0
06001,Alameda County,CA,42404.0
06065,Riverside County,CA,41831.0
12095,Orange County,FL,41381.0
06071,San Bernardino County,CA,40711.0
51059,Fairfax County,VA,39100.0
12057,Hillsborough County,FL,36307.0
06075,San Francisco County,CA,34507.0
08031,Denver County,CO,34162.0
27053,Hennepin County,MN,33531.0
25025,Suffolk County,MA,32583.0
32003,Clark County,NV,32443.0
36005,Bronx County,NY,32082.0
42101,Philadelphia County,PA,31894.0
13089,DeKalb County,GA,31166.0
48029,Bexar County,TX,30584.0
12099,Palm Beach County,FL,29934.0
26163,Wayne County,MI,29415.0
26125,Oakland County,MI,28511.0
48085,Collin County,TX,27676.0
37119,Mecklenburg County,NC,27430.0
24031,Montgomery County,MD,27070.0
11001,District of Columbia,DC,26990.0
39049,Franklin County,OH,26373.0
06067,Sacramento County,CA,26210.0
36059,Nassau County,NY,25550.0
08005,Arapahoe County,CO,25074.0
24033,Prince George's County,MD,24975.0
17043,DuPage County,IL,24939.0
13067,Cobb County,GA,24431.0
48121,Denton County,TX,24295.0
41051,Multnomah County,OR,24265.0
13135,Gwinnett County,GA,24162.0
34017,Hudson County,NJ,24067.0
06013,Contra Costa County,CA,23986.0
37183,Wake County,NC,23464.0
06081,San Mateo County,CA,22115.0
18097,Marion County,IN,22031.0
29189,St. Louis County,MO,21964.0
36103,Suffolk County,NY,21239.0
12031,Duval County,FL,21058.0
47037,Davidson County,TN,20963.0
34023,Middlesex County,NJ,20959.0
12103,Pinellas County,FL,20738.0
24005,Baltimore County,MD,20667.0
53053,Pierce County,WA,20265.0
25021,Norfolk County,MA,20214.0
34003,Bergen County,NJ,19696.0
36119,Westchester County,NY,19577.0
08059,Jefferson County,CO,19448.0
39035,Cuyahoga County,OH,19429.0
49035,Salt Lake County,UT,19234.0
42003,Allegheny County,PA,19022.0
24510,Baltimore city,MD,18851.0
15003,Honolulu County,HI,18242.0
34013,Essex County,NJ,18201.0
27123,Ramsey County,MN,17756.0
42091,Montgomery County,PA,17448.0
09001,Fairfield County,CT,17341.0
55079,Milwaukee County,WI,16738.0
53061,Snohomish County,WA,16527.0
08041,El Paso County,CO,16381.0
48157,Fort Bend County,TX,15846.0
08001,Adams County,CO,15814.0
39061,Hamilton County,OH,15539.0
41067,Washington County,OR,15411.0
09003,Hartford County,CT,15311.0
51013,Arlington County,VA,15265.0
12117,Seminole County,FL,15122.0
40109,Oklahoma County,OK,14972.0
26099,Macomb County,MI,14969.0
09009,New Haven County,CT,14705.0
29095,Jackson County,MO,14460.0
48491,Williamson County,TX,14342.0
24003,Anne Arundel County,MD,14325.0
17097,Lake County,IL,13961.0
17197,Will County,IL,13955.0
51153,Prince William County,VA,13658.0
25009,Essex County,MA,13641.0
47157,Shelby County,TN,13556.0
06111,Ventura County,CA,13414.0
51810,Virginia Beach city,VA,13345.0
04019,Pima County,AZ,13201.0
34039,Union County,NJ,12741.0
12071,Lee County,FL,12614.0
29510,St. Louis city,MO,12080.0
20091,Johnson County,KS,12068.0
48339,Montgomery County,TX,11782.0
25027,Worcester County,MA,11761.0
21111,Jefferson County,KY,11742.0
12105,Polk County,FL,11623.0
48141,El Paso County,TX,11522.0
34025,Monmouth County,NJ,11498.0
12101,Pasco County,FL,11407.0
42017,Bucks County,PA,11159.0
34027,Morris County,NJ,11122.0
40143,Tulsa County,OK,11094.0
12097,Osceola County,FL,10998.0
35001,Bernalillo County,NM,10971.0
41005,Clackamas County,OR,10957.0
13063,Clayton County,GA,10939.0
17089,Kane County,IL,10851.0
27037,Dakota County,MN,10811.0
44007,Providence County,RI,10737.0
06077,San Joaquin County,CA,10711.0
26081,Kent County,MI,10664.0
42045,Delaware County,PA,10590.0
01073,Jefferson County,AL,10523.0
55025,Dane County,WI,10328.0
34031,Passaic County,NJ,10224.0
51510,Alexandria city,VA,10179.0
37051,Cumberland County,NC,10070.0
34007,Camden County,NJ,10041.0
37081,Guilford County,NC,9880.0
45019,Charleston County,SC,9808.0
48027,Bell County,TX,9804.0
31055,Douglas County,NE,9709.0
45079,Richland County,SC,9620.0
08013,Boulder County,CO,9554.0
49049,Utah County,UT,9530.0
06019,Fresno County,CA,9493.0
08035,Douglas County,CO,9391.0
26161,Washtenaw County,MI,9381.0
37063,Durham County,NC,9319.0
42029,Chester County,PA,9306.0
51087,Henrico County,VA,9070.0
06061,Placer County,CA,9055.0
12127,Volusia County,FL,9052.0
25023,Plymouth County,MA,8986.0
51710,Norfolk city,VA,8984.0
36055,Monroe County,NY,8974.0
06029,Kern County,CA,8972.0
39113,Montgomery County,OH,8970.0
22071,Orleans Parish,LA,8967.0
39153,Summit County,OH,8952.0
51760,Richmond city,VA,8851.0
27003,Anoka County,MN,8845.0
51107,Loudoun County,VA,8842.0
34005,Burlington County,NJ,8820.0
24027,Howard County,MD,8802.0
12115,Sarasota County,FL,8800.0
36029,Erie County,NY,8787.0
22051,Jefferson Parish,LA,8787.0
06095,Solano County,CA,8759.0
34035,Somerset County,NJ,8723.0
33011,Hillsborough County,NH,8552.0
34029,Ocean County,NJ,8449.0
22033,East Baton Rouge Parish,LA,8359.0
10003,New Castle County,DE,8358.0
04021,Pinal County,AZ,8246.0
12009,Brevard County,FL,8161.0
45045,Greenville County,SC,8156.0
53011,Clark County,WA,8146.0
55133,Waukesha County,WI,7875.0
25005,Bristol County,MA,7710.0
19153,Polk County,IA,7582.0
08069,Larimer County,CO,7544.0
18089,Lake County,IN,7501.0
16001,Ada County,ID,7477.0
34021,Mercer County,NJ,7474.0
47093,Knox County,TN,7394.0
33015,Rockingham County,NH,7366.0
06097,Sonoma County,CA,7338.0
12069,Lake County,FL,7318.0
49011,Davis County,UT,7213.0
32031,Washoe County,NV,7189.0
51041,Chesterfield County,VA,7157.0
36085,Richmond County,NY,7155.0
05119,Pulaski County,AR,7101.0
42077,Lehigh County,PA,7092.0
06099,Stanislaus County,CA,7056.0
36001,Albany County,NY,7037.0
12021,Collier County,FL,7023.0
39017,Butler County,OH,7011.0
12081,Manatee County,FL,6991.0
06053,Monterey County,CA,6971.0
