State/County FIPS,State FIPS,County FIPS,County Name,State Name,Total,Margin of Error (+/-)
'01015','01','015',"Calhoun County",Alabama,-23,35
'01017','01','017',"Chambers County",Alabama,-6,15
'01033','01','033',"Colbert County",Alabama,-40,49
'01039','01','039',"Covington County",Alabama,-1,5
'01047','01','047',"Dallas County",Alabama,-10,15
'01073','01','073',"Jefferson County",Alabama,-55,47
'01081','01','081',"Lee County",Alabama,-1,3
'01083','01','083',"Limestone County",Alabama,175,226
'01087','01','087',"Macon County",Alabama,25,34
'01089','01','089',"Madison County",Alabama,41,53
'01097','01','097',"Mobile County",Alabama,-13,20
'01101','01','101',"Montgomery County",Alabama,-7,10
'01103','01','103',"Morgan County",Alabama,-2,4
'01117','01','117',"Shelby County",Alabama,-5,12
'01119','01','119',"Sumter County",Alabama,-8,18
'01125','01','125',"Tuscaloosa County",Alabama,38,45
'02020','02','020',"Anchorage Municipality",Alaska,258,255
'02090','02','090',"Fairbanks North Star Borough",Alaska,12,19
'02170','02','170',"Matanuska-Susitna Borough",Alaska,32,53
'04003','04','003',"Cochise County",Arizona,-4,8
'04005','04','005',"Coconino County",Arizona,-21,25
'04013','04','013',"Maricopa County",Arizona,847,372
'04019','04','019',"Pima County",Arizona,-22,128
'04021','04','021',"Pinal County",Arizona,-107,112
'04023','04','023',"Santa Cruz County",Arizona,-7,12
'04027','04','027',"Yuma County",Arizona,-75,105
'05007','05','007',"Benton County",Arkansas,-128,114
'05019','05','019',"Clark County",Arkansas,-4,9
'05045','05','045',"Faulkner County",Arkansas,-38,61
'05069','05','069',"Jefferson County",Arkansas,-4,8
'05119','05','119',"Pulaski County",Arkansas,-52,49
'05143','05','143',"Washington County",Arkansas,-56,83
'06001','06','001',"Alameda County",California,-36,290
'06007','06','007',"Butte County",California,33,58
'06013','06','013',"Contra Costa County",California,-15,165
'06017','06','017',"El Dorado County",California,13,22
'06029','06','029',"Kern County",California,8,13
'06031','06','031',"Kings County",California,-4,7
'06037','06','037',"Los Angeles County",California,-441,882
'06041','06','041',"Marin County",California,63,174
'06047','06','047',"Merced County",California,-37,39
'06053','06','053',"Monterey County",California,-33,47
'06055','06','055',"Napa County",California,-20,37
'06057','06','057',"Nevada County",California,-16,23
'06059','06','059',"Orange County",California,415,431
'06065','06','065',"Riverside County",California,58,65
'06067','06','067',"Sacramento County",California,83,89
'06071','06','071',"San Bernardino County",California,6,101
'06073','06','073',"San Diego County",California,152,443
'06075','06','075',"San Francisco County",California,-653,862
'06077','06','077',"San Joaquin County",California,-37,53
'06079','06','079',"San Luis Obispo County",California,36,147
'06081','06','081',"San Mateo County",California,199,299
'06083','06','083',"Santa Barbara County",California,15,130
'06085','06','085',"Santa Clara County",California,-58,274
'06087','06','087',"Santa Cruz County",California,44,64
'06095','06','095',"Solano County",California,-40,64
'06097','06','097',"Sonoma County",California,-126,98
'06111','06','111',"Ventura County",California,-82,259
'06113','06','113',"Yolo County",California,8,23
'06115','06','115',"Yuba County",California,12,17
'08001','08','001',"Adams County",Colorado,157,112
'08005','08','005',"Arapahoe County",Colorado,50,79
'08013','08','013',"Boulder County",Colorado,-72,132
'08031','08','031',"Denver County",Colorado,-136,139
'08035','08','035',"Douglas County",Colorado,-27,29
'08037','08','037',"Eagle County",Colorado,8,16
'08041','08','041',"El Paso County",Colorado,-50,54
'08045','08','045',"Garfield County",Colorado,10,17
'08059','08','059',"Jefferson County",Colorado,-31,59
'08069','08','069',"Larimer County",Colorado,19,23
'08097','08','097',"Pitkin County",Colorado,10,17
'08101','08','101',"Pueblo County",Colorado,-15,24
'08107','08','107',"Routt County",Colorado,-4,12
'08117','08','117',"Summit County",Colorado,2,4
'08123','08','123',"Weld County",Colorado,8,13
'09001','09','001',"Fairfield County",Connecticut,-539,613
'09003','09','003',"Hartford County",Connecticut,63,206
'09005','09','005',"Litchfield County",Connecticut,-15,80
'09007','09','007',"Middlesex County",Connecticut,-88,108
'09009','09','009',"New Haven County",Connecticut,50,243
'09011','09','011',"New London County",Connecticut,-183,205
'09013','09','013',"Tolland County",Connecticut,-20,29
'09015','09','015',"Windham County",Connecticut,39,45
'10001','10','001',"Kent County",Delaware,-18,25
'10003','10','003',"New Castle County",Delaware,13,147
'10005','10','005',"Sussex County",Delaware,-45,63
'11001','11','001',"District of Columbia","District of Columbia",615,493
'12001','12','001',"Alachua County",Florida,130,126
'12003','12','003',"Baker County",Florida,-5,12
'12005','12','005',"Bay County",Florida,-40,40
'12009','12','009',"Brevard County",Florida,-144,238
'12011','12','011',"Broward County",Florida,-638,433
'12015','12','015',"Charlotte County",Florida,-8,14
'12017','12','017',"Citrus County",Florida,-29,35
'12021','12','021',"Collier County",Florida,-28,40
'12031','12','031',"Duval County",Florida,131,183
'12033','12','033',"Escambia County",Florida,26,53
'12035','12','035',"Flagler County",Florida,5,7
'12053','12','053',"Hernando County",Florida,-8,13
'12055','12','055',"Highlands County",Florida,-14,21
'12057','12','057',"Hillsborough County",Florida,-2,298
'12059','12','059',"Holmes County",Florida,-25,41
'12061','12','061',"Indian River County",Florida,-45,42
'12069','12','069',"Lake County",Florida,-65,102
'12071','12','071',"Lee County",Florida,-92,93
'12073','12','073',"Leon County",Florida,-41,129
'12075','12','075',"Levy County",Florida,-35,51
'12081','12','081',"Manatee County",Florida,-168,150
'12083','12','083',"Marion County",Florida,-8,76
'12085','12','085',"Martin County",Florida,-23,26
'12086','12','086',"Miami-Dade County",Florida,-426,521
'12087','12','087',"Monroe County",Florida,-13,22
'12091','12','091',"Okaloosa County",Florida,27,44
'12095','12','095',"Orange County",Florida,-40,239
'12097','12','097',"Osceola County",Florida,187,150
'12099','12','099',"Palm Beach County",Florida,-436,328
'12101','12','101',"Pasco County",Florida,-67,79
'12103','12','103',"Pinellas County",Florida,-7,113
'12105','12','105',"Polk County",Florida,-367,271
'12109','12','109',"St. Johns County",Florida,-96,94
'12111','12','111',"St. Lucie County",Florida,54,71
'12115','12','115',"Sarasota County",Florida,-128,103
'12117','12','117',"Seminole County",Florida,-93,121
'12119','12','119',"Sumter County",Florida,-90,95
'12127','12','127',"Volusia County",Florida,-38,76
'13013','13','013',"Barrow County",Georgia,12,16
'13021','13','021',"Bibb County",Georgia,-47,72
'13039','13','039',"Camden County",Georgia,-104,154
'13043','13','043',"Candler County",Georgia,-7,12
'13045','13','045',"Carroll County",Georgia,-15,27
'13051','13','051',"Chatham County",Georgia,51,85
'13053','13','053',"Chattahoochee County",Georgia,-13,18
'13057','13','057',"Cherokee County",Georgia,73,121
'13059','13','059',"Clarke County",Georgia,-69,183
'13063','13','063',"Clayton County",Georgia,-75,68
'13067','13','067',"Cobb County",Georgia,164,173
'13073','13','073',"Columbia County",Georgia,-22,34
'13089','13','089',"DeKalb County",Georgia,35,228
'13095','13','095',"Dougherty County",Georgia,-7,13
'13113','13','113',"Fayette County",Georgia,24,29
'13121','13','121',"Fulton County",Georgia,86,293
'13127','13','127',"Glynn County",Georgia,35,56
'13135','13','135',"Gwinnett County",Georgia,-216,165
'13141','13','141',"Hancock County",Georgia,10,13
'13151','13','151',"Henry County",Georgia,-12,20
'13163','13','163',"Jefferson County",Georgia,-14,22
'13185','13','185',"Lowndes County",Georgia,-7,11
'13211','13','211',"Morgan County",Georgia,-1,3
'13215','13','215',"Muscogee County",Georgia,-17,24
'13245','13','245',"Richmond County",Georgia,4,20
'13247','13','247',"Rockdale County",Georgia,-28,46
'13259','13','259',"Stewart County",Georgia,-9,16
'13261','13','261',"Sumter County",Georgia,-4,8
