date,date_entered_updated,launch_timeutc,missile_name,missile_type,facility_name,facility_location,facility_latitude,facility_longitude,landing_location,test_outcome,additional_information,source(s),distance_miles,apogee_miles,geometry
2022-03-24,,05:34:00,Hwasong-17,ICBM,Pyongyang International Airport,"Pyongyang, North Korea",39.200159,125.673256,Sea of Japan or East Sea,Success,"At 2:34 PM local time on March 24, 2022, North Korea conducted its first ICBM launch since 2017. The Hwasong-17, in its first launch, reached an apogee of over 6200 km, travelling nearly 1100 km downrange, with a flight time of nearly 71 minutes. With a first stage powered by two 80-ton boosters, this is easily the largest missile tested by North Korea.","https://en.yna.co.kr/view/AEN20220324007454325?section=national/defense
https://twitter.com/GalloVOA/status/1507100219749515283?s=20&t=OWro8Z_goTH6WIRlmM6oUg
https://twitter.com/nktpnd/status/1507103483861864457?s=20&t=ZvAXFux3dYc6DqtlRC_T8Q
https://twitter.com/DaveSchmerler/status/1507105646755430410?s=20&t=ZvAXFux3dYc6DqtlRC_T8Q",677.0,3883.0,POINT (125.673256 39.200159)
2022-03-16,2022-03-16,00:30:00,,,Pyongyang International Airport,"Pyongyang, North Korea",39.200159,125.673256,,Failure,"North Korea conducted an attempted launch on March 16 which failed shortly after liftoff. NHK initially stated that ""North Korea may have launched a projectile that could be a missile,"" while the South Korean government was initially unable to confirm the launch. According to NKnews, the missile's erratic flight path and destruction could be heard and seen from the city, including a red cloud indicative of nitrogen tetroxide or IRFNA.","https://twitter.com/ELINTNews/status/1503894603841351680
https://www.rfi.fr/en/north-korea-fires-unidentified-projectile-but-launch-fails
https://www.nknews.org/2022/03/exclusive-north-korean-projectile-debris-fell-near-pyongyang-after-test-failure/",,,POINT (125.673256 39.200159)
2022-03-04,2022-03-24,23:48:00,,MRBM,Pyongyang International Airport,"Pyongyang, North Korea",39.200159,125.673256,Sea of Japan or East Sea,Success,At 8:48 AM on March 5 (local time) North Korea conducted a second missile launch related to the development of a reconnaissance satellite. North Korea's press release stated that the data transmission and command and control systems were tested. Equipment tested in this launch is almost certainly related to the development of a MIRV bus.,"https://en.yna.co.kr/view/AEN20220305000853325?section=search
https://twitter.com/GalloVOA/status/1500216157843845124?s=20&t=-9e4-0m4sjUbCUbrxgJ6YA",168.0,348.0,POINT (125.673256 39.200159)
2022-02-26,2022-03-24,22:52:00,,MRBM,Pyongyang International Airport,"Pyongyang, North Korea",39.200159,125.673256,Sea of Japan or East Sea,Success,"On February 27 (local time 7:52 AM), North Korea launched a ballistic missile on a lofted trajectory. The official statement made little mention of the missile itself, but noted that the payload conducted tests related to the development of a reconnaissance satellite, including camera operation, data transmission, and attitude control. KCNA released photographs of the earth taken by the payload, but no pictures of the missile itself. Equipment tested in this launch is almost certainly related to the development of a MIRV bus.","https://twitter.com/nktpnd/status/1498042983098331141?s=20&t=PbwgoY3Y74ajWEYLZDwpgg
https://en.yna.co.kr/view/AEN20220227000355325?section=nk/nk",186.0,385.0,POINT (125.673256 39.200159)
2022-01-29,2022-02-22,23:52:00,Hwasong-12,IRBM,Mupyong-ni Arms Plant,"Mup'yong-ni, Chagang province",40.611208,126.425743,Sea of Japan or East Sea,Success,"North Korea finished its January missile tests by launching one Hwasong-12 IRBM at 7:52 AM January 30 (local time). This was the first Hwasong-12 test since September 2017. The trajectory, travelling 2000 km with a 800 km apogee, closely resembled the Hwasong-12 test of May 14, 2017. During January 2022, North Korea launched 9 ballistic missiles, equalling the previous record from March 2020.","https://en.yna.co.kr/view/AEN20220130000353325?section=nk/nk
https://www.mod.go.jp/j/press/news/2022/01/30b.html
https://twitter.com/DuitsyWasHere/status/1487614371303854087
https://twitter.com/ArmsControlWonk/status/1487598101225476096
https://twitter.com/JosephHDempsey/status/1487564026603261954?s=20&t=yqtpvyU3v0Ec-pTaXY-1-Q",497.0,1243.0,POINT (126.425743 40.611208)
2022-01-26,2022-02-22,23:06:00,KN-23,SRBM,Hungnam,"Hamhung, South Hamgyong",39.811611,127.66375,Sea of Japan or East Sea,Success,2 of 2 tests,"https://en.yna.co.kr/view/AEN20220127001554325?section=nk/nk
https://twitter.com/nktpnd/status/1486826123522719748
https://twitter.com/JosephHDempsey/status/1486494673107668993",118.0,12.0,POINT (127.66375 39.811611)
2022-01-26,2022-02-22,23:01:00,KN-23,SRBM,Hungnam,"Hamhung, South Hamgyong",39.811611,127.66375,Sea of Japan or East Sea,Success,"North Korea conducted a test launch of two KN-23 missiles, fired at 8:00 AM and 8:05 AM January 27 (local time). The missiles flew on a deeply depressed trajectory, flying only approximately 190 km with a maximum apogee of 20 km. Due to atmospheric friction, the missiles glowed red hot as they impacted their target, Alsom island.","https://en.yna.co.kr/view/AEN20220127001554325?section=nk/nk
https://twitter.com/nktpnd/status/1486826123522719748
https://twitter.com/JosephHDempsey/status/1486494673107668993",118.0,12.0,POINT (127.66375 39.811611)
2022-01-16,2022-02-22,23:54:00,KN-24,SRBM,Pyongyang International Airport,"Pyongyang, North Korea",39.200159,125.673256,Sea of Japan or East Sea,Success,2 of 2 tests,"https://en.yna.co.kr/view/AEN20220117001954325?section=nk/nk
https://twitter.com/JosephHDempsey/status/1483061011112509441",236.0,26.0,POINT (125.673256 39.200159)
2022-01-16,2022-02-22,23:50:00,KN-24,SRBM,Pyongyang International Airport,"Pyongyang, North Korea",39.200159,125.673256,Sea of Japan or East Sea,Success,"Less than 72 hours after the January 14 test, North Korea conducted another missile test. Two KN-24 missiles were fired from the Sunan area near Pyongyang at 8:50 AM and 8:54 AM January 17 (local time). The missiles travelled approximately 380 km and reached an apogee of 42 km.","https://en.yna.co.kr/view/AEN20220117001954325?section=nk/nk
https://twitter.com/JosephHDempsey/status/1483061011112509441",236.0,26.0,POINT (125.673256 39.200159)
2022-01-14,2022-02-22,05:41:00,Rail-mobile KN-23,SRBM,Uiju,"Uiju County, North Pyongan Province",40.025847,124.577936,Sea of Japan or East Sea,Success,"Described by North Korea as a ""drill for checking... the action procedures of the railway-bourne missile regiment of North Phyongan Province"". This was the second test of North Korea's rail-mobile KN-23 variant. Two missiles were fired, at 2:41 PM and 2:52 PM local time, travelling 430 km and reaching an apogee of 36 km.","https://en.yna.co.kr/view/AEN20220114007056325?section=national/defense
https://twitter.com/joshjonsmith/status/1482099636165038080
https://twitter.com/JosephHDempsey/status/1481973693496664067",267.0,22.0,POINT (124.577936 40.025847)
