updated_date,updated_time,story_headline,story_copy,image_caption,image_url,more_news,story_url
2022-05-17,"OAN NEWSROOM
7:52 AM PT",Gunman in Calif. church shooting identified,"According to officials, the deadly Taiwanese church shooting in Orange County, California Sunday was a premeditated, hate fueled shooting. The suspect has been identified as 68-year-old David Chou who is possibly a Mainland China national.“This was a politically motivated hate incident, a grievance that this individual had between himself and the Taiwanese community,” said Orange County Sheriff Don Barnes. “It is believed that the suspect was upset about political tensions between China and Taiwan.”The one person killed is identified as Dr. John Cheng who authorities say heroically sacrificed himself to save others. Five others were injured.“Dr. Cheng is a hero in this incident,” Barnes stated.The Sheriff said due to the quick actions of several elderly churchgoers who tackled the shooter and hog tied him with an electrical cord, the number of casualties was lessened.Chou is being charged with one felony count of first degree murder and five felony counts of attempted murder.#OCSDPIO The suspect in the Laguna Woods church shooting has been identified as David Chou, 68 years old, of Las Vegas, NV. He has been booked on one felony count of murder and five felony counts of attempted murder. More info to follow at todays press conference.— OC Sheriff, CA (@OCSheriff) May 16, 2022","Flowers are left outside Geneva Presbyterian Church for the victims of Sunday’s shooting at the church in Laguna Woods, Calif., Monday, May 16, 2022. Police are investigating a deadly shooting at the church following Sunday services, in which they said parishioners hog-tied and detained a man in his 60s who opened fire. (AP Photo/Jae C. Hong)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2022/05/AP22136640451340.jpg, GOP Governors Ready For Roe To Be OverturnedTOPICS:churchdavid choudon barnesDr. Chenggun violencejohn chenglaguna woodsLas VegasmurderNevadanewsOANOANNoc sheriffTaiwan SHARETWEETPINSHARE,https://www.oann.com/gunman-in-calif-church-shooting-identified/
2022-05-16,"OAN NEWSROOM
2:08 PM PT",GOP Governors ready for Roe to be overturned,"GOP Governors ready for Roe to be overturnedOklahoma Gov. Kevin Stitt smiles at a news conference in Oklahoma City. Stitt is requesting an additional $300 in federal unemployment benefits for Oklahomans who have lost their jobs. (AP Photo/Sue Ogrocki, File)OAN NEWSROOMUPDATED 2:08 PM PT – Monday, May 16, 2022Republican governors across the country are increasingly expressing excitement at the likely prospect the Supreme Court will overturn the landmark case Roe v. Wade.On Sunday, Oklahoma’s Republican Governor Kevin Stitt said that he was excited for the state to enforce its fetal heartbeat law, which bans all abortions after a heartbeat can be detected. This usually occurs around six weeks into pregnancy.“I represent 4 million Oklahomans,” said Stitt. “We believe life begins at conception and we’re going to protect life in Oklahoma. There were 5,000  just in Oklahoma alone. Five-thousand unborn children that were killed last year and we don’t believe in that in Oklahoma. Other states can do things differently.”Oklahoma abortion law wont be able to be enforced everywhere in the state. Much of the state is controlled by sovereign Native American tribes who can set their own rules for their territory.“The tribes in Oklahoma are super liberal,” Stitt expressed. “We think that there’s the possibility that some tribes may try to set up abortion on demand.”He was sparse on the details of what he wants to do, but he did say he wants protection for “pre-born babies” to be strengthened as much as possible. There is no exception for rape or incest in the law.I am proud to sign SB 1503, the Oklahoma Heartbeat Act into law.I want Oklahoma to be the most pro-life state in the country because I represent all four million Oklahomans who overwhelmingly want to protect the unborn. pic.twitter.com/XQr7khRLRa— Governor Kevin Stitt (@GovStitt) May 3, 2022The court is expected to release its official opinion before the end of June.","Oklahoma Gov. Kevin Stitt smiles at a news conference in Oklahoma City. Stitt is requesting an additional $300 in federal unemployment benefits for Oklahomans who have lost their jobs. (AP Photo/Sue Ogrocki, File)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2021/08/800-1-3.jpeg," Biden, First Lady To Visit Buffalo Tuesday After Mass ShootingTOPICS:abortionabortion lawgovenorsKevin StittLiberalNative AmericannewsOANOANNOklahomapregnancyRepublicantribes SHARETWEETPINSHARE",https://www.oann.com/gop-governors-ready-for-roe-to-be-overturned/
2022-05-16,"OAN NEWSROOM
9:58 AM PT","Biden, First Lady to visit Buffalo Tuesday after mass shooting","Biden, First Lady to visit Buffalo Tuesday after mass shootingA person pays his respects outside the scene of a shooting at a supermarket, in Buffalo, N.Y., Sunday, May 15, 2022. (AP Photo/Matt Rourke)OAN NEWSROOMUPDATED 9:58 AM PT – Monday, May 16, 2022President Joe Biden is set to travel to Buffalo, New York in the wake of the deadly supermarket shooting. The White House released a statement over the weekend, which announced Biden and the First Lady will visit the city on Tuesday to grieve with the mourning community.Jill and I pray for the victims, their families and devastated community from yesterday’s mass shooting in Buffalo, New York. Our hearts are heavy once again but our resolve must not waver; we must work together to address the hate that remains a stain on the soul of this nation.— President Biden (@POTUS) May 15, 2022Biden addressed the shooting on Sunday and assured the Justice Department is investigating the incident as a hate crime. He also praised the actions of law enforcement and offered condolences to the victims as well as their families. Ten people lost their lives during the attack.  He also called on Americans to do everything in their power to end “hate-fueled domestic terrorism.”Meanwhile, New York Governor Kathy Hochul (D) said CEOs of social media companies should be held accountable for certain crimes. During an interview Sunday, the Democrat said these chief executives need to assure the public that they are taking every step possible to monitor risky information.Her remarks came after the suspected shooter reportedly posted a 180 page manifesto online, just one day before opening fire at the Buffalo supermarket. The act of violence left 10 people dead while the attack was live streamed for an online audience to witness.“Well this manifesto tells everything to us and that is what is so bone-chiling about it,” stated the governor. “There is the ability for people to write and subscribe to such philosophies filled with hate and white supremacist acts of terrorism that are being fermented on social media, and to know that what this one individual did has been shared with the rest of the world.”Hochul said violent hate messages need to be monitored and shut down the moment they are exposed. Meanwhile, the suspected gunman from the Buffalo shooting has been charged. One America’s Taylor Tinsley has more.","A person pays his respects outside the scene of a shooting at a supermarket, in Buffalo, N.Y., Sunday, May 15, 2022. (AP Photo/Matt Rourke)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2022/05/AP22136049876140.jpg, Pallets Of Baby Formula Being Kept At Border For IllegalsTOPICS:Big TechBuffalo shootingcrimegun violencehate crimekathy hochulmanifestoNew YorknewsOANOANNpoliticsshootinSocial MediaTaylor Tinsleyvwhite supremacist SHARETWEETPINSHARE,https://www.oann.com/n-y-gov-hochul-says-ceos-of-social-media-need-to-be-held-accountable-following-live-stream-manifesto-by-suspected-buffalo-shooter/
2022-05-16,"OAN NEWSROOM
10:50 AM PT",Sen. Scott: Biden must not give ‘Chinese puppet’ WHO sovereignty over Americans lives,"Sen. Scott: Biden must not give ‘Chinese puppet’ WHO sovereignty over Americans livesSen. Rick Scott, R-Fla., walks on Capitol Hill, Wednesday, May 4, 2022, in Washington. (AP Photo/Mariam Zuhaib)OAN NEWSROOMUPDATED 10:50 AM PT – Monday, May 16, 2022Sen. Rick Scott (R-Fla.) warned cooperating with the World Health Organization may erode US national sovereignty. In a recent tweet, he noted that the WHO served as a political “puppet” to the Communist regime in China and suggested it helped cover up the origins of COVID.The @WHO has served as a puppet for the Chinese Communist Party & helped Communist China cover up info on COVID-19. The Biden admin must NOT give this sham of a health agency national sovereignty over the U.S. & control over Americans' lives & health. https://t.co/mt4NtgOyxx— Rick Scott (@SenRickScott) May 14, 2022The Floridian then voiced, the WHO’s health advice has been discredited and the organization itself is a “sham” health agency. Sen. Scott consequently added, the organization must not have control over the health and lives of Americans.“The Biden administration wants to control through fear and mandate, so the government is touching every part of your life,” said Scott. “I wont stand for it, Americans wont stand for it. They know that the order is an over reach of power. The nation should be free to make choices that they feel are in their best interests for their own health and of loved ones.”Sen. Tom Cotton (R-Ark.) echoed his colleagues remarks while also taking to Twitter recently. The Arkansas Republican called the health agency “corrupt,” while asserting it’s controlled by Chinese Communist Party.The World Health Organization is corrupt and controlled by the Chinese Communist Party. The last thing the Biden Administration should do is give the @WHO authority over Americans.— Tom Cotton (@TomCottonAR) May 16, 2022The concern from GOP lawmakers comes as the World Health Assembly moves to create a global accord on pandemic response, which includes both prevention measures and preparedness actions. This would establish an intergovernmental negotiating body that would ultimately decide what measures are “deemed appropriate.”Both Republican lawmakers urged against the Biden administration allowing WHO to have authority over Americans, especially with such a strong Chinese influence. This comes as the world’s second largest economy has continued to falter due to an ongoing zero-COVID lockdown strategy. It appears the GOP senators wish to avoid such turmoil on their own soil.","Sen. Rick Scott, R-Fla., walks on Capitol Hill, Wednesday, May 4, 2022, in Washington. (AP Photo/Mariam Zuhaib)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2022/05/AP22124751425817-1-scaled.jpg," Biden, First Lady To Visit Buffalo Tuesday After Mass ShootingTOPICS:Biden Admin.Chinese Communist PartynewsOANNpoliticsPres. BidenSen. Rick ScottsovereigntyWHO SHARETWEETPINSHARE",https://www.oann.com/sen-scott-biden-must-not-give-chinese-puppet-who-sovereignty-over-americans-lives/
2022-05-16,"OAN NEWSROOM
1:23 PM PT",Former N.Y. Governor thinks GOP can win,"Former N.Y. Governor thinks GOP can winNew York Gov. Kathy Hochul speaks at True Bethel Baptist Church on Sunday, May 15, 2022, in Buffalo, N.Y. (AP Photo/Joshua Bessex)OAN NEWSROOMUPDATED 1:23 PM PT – Monday, May 16, 2022Former New York Governor George Pataki (R-N.Y.) claimed Republicans have a great chance to win the governorship. In a radio interview Sunday, he said the GOP would beat former Governor Andrew Cuomo (D-N.Y.) if he ran again. Cuomo resigned in August 2021 amidst a string of sexual harassment allegations.“Their is no one who supports Andrew except hardcore partisan Democrats,” Pataki stated.” I mean, you look at the polling, he is the most unpopular political figure in New York state and that’s saying something.”Pataki voiced, current New York Governor Kathy Hochul (D- N.Y.) is also vulnerable. Hochul’s choice of Brian Benjamin (D-N.Y.) as lieutenant governor ended with the former state senator being bounced from the ticket after he was indicted on federal charges of receiving financial kickbacks.“I think this is an opportunity for New York state,” he vocalized. “One of the last opportunities to get its act together.”Former NY Gov. George Pataki said that Republicans have an “excellent chance” in the upcoming elections❗️— CaitlinSinclairTV (@CSinclairtv) May 16, 2022Pataki went on to say that the Democrats haven’t been addressing the needs of New York, so a Republican can come out on top.","New York Gov. Kathy Hochul speaks at True Bethel Baptist Church on Sunday, May 15, 2022, in Buffalo, N.Y. (AP Photo/Joshua Bessex)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2022/05/AP22135531365848.jpg," Biden, First Lady To Visit Buffalo Tuesday After Mass ShootingTOPICS:Andrew CuomoBrian BenjamindemocratGeorge PatakiGovernorkathy hochulNew YorknewsOANOANNRepublicansenate SHARETWEETPINSHARE",https://www.oann.com/former-n-y-governor-thinks-gop-can-win/
2022-05-16,"OAN NEWSROOM
1:45 PM PT",Calif. Senate passes bill that lets kids get healthcare without parental consent,"Calif. Senate passes bill that lets kids get healthcare without parental consentState Sen. Scott Wiener, D-San Francisco, addresses the state Senate at the Capitol in Sacramento, Calif., Tuesday, Jan. 18, 2022. Wiener is introducing, Friday, Jan. 21, 2022 a bill that would allow children ages 12 and up to be vaccinated without their parents consent. (AP Photo/Rich Pedroncelli)OAN NEWSROOMUPDATED 1:45 PM PT – Monday, May 16, 2022The Golden State is moving forward with a bill that undermines families medical decisions. The California bill allows children from ages 12 to 17 to receive different forms of healthcare without parental consent.The bill passed the Senate Judiciary Committee at the beginning of May and recently passed the Senate Health Committee. The vote was 21-7 with Sen. Ben Hueso (D-Calif.) and Melissa Hurtado (D-Calif.) voting ‘no.’The authors of SB-871 and SB-866, Scott Weiner (D-Calif.) and Dr. Richard Pan, are known for authoring radical vaccine bills.Mother and founder of the San Diego-based grassroots coalition Let them Breathe, Sharon Mckeeman noted the possibility of the bill being passed.“If this were to pass, there is going to be a mass exit from the public school system,” said McKeeman. “We are seeing that families are outraged and concerned that this responsibility is being put on their children’s shoulders. All this decision making, instead of staying in the family unit…especially during a time of uncertainty.” Golden State parent advocates have been fighting against these mandates in public schools and are concerned about the California Legislature undermining the family unit.Given that Democrats hold a veto-proof majority in both chambers and Gov. Gavin Newsom (D-Calif.) doesn’t have any issues proposing vaccine mandates, it’s a possibility the Golden State could see this bill come to fruition.Despite this, San Diego-based attorney and father, Scott Davison believes there is a path moving forward and “still hope for California.” “We really need these parents to speak out and get more involved with their school system, so that this doesn’t become a reality that we just push off into the future,” concluded Davison. The next step is for the California State Assembly to vote on the bill and for Gov. Newsom (D-Calif.) to veto the bill or sign it into law.","State Sen. Scott Wiener, D-San Francisco, addresses the state Senate at the Capitol in Sacramento, Calif., Tuesday, Jan. 18, 2022. Wiener is introducing, Friday, Jan. 21, 2022 a bill that would allow children ages 12 and up to be vaccinated without their parents consent. (AP Photo/Rich Pedroncelli)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2022/05/Teens-and-Vacs.jpeg," Biden, First Lady To Visit Buffalo Tuesday After Mass ShootingTOPICS:Family medical decisionsGolden StateHealth CarenewsOANNParental ConsentpoliticsSan DiegoSenate Health Commitee SHARETWEETPINSHARE",https://www.oann.com/calif-senate-passes-bill-that-lets-kids-get-healthcare-without-parental-consent/
2022-05-16,"OAN NEWSROOM
9:16 AM PT",Goldman Sachs executive Lloyd Blankfein says recession is a high risk factor,"Goldman Sachs executive Lloyd Blankfein says recession is a high risk factorFILE – In this Sept. 24, 2014 file photo, Lloyd Blankfein, Chairman and CEO of Goldman Sachs, speaks during a panel discussion at the Clinton Global Initiative, in New York. Goldman Sachs announced Tuesday, July 17, 2018, that Blankfein will retire as CEO and chairman on Sept. 30, and be replaced by Chief Operating Officer David Solomon. (AP Photo/Mark Lennihan, File)OAN NEWSROOMUPDATED 9:16 AM PT – Monday, May 16, 2022Senior Chairman of Investment Bank Goldman Sachs, Lloyd Blankfein said a US recession is, in fact, possible and consumers should be ready for it.“It’s definitely a risk…if I were a consumer, I’d be prepared for it, but it’s not baked in the cake,” he stated during an interview Sunday.Blankfein said the Federal Reserve may be able to prevent an economic downturn, but it could be hard to avert in the face of runaway inflation. The Goldman Sachs executive added, elevated inflation may persist for a long time, which may worsen quality of life for millions of Americans.“Some of the supply chain shocks will go away, but some of it will be a little bit stickier and will be with us for a while,” he explained. “And while we’re talking about this in the macro sense, overall for individuals and certainly the individuals at the bottom quartile of the pie sharing, it’s going to be quite difficult and oppressive.”Blankfein went on to say he believes the US financial system will get through this crisis and risks will reduce after the Ukraine crisis is over. Meanwhile, economist Robin Woods, a former Chief FX Strategist at Goldman Sachs, echoed  Blankfein’s warning while suggesting a global recession is coming.Global recession is coming. The two biggest export economies in the world – Germany (blue) & China (black) – are seeing their new export orders in the manufacturing PMIs fall sharply. That's deteriorating global demand as we teeter towards recession. Only outlier: the US (red)… pic.twitter.com/u5ntWz7fXa— Robin Brooks (@RobinBrooksIIF) May 8, 2022Woods pointed to Germany and China, who he noted have the two biggest export economies in the world. He pointed out that both are “seeing their new export orders in the manufacturing PMIs fall sharply.”","FILE – In this Sept. 24, 2014 file photo, Lloyd Blankfein, Chairman and CEO of Goldman Sachs, speaks during a panel discussion at the Clinton Global Initiative, in New York. Goldman Sachs announced Tuesday, July 17, 2018, that Blankfein will retire as CEO and chairman on Sept. 30, and be replaced by Chief Operating Officer David Solomon. (AP Photo/Mark Lennihan, File)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2022/05/Lloyd-Blankfein-.jpg, Rep. Norman: Documentation Of Vote Fraud In “2000 Mules” Is AstoundingTOPICS:CONSUEMRSECONOMYFederal ReservefinancefinancialGoldman SachsinflationLloyd BlankfeinnewsOANOANNpoliticsRECESSIONRussiaspendingsupply chainUkraineUkraine crisisWar SHARETWEETPINSHARE,https://www.oann.com/goldman-sachs-executive-lloyd-blankfein-says-recession-is-a-high-risk-factor/
2022-05-16,"OAN NEWSROOM
7:48 AM PT",Melania Trump: Sad to see America’s struggle on Biden’s watch,"Melania Trump: Sad to see America’s struggle on Biden’s watchFILE – In this March 10, 2020, file photo first lady Melania Trump speaks at the at the National PTA Legislative Conference in Alexandria, Va. (AP Photo/Carolyn Kaster)OAN NEWSROOMUPDATED 7:48 AM PT – Monday, May 16, 2022Former First Lady Melania Trump said it’s “sad to see” what’s going on in America on President Joe Biden’s watch. In an interview Sunday, the former First Lady pointed out that a lot of people are struggling and suffering from problems both in the US as well as abroad.“It’s heartbreaking to see that they (Americans) are struggling and the food is not available for children in (the) 21st Century in the United States of America,” she noted. “What’s going on, it’s unthinkable. A lot of people are dying from drugs and it’s very sad to see.”Her remarks came after recent economic data put Americans on edge after the inflation report for April showed it increased 8.3 percent from a year ago. Last week, Biden spoke about the state of the economy while blaming everyone and everything but his own administration. Prior to the briefing, the President appeared to tout his economic plan while claiming it would lower the deficit and ensure wealthy Americans pay their fair share.Joe Biden is vacationing in Delaware while the crisis at the southern border gets worse, inflation is out of control, and Americans can’t afford to fill their gas tanks.— GOP (@GOP) May 15, 2022Last month, Biden appeared to continuously blame inflation on Russia and its invasion of Ukraine, although prices had been soaring for several months before the crisis. Most notably, gas prices soared significantly at the beginning of 2022. Despite his claims surrounding the state of the economy, Melania pointed out the Trump administration achieved a lot during its four-year term. She also did not rule out returning to the White House at some point. When asked about the possibility, she commented “never say never.”“I enjoyed taking care of the White House, it was my home for a while,” Melania stated. “I understood it is (the) people’s house and it was a privilege to live there.” The former First Lady also criticized mainstream media over what she asserted is partisan bias and dishonest reporting. Melania said the American people can see through the media lies.","FILE – In this March 10, 2020, file photo first lady Melania Trump speaks at the at the National PTA Legislative Conference in Alexandria, Va. (AP Photo/Carolyn Kaster)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2021/01/first.jpg," Economist Reacts To April’s Inflation Report, Biden Admin’s PoliciesTOPICS:Donald Trumpdrug useFirst LadyinflationJoe BidenMelania TrumpMSMnewsoverdose deathspoliticsTrump Administration SHARETWEETPINSHARE",https://www.oann.com/melania-trump-sad-to-see-americas-struggle-on-bidens-watch/
2022-05-16,"OAN NEWSROOM
8:15 AM PT",Poll: Young Swedish men oppose joining NATO,"Poll: Young Swedish men oppose joining NATOSweden’s Prime Minister Magdalena Andersson, right, and the Moderate Party’s leader Ulf Kristersson give a news conference in Stockholm, Sweden, Monday, May 16, 2022. Sweden’s government has decided to apply for a NATO membership. (Henrik Montgomery/TT News Agency via AP)OAN NEWSROOMUPDATED 8:15 AM PT – Monday, May 16, 2022The Swedish society has appeared to become increasingly divided over the government’s proposed accession to NATO. According to a poll by Swedish broadcaster SVT, 43 percent of Swedish men between the ages 18 and 29 are opposed to their country abandoning neutral status and joining NATO.Meanwhile, another 43 percent said they were in favor of joining NATO. The poll found people of older generations and women support joining NATO the most, while young Swedish men are the least supportive of the proposal.“I think that it put our security in jeopardy and then we’re also allying ourselves with less nice and trustworthy countries,” said Olof Bjork, a court employee in Stockholm. “We could increase other cooperation, military cooperation, and increase our own ability to defend ourselves, invest in a national conscription defense.”This comes as the Swedish ruling party abandoned its 73-year long opposition to NATO and voted to join the alliance in recent days. Swedish Prime Minister Magdalena Andersson recently announced that her government has decided to formally apply.Swedish Prime Minister Magdalena Andersson, via translator, explains decision to apply for NATO membership:“Despite the fact that non-alignment has served us well in over 200 years … it won’t serve us as well in the future … Sweden is best defended within NATO.” pic.twitter.com/awYLYARpgk— The Recount (@therecount) May 16, 2022Swedish politicians are citing the Ukraine crisis as the reason to join NATO, while Russia is saying such a move would make Sweden potential target for its military.","Sweden’s Prime Minister Magdalena Andersson, right, and the Moderate Party’s leader Ulf Kristersson give a news conference in Stockholm, Sweden, Monday, May 16, 2022. Sweden’s government has decided to apply for a NATO membership. (Henrik Montgomery/TT News Agency via AP)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2022/05/AP22136495917179.jpg, Pallets Of Baby Formula Being Kept At Border For IllegalsTOPICS:Magdalena AnderssonNATOnewsOANOANNpoliticsSweden SHARETWEETPINSHARE,https://www.oann.com/poll-young-swedish-men-oppose-joining-nato/
2022-05-17,"OAN NEWSROOM
2:49 PM PT",Dallas P.D. announce arrest of suspect in Koreatown,"Dallas P.D. announce arrest of suspect in KoreatownCHICAGO, IL – MAY 27: Crime scene tape is stretched around the front of a home where a man was shot on May 28, 2017 in Chicago, Illinois.(Photo by Scott Olson/Getty Images)OAN NEWSROOMUPDATED 2:49 PM PT – Tuesday, May 17, 2022Dallas Police arrested a suspect in connection to a shooting at a Koreatown hair salon last Thursday. Jeremy Smith, 36, was taken into custody and charged with three counts of aggravated assault with a deadly weapon.Smith entered the Korean owned Hair World salon and began to shoot before fleeing the scene. Three women inside the salon were shot and hospitalized with non life-threatening injuries.” He entered the business and then began shooting multiple rounds,” said Dallas Police Department Sgt. Warren Mitchell. “Victims were transported to an area hospital.”Local and federal authorities say the event could be connected to two other shootings at Asian-owned businesses. Dallas Police Chief Eddie Garcia said that Smith had been involved in a car crash with an Asian man several years ago and has since suffered “panic attacks and delusions when he is around anyone of Asian descent.”On May 17, 2022, Dallas Police arrested Jeremy Smith, 36, and charged him with three counts of aggravated assault with a deadly weapon.  The charges stem from the May 11 shooting that injured three people at a hair salon located at 2216 Royal Lane.— Dallas Police Dept (@DallasPD) May 17, 2022“Like I’ve said previously, hate has no place in our city,” expressed Garcia. “The men and women of the Dallas Police Department deeply care about the people we serve.”The FBI has officially opened a federal hate crime investigation.","CHICAGO, IL – MAY 27: Crime scene tape is stretched around the front of a home where a man was shot on May 28, 2017 in Chicago, Illinois.(Photo by Scott Olson/Getty Images)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2021/03/GettyImages-689258534-1.jpg," GOP Reps. Say Biden Spending Policies Are Creating Massive Inflation, Crippling Small BusinessesTOPICS:crimeDallasDallas Police DepartmentFBIgunhair salonkoreanmanhuntnewsOANOANNshootingVictims SHARETWEETPINSHARE",https://www.oann.com/dallas-shooting-leaves-three-people-wounded/
