updated_date,updated_time,story_headline,story_copy,image_caption,image_url,more_news,story_url
2022-04-29,1:18 PM PT,Sen. Daines: Ukraine warzone ‘a sight I hope no one has to ever see in their lifetime’,"After his recent trip to Ukraine, Sen. Steve Daines (R-Mont.) told One America News that he may have seen war crimes committed by Russians. One America’s John Hines has more from Capitol Hill.TOPICS:John HinesnewsOANOANNpoliticsRussiaSteve DainesUkraine TWEETPIN",SHARE,https://hnwebcontent.s3-us-west-1.amazonaws.com/oann/wp-content/uploads/2020/11/parler_white.png,,https://www.oann.com/sen-daines-ukraine-warzone-a-sight-i-hope-no-one-has-to-ever-see-in-their-lifetime/
2022-04-29,10:14 AM PT,Concerns grow over Biden’s ‘Orwellian’ disinformation board,"Concerns grow over Biden’s ‘Orwellian’ disinformation boardFILE – Homeland Security logo is seen during a joint news conference in Washington, Feb. 25, 2015. The Department of Homeland Security is stepping up an effort to counter disinformation. (AP Photo/Pablo Martinez Monsivais, File)OAN NewsroomUPDATED 10:14 AM PT – Friday, April 29, 2022President Joe Biden’s so-called Disinformation Governance Board is drawing scrutiny as his top pick to head the department has her own history of spreading disinformation.Biden’s pick to lead the Department of Homeland Security board is Nina Jankowicz. She’s known for tweets during a presidential debate in 2020 discrediting the story around Hunter Biden’s laptop, which has since been verified.Here's my official portrait to grab your attention. Now that I've got it: a HUGE focus of our work, and indeed, one of the key reasons the Board was established, is to maintain the Dept's committment to protecting free speech, privacy, civil rights, & civil liberties. 🇺🇸 pic.twitter.com/C4xiEGfhDt— Nina Jankowicz 🇺🇦🇺🇸 (@wiczipedia) April 27, 2022On Thursday, House Minority Leader Kevin McCarthy (R-Calif.) addressed concerns about the board by calling it Orwellian, alluding to c’s novel 1984 and the Ministry of Truth. The Republican lawmaker further criticized the board saying, “leave it to Democrats to think free speech is the problem and more government is the solution.”Here’s how the White House is responding:“What I can tell you is that it sounds like the objective of the board is to prevent disinformation and misinformation from traveling around the country in a range of communities,” said White House Press Secretary Jen Psaki. “I’m not sure who opposes that effort.”Few details have been released about the this new board.","FILE – Homeland Security logo is seen during a joint news conference in Washington, Feb. 25, 2015. The Department of Homeland Security is stepping up an effort to counter disinformation. (AP Photo/Pablo Martinez Monsivais, File)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2022/04/AP22118406242871.jpg, Fla. Sheriff Wayne Ivey Discusses Border CrisisTOPICS:2020disinformationDisinformation Governance BoardGeorge OrwellHunter BidenJoe BidenKevin McCarthyMinistry of TruthNina JankowiczWhite House TWEETPIN,https://www.oann.com/concerns-grow-over-bidens-orwellian-disinformation-board/
2022-04-29,7:28 AM PT,Biden touts economy amid dismal Commerce Dept. report,"Biden touts economy amid dismal Commerce Dept. reportPresident Joe Biden speaks about the war in Ukraine in the Roosevelt Room at the White House, Thursday, April 28, 2022, in Washington. (AP Photo/Andrew Harnik)OAN NewsroomUPDATED 7:28 AM PT – Friday, April 29, 2022President Joe Biden recently touted his economy as the GDP continues to shrink under his watch. On Thursday, the Democrat met with small business leaders to praise his administration contribution to the backbone of America. Biden noted the important role smaller enterprises play in the economy.“Small businesses typically account for more than 40 percent,” he stated. “People don’t realize that 40 percent of the gross domestic product in the United States, they create two-thirds of all new jobs. They employ nearly half, nearly half, of all the private sector workers.”Biden did not, however, mention the toll inflation and surging fuel prices has taken on the country’s entrepreneurs. A Goldman Sachs survey of 10,000 small business owners found 80 percent of respondents claimed to have suffered under the burden of inflation in the past six months. Furthermore, 60 percent of those surveyed said they had no choice but to pass those costs on to their customers.However, Biden instead pointed to government aid as a saving grace of ailing businesses. He specifically praised his American Rescue Plan, which some economist believe kick started the country’s inflationary problem. The former vice president then pivoted to criticize the economic model proposed by Sen. Rick Scott (R-Fla.), which he claimed would hurt small businesses.“Not only do they oppose making big corporations pay their fair share, they want middle class families and small business owners to pay more,” Biden claimed. “Our administration estimates that the Republican proposal would raise taxes on 6.1 million small business owners, including 82 percent of small business owners who earn less than $50,000 a year. It is just not right.”In response, a spokesperson for Sen. Scott said Biden could learn a thing or two from the Republican. As the governor of Florida, Scott cut taxes 100 times during his tenure and balanced his state’s budget. In contrary, the Biden White House has overseen rising inflation, surging gas prices and costs for necessary goods..@JoeBiden keeps lying, but the American people aren’t buying it. As long as Biden & the Democrats are working to destroy this great country, I’ll be fighting to rescue it. Read my full statement ⬇️ https://t.co/dCKgCqtYKg— Rick Scott (@SenRickScott) April 28, 2022Additionally, former Papa John’s CEO John Schnatter said Biden has put his heel on the neck of small businesses with over regulation, an artificial labor shortage and an overall hostility to entrepreneurialism. Meanwhile, a recent Commerce Department report shows the US economy shrank by 1.4 percent in the past quarter.","President Joe Biden speaks about the war in Ukraine in the Roosevelt Room at the White House, Thursday, April 28, 2022, in Washington. (AP Photo/Andrew Harnik)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2022/04/AP22118591239120.jpg, Study: Illegal Immigrant Population In US Grew By About 1M In Biden’s First YearTOPICS:American Rescue PlanbusinessCommerce DepartmentECONOMYentrepreneurialismentrepreneursFloridaGas PricesGDPGoldman SachsinflationJoe BidenJohn SchnatternewsOANOANNPapa JohnpoliticsregulationRick Scottsmall businesstax hiketaxesus economy TWEETPIN,https://www.oann.com/biden-touts-economy-amid-dismal-commerce-dept-report/
2022-04-29,7:01 AM PT,US Marine killed during Russia’s invasion of Ukraine,"US Marine killed during Russia’s invasion of UkraineDamaged cars and a destroyed accommodation building are seen near a checkpoint in Brovary, outside Kyiv, Ukraine, Tuesday, March 1, 2022. (AP Photo/Efrem Lukatsky)OAN NewsroomUPDATED 7:01 AM PT – Friday, April 29, 2022A 22-year-old US Marine was reportedly killed fighting in Ukraine against Russian President Vladimir Putin’s forces. Family members of Willy Joseph Cancel said they were told he died on Monday.At the time of his death, he was working with a private military contracting company. According to his family, the company was apparently hiring people to fight in the war, which led Cancel to fly to Poland in March.“He wanted to go over because he believed in what Ukraine was fighting for and he wanted to be a part of it to contain it there so it didn’t come here,” explained his mother, Rebecca Cabrera. “And that maybe our American soldiers wouldn’t have to be involved in it.”At this time, Cancel’s body has not been recovered. He leaves behind a wife and 7-month-old baby.“He went there wanting help people, he had always felt that was his main mission in life,” said the Marine’s wife, Brittany Cancel. “My husbands was very brave and a hero. I did not expect to be a widow at 23-years-old or for our son to be without a father. All I want is for him to come home and to give the proper burial he deserves.”A State Department official said they are aware of these reports and are closely monitoring the situation. The official also reiterated that US citizens “should not travel to Ukraine due to the active armed conflict and the singling out of US citizens in Ukraine by Russian government security officials.”It's being reported that a former U.S. Marine, Willy Joseph Cancel, was killed fighting for Ukraine. He was just 22. He leaves behind a wife and 7-month-old daughter.RIP. pic.twitter.com/fuFnXGadwq— Clint Ehrlich (@ClintEhrlich) April 29, 2022","Damaged cars and a destroyed accommodation building are seen near a checkpoint in Brovary, outside Kyiv, Ukraine, Tuesday, March 1, 2022. (AP Photo/Efrem Lukatsky)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2022/03/APTOPIX_Russia_Ukraine_War_25340.jpg, Sen. Kennedy Questions Impartiality Of Biden’s Judicial Nominee Nusrat ChoudhuryTOPICS:Brittany CancelMarinenewsOANOANNPolandpoliticsRebecca CabreraRussiaRussian GovernmentSoldierUkraineUS MarineWarWilly Joseph Cancel TWEETPIN,https://www.oann.com/us-marine-killed-during-russias-invasion-of-ukraine/
2022-04-29,9:33 AM PT,Biden not considering $50K in student loan debt relief,"Biden not considering $50K in student loan debt reliefFILE – People walk on the campus at Stanford University in Stanford, Calif. A new federal report finds that record-keeping failures by the Education Department may have left thousands of Americans stuck with student debt that should have been forgiven. (AP Photo/Jeff Chiu, File)OAN NewsroomUPDATED 9:33 AM PT – Friday, April 29, 2022The Biden administration is taking a hard look at student loan relief. During a press conference Thursday, Joe Biden said $50,000 in debt reduction is not on the table, shutting down a mounting push from progressives.“I am not considering $50,000 debt reduction, but I’m in the process of taking a hard look at whether or not there will be additional debt forgiveness, ” stated the President. “And I’ll have an answer on that in the next couple of weeks.”Biden instead touted the steps he has taken while suggesting his administration reformed a system in place that didn’t work. During his 2020 campaign, The Democrat vowed to “immediately cancel at least $10,000 in relief per the nation’s roughly 43 million borrowers, which would forgive $321 billion in federal student loans.“In terms of the loan forgiveness, there is no simple solution here,” said Miguel Cardona, Secretary of Education. “But we do know our borrowers need relief do need relief.” This came shortly after a group of five Republican senators introduced the Stop Reckless Student Loan Actions Act, which would ban Biden from cancelling student debt. This measure is led by Senate Minority Whip John Thune (R-S.D.) who claims deferring student loan payments is costing the government money it doesn’t have.“My legislation…would continued to allow our president to temporarily suspend student loan payments during a future national emergency but would limit those suspension to a period of 90 days and subject them to income congressional disapproval. It would also endure that relief is targeted to those who need it most by preventing presidents from suspending payments to higher income individuals.”The measure would also prevent any future president from using a national emergency to cancel student loan debt. Thune said as Americans return to the workforce since the start of the pandemic, it’s time to resume repayments.","FILE – People walk on the campus at Stanford University in Stanford, Calif. A new federal report finds that record-keeping failures by the Education Department may have left thousands of Americans stuck with student debt that should have been forgiven. (AP Photo/Jeff Chiu, File)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2022/04/AP22110778376232.jpg, White House Press Secretary Psaki Dodges Question About Hunter Biden’s Business PartnerTOPICS:2020 campaignBiden AdministrationDepartment of EducationeducationJoe BidenJohn ThuneMiguel CardonanewsOANOANNpoliticsStop Reckless Student Loan Actions Actstudentstudent debtstudent loan reliefstudent loans TWEETPIN,https://www.oann.com/biden-not-considering-50k-in-student-loan-debt-relief/
2022-04-29,11:10 AM PT,16 states sue USPS over potential gas truck purchase,"16 states sue USPS over potential gas truck purchaseUnited States Postal Service trucks sit outside the Roberto Clemente Post Office August 25, 2009 in Chicago, Illinois. The Postal Service announced it would offer $15,000 for buyouts of up to 30,000 employees eligible for retirement, early retirement, or those in select positions. (Photo by Scott Olson/Getty Images)OAN NewsroomUPDATED 11:10 AM PT – Friday, April 29, 2022The United States Postal Service is facing legal trouble as 16 states are suing them. Three lawsuits were filed in New York and California Thursday in an effort to stop the Postal Service from purchasing thousands of gas powered trucks.The complaints allege that the mail service made an error in its decision to replace its current fleet with roughly 165,000 trucks with only 10 percent consisting of battery electric vehicles. Instead, the attorneys general want the mail service to only purchase electric vehicles to be more environmentally friendly.University of Richmond School of Law Professor Carl Tobias weighed in on the lawsuits.“Sixteen attorneys general from states across the country and environmental organizations sued the Postal Service because they said that the decision to use so few electric vehicles in the new fleet of trucks didn’t take sufficient account of the environmental consequences of the decision that was made,” he stated.The lawsuits also claims that as a result of such a decision, there was a violation of the National Environmental Policy Act, which requires an environmental impact statement before undertaking a massive enterprise like the commitment to buy these vehicles. Additionally, the complaints call for a thorough review of the environmental impacts such a move would have.“They’re hoping to persuade the judges who hear the cases that the USPS just had it wrong and needs to go back and have a proper decision making process, which I think the plaintiffs believe should result in a much lower percentage of gas powered vehicles and a much higher percentage of electric vehicles,” explained Tobias. “If they were to dictate the choices, but I think they believe if a proper environmental review has done that that would appropriate outcome.”However, the Postal Service is defending its actions with a spokesperson for USPS saying they “conducted a robust and thorough review and fully complied with all of their obligations under the national environmental policy act.”Despite the push for electric powered delivery vehicles, Postmaster General Louis DeJoy has said repeatedly that the Postal Service does not have the funding to increase the number of electric vehicles in its fleet.","United States Postal Service trucks sit outside the Roberto Clemente Post Office August 25, 2009 in Chicago, Illinois. The Postal Service announced it would offer $15,000 for buyouts of up to 30,000 employees eligible for retirement, early retirement, or those in select positions. (Photo by Scott Olson/Getty Images)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2021/10/usps.jpg, Biden Requests $33B From Congress In Ukraine AidTOPICS:Accused New YorkCaliforniaCarl Tobiaselectricelectric vehiclesenvironemntEPALouis DejoyNational Environmental Policy ActNew YorknewsOANOANNpoliticsPostal ServiceUnited States Postal ServiceUniversity of RichmondUSPS TWEETPIN,https://www.oann.com/16-states-sue-usps-over-potential-gas-truck-purchase/
2022-04-29,8:35 AM PT,"‘More economic problems ahead,’ says Treasury Secy. Yellen","‘More economic problems ahead,’ says Treasury Secy. YellenTreasury Secretary Janet Yellen speaks during a news conference at the Treasury Department in Washington, Thursday, April 21, 2022. (AP Photo/Susan Walsh)OAN NewsroomUPDATED 8:35 AM PT – Friday, April 29, 2022Treasury Secretary Janet Yellen is defending Joe Biden’s spending packages despite the record-setting inflation and a slump in first quarter GDP. While speaking at the Brookings Institution on Thursday, she said the US is facing major economic problems in the near future.Yellen then pointed to skyrocketing costs of fuel, supply chain disruptions and low labor productivity as main reasons for concern. The US economy contracted by 1.4 percent in the first three months of this year, while inflation hit a 42-year high.“In recent weeks, energy price movements have been another significant source of global economic shocks,” stated the Treasury Secretary. “The Biden administration’s proposed energy agenda is designed to diminish our reliance on fossil fuels and help achieve greater energy independence.In today’s @BrookingsEcon event on policy responses to COVID, @SecYellen spoke on the #AmericanRescuePlan’s role in driving rapid recovery that has allowed our economy to face unknown risks—from Delta & Omicron to Putin’s unprovoked attack on Ukraine—from a position of strength. pic.twitter.com/wWMmME6Ty2— Treasury Department (@USTreasury) April 28, 2022Republican lawmakers have said Biden undermined US energy independence by restricting oil pipelines and drilling in the US and making America reliant on the imports from overseas.Our GDP decreased at an annual rate of 1.4% in the first quarter of this year.This is the weakest showing since the pandemic recovery began nearly two years ago.Yet Biden and House Democrats are STILL doubling down on their failed Socialist agenda.— House Republicans (@HouseGOP) April 29, 2022","Treasury Secretary Janet Yellen speaks during a news conference at the Treasury Department in Washington, Thursday, April 21, 2022. (AP Photo/Susan Walsh)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2022/04/AP22111575047408.jpg, DHS Secy. Mayorkas Testifies About Plans After Repeal Of Title 42TOPICS:Biden AdministrationBrookings InstitutiondrillingECONOMYfossil fuelsGDPinflationJanet YellenJoe BidennewsOANOANNOILoil pipelinesPipelinespoliticsspendingsupply chainTreasuryTreasury Department TWEETPIN,https://www.oann.com/more-economic-problems-ahead-says-treasury-secy-yellen/
2022-04-29,7:28 AM PT,GOP super PAC books $125M ad buy ahead of midterms,"GOP super PAC books $125M ad buy ahead of midtermsA woman votes in the presidential primary election at the the Summit View Church of the Nazarene in Kansas City, Mo., on March 10, 2020.Charlie Riedel / AP fileOAN NewsroomUPDATED 7:28 AM PT – Friday, April 29, 2022A Republican super PAC is looking to boost support for the GOP ahead of the midterms with a multi-million dollar ad buy. On Thursday, the Congressional Leadership Fund announced it would invest $125 million in traditional media and streaming platforms in 48 media markets that cover 46 House districts.#ICYMI CLF announced its largest ad reserve on record, booking $125 million in our opening salvo to win the Majority!Check out what media and pundits are saying about it ⬇️https://t.co/DaIUjFU5PL— Congressional Leadership Fund (@CLFSuperPAC) April 29, 2022They say around $111 million will be used to flip Democrat strongholds and $14 million will be for defensive action. The PAC is a huge supporter of House Minority Leader Kevin McCarthy (R-Calif.), who would likely become the House Speaker should Republicans net five seats in the chamber come November.","A woman votes in the presidential primary election at the the Summit View Church of the Nazarene in Kansas City, Mo., on March 10, 2020.Charlie Riedel / AP file",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2022/01/200521-missouri-voting-al-1012.jpg, GOP Conference Appears Confident In McCarthy Despite Leaked AudioTOPICS:Congressional Leadership FundelectionELECTIONSGOPgovernmentKevin McCarthymidtermsOANOANNPACpoliticsVOTING TWEETPIN,https://www.oann.com/gop-super-pac-books-125m-ad-buy-ahead-of-midterms/
2022-04-28,12:00 PM PT,Biden requests $33B from Congress in Ukraine aid,"Biden requests $33B from Congress in Ukraine aidPresident Joe Biden speaks as he meets with small business owners in the South Court Auditorium on the White House complex in Washington, Thursday, April 28, 2022. (AP Photo/Susan Walsh)OAN NewsroomUPDATED 12:00 PM PT – Thursday, April 28, 2022President Joe Biden said he’s sending Congress a request for more security and humanitarian funding for Ukraine. During a press conference at the White House Thursday, Biden said in total he’s asking for an additional $33 billion for the war-torn country as the conflict continues for more than two months.Twenty billion dollars will be used for military assistance, $8 billion for economic assistance and $3 billion for humanitarian aid, which is expected to last through September 30. The President stressed the aid will help Ukraine continue defending it’s sovereignty against Russian aggression.“Basically, we’re out of money and so that’s why today, in order to sustain Ukraine as it continues to fight, I’m sending Congress a supplemental budget request, ” Biden stateted. “It’s going to keep weapons and ammunition flowing without interruption to the brave Ukrainian fighters, and continue delivering economic humanitarian assistance to the Ukrainian people.”Happening Now: President Biden delivers remarks on support for Ukrainians defending their country and their freedom against Russia’s brutal war. https://t.co/tsZNUzzD7f— The White House (@WhiteHouse) April 28, 2022Biden also is sending a proposal to Congress to use funds from seized assets of Russian oligarchs to help Ukraine fight Vladimir Putin’s invasion.","President Joe Biden speaks as he meets with small business owners in the South Court Auditorium on the White House complex in Washington, Thursday, April 28, 2022. (AP Photo/Susan Walsh)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2022/04/AP22118659540564.jpg, Clinton-China Ties Of Biden’s Top Banking Regulator PickTOPICS:AIDCongresshumanitarianJoe BidennewsOANOANNpoliticsRussiaRussian oligarchsUkraineVladimir PutinWar TWEETPIN,https://www.oann.com/biden-requests-33b-from-congress-in-ukraine-aid/
2022-04-28,9:48 AM PT,DHS Secy. Mayorkas testifies about plans after repeal of Title 42,"DHS Secy. Mayorkas testifies about plans after repeal of Title 42Homeland Security Secretary Alejandro Mayorkas testifies before the House Judiciary Committee, on Capitol Hill, Thursday, April 28, 2022, in Washington. (AP Photo/Evan Vucci)OAN NewsroomUPDATED 9:48 AM PT – Thursday, April 28, 2022House lawmakers grilled Secretary of Homeland Security, Alejandro Mayorkas during his testimony in front of the House Appropriations Committee.During his testimony Wednesday, Mayorkas claimed the department would not lose operational control of the border in light of Title 42 being lifted.. . and called the current migrant surge a challenge faced by the entire world.“The challenge congressman of migration is not a challenge the United States faces alone,” he stated. “What we are experiencing is a migration challenge throughout the region, throughout the Western Hemisphere and, in fact, through out the world. And that is why one of the pillars of the plan is to work with countries south of our border, so they manage their borders effectively.”Additionally, Mayorkas fielded questions about how he will be handling refugees escaping from Ukraine amid the ongoing crisis. According to DHS Secretary, they have begun the implementation of a multipart plan to address that issue.“For the Ukrainians who have fled Ukraine in a time of a brutal war, we have established a multipart plan,” he explained. “Number one is our traditional refugee processing and we deployed refugee affairs officers to the region to administer that. Number two, the Department of State issued guidance with respect to the availability of visas for Ukrainian nationals who qualify. Third, we announced this past Monday Uniting for Ukraine, a special humanitarian parole program that requires a sponsor here in the United States.”Mayorkas then went on to outline his plan to implement “regional solutions” to what he claims are the root causes of mass migration.“And we have to, of course, address the root causes,” he stated. “We have to build safe, humane and orderly pathways. We have to equip and enable countries to enforce their borders, to provide humanitarian relief where it is warranted, to repatriate individuals where it is not.”Despite his comprehensive plan, House representatives from both sides of the aisle remain skeptical of his handling of the southern border. This hearing came after US Customs and Border Protection reported more than 2 million border encounters since Joe Biden took office with the latest report showing over 221,000 in March alone.","Homeland Security Secretary Alejandro Mayorkas testifies before the House Judiciary Committee, on Capitol Hill, Thursday, April 28, 2022, in Washington. (AP Photo/Evan Vucci)",https://dzm0ugdauank9.cloudfront.net/wp-content/uploads/2022/04/AP22118557394210.jpg, Fla. Sheriff Wayne Ivey Discusses Border CrisisTOPICS:Alejandro MayorkasBorder Crisisborder secuirtyDHSHomeland SecurityHouse Appropriations Committeeimmigrationmass migrationmigrant caravannewsOANOANNpoliticsRussiaSouthern borderTitle 42Ukraine TWEETPIN,https://www.oann.com/dhs-secy-mayorkas-testifies-about-plans-after-repeal-of-title-42/
