id,headline,city,state
/program/2200111018,University of Alabama Medical Center Program,Birmingham,AL
/program/2200121020,USA Health Program,Mobile,AL
/program/2200411026,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,Little Rock,AR
/program/2200321024,University of Arizona College of Medicine-Phoenix Program,Phoenix,AZ
/program/2200321328,Creighton University School of Medicine (Phoenix) Program,Phoenix,AZ
/program/2200321025,University of Arizona College of Medicine-Tucson Program,Tucson,AZ
/program/2200531027,Kern Medical Center Program,Bakersfield,CA
/program/2200500335,Arrowhead Regional Medical Center Program,Colton,CA
/program/2200531029,University of California (San Francisco)/Fresno Program,Fresno,CA
/program/2200521044,University of California (San Diego) Medical Center Program,La Jolla,CA
/program/2200521329,Loma Linda University Health Education Consortium Program,Loma Linda,CA
/program/2200511036,University of Southern California/LAC+USC Medical Center Program,Los Angeles,CA
/program/2200512035,Kaiser Permanente Southern California (Los Angeles) Program,Los Angeles,CA
/program/2200521039,Adventist Health White Memorial Program,Los Angeles,CA
/program/2200531034,Cedars-Sinai Medical Center Program,Los Angeles,CA
/program/2200531038,UCLA David Geffen School of Medicine/UCLA Medical Center Program,Los Angeles,CA
/program/2200500338,UHS Southern California Medical Education Consortium Program,Murrietta,CA
/program/2200512040,Kaiser Permanente Northern California (Oakland) Program,Oakland,CA
/program/2200521031,University of California (Irvine) Program,Orange,CA
/program/2200521048,Stanford Health Care-Sponsored Stanford University Program,Palo Alto,CA
/program/2200500001,HCA Healthcare Riverside Program,Riverside,CA
/program/2200521028,University of California Davis Health Program,Sacramento,CA
/program/2200511012,Naval Medical Center (San Diego) Program,San Diego,CA
/program/2200512045,Kaiser Permanente Northern California (San Francisco) Program,San Francisco,CA
/program/2200521047,University of California (San Francisco) Program,San Francisco,CA
/program/2200521333,Santa Clara Valley Medical Center Program,San Jose,CA
/program/2200512311,Kaiser Permanente Northern California (Santa Clara) Program,Santa Clara,CA
/program/2200500336,Marian Regional Medical Center Program,Santa Maria,CA
