assessor_identification_number,taxrate_area,administrative_region_number,common_area_key,year_sold_to_state,recording_date,land_value,improvement_value,gross_personal_property_key,filler,fixture_value,real_estate_exemption,personal_property_exemption,fixture_exemption_value,homeowner's_exemption,first_owner_assessee_name,first_owner_assessee_name_overflow,second_owner_assessee_name,special_name_assessee,situs_address_key,situs_address_date_of_last_change,situs_address_postal_city_code,situs_address_house_number,situs_address_fraction,situs_address_direction,situs_address_unit,situs_address_zip_code,situs_address_street_name,situs_address_city_and_state,mail_address_key,mail_address_date_of_last_change,mail_address_postal_city_code,mail_address_house_number,mail_address_fraction,mail_address_direction,mail_address_unit,mail_address_zip_code,mail_address_street_name,mail_address_city_and_state,legal_description_-_last_line_narrative,legal_description_-_last_line_lot,legal_description_-_last_line_division,legal_description_-_last_line_region,legal_description_line_one,legal_description_line_two,legal_description_line_three,legal_description_line_four,legal_description_line_five,zoning_code,use_code,effective_year,year_built,building_-_square_feet_-_main
7416020037,400,26.0,0,0,19670145,144200,661934,4,0,0,795165,25000,0,0,ARCHDIOCESE OF L A EDUC,AND WELFARE CORP,ST PETER AND PAUL,,D,19930701,103,706,,,,907440000,BAY VIEW AVE,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,EX OF STS LOT 10,,,,"TR=9459 LOT 8 AND EX OF ST LOT 7,9 AND",,,,,LARD1.5,7200,0,0,0
7416020038,400,26.0,0,0,19660000,246818,3951,Ã¿,0,0,0,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,WILMINGTON,,D,20010510,103,600,,W,,907440000,ANAHEIM ST,WILMINGTON CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,",1,2,3,4,5 AND 6",,,,"TR=9459 POR LOT B,ALL LOTS A,C,D,E,F,G,H",,,,,LAC2,2700,1963,1963,5000
7416024023,400,26.0,0,0,19670145,64521,110735,4,0,0,175256,5000,0,0,ARCHDIOCESE OF L A EDUC,AND WELFARE CORP,S S PETER AND PAUL,,D,19930701,103,943,,,,907440000,LAGOON AVE,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,24,,,"PERNELIA TRACT NO 22,23 AND",,,,,LARD2,7100,1951,1951,6030
7420026002,400,26.0,0,0,19661011,16732,1324,Ã¿,0,0,18056,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,0,0,0,,,,0,,,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,TRACT # 573,145,,,,,,,,LAR1,2700,1966,1966,5600
7420026003,400,26.0,0,0,19670145,16732,1776,Ã¿,0,0,18508,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,0,0,0,,,,0,,,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,TRACT # 573,146,,,,,,,,LAR1,2700,1966,1966,5600
7420026017,400,10.0,0,0,19960607,76723,0,Ã¿,0,0,0,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF,LOS ANGELES,,,D,0,0,0,,,,0,,,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,TRACT # 573,202,,,,,,,,LAR1,010V,0,0,0
7420026018,400,10.0,0,0,19630507,21258,28055,Ã¿,0,0,0,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,19930701,103,1036,,,,907440000,RAVENNA AVE,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,TRACT # 573,203,,,,,,,,LAR1,0100,1937,1927,1329
7420026019,400,26.0,0,0,19670145,49799,5861,Ã¿,0,0,55660,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,0,0,0,,,,0,,,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,,204,,,"TRACT # 573 LOTS 147,148 AND",,,,,LAR1,2700,1966,1966,5600
7420026020,400,26.0,0,0,19670145,16732,1776,Ã¿,0,0,18508,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,0,0,0,,,,0,,,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,TRACT # 573,205,,,,,,,,LAR1,2700,1966,1966,6800
7420026024,400,26.0,0,0,19670000,178011,1366757,Ã¿,0,0,1544768,0,0,0,ROMAN CATHOLIC ARCHBISHOP OF L A,,,,D,19930701,103,515,,W,,907440000,OPP ST,LOS ANGELES CA,F,20120404,0,3424,,,4TH FL,900100000,WILSHIRE BLVD,LOS ANGELES CA,"207,208,209 AND",210,,,"TRACT NO 573 LOTS 141,142,143,144,206,",,,,,LAR1,7100,0,0,0
