category,position
firefighter,!ST ASSISTANT FIRE CHIEF
firefighter,2ND ASSISTANT FIRE CHIEF
firefighter,40-HR TRG CAPT EMT
other,ACCOUNT CLERK PART-TIME
other,ACCOUNTANT I
other,ACCOUNTANT II
other,ACCOUNTANT III
other,ACCOUNTANT INTERN
other,ACCOUNTANT LL
other,ACCOUNTANT-AUDITOR II
other,ACCOUNTING CLERK I
other,ACCOUNTING CLERK II
other,ACCOUNTING CLERK IL
other,ACCOUNTING SYSTEMS TECHNICIAN
other,ACCOUNTING TECHNICIAN
other,ACCOUNTING TECHNICIAN I
other,ACCOUNTING TECHNICIAN II
firefighter,ACTING BATTALION CHIEF OF OPERATIONS
firefighter,ACTING DEPUTY FIRE CHIEF
firefighter,ACTING DEPUTY FIRE MARSHALL
firefighter,ACTING ENGINEER (56-HOUR)
firefighter,ACTING FIRE BATTALION CHIEF
firefighter,ACTING FIRE CAPTAIN
firefighter,ACTING FIRE CHIEF
firefighter,ACTING FIRE ENGINEER
firefighter,ACTING FIRE ENGINEER (56-HOUR)
other,ADM SUPPORT TECHNICIAN
other,ADMIN ASS'T I/TEMP
other,ADMIN ASSISTANT I - TEMP
other,ADMIN ASSISTANT I/TEMP
other,ADMIN ASSISTANT P/T
firefighter,ADMIN ASSISTANT TO FIRE CHIEF
other,ADMIN ASSISTANT-TEMP
other,"ADMIN ASSISTANT, P/T"
other,ADMIN ASST I
other,ADMIN ASST II
firefighter,ADMIN ASST TO FIRE CHIEF
firefighter,ADMIN CAPTAIN
firefighter,ADMIN CHIEF / FIRE MARSHALL
firefighter,ADMIN FIRE CAPTAIN
other,ADMIN INTERN
other,ADMIN INTERN II P/T
other,ADMIN OFFICE ASSISTANT-TEMP
other,ADMIN SECRETARY
other,ADMIN SERVICES TECHNICIAN I
other,ADMIN SPLST 1
other,ADMIN SPLST II
other,ADMIN SUPPORT TECHNICIAN
other,ADMIN TECH I
other,ADMIN TECH II
other,ADMIN TECHNICIAN
other,ADMIN. SECRETARY
other,ADMINISTRATIVE ASSISTANT (PART-TIME)
other,ADMINISTRATIVE ASSISTANT I
other,ADMINISTRATIVE ASSISTANT II
firefighter,ADMINISTRATIVE ASSISTANT TO FIRE CHIEF
firefighter,ADMINISTRATIVE ASSISTANT TO FIRE CHIEF - CONFIDENTIAL
firefighter,ADMINISTRATIVE ASSISTANT TO THE FIRE CHIEF
firefighter,ADMINISTRATIVE BATTALION CHIEF
firefighter,ADMINISTRATIVE BATTALION CHIEF(+9%)
firefighter,ADMINISTRATIVE CAPTAIN
firefighter,ADMINISTRATIVE CAPTAIN TRAINING OFFICER
firefighter,ADMINISTRATIVE CAPTAIN WITH PARAMEDIC LICENSE
firefighter,ADMINISTRATIVE CHIEF OFFFICER
