,employercounty,2011,2012,2013,2014,2015,2016,2017,2018
0,ALAMEDA,14236606.046847992,31861140.028850947,33554430.36107949,34130364.656566516,53440810.04969262,54263969.821701035,39367272.265531145,54391066.0
1,ALPINE,0.0,0.0,0.0,0.0,0.0,0.0,11.26867248694517,13372.0
2,AMADOR,53317.21678766244,8823.973082920285,78590.51829307555,85799.34662662206,76175.3140365459,66345.7657110001,547964.8102969974,583320.0
3,BUTTE,2231685.149484971,2609765.5045863567,1865370.905334461,1399383.5355501487,1996920.267702317,1743645.5681834281,1947364.9030882833,2189902.0
4,CALAVERAS,394440.9059878456,470681.53000078397,487057.4881673441,417206.9998225872,670146.9776767069,708572.9451932651,591875.7537043082,811676.0
5,COLUSA,31813.279538008086,94708.9674163959,56177.50708929115,47770.959883583404,77731.64199192463,105296.55674209502,208621.03144990208,128502.0
6,CONTRA COSTA,25011512.70709166,24875862.883934252,23103026.468777496,20677363.57166633,22161422.503352072,23549258.634402335,23860081.214478612,22239380.0
7,DEL NORTE,311.4571194857273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,EL DORADO,3364871.085547638,3867440.875846058,3855599.518876875,4784259.988248513,3749872.0907234503,3814574.454403413,4694761.502484497,5196447.0
9,FRESNO,3345253.752355083,4157391.731573996,6048790.220890551,8032882.169562216,11218110.430960644,12119911.773906592,12818675.314250162,13833207.0
10,GLENN,42084.666478467494,40750.17514830527,33567.23810402778,21372.140033623953,24010.25218022336,23597.092076481098,21356.183212304175,13995.0
11,HUMBOLDT,744657.1336762413,1092504.7695018162,1007002.0523615947,996748.497600703,1088331.9814528073,865175.4432870708,906288.106886423,1236533.0
12,IMPERIAL,866359.8403656101,942243.1824134778,1057367.461321188,1111681.160926095,1638172.3714501495,1681370.7559737845,1350943.7766726501,2080060.0
13,INYO,3534.3126892179657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,KERN,16738068.409635536,17518670.80411509,23353593.43517902,25619926.319110714,27005417.513992682,28255390.738078456,27931035.643129893,27320788.0
15,KINGS,675841.8552763195,749113.5353929109,1018730.8060242875,1664313.6398688836,1806994.2253382667,1968472.8945655748,2395862.1657677866,2536580.0
16,LAKE,171262.34403549408,282109.02541007166,56579.56803186855,392711.08429643145,474849.53794453567,531066.399050861,726409.361251632,776888.0
17,LASSEN,10863.043834106136,83966.64421108566,57929.11307236958,65619.43873344146,91110.34139323341,145488.198673372,78660.45608273498,134211.0
18,LOS ANGELES,324108818.0200232,345803959.0914789,391443463.80174977,417923351.0191867,461491095.76722336,485322595.9229365,504216530.17703545,498348831.0
19,MADERA,0.0,0.0,12652.523710384317,22567.554288321167,429.07612112211365,23470.495989700303,79012.8582041449,34175.0
20,MARIN,8158432.180880194,11162458.2876164,9739995.320265114,11227778.297521291,12903031.97011607,11413607.095788874,14176018.672470624,15697703.0
21,MARIPOSA,224926.7406230134,0.0,0.0,509.1382806163828,4187.994831594358,11352.84411288004,1288.726362597911,0.0
22,MENDOCINO,370251.0697077875,422168.2709478471,433845.315268483,363311.5943473743,432649.6365703725,422622.7263663143,439941.2669875979,74325.0
23,MERCED,871036.1624929425,637020.2035549711,892118.2580991343,511843.07773215737,1284552.1997071938,1362577.7457407485,1823140.0820169705,1887180.0
24,MODOC,22669.389696762235,69586.6741944476,36971.28222375803,56195.07701828197,28260.7543973639,36730.65139350102,51344.169549608356,30227.0
25,MONO,59325.32509258066,45485.89694417101,316828.33439647657,228838.56445154102,213838.8254007097,338211.3851970985,211729.13620675588,323204.0
26,MONTEREY,4150307.8468816876,3767341.060223699,4326777.2166794725,5363945.741872802,6399251.864887329,7618038.794380995,8206117.753133157,7922047.0
27,NAPA,1294067.4924490643,18434.316597994723,1557204.6667410727,1189536.8896703501,73505.50706067498,176004.13307945183,333509.6797731723,374302.0
28,NEVADA,677931.63207803,974139.0671097677,1120359.5241181848,1427802.9979513045,1730261.6420678683,1719712.6302899497,2000831.6807645238,2328614.0
29,ORANGE,73513965.15783387,75732813.15444219,72878318.8337161,76829627.39589337,79404780.85712114,80690423.75531128,94185103.33189459,90938296.0
30,PLACER,5654020.6317446055,6911358.324294191,6762786.85813691,7851355.661690659,8306703.341085575,7947954.474023675,9631356.911937011,8438859.0
31,PLUMAS,22336.72223580615,15704.440939223148,35480.530793236525,10181.704907576373,16900.30193614804,79825.63333152782,96414.76179830286,2272557.0
32,RIVERSIDE,16934672.646393023,15358930.114158036,16553725.347858189,17328284.843619056,18818811.456195123,19097178.720678985,25148810.65035085,20845227.0
33,SACRAMENTO,30299203.871489603,29038820.455743626,31855632.33413463,40207813.61338788,41080367.61285056,40433642.38301802,41549813.33899722,48794599.0
34,SAN BENITO,346917.4614228746,261835.10510292082,543462.434556592,367847.10422158026,328151.06075091666,647379.954088839,1107765.8244043733,1621545.0
35,SAN BERNARDINO,28741317.68649723,30251914.420111157,30499888.225320548,31258457.76065322,35207438.52873423,33459350.96740929,26143602.91094974,25880630.0
36,SAN DIEGO,50878087.8005948,66585619.73116286,64311343.31984442,66613367.87781327,66222165.56688342,69292762.53521354,77227321.68221691,79068766.0
37,SAN FRANCISCO,34262111.698131464,45861670.453322016,49112999.90257861,42040420.79050503,44087458.08444536,45939117.872357905,37779888.17831268,37166196.0
38,SAN JOAQUIN,6644477.837514927,6671793.142333862,7437009.783715064,8067966.135379116,10133223.051419266,9828913.90016958,12296922.460582575,11523184.0
39,SAN LUIS OBISPO,1038105.5569198759,1172565.8103565422,3432422.2924788697,3397900.846339382,3551644.220001097,4401988.667055544,4557504.973894418,4667125.0
40,SAN MATEO,10725506.24558196,13097603.270028833,13518040.193679519,13201727.586075377,18261865.35374256,18101431.445736993,21384735.979536556,21730698.48
41,SANTA BARBARA,11975784.262448527,14250932.206592506,14792598.173611443,16000674.955769299,19082784.06531135,21596692.904327787,23725234.132951215,23514129.0
42,SANTA CLARA,19444497.934248842,18384943.87652635,17357266.508260105,13901360.569593135,17943113.072993916,27830167.03756559,29773456.423772033,29584543.0
43,SANTA CRUZ,3268346.17051734,3330723.675533594,3180772.025146272,2691986.984493275,3304328.9815751617,4183166.807930602,3947219.282620757,4501477.0
44,SHASTA,1653955.635847941,1817121.6081779143,2215114.3414535723,2400113.918787172,343903.9813557677,2495439.0451528504,3095416.231633486,335851.0
45,SIERRA,0.0,0.0,0.0,0.0,0.0,0.0,2047.8251183093996,0.0
46,SISKIYOU,31732.903507173058,15977.86598517383,20978.31116472139,29325.304258752363,4404.122062974386,101146.08834325665,22528.12515094648,96588.0
47,SOLANO,3510985.778935623,6064540.176681448,5384195.33983525,7293335.863316099,8675790.975976408,8305312.209535555,11321182.451884788,11827858.0
48,SONOMA,5108031.83595108,6745220.93532183,7126145.392823569,7434312.010399772,8748316.494365383,6805600.560600314,10627633.564029858,11060772.0
49,STANISLAUS,6138852.19874277,2682167.3630539128,5509915.377142562,3522756.4026130373,6481752.078783377,7396494.596265944,8883806.496675096,9197955.0
50,SUTTER,662707.0722373622,838013.8611331306,803107.5705516469,892482.281254224,1049689.7038187133,1138294.4686571641,1382423.3254773174,1326385.0
51,TEHAMA,123276.73729322171,122551.29299546157,211594.0027558734,100595.11720228441,267867.4549040786,244944.59544513284,301256.6902659922,296598.0
52,TULARE,2260920.981817515,2115760.81816598,2622049.599265101,3045216.5165374083,3112118.7710206443,4173155.254588409,5010746.347690928,5444660.0
53,TUOLUMNE,133970.09839556503,166966.4574596897,75150.90309799663,180735.60398080564,353407.2228532131,248516.48833992344,281973.94279128587,259085.0
54,VENTURA,20028944.4281294,22328180.17658127,23227199.703262836,23711639.97939899,26331474.536953054,28240178.282691777,31404409.29652416,32381030.0
55,YOLO,2018127.1518900683,2568852.368110665,2547739.4670389816,3577845.1645757305,4242272.431192701,4239890.22479761,4296623.937149151,4691859.0
