index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,adjusted_overtime,adjusted_wages,adjusted_benefits,fire,employerfull
927671,2018,CITY,536683.0,FRESNO,FIRE DEPARTMENT,DEPUTY FIRE CHIEF,11035.0,184898.0,44962.0,FRESNO,11035.0,184898.0,44962.0,True,FRESNO_CITY
927672,2018,CITY,536683.0,FRESNO,FIRE DEPARTMENT,DEPUTY FIRE CHIEF,0.0,182404.0,42776.0,FRESNO,0.0,182404.0,42776.0,True,FRESNO_CITY
927673,2018,CITY,536683.0,FRESNO,FIRE DEPARTMENT,DEPUTY FIRE CHIEF,4086.0,225484.0,48956.0,FRESNO,4086.0,225484.0,48956.0,True,FRESNO_CITY
927674,2018,CITY,536683.0,FRESNO,FIRE DEPARTMENT,DEPUTY FIRE CHIEF,104909.0,258644.0,41245.0,FRESNO,104909.0,258644.0,41245.0,True,FRESNO_CITY
927677,2018,CITY,536683.0,FRESNO,FIRE DEPARTMENT,FIRE BATTALION CHIEF,19024.0,148451.0,37601.0,FRESNO,19024.0,148451.0,37601.0,True,FRESNO_CITY
927678,2018,CITY,536683.0,FRESNO,FIRE DEPARTMENT,FIRE BATTALION CHIEF,91829.0,230602.0,35199.0,FRESNO,91829.0,230602.0,35199.0,True,FRESNO_CITY
927679,2018,CITY,536683.0,FRESNO,FIRE DEPARTMENT,FIRE BATTALION CHIEF,46223.0,160232.0,34596.0,FRESNO,46223.0,160232.0,34596.0,True,FRESNO_CITY
927680,2018,CITY,536683.0,FRESNO,FIRE DEPARTMENT,FIRE BATTALION CHIEF,34729.0,195604.0,43399.0,FRESNO,34729.0,195604.0,43399.0,True,FRESNO_CITY
927681,2018,CITY,536683.0,FRESNO,FIRE DEPARTMENT,FIRE BATTALION CHIEF,58657.0,188568.0,37382.0,FRESNO,58657.0,188568.0,37382.0,True,FRESNO_CITY
927682,2018,CITY,536683.0,FRESNO,FIRE DEPARTMENT,FIRE BATTALION CHIEF,21781.0,150405.0,37601.0,FRESNO,21781.0,150405.0,37601.0,True,FRESNO_CITY
927683,2018,CITY,536683.0,FRESNO,FIRE DEPARTMENT,FIRE BATTALION CHIEF,25648.0,173538.0,36134.0,FRESNO,25648.0,173538.0,36134.0,True,FRESNO_CITY
927684,2018,CITY,536683.0,FRESNO,FIRE DEPARTMENT,FIRE BATTALION CHIEF,24553.0,151853.0,37185.0,FRESNO,24553.0,151853.0,37185.0,True,FRESNO_CITY
