index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,adjusted_overtime,adjusted_wages,adjusted_benefits,employer_full,fire
2325790,2018,COUNTY,1018241.0,FRESNO,P&RM-DEVELOPMENT SERVICES DIV.,ENGINEER II,99.0,57010.0,30410.0,FRESNO,99.0,57010.0,30410.0,FRESNO_COUNTY,True
2326643,2018,COUNTY,1018241.0,FRESNO,PUBLIC WORKS & PLANNING- ROADS,ENGINEER I,4562.0,73625.0,44860.0,FRESNO,4562.0,73625.0,44860.0,FRESNO_COUNTY,True
2326645,2018,COUNTY,1018241.0,FRESNO,PUBLIC WORKS & PLANNING- ROADS,ENGINEER I,575.0,33214.0,16906.0,FRESNO,575.0,33214.0,16906.0,FRESNO_COUNTY,True
2326648,2018,COUNTY,1018241.0,FRESNO,PUBLIC WORKS & PLANNING- ROADS,ENGINEER I,79.0,25183.0,12628.0,FRESNO,79.0,25183.0,12628.0,FRESNO_COUNTY,True
2326651,2018,COUNTY,1018241.0,FRESNO,PUBLIC WORKS & PLANNING- ROADS,ENGINEER II,294.0,42926.0,21237.0,FRESNO,294.0,42926.0,21237.0,FRESNO_COUNTY,True
2326653,2018,COUNTY,1018241.0,FRESNO,PUBLIC WORKS & PLANNING- ROADS,ENGINEER II,298.0,59408.0,31288.0,FRESNO,298.0,59408.0,31288.0,FRESNO_COUNTY,True
2326655,2018,COUNTY,1018241.0,FRESNO,PUBLIC WORKS & PLANNING- ROADS,ENGINEER II,1149.0,54087.0,27177.0,FRESNO,1148.9999999999998,54087.0,27177.0,FRESNO_COUNTY,True
2326656,2018,COUNTY,1018241.0,FRESNO,PUBLIC WORKS & PLANNING- ROADS,ENGINEER II,48.0,27647.0,14508.0,FRESNO,48.0,27647.0,14508.0,FRESNO_COUNTY,True
2326657,2018,COUNTY,1018241.0,FRESNO,PUBLIC WORKS & PLANNING- ROADS,ENGINEER II,250.0,23180.0,10271.0,FRESNO,250.0,23180.0,10271.0,FRESNO_COUNTY,True
3692244,2015,COUNTY,984541.0,FRESNO,PUBLIC WORKS & PLANNING- ROADS,ENGINEER I,146.0,32848.0,5691.0,FRESNO,154.67929304649036,34800.72204103503,6029.314087175181,FRESNO_COUNTY,True
3692245,2015,COUNTY,984541.0,FRESNO,PUBLIC WORKS & PLANNING- ROADS,ENGINEER II,6089.0,69176.0,29620.0,FRESNO,6450.974077808765,73288.3203820823,31380.82643860989,FRESNO_COUNTY,True
3692246,2015,COUNTY,984541.0,FRESNO,PUBLIC WORKS & PLANNING- ROADS,ENGINEER II,583.0,62386.0,29519.0,FRESNO,617.6577249733141,66094.67380820785,31273.82227013252,FRESNO_COUNTY,True
