index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,adjusted_overtime,adjusted_wages,adjusted_benefits,employerfull,fire
934211,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,2674.0,4910.0,805.0,LOS ANGELES,2674.0,4910.000000000001,805.0,GLENDALE_CITY,True
934212,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,16000.0,44148.0,6727.0,LOS ANGELES,16000.0,44148.0,6727.0,GLENDALE_CITY,True
934213,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,15460.0,43650.0,10327.0,LOS ANGELES,15460.0,43650.0,10327.0,GLENDALE_CITY,True
934214,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,13600.0,36352.0,5174.0,LOS ANGELES,13600.0,36352.0,5174.0,GLENDALE_CITY,True
934215,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,17466.0,48925.0,7419.0,LOS ANGELES,17466.0,48925.0,7419.0,GLENDALE_CITY,True
934216,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,22015.0,40949.0,6837.0,LOS ANGELES,22015.000000000004,40949.0,6837.0,GLENDALE_CITY,True
934217,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,0.0,365.0,82.0,LOS ANGELES,0.0,365.0,82.0,GLENDALE_CITY,True
934218,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,3165.0,8501.0,1205.0,LOS ANGELES,3165.0,8501.0,1205.0,GLENDALE_CITY,True
934219,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,10787.0,34757.0,9498.0,LOS ANGELES,10787.0,34757.0,9498.0,GLENDALE_CITY,True
934220,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,17124.0,39036.0,7339.0,LOS ANGELES,17124.0,39036.0,7339.0,GLENDALE_CITY,True
934221,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,19575.0,45839.0,9607.0,LOS ANGELES,19575.0,45839.0,9607.0,GLENDALE_CITY,True
934222,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,16533.0,41935.0,5991.0,LOS ANGELES,16533.0,41935.0,5991.0,GLENDALE_CITY,True
934223,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,13057.0,34634.0,8523.0,LOS ANGELES,13057.0,34634.0,8523.0,GLENDALE_CITY,True
934224,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,23747.0,47499.0,9640.0,LOS ANGELES,23747.0,47499.0,9640.0,GLENDALE_CITY,True
934225,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,21187.0,49964.0,6831.0,LOS ANGELES,21187.0,49964.0,6831.0,GLENDALE_CITY,True
934226,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,11310.0,36809.0,6047.0,LOS ANGELES,11310.0,36809.0,6047.0,GLENDALE_CITY,True
934227,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,16850.0,38047.0,8277.0,LOS ANGELES,16850.0,38047.0,8277.0,GLENDALE_CITY,True
934228,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,9764.0,32765.0,5433.0,LOS ANGELES,9764.0,32764.999999999996,5433.0,GLENDALE_CITY,True
934229,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,16497.0,40781.0,5806.0,LOS ANGELES,16497.0,40781.0,5806.0,GLENDALE_CITY,True
934230,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,15392.0,36574.0,8015.0,LOS ANGELES,15392.0,36574.0,8015.0,GLENDALE_CITY,True
934231,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,9111.0,31954.0,5459.0,LOS ANGELES,9111.0,31954.0,5459.0,GLENDALE_CITY,True
934232,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,8733.0,29344.0,7685.0,LOS ANGELES,8733.0,29344.0,7685.0,GLENDALE_CITY,True
934233,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,6482.0,25102.0,4411.0,LOS ANGELES,6482.0,25102.0,4411.0,GLENDALE_CITY,True
934234,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,14306.0,36195.0,5194.0,LOS ANGELES,14306.0,36195.0,5194.0,GLENDALE_CITY,True
934235,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,876.0,11980.0,2629.0,LOS ANGELES,876.0,11980.0,2629.0,GLENDALE_CITY,True
934236,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,8938.0,26395.0,7047.0,LOS ANGELES,8938.0,26395.0,7047.0,GLENDALE_CITY,True
934237,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,6814.0,26359.0,4709.0,LOS ANGELES,6814.0,26359.0,4709.0,GLENDALE_CITY,True
934238,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,1299.0,6554.0,1928.0,LOS ANGELES,1299.0,6554.0,1928.0,GLENDALE_CITY,True
934239,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,10523.0,28687.0,6933.0,LOS ANGELES,10523.0,28687.0,6933.0,GLENDALE_CITY,True
934240,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,3688.0,19546.0,3814.0,LOS ANGELES,3688.0,19546.0,3814.0,GLENDALE_CITY,True
934241,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,10947.0,30140.0,4628.0,LOS ANGELES,10947.0,30139.999999999996,4628.0,GLENDALE_CITY,True
934242,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,4083.0,21942.0,4315.0,LOS ANGELES,4083.0,21942.0,4315.0,GLENDALE_CITY,True
934243,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,7091.0,25034.0,4395.0,LOS ANGELES,7091.0,25034.0,4395.0,GLENDALE_CITY,True
934244,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,5856.0,16783.0,2569.0,LOS ANGELES,5856.0,16783.0,2569.0,GLENDALE_CITY,True
934245,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,9967.0,29171.0,7157.0,LOS ANGELES,9967.0,29171.0,7157.0,GLENDALE_CITY,True
934246,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,4865.0,19526.0,5841.0,LOS ANGELES,4865.0,19526.0,5841.0,GLENDALE_CITY,True
934247,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,11718.0,24042.0,3192.0,LOS ANGELES,11718.0,24042.0,3192.0,GLENDALE_CITY,True
934248,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,1406.0,9164.0,2875.0,LOS ANGELES,1406.0,9164.0,2875.0,GLENDALE_CITY,True
934249,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,1329.0,9384.0,3577.0,LOS ANGELES,1329.0,9384.0,3577.0,GLENDALE_CITY,True
934250,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,813.0,9391.0,2222.0,LOS ANGELES,813.0,9391.0,2222.0,GLENDALE_CITY,True
934251,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,4659.0,15354.0,4164.0,LOS ANGELES,4659.0,15354.0,4164.0,GLENDALE_CITY,True
934252,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,3384.0,14130.0,2783.0,LOS ANGELES,3384.0,14130.0,2783.0,GLENDALE_CITY,True
934253,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,1209.0,11684.0,2713.0,LOS ANGELES,1209.0,11684.0,2713.0,GLENDALE_CITY,True
934254,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,5752.0,17604.0,3070.0,LOS ANGELES,5752.0,17604.0,3070.0,GLENDALE_CITY,True
934255,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,1055.0,8712.0,3542.0,LOS ANGELES,1055.0,8712.0,3542.0,GLENDALE_CITY,True
934256,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,352.0,8655.0,2150.0,LOS ANGELES,352.0,8655.0,2150.0,GLENDALE_CITY,True
