index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,basewages,adjusted_overtime,adjusted_wages,adjusted_benefits,adjusted_basewages,employerfull
1114034,2018,CITY,883869.0,SAN FRANCISCO,FIRE DEPARTMENT,ASSISTANT DEPUTY CHIEF 2,0.0,291055.0,69253.0,SAN FRANCISCO,291055.0,0.0,291055.0,69253.0,291055.0,SAN_FRANCISCO_CITY
1114035,2018,CITY,883869.0,SAN FRANCISCO,FIRE DEPARTMENT,ASSISTANT DEPUTY CHIEF 2,0.0,252006.0,61531.0,SAN FRANCISCO,252006.0,0.0,252006.0,61531.0,252006.0,SAN_FRANCISCO_CITY
1114036,2018,CITY,883869.0,SAN FRANCISCO,FIRE DEPARTMENT,ASSISTANT DEPUTY CHIEF 2,0.0,270006.0,72906.0,SAN FRANCISCO,270006.0,0.0,270006.0,72906.0,270006.0,SAN_FRANCISCO_CITY
1114037,2018,CITY,883869.0,SAN FRANCISCO,FIRE DEPARTMENT,ASSISTANT DEPUTY CHIEF 2,19841.0,213062.0,13538.0,SAN FRANCISCO,193221.0,19841.0,213062.0,13538.0,193221.0,SAN_FRANCISCO_CITY
1114038,2018,CITY,883869.0,SAN FRANCISCO,FIRE DEPARTMENT,ASSISTANT DEPUTY CHIEF 2,0.0,247097.0,60757.0,SAN FRANCISCO,247097.0,0.0,247097.0,60757.0,247097.0,SAN_FRANCISCO_CITY
1114039,2018,CITY,883869.0,SAN FRANCISCO,FIRE DEPARTMENT,ASSISTANT DEPUTY CHIEF 2,5.0,5.0,0.0,SAN FRANCISCO,0.0,5.0,5.0,0.0,0.0,SAN_FRANCISCO_CITY
1114040,2018,CITY,883869.0,SAN FRANCISCO,FIRE DEPARTMENT,ASSISTANT DEPUTY CHIEF 2,16608.0,16608.0,0.0,SAN FRANCISCO,0.0,16608.0,16608.0,0.0,0.0,SAN_FRANCISCO_CITY
1114041,2018,CITY,883869.0,SAN FRANCISCO,FIRE DEPARTMENT,ASSISTANT DEPUTY CHIEF 2,11042.0,281737.0,72395.0,SAN FRANCISCO,270695.0,11042.0,281737.0,72395.0,270695.0,SAN_FRANCISCO_CITY
1114053,2018,CITY,883869.0,SAN FRANCISCO,FIRE DEPARTMENT,"BATTALION CHIEF, FIRE SUPPRESS",0.0,216855.0,57880.0,SAN FRANCISCO,216855.0,0.0,216855.0,57880.0,216855.0,SAN_FRANCISCO_CITY
1114054,2018,CITY,883869.0,SAN FRANCISCO,FIRE DEPARTMENT,"BATTALION CHIEF, FIRE SUPPRESS",29721.0,250993.0,58866.0,SAN FRANCISCO,221272.0,29721.0,250993.0,58866.0,221272.0,SAN_FRANCISCO_CITY
