index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,basewages,adjusted_overtime,adjusted_wages,adjusted_benefits,adjusted_basewages,employerfull
2615045,2018,COUNTY,1954286.0,SANTA CLARA,SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT,ASSISTANT FIRE MARSHAL,0.0,115474.0,25555.0,SANTA CLARA,115474.0,0.0,115474.0,25555.0,115474.0,SANTA_CLARA_COUNTY
2615047,2018,COUNTY,1954286.0,SANTA CLARA,SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT,BATTALION CHIEF,17944.0,167346.0,50015.0,SANTA CLARA,149402.0,17944.0,167346.0,50015.0,149402.0,SANTA_CLARA_COUNTY
2615048,2018,COUNTY,1954286.0,SANTA CLARA,SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT,BATTALION CHIEF,15967.0,223793.0,61845.0,SANTA CLARA,207826.0,15967.0,223793.00000000003,61845.0,207826.0,SANTA_CLARA_COUNTY
2615049,2018,COUNTY,1954286.0,SANTA CLARA,SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT,BATTALION CHIEF,0.0,255340.0,65525.0,SANTA CLARA,255340.0,0.0,255340.0,65525.0,255340.0,SANTA_CLARA_COUNTY
2615050,2018,COUNTY,1954286.0,SANTA CLARA,SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT,BATTALION CHIEF,0.0,233962.0,57975.0,SANTA CLARA,233962.0,0.0,233962.0,57975.0,233962.0,SANTA_CLARA_COUNTY
2615051,2018,COUNTY,1954286.0,SANTA CLARA,SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT,BATTALION CHIEF,51545.0,272784.0,56899.0,SANTA CLARA,221239.0,51545.0,272784.0,56899.0,221239.0,SANTA_CLARA_COUNTY
2615052,2018,COUNTY,1954286.0,SANTA CLARA,SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT,BATTALION CHIEF,19931.0,235692.0,63553.0,SANTA CLARA,215761.0,19931.0,235692.0,63553.0,215761.0,SANTA_CLARA_COUNTY
2615053,2018,COUNTY,1954286.0,SANTA CLARA,SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT,BATTALION CHIEF,28805.0,277087.0,61218.0,SANTA CLARA,248282.0,28805.0,277087.0,61218.0,248282.0,SANTA_CLARA_COUNTY
2615054,2018,COUNTY,1954286.0,SANTA CLARA,SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT,BATTALION CHIEF,29773.0,263909.0,61957.0,SANTA CLARA,234136.0,29773.0,263909.0,61957.0,234136.0,SANTA_CLARA_COUNTY
2615055,2018,COUNTY,1954286.0,SANTA CLARA,SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT,BATTALION CHIEF,51537.0,219386.0,47592.0,SANTA CLARA,167849.0,51537.0,219386.0,47592.0,167849.0,SANTA_CLARA_COUNTY
2615056,2018,COUNTY,1954286.0,SANTA CLARA,SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT,BATTALION CHIEF,0.0,85856.0,0.0,SANTA CLARA,85856.0,0.0,85856.0,0.0,85856.0,SANTA_CLARA_COUNTY
2615057,2018,COUNTY,1954286.0,SANTA CLARA,SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT,BATTALION CHIEF,0.0,21993.0,25859.0,SANTA CLARA,21993.0,0.0,21993.0,25859.0,21993.0,SANTA_CLARA_COUNTY
2615058,2018,COUNTY,1954286.0,SANTA CLARA,SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT,BATTALION CHIEF,67435.0,319319.0,61728.0,SANTA CLARA,251884.0,67435.00000000001,319319.0,61728.0,251884.0,SANTA_CLARA_COUNTY
2615059,2018,COUNTY,1954286.0,SANTA CLARA,SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT,BATTALION CHIEF,19797.0,231777.0,66989.0,SANTA CLARA,211980.0,19797.0,231777.0,66989.0,211980.0,SANTA_CLARA_COUNTY
2615060,2018,COUNTY,1954286.0,SANTA CLARA,SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT,BATTALION CHIEF,10514.0,232458.0,62121.0,SANTA CLARA,221944.0,10514.0,232458.0,62121.0,221944.0,SANTA_CLARA_COUNTY
