,stock_number,item,quantity,value,year
2,1385-01-534-9828,"UNMANNED VEHICLE,GROUND",5,1494305.0,10090
4,2355-01-554-8556,MINE RESISTANT VEHICLE,1,689000.0,2017
3,2320-01-484-6748,"TRUCK,CARGO",1,27234.0,2019
5,3770-01-630-7307,MWD WORLDWIDE DEPLOYABLE KENNEL SYSTEM,3,9232.0,2019
40,8415-DS-MIT-TENS,"Mittens, cold weather",39,2382.0,28279
12,5180-01-483-0249,"TOOL KIT,GENERAL MECHANICS",3,1780.0,2020
13,6115-00-012-3629,"GENERATOR SET,GASOLINE ENGINE",2,1627.0,4038
6,3805-DS-EAR-THMO,EARTH MOVING AND EXCAVATING EQUIPMENT,2,1000.0,2019
23,8340-01-521-6438,"SHELTER,ICS IMPROVED COMBAT SHELTER",3,726.0,4040
14,6530-01-543-3410,"STRETCHER,FOLDING",1,632.0,2019
11,5140-DS-TOO-LBOX,TOOLBOX,4,500.0,2020
1,1385-01-498-2182,"PARTS KIT,EXPLOSIVE ORDNANCE DISPOSAL",2,450.0,2017
10,5130-DS-SAW-0002,"SAW, POWER",2,425.0,4038
42,8460-DS-LUG-GAGE,LUGGAGE,3,400.0,2019
29,8415-01-457-1561,"GLOVES,COLD WEATHER",27,340.0,8078
7,4020-DS-FIB-ERRO,"FIBER ROPE, CORDAGE, AND TWINE",1,325.0,2019
26,8405-01-547-2559,"LINER,WET WEATHER PONCHO",106,315.0,16154
28,8415-01-457-1557,"GLOVES,COLD WEATHER",23,255.0,6058
31,8415-01-538-6308,"PARKA,EXTREME COLD WEATHER",2,248.0,4039
24,8340-01-600-4807,TARPAULIN,3,237.0,6058
15,6760-01-491-2838,"CASE,PHOTOGRAPHIC EQUIPMENT",8,183.0,2019
27,8415-01-457-1549,"GLOVES,COLD WEATHER",8,170.0,4038
16,7125-DS-LOC-KER2,"LOCKER, STORAGE",5,150.0,2019
30,8415-01-538-6289,"PARKA,EXTREME COLD WEATHER",5,124.0,2019
32,8415-01-538-6312,"PARKA,EXTREME COLD WEATHER",1,124.0,2020
33,8415-01-538-6315,"PARKA,EXTREME COLD WEATHER",1,124.0,2020
37,8415-01-545-8724,"PARKA,EXTREME COLD WEATHER",2,116.0,2019
34,8415-01-538-6706,"TROUSERS,EXTREME COLD WEATHER",3,106.0,2019
8,4220-DS-MAR-LIFD,MARINE LIFESAVING AND DIVING EQUIPMENT,2,100.0,2019
39,8415-DS-GLO-VESP,"Gloves, Safety",1,91.0,2019
25,8405-00-889-3683,"LINER,WET WEATHER PONCHO",6,74.0,4038
38,8415-01-546-7504,"JACKET,COLD WEATHER",1,66.0,2020
36,8415-01-538-6747,"JACKET,COLD WEATHER",3,62.0,2020
35,8415-01-538-6742,"JACKET,COLD WEATHER",11,62.0,2020
43,8465-00-433-2073,"CLIPBOARD,PILOTS",1,55.0,2019
41,8460-01-364-9493,BRIEF CASE,1,55.0,2020
17,7350-01-483-8988,OFFICE CONVENIENCE PACK,1,37.0,2020
9,5120-01-611-8069,"SHOVEL,HAND",4,33.0,2019
0,1005-01-630-9508,"MAGAZINE,CARTRIDGE",58,27.0,4034
22,7530-01-316-6585,"ENVELOPE,MAILING",10,24.0,2020
21,7520-01-622-2122,"CLIPBOARD,PORTABLE",6,9.0,2019
19,7510-01-272-3231,"BINDER,LOOSE-LEAF",6,8.0,2019
18,7510-00-281-6180,"BINDER,LOOSE-LEAF",12,4.0,2020
20,7510-01-384-7065,"BINDER,LOOSE-LEAF",21,2.0,2019
