,stock_number,item,quantity,value,year
57,2355-01-581-2392,MINE RESISTANT VEHICLE,3,2116263.0,6060
33,1385-01-534-9828,"UNMANNED VEHICLE,GROUND",7,2092027.0,14120
56,2355-01-570-7996,MINE RESISTANT VEHICLE,4,1980000.0,8072
44,2320-01-413-3739,"TRUCK,UTILITY",2,385026.0,4034
37,1385-DS-ROB-TEOD,EOD ROBOT,10,270261.0,20177
43,2320-01-311-5632,"TRUCK,MAINTENANCE",1,268050.0,2020
35,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,3,231000.0,6051
58,2360-01-576-8653,"UNMANNED VEHICLE,GROUND",18,228682.0,36306
36,1385-01-627-3659,"UNMANNED VEHICLE,GROUND",3,160125.0,6054
74,3805-01-063-2012,"GRADER,ROAD,MOTORIZED",1,157800.0,2019
151,5855-01-538-7994,"VIEWER,NIGHT VISION",13,133268.0,14120
55,2350-01-281-6451,"CARRIER,CARGO",1,125969.0,2019
40,2320-00-271-1432,TRUCK TRACTOR,1,116776.0,2019
49,2330-01-021-9413,"TRAILER,LIFT,TOWER,PORTABLE",1,103167.0,2019
38,2310-01-111-2274,"TRUCK,AMBULANCE",1,96466.0,2019
146,5855-01-533-0557,"SIGHT,THERMAL",6,90000.0,12114
248,8150-01-518-8749,"CONTAINER,FREIGHT,SPECIFIC PURPOSE",4,86173.0,6057
90,4220-01-523-7085,DIVER PROPULSION DEVICE,4,77270.0,2017
162,5855-DS-IMI-NTEN,IMAGE INTENSIFIER,46,64404.0,92826
53,2340-DS-MUL-E000,MULE,15,58558.0,20192
138,5855-01-432-0524,"VIEWER,NIGHT VISION",16,57712.0,32316
173,6115-01-565-0691,"POWER PLANT,ELECTRIC,TRAILER MOUNTED",1,53500.0,2019
213,6910-01-479-2464,"TRAINING SET,CHEMIC",1,52463.0,2017
143,5855-01-475-7061,"IMAGE INTENSIFIER,NIGHT VISION",7,47600.0,14126
214,6910-DS-TRA-INAI,TRAINING AIDS,2,45355.0,2019
107,4910-DS-PRE-SSUR,PRESSURE WASHER,3,40734.0,6057
34,1385-01-592-8822,"UNMANNED VEHICLE,GROUND",1,39942.0,2020
152,5855-01-548-1555,"SIGHT,NIGHT VISION SNIPERSCOPE",4,37943.0,8076
174,6115-DS-GEN-ERA1,"GENERATORS AND GENERATOR SETS, ELECTRICA",7,37532.0,14134
180,6230-01-382-7265,"FLOODLIGHT SET,ELECTRIC",4,36800.0,4038
163,5855-DS-NIG-HTVI,"NIGHT VISION EQUIP, EMIT, REFLECTED RAD",17,36000.0,34334
50,2330-DS-TRA-ILE1,TRAILER,7,34614.0,10096
45,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,29593.0,2020
124,5411-01-355-4321,"SHELTER,NONEXPANDABLE",1,29000.0,2019
142,5855-01-473-2904,"VIEWER,NIGHT VISION",2,28812.0,4034
172,6115-01-462-0292,"GENERATOR SET,DIESEL ENGINE",1,28425.0,2019
160,5855-01-610-3175,"VIEWER,NIGHT VISION",12,28350.0,2017
81,3895-DS-MIS-CCO0,MISCELLANEOUS CONSTRUCTION EQUIPMENT,1,26947.0,2019
149,5855-01-533-3888,"VIEWER,NIGHT VISION",7,25553.0,14119
134,5855-01-228-0937,NIGHT VISION GOGGLE,7,25046.0,14119
125,5411-01-355-6566,"SHELTER,NONEXPANDABLE",1,24000.0,2019
192,6515-01-582-4060,"RECORDER SYSTEM,DEFIBRILLATOR-MONITOR",1,23377.0,2020
21,1240-01-524-7984,"RANGE FINDER,LASER",3,18391.0,2017
210,6720-01-546-4674,"CAMERA SYSTEM,DIGITAL",2,17254.0,2017
46,2330-00-014-0494,"TRAILER,FLAT BED",2,16268.0,4038
28,1240-20-004-5448,BINOCULAR,5,16151.0,10095
246,8145-01-287-3295,"CONTAINER CONFIGURED,STD",1,16060.0,2019
41,2320-01-090-7831,"TRUCK,CARRYALL",1,15000.0,2019
157,5855-01-585-6610,THERMAL IMAGING SYSTEM,1,14575.0,2017
118,5140-DS-TOO-LBOX,TOOLBOX,6,14086.0,10095
144,5855-01-528-2743,"IMAGE INTENSIFIER,NIGHT VISION",4,12784.0,4034
106,4910-01-370-9855,"MOUNTER AND DEMOUNTER,PNEUMATIC TIRE",1,11590.0,2020
42,2320-01-123-3999,"TRUCK,CARGO",1,11561.0,2019
20,1240-01-508-2073,"RANGE FINDER,LASER",1,11500.0,2020
51,2340-01-574-6673,ALL TERRAIN VEHICLE WHEELED,1,11365.0,2018
109,4940-01-358-4247,"CLEANER,STEAM,PRESSURE JET,TRAILER MOUNTED",1,11330.0,2020
83,3930-01-172-7891,"TRUCK,LIFT,FORK",1,10884.0,2019
223,7035-DS-SWI-TCH6,"SWITCH, NETWORK",3,10792.0,6057
79,3830-DS-TRU-TRAA,TRUCK AND TRACTOR ATTACHMENTS,2,10115.0,2019
147,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",2,10000.0,4034
249,8340-01-456-3637,LIGHTWEIGHT MAINTENANCE ENCLOSURE (LME) GREEN,1,9351.0,2020
153,5855-01-553-1162,THERMAL IMAGING SYSTEM,1,9225.0,2017
204,6610-01-568-4023,CONTROL-DISPLAY UNIT,2,8562.0,2017
39,2310-DS-SED-AN00,SEDAN,1,8500.0,2019
154,5855-01-558-3616,NIGHT VISION DEVICE,6,8437.0,2019
129,5836-01-612-4545,"RECORDER,VIDEO",7,7918.0,4036
128,5820-01-549-6407,"RECEIVER-TRANSMITTER,RADIO",2,7520.0,4034
206,6650-01-336-8197,FIBERSCOPE,2,7500.0,2018
156,5855-01-579-6564,"ILLUMINATOR,INTEGRATED,SMALL ARMS",21,7422.0,4034
47,2330-00-141-8052,"CHASSIS,TRAILER",1,7285.0,2020
31,1385-01-483-4575,"TOOL KIT,EXPLOSIVE ORDNANCE DISPOSAL",1,7251.0,2017
75,3805-DS-EAR-THMO,EARTH MOVING AND EXCAVATING EQUIPMENT,1,6934.0,2019
137,5855-01-416-5085,"IMAGE INTENSIFIER,NIGHT VISION",3,6656.0,2020
61,2540-01-640-8348,"COVER,FITTED,VEHICULAR BODY",25,6654.0,4038
101,4240-DS-SAF-ERES,SAFETY AND RESCUE EQUIPMENT,34,6473.0,6057
150,5855-01-534-5931,"ILLUMINATOR,INTEGRATED,SMALL ARMS",60,6090.0,14125
205,6650-01-242-2508,BINOCULAR,1,5918.0,2018
203,6545-01-609-2699,MES COMBAT MEDIC-2012,2,5690.0,2019
64,2590-01-466-4774,"RACK,AMMUNITION STOWAGE",1,5640.0,2019
127,5820-01-526-5940,"RECEIVER-TRANSMITTER,RADIO",13,5435.0,2018
48,2330-00-349-2667,"TRAILER,TANK",1,5393.0,2019
110,4940-01-497-7255,"CLEANER,STEAM,PRESSURE JET",1,4985.0,2019
131,5836-01-619-8775,"RECORDER SET,VIDEO",4,4345.0,2018
231,7310-01-507-9310,MODERN BURNER UNIT V3,2,4197.0,2019
15,1240-01-411-1265,"SIGHT,REFLEX",24,4173.0,26226
27,1240-01-592-9079,"TELESCOPE,STRAIGHT",5,4089.0,6051
119,5180-00-357-7727,"TOOL KIT,ARTILLERY MECHANIC'S",5,4065.0,2019
178,6130-01-500-3401,"CHARGER,BATTERY",2,4061.0,2020
54,2340-DS-SCO-OTER,SCOOTER,4,4000.0,2019
130,5836-01-612-4732,"RECORDER,VIDEO",8,3959.0,2018
193,6515-01-591-3550,"RECORDER SYSTEM,DEFIBRILLATOR-MONITOR",1,3948.0,2019
80,3895-01-151-2749,"TAMPER,VIBRATING TYPE,INTERNAL COMBUSTION ENGINE DRIVEN",1,3775.0,2019
145,5855-01-533-0555,"ILLUMINATOR,INFRARED",20,3600.0,4037
25,1240-01-562-9459,"RANGE FINDER,LASER",17,3598.0,18157
122,5180-01-548-7634,"TOOL KIT,GENERAL MECHANICS",2,3524.0,4038
190,6515-01-291-1199,"RECORDER SYSTEM,DEFIBRILLATOR-MONITOR",1,3470.0,2019
161,5855-01-645-0531,"ILLUMINATOR,INFRARED",70,3323.0,4034
195,6515-DS-DEF-IBRI,DEFIBRULATOR,2,3284.0,4039
8,1080-01-457-2956,"CAMOUFLAGE NET SYSTEM,RADAR SCATTERING",3,3096.0,2017
120,5180-01-447-2200,"TOOL KIT,CARPENTERS",1,3026.0,2019
68,3220-00-278-1928,"SAW,RADIAL OVERARM,WOODWORKING",1,2898.0,2019
242,7830-DS-REC-GYME,RECREATIONAL AND GYMNASTIC EQUIPMENT,4,2866.0,6058
233,7490-DS-LAM-INAT,LAMINATOR,1,2850.0,2019
169,5965-01-619-0258,HEADSET-MICROPHONE,6,2537.0,2020
67,2920-DS-GEN-ERA0,GENERATOR,1,2500.0,2019
66,2920-01-407-0532,"GENERATOR,ENGINE ACCESSORY",1,2493.0,2017
32,1385-01-500-5438,"SHOTGUN MOUNT,ASSE",3,2444.0,2017
177,6130-01-495-2839,"CHARGER,BATTERY",1,2411.0,2019
87,3990-01-631-3807,CARGO DEPLOYMENT KI,4,2198.0,2018
216,7021-DS-LAP-TOP2,LAPTOP COMPUTER,6,2193.0,4038
215,7010-DS-LAP-TOPS,COMPUTER SYSTEMS LAPTOP,9,2103.0,2019
52,2340-DS-CAR-T000,"CART, MOTORIZED",2,2072.0,2020
78,3825-DS-SWE-EPER,"ROAD CLEARING, CLEANING, AND MARKING",1,2062.0,2019
211,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",2,2048.0,4038
243,7830-DS-TRE-ADM1,TREADMILL,3,2025.0,2020
30,1240-DS-OPT-SIGH,OPTICAL SIGHTING AND RANGING EQUIPMENT,10,1902.0,10093
218,7025-DS-ADP-IODV,ADP INPUT/OUTPUT AND STORAGE DEVICES,3,1820.0,2019
121,5180-01-483-0249,"TOOL KIT,GENERAL MECHANICS",2,1780.0,2020
29,1240-20-006-8632,"TELESCOPE,ARTICULATED",12,1657.0,2019
136,5855-01-333-9606,"LIGHT AIMING KIT,INFRARED",3,1637.0,6057
77,3825-DS-NOW-BLAD,SNOW PLOW BLADE,1,1571.0,2020
14,1240-01-165-2183,"TELESCOPE,STRAIGHT",2,1556.0,2018
209,6650-01-593-3671,BORESCOPE KIT,4,1500.0,2019
76,3825-01-599-7346,"SNOW REMOVAL UNIT,WALKING,POWER DRIVEN",1,1500.0,2020
102,4310-DS-COM-PRE1,"COMPRESSOR, AIR",1,1500.0,2019
72,3550-DS-VEN-DING,VENDING AND COIN OPERATED MACHINES,1,1500.0,2019
227,7125-DS-CAB-INE6,"CABINET, STORAGE",4,1490.0,4038
219,7025-DS-CON-TRO5,CONTROLLER,6,1482.0,2019
159,5855-01-594-2892,"ILLUMINATOR,INTEGRATED,SMALL ARMS",3,1419.0,2018
244,8115-00-168-2275,"CONTAINER,CARGO",1,1324.0,2019
104,4720-01-559-2546,"HOSE,AIR DUCT",3,1314.0,2020
108,4933-01-394-7781,"BORE LIGHT SYSTEM,LASER",2,1284.0,4034
117,5140-DS-CAB-INE0,"CABINET, TOOL",3,1250.0,4038
171,5965-DS-SPE-AKE1,"SPEAKERS, COMMUNICATIONS, PAIR",2,1248.0,2019
167,5895-01-518-8865,"KIT,DUAL,COM,LF,RG",8,1174.0,2017
18,1240-01-490-7308,"SIGHT,REFLEX",5,1171.0,2017
208,6650-01-504-8456,"SPOTTING INSTRUMENT,OPTICAL",10,1161.0,2018
103,4720-01-539-7168,"HOSE ASSEMBLY,AIR DUCT",3,1138.0,2020
306,8470-DS-PSH-IELD,"SHIELD,PERSONAL PROTECTIVE",3,1067.0,2020
158,5855-01-593-6375,"MOUNTING LOCKING MECHANISM,GOGGLES,NIGHT VISION",51,1001.0,4039
238,7830-DS-BIC-YCEE,"BICYCLE, EXERCISE",2,1000.0,2020
16,1240-01-412-6608,"TELESCOPE,STRAIGHT",25,987.0,2018
168,5965-01-572-7829,HEADSET-MICROPHONE,4,978.0,2020
230,7310-01-302-1173,POPCORN MACHINE,1,971.0,2019
88,4110-DS-REF-RIG0,REFRIGERATOR,1,968.0,2019
236,7730-DS-STE-REO0,STEREO,1,900.0,2019
10,1095-00-407-0674,"RACK,STORAGE,SMALL ARMS",3,872.0,4039
222,7035-DS-ROU-TER3,"ROUTER, DIGITAL",30,822.0,2019
22,1240-01-533-0939,"SIGHT,BORE,OPTICAL",20,800.0,2017
207,6650-01-387-1740,BINOCULAR,2,798.0,2020
84,3940-01-626-0971,"SLING,EYE",3,765.0,2019
65,2590-DS-VEH-MISC,MISCELLANEOUS VEHICULAR COMPONENTS,8,750.0,4038
60,2540-01-553-3259,"BELT,VEHICULAR SAFETY",15,744.0,10095
140,5855-01-440-1765,"BATTERY COMPARTMENT,NIGHT VISION VIEWER",4,736.0,8072
237,7730-DS-TEL-EVI3,"TELEVISION, PERSONAL/HOME USE",3,734.0,4038
298,8465-01-571-3552,FIELD PACK,1,685.0,2019
240,7830-DS-DUM-BBEL,DUMBELL,10,630.0,4038
115,5130-DS-SAW-0002,"SAW, POWER",2,600.0,2019
82,3920-DS-PAL-LETJ,PALLET JACK,1,593.0,2019
19,1240-01-492-5264,"SIGHT,HOLOGRAPHIC",2,588.0,2017
86,3950-DS-HOI-ST00,"WINCHES, HOISTS, CRANES, AND DERRICKS",1,536.0,2019
12,1095-01-216-9295,"RACK,STORAGE,SMALL ARMS",1,524.0,2020
201,6545-01-530-0929,"FIRST AID KIT,UNIVERSAL",55,516.0,10097
220,7025-DS-MON-IT08,"MONITOR, COMPUTER",2,500.0,2019
241,7830-DS-LEG-CURL,LEG CURL,1,500.0,2019
155,5855-01-569-8065,"MOUNT,VIEWER",1,497.0,2020
258,8415-01-538-6300,"PARKA,EXTREME COLD WEATHER",31,496.0,8080
62,2540-DS-BOX-0000,VEHICLE BOX,4,465.0,2019
212,6730-DS-OVE-RHEA,OVERHEAD PROJECTOR,1,449.0,2019
26,1240-01-576-6134,"SIGHT,REFLEX",4,446.0,2017
