,stock_number,item,quantity,value,year
29,2355-01-623-0967,MINE RESISTANT VEHICLE,1,767360.0,2019
28,2355-01-553-4634,MINE RESISTANT VEHICLE,1,658000.0,2018
63,4910-00-348-7791,"SHOP EQUIPMENT,AUTOMOTIVE VEHICLE",1,564085.0,2020
50,4230-01-521-9919,FIXED SITE DECONTAMINATION SYSTEM,1,119000.0,2018
18,2310-01-111-2274,"TRUCK,AMBULANCE",1,96466.0,2019
21,2320-01-371-9583,"TRUCK,UTILITY",1,63682.0,2019
168,8150-01-518-8749,"CONTAINER,FREIGHT,SPECIFIC PURPOSE",2,57449.0,4038
89,6115-01-155-2340,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,55633.0,2019
23,2320-DS-PIC-KUP0,PICKUP,2,40000.0,4038
83,5855-01-523-7713,"SIGHT,THERMAL",4,37648.0,8068
25,2330-DS-TRA-ILE1,TRAILER,2,33518.0,4039
90,6115-01-274-7388,"GENERATOR SET,DIESEL ENGINE",2,32320.0,4038
162,7830-DS-REC-GYME,RECREATIONAL AND GYMNASTIC EQUIPMENT,9,28200.0,4038
96,6350-01-599-6660,"SECURITY INSPECTION UNIT,X-RAY",1,26100.0,2020
20,2320-01-098-3466,"TRUCK,CARRYALL",1,25447.0,2019
84,5855-01-524-4313,"SIGHT,THERMAL",2,22600.0,4034
173,8340-01-538-8762,TENT,1,22455.0,2019
22,2320-01-595-9234,"VEHICLE,SPORT UTILITY,CLASS I-II,SUPCOMPCCT-COMPACT 4X2",1,22422.0,2019
15,1940-DS-BOA-T000,SMALL CRAFT BOAT,1,22000.0,2020
46,3930-DS-FOR-KLIF,FORKLIFT,1,21352.0,2019
14,1940-01-102-5914,"BOAT,PERSONNEL",1,21000.0,2019
24,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,20000.0,2019
38,3417-DS-MIL-LING,MILLING MACHINES,1,17997.0,2020
172,8340-01-533-1668,TENT,2,17476.0,2019
42,3750-DS-LAW-NRID,"LAWN MOWER, RIDING",1,14500.0,2019
26,2340-DS-ATV-4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",3,13500.0,6057
76,5180-01-069-4004,"TOOL KIT,DS-GS MAIN",3,10320.0,2017
13,1385-DS-ROB-TEOD,EOD ROBOT,1,10000.0,2017
19,2320-01-094-8229,"TRUCK,CARGO",1,9990.0,2019
16,2010-DS-OUT-MOTO,OUTBOARD MOTOR,1,9000.0,2019
39,3431-DS-WEL-DER0,ELECTRIC ARC WELDING EQUIPMENT,2,9000.0,4038
66,4940-00-473-6218,"CLEANER,STEAM,PRESSURE JET",2,8642.0,2019
77,5180-01-198-7594,"TOOL KIT,GENERAL MECHANICS",1,7519.0,2019
33,2541-01-555-4876,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",2,7457.0,4034
62,4320-01-476-0512,"PUMP,HYDRAULIC",1,7311.0,2020
61,4250-01-387-1553,"RECLAIMER,REFRIGERANT",1,6621.0,2019
85,5855-01-624-4209,THERMAL CAMERA,1,6094.0,2019
36,2805-01-267-5047,"OUTBOARD MOTOR,GASOLINE",2,5283.0,2019
163,7830-DS-TRE-ADM1,TREADMILL,1,4200.0,2019
78,5180-01-483-0249,"TOOL KIT,GENERAL MECHANICS",5,3560.0,4038
30,2530-01-576-5896,"WHEEL,PNEUMATIC TIRE",4,3225.0,2019
157,7490-DS-LAM-INAT,LAMINATOR,2,3182.0,2019
49,4220-01-003-6763,"LIFE RAFT,INFLATABLE",3,3003.0,6057
