,stock_number,item,quantity,value,year
167,2355-01-581-2392,MINE RESISTANT VEHICLE,3,2116263.0,6060
83,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,21,1617000.0,42357
168,2355-01-596-1330,MINE RESISTANT VEHICLE,2,1150000.0,4038
80,1385-01-534-9828,"UNMANNED VEHICLE,GROUND",3,896583.0,6051
166,2355-01-553-4634,MINE RESISTANT VEHICLE,1,658000.0,2017
156,2320-01-413-3739,"TRUCK,UTILITY",3,577539.0,6053
187,3805-DS-EAR-THMO,EARTH MOVING AND EXCAVATING EQUIPMENT,1,280613.0,2019
84,1385-01-627-3659,"UNMANNED VEHICLE,GROUND",5,266875.0,10090
165,2350-01-575-0646,"UNMANNED VEHICLE,GROUND",1,187312.0,2017
148,1680-00-183-0834,"TRANSMISSION ASSY,H",2,153350.0,4034
129,1615-00-987-5152,"QUILL ASSEMBLY,TRAN",1,151336.0,2018
182,3417-00-903-3770,"MILLING MACHINE,HORIZONTAL,UNIVERSAL",1,141017.0,2019
267,5855-01-228-0937,NIGHT VISION GOGGLE,36,128808.0,72632
169,2360-01-576-8653,"UNMANNED VEHICLE,GROUND",10,127046.0,20170
292,5855-DS-NIG-HTVI,"NIGHT VISION EQUIP, EMIT, REFLECTED RAD",7,110145.0,14140
5,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",134,100366.0,270278
366,6930-DS-OPS-TRND,OPERATION TRAINING DEVICES,2,98539.0,4035
159,2330-DS-TRA-ILE1,TRAILER,1,86155.0,2020
192,3990-DS-MHE-MISC,MISC MATERIALS HANDLING EQUIPMENT,2,78725.0,4038
188,3930-01-533-0855,"LIGHT CAPABILITY,ROUGH TERRAIN FORKLIFT",1,70000.0,2019
85,1385-01-627-4491,RECON SCOUT XT,6,69338.0,12102
158,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,63180.0,2020
147,1650-01-187-9395,"CYLINDER ASSEMBLY,ACTUATING,LINEAR",5,59671.0,4038
312,6115-01-462-0291,"GENERATOR SET,DIESEL ENGINE",4,50146.0,4038
