,stock_number,item,quantity,value,year
14,2355-01-581-2392,MINE RESISTANT VEHICLE,3,2116263.0,6060
12,2355-01-553-4634,MINE RESISTANT VEHICLE,2,1316000.0,4034
15,2355-01-596-1330,MINE RESISTANT VEHICLE,2,1150000.0,4038
6,1520-01-385-3844,"HELICOPTER,FLIGHT TRAINER",1,833400.0,2017
16,2355-01-623-0967,MINE RESISTANT VEHICLE,1,767360.0,2019
5,1520-01-020-4216,"HELICOPTER,OBSERVATION",4,763268.0,8072
13,2355-01-553-4636,MINE RESISTANT VEHICLE,1,740000.0,2019
8,2320-01-413-3739,"TRUCK,UTILITY",2,385026.0,4034
2,1385-01-534-9828,"UNMANNED VEHICLE,GROUND",1,298861.0,2017
7,2310-01-111-2274,"TRUCK,AMBULANCE",1,96466.0,2017
0,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",63,47187.0,127071
9,2340-01-420-2816,"UTILITY VEHICLE,4WD",4,29493.0,6057
10,2340-01-506-6222,"UTILITY VEHICLE,4WD",1,14069.0,2019
11,2340-DS-MUL-E000,MULE,1,12440.0,2019
4,1385-01-627-4491,RECON SCOUT XT,1,11556.0,2017
3,1385-01-574-4707,"UNMANNED VEHICLE,GROUND",1,10000.0,2018
21,3750-DS-LAW-NRID,"LAWN MOWER, RIDING",2,4263.0,4038
18,3630-DS-CLA-YCON,CLAY AND CONCRETE PRODUCTS IND MACHINERY,1,1950.0,2019
19,3695-01-657-8826,"SAW,CHAIN",2,1413.0,2019
17,2510-01-498-4996,"KIT,GUNNER SHIELD",1,1358.0,2017
20,3750-DS-LAW-NMOW,LAWN MOWER,2,299.0,2019
25,6530-01-566-0680,"PACK,MEDICAL SUPPLY",1,246.0,2019
23,6150-01-670-5564,"POWER STRIP,ELECTRICAL OUTLET",1,100.0,2019
27,8465-01-524-5250,ASSAULT PACK,5,77.0,2019
22,5110-01-473-9715,"SAW,HAND,METAL CUTT",1,23.0,2019
29,8465-01-525-0598,"POUCH,M4 THREE MAG",5,23.0,2019
26,7210-00-205-3205,"PILLOW,BED",17,19.0,2019
28,8465-01-524-7345,HOLSTER LEG EXTENDER,1,16.0,2019
1,1005-01-561-7200,"MAGAZINE,CARTRIDGE",5,14.0,2019
24,6515-DS-MED-SUPP,MEDICAL SUPPLIES,1,9.0,2019
