,stock_number,item,quantity,value,year
96,2320-01-413-3739,"TRUCK,UTILITY",7,1347591.0,14120
124,2355-01-623-0967,MINE RESISTANT VEHICLE,1,767360.0,2019
107,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,9,582041.0,18173
99,2320-01-447-3890,"TRUCK,CARGO",2,368666.0,4039
100,2320-01-447-6343,"TRUCK,CARGO",2,352856.0,4039
123,2355-01-529-2246,MINE RESISTANT VEHICLE,1,300000.0,2019
87,2320-01-230-0305,"TRUCK,DUMP",4,289700.0,8076
72,2310-01-111-2274,"TRUCK,AMBULANCE",3,289398.0,6057
88,2320-01-346-9317,"TRUCK,UTILITY",3,274287.0,6052
94,2320-01-380-8604,"TRUCK,UTILITY",3,269700.0,6053
90,2320-01-371-9579,"TRUCK,UTILITY",4,252432.0,8068
83,2320-01-128-9551,"TRUCK,UTILITY",5,252290.0,10087
92,2320-01-371-9584,"TRUCK,UTILITY",4,250508.0,8069
84,2320-01-128-9552,"TRUCK,UTILITY",5,249485.0,10089
102,2320-01-540-1993,"TRUCK,UTILITY",2,244818.0,4034
98,2320-01-447-3887,"TRUCK,CARGO",1,218378.0,2020
103,2320-01-540-2017,"TRUCK,UTILITY",1,212255.0,2018
168,3805-01-482-3284,"LOADER,SCOOP TYPE",1,204761.0,2019
175,3930-01-054-3833,"TRUCK,LIFT,FORK",2,200020.0,4039
104,2320-01-566-1538,SPECIAL PURPOSE VEHICLE,1,190744.0,2019
105,2320-01-571-2446,SPECIAL PURPOSE VEHICLE,1,190744.0,2018
310,5411-01-295-3433,"SHELTER,EXPANDABLE",1,189556.0,2019
97,2320-01-418-7400,"TRUCK,UTILITY",1,188000.0,2017
122,2350-01-575-0646,"UNMANNED VEHICLE,GROUND",1,187312.0,2017
355,5855-14-521-9283,"VIEWER,NIGHT VISION",4,184000.0,8076
113,2330-01-533-9904,"SEMITRAILER,TANK",2,181220.0,4038
93,2320-01-380-8233,"TRUCK,UTILITY",2,177268.0,4035
67,1385-01-478-3714,"UNMANNED VEHICLE,GROUND",1,139503.0,2019
117,2340-DS-ATV-4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",14,130554.0,24230
89,2320-01-354-3386,"TRUCK,CARGO",1,128076.0,2019
81,2320-01-107-7153,"TRUCK,UTILITY",2,127788.0,4036
48,1240-01-490-3413,"RANGE FINDER,LASER",7,109620.0,6053
342,5855-01-526-4703,"SIGHT,NIGHT VISION SNIPERSCOPE",10,101000.0,20180
333,5855-01-228-0937,NIGHT VISION GOGGLE,42,100184.0,56506
324,5825-DS-GPS-0001,"GPS EQUIPMENT, DEMIL D",15,98000.0,2017
73,2310-01-623-1545,"UTILITY VEHICLE,OFF ROAD",3,96000.0,6058
95,2320-01-412-0143,"TRUCK,UTILITY",1,89627.0,2017
125,2410-01-223-0350,"TRACTOR,FULL TRACKED,LOW SPEED",1,87683.0,2019
337,5855-01-464-3150,"SIGHT,THERMAL",7,87584.0,14126
86,2320-01-230-0302,TRUCK TRACTOR,1,86203.0,2019
349,5855-01-573-3929,"CAMERA,IR",1,84450.0,2017
82,2320-01-107-7155,"TRUCK,UTILITY",2,82122.0,4039
178,3950-DS-HOI-ST00,"WINCHES, HOISTS, CRANES, AND DERRICKS",1,76694.0,2020
339,5855-01-473-2904,"VIEWER,NIGHT VISION",5,72030.0,10095
75,2310-DS-PAS-SMOT,PASSENGER MOTOR VEHICLES,1,65500.0,2019
74,2310-01-654-4105,"UTILITY VEHICLE,OFF ROAD",2,63810.0,4035
91,2320-01-371-9583,"TRUCK,UTILITY",1,63682.0,2019
68,1385-01-543-4498,"TOOL KIT,EXPLOSIVE ORDNANCE DISPOSAL",2,62803.0,2017
192,4230-01-555-0686,DECONTAMINATION SYSTEM,2,59500.0,4036
387,6115-DS-GEN-ERA1,"GENERATORS AND GENERATOR SETS, ELECTRICA",11,58362.0,16155
332,5850-01-559-2664,EOD SEARCH KIT,1,57632.0,2018
298,5180-01-585-7545,"TOOL KIT,METAL WORKER'S",4,57611.0,4038
380,6115-01-274-7389,"GENERATOR SET,DIESEL ENGINE",2,53410.0,4040
65,1367-01-561-5277,"CAPABILITIES SET,NON-LETHAL",6,49024.0,8068
162,3431-01-498-4423,"WELDING SHOP,MARINE CORPS TACTICAL",1,42958.0,2020
114,2330-DS-TRA-ILE1,TRAILER,11,40754.0,18173
587,8145-01-551-3067,"SHIPPING AND STORAGE CONTAINER SET,ELECTRIC-ELECTRONIC EQUIPMENT",1,40618.0,2017
581,8115-DS-BXC-ARCR,"BOXES, CARTONS, AND CRATES",3,40000.0,4038
417,6350-01-620-4727,SECURITY SURVEILLANCE SYSTEM,1,40000.0,2018
106,2320-DS-PIC-KUP0,PICKUP,3,39675.0,6057
118,2340-DS-CAR-T000,"CART, MOTORIZED",3,38692.0,6057
341,5855-01-499-4054,"IMAGE INTENSIFIER,NIGHT VISION",3,37986.0,6057
351,5855-01-599-7164,"ILLUMINATOR,INTEGRATED,SMALL ARMS",32,37753.0,28249
407,6230-01-439-3732,"FLOODLIGHT SET,ELECTRIC",3,36000.0,6060
585,8145-01-465-3621,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",3,35701.0,6057
382,6115-01-317-2133,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,34948.0,2019
591,8150-01-527-2880,"CONTAINER,FREIGHT,UTILITY",3,30632.0,4038
101,2320-01-501-5871,"TRUCK,CARRYALL",1,30000.0,2019
232,4940-01-573-6331,"CLEANER,ULTRASONIC",2,29582.0,4038
77,2320-00-580-2954,"TRUCK,CARGO",1,29097.0,2019
80,2320-01-090-7835,"TRUCK,CARRYALL",1,28000.0,2019
383,6115-01-462-0291,"GENERATOR SET,DIESEL ENGINE",1,25073.0,2019
458,6665-01-587-3432,"TESTER,LEAKAGE,PROTECTIVE MASK",2,24247.0,4040
64,1367-01-561-4003,"CAPABILITIES SET,NON-LETHAL",3,24038.0,4038
311,5411-01-357-3582,"SHELTER,LMS,TY I",1,24032.0,2017
176,3930-01-172-7892,"TRUCK,LIFT,FORK",2,23656.0,4038
222,4910-01-225-3707,"LIFT,MOTOR VEHICLE",4,23000.0,2019
340,5855-01-473-4354,"VIEWER,NIGHT VISION",8,22992.0,2018
214,4310-01-543-0336,AIR COMPRESSOR-RESERVIOR,2,22817.0,2019
