,stock_number,item,quantity,value,year
200,2355-01-553-4634,MINE RESISTANT VEHICLE,5,3290000.0,10085
140,1385-01-534-9828,"UNMANNED VEHICLE,GROUND",9,2689749.0,18158
461,5855-01-511-0994,"VIEWER KIT,NIGHT VISION",128,1880173.0,258304
163,2310-01-111-2274,"TRUCK,AMBULANCE",18,1736388.0,36347
201,2355-01-623-0967,MINE RESISTANT VEHICLE,2,1534720.0,4038
199,2350-01-575-0646,"UNMANNED VEHICLE,GROUND",8,1498496.0,16136
180,2320-01-413-3739,"TRUCK,UTILITY",6,1155078.0,12107
430,5855-01-138-4749,"IMAGE INTENSIFIER,NIGHT VISION",70,752290.0,141190
161,1940-DS-BOA-T000,SMALL CRAFT BOAT,2,631112.0,4038
427,5850-01-559-2664,EOD SEARCH KIT,10,576320.0,20172
478,5855-01-535-7127,"VIEWER,NIGHT VISION",52,525348.0,104884
454,5855-01-474-8904,"SIGHT,NIGHT VISION SNIPERSCOPE",94,499516.0,189603
459,5855-01-505-1442,"IMAGE INTENSIFIER,NIGHT VISION",7,462000.0,14126
280,4220-01-472-1849,"DIVING,SURFACE,SUPPLY SET",2,430000.0,4036
164,2310-01-111-2275,"TRUCK,AMBULANCE",5,392495.0,10092
135,1385-01-456-9129,MK3MOD0,2,370986.0,4034
182,2320-01-447-6343,"TRUCK,CARGO",2,352856.0,4038
466,5855-01-526-4703,"SIGHT,NIGHT VISION SNIPERSCOPE",34,343401.0,68607
511,5855-01-600-2717,"SIGHT,THERMAL",37,290080.0,74703
144,1385-01-573-6046,"TRAILER,TRANSPORT,TOTAL CONTAINMENT BOMB DISPOSAL",1,284528.0,2018
804,6720-01-553-7118,"CAMERA SYSTEM,RECONNAISSANCE",31,281259.0,62527
469,5855-01-529-4684,"IMAGE INTENSIFIER,NIGHT VISION",4,264000.0,8068
445,5855-01-433-3157,"IMAGE INTENSIFIER,NIGHT VISION",40,255680.0,80680
176,2320-01-371-9583,"TRUCK,UTILITY",4,254728.0,8071
141,1385-01-543-4498,"TOOL KIT,EXPLOSIVE ORDNANCE DISPOSAL",5,251212.0,8068
484,5855-01-547-9489,"SIGHT,NIGHT VISION SNIPERSCOPE",28,246260.0,56528
181,2320-01-447-4938,"TRUCK,VAN",1,230363.0,2020
429,5855-01-138-4748,AVIATORS NIGHT VISI,15,223035.0,30285
172,2320-01-354-3385,"TRUCK,CARGO",2,209252.0,4038
507,5855-01-585-1631,"SIGHT,THERMAL",14,202748.0,28264
186,2320-01-523-1432,"TRUCK,CARGO",2,196862.0,4034
185,2320-01-523-1429,"TRUCK,CARGO",2,196862.0,4034
551,6115-01-591-1161,"GENERATOR,HEATING AND AIR CONDITIONER",2,196000.0,4038
184,2320-01-518-7330,"TRUCK,UTILITY",2,194922.0,4036
171,2320-01-346-9317,"TRUCK,UTILITY",2,182858.0,4034
471,5855-01-531-5726,"SIGHT,NIGHT VISION SNIPERSCOPE",18,181602.0,36321
151,1385-DS-ROB-TEOD,EOD ROBOT,11,181065.0,22197
179,2320-01-412-0143,"TRUCK,UTILITY",2,179254.0,4039
464,5855-01-524-4313,"SIGHT,THERMAL",15,169500.0,30285
156,1670-01-501-8140,"RECOVERY KIT,HELICO",1,159951.0,2019
177,2320-01-380-8229,"TRUCK,UTILITY",2,158376.0,4036
146,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,2,154000.0,4034
10,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",200,149800.0,403400
902,7360-01-417-4635,"KITCHEN,FIELD,TRAILER MOUNTED",1,145000.0,2020
518,5855-DS-NIG-HTVI,"NIGHT VISION EQUIP, EMIT, REFLECTED RAD",137,141138.0,276469
443,5855-01-432-0524,"VIEWER,NIGHT VISION",36,129852.0,72670
509,5855-01-587-0783,"IMAGE INTENSIFIER,NIGHT VISION",15,128000.0,8068
827,6920-01-619-0787,FATS 5 SYSTEM,2,120000.0,4038
173,2320-01-355-3063,"TRUCK,CARGO",1,118579.0,2019
83,1240-01-411-1265,"SIGHT,REFLEX",1031,118449.0,744598
481,5855-01-538-8121,"SIGHT,NIGHT VISION SNIPERSCOPE",14,111152.0,28252
148,1385-01-627-3659,"UNMANNED VEHICLE,GROUND",2,106750.0,4036
174,2320-01-355-3064,"TRUCK,CARGO",1,101742.0,2019
432,5855-01-228-0939,NIGHT VISION GOGGLE,13,99073.0,26221
165,2310-01-372-3934,"TRUCK,AMBULANCE",1,96466.0,2019
166,2310-01-654-4105,"UTILITY VEHICLE,OFF ROAD",3,95715.0,6051
152,1520-00-169-7137,"HELICOPTER,OBSERVATION",1,92290.0,2017
178,2320-01-380-8604,"TRUCK,UTILITY",1,89900.0,2019
711,6515-01-599-7958,"RECORDER SYSTEM,DEFIBRILLATOR-MONITOR",4,86204.0,8080
501,5855-01-573-2483,"SIGHT,THERMAL",6,84762.0,12102
512,5855-01-608-5809,"VIEWER KIT,NIGHT VISION",9,80811.0,18153
463,5855-01-524-4308,"SIGHT,THERMAL",10,80000.0,20170
504,5855-01-579-5845,"DETECTING SET,INFRARED",8,72000.0,16152
