,stock_number,item,quantity,value,year
44,2355-01-596-1330,MINE RESISTANT VEHICLE,8,4600000.0,16152
45,2355-01-623-0967,MINE RESISTANT VEHICLE,1,767360.0,2019
43,2355-01-581-2392,MINE RESISTANT VEHICLE,1,705421.0,2020
31,2320-01-123-1601,LIGHT ARMORED VEHICLE,1,522942.0,2018
123,5855-DS-NIG-HTVI,"NIGHT VISION EQUIP, EMIT, REFLECTED RAD",31,378117.0,62565
29,2310-DS-BUS-0000,BUS,1,320142.0,2020
22,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,3,231000.0,6051
33,2320-01-413-3739,"TRUCK,UTILITY",1,192513.0,2017
25,1520-01-020-4216,"HELICOPTER,OBSERVATION",1,190817.0,2018
24,1520-00-169-7137,"HELICOPTER,OBSERVATION",2,184580.0,4034
26,1680-00-183-0834,"TRANSMISSION ASSY,H",2,153350.0,4034
113,5855-01-524-4313,"SIGHT,THERMAL",12,135600.0,24209
36,2330-DS-TRA-ILE1,TRAILER,9,119225.0,16156
173,6665-01-603-9109,"MONITOR,CHEMICAL AGENT",9,110490.0,4038
39,2340-DS-ATV-4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",6,66259.0,10097
114,5855-01-525-1631,"RECEIVER,INFRARED",7,54614.0,14133
30,2310-DS-VAN-0000,VAN,2,45315.0,4039
34,2320-DS-PIC-KUP0,PICKUP,2,37000.0,4039
53,3920-DS-MHE-NSPP,"MATERIAL HANDLING EQUIP, NONSELF-PROPEL",1,30859.0,2020
121,5855-01-585-7095,THERMAL IMAGING SYSTEM,2,27198.0,4038
139,6115-01-561-7455,"GENERATOR SET,DIESEL ENGINE",2,19912.0,2019
107,5855-01-433-3157,"IMAGE INTENSIFIER,NIGHT VISION",3,19176.0,6051
112,5855-01-523-7713,"SIGHT,THERMAL",2,18824.0,4034
98,5410-01-449-6640,"TOWER,SURVEILLANCE",2,15800.0,4036
100,5820-01-564-7598,"REMOTE CONTROL RADIO DEVICE,HANDHELD",7,15501.0,6057
176,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",18,14932.0,14134
210,7830-DS-RVT-RCMP,"RECREATIONAL CAMPER, TRUCK TRAILER",1,14522.0,2019
48,2540-01-556-3990,"SEAT,VEHICULAR",4,13080.0,8076
147,6230-01-572-5707,"LIGHT SET,GENERAL ILLUMINATION",3,13043.0,4036
23,1385-01-627-4491,RECON SCOUT XT,1,11556.0,2018
38,2340-01-574-6673,ALL TERRAIN VEHICLE WHEELED,1,11365.0,2018
68,4320-01-047-1927,"PUMP UNIT,CENTRIFUGAL",1,10854.0,2019
0,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",14,10486.0,28238
225,8340-01-475-2880,TENT,2,10121.0,2019
115,5855-01-531-5726,"SIGHT,NIGHT VISION SNIPERSCOPE",1,10089.0,2017
40,2340-DS-CAR-T000,"CART, MOTORIZED",1,10021.0,2019
163,6515-01-540-3238,DEFIBRILLATOR AND CARDIOSCOPE,1,9809.0,2020
37,2340-01-525-3088,ALL TERRAIN VEHICLE WHEELED,1,9652.0,2019
28,2010-DS-OUT-MOTO,OUTBOARD MOTOR,1,9280.0,2019
89,5180-01-483-0249,"TOOL KIT,GENERAL MECHANICS",14,8900.0,10100
32,2320-01-151-9558,"TRUCK,CARGO",1,8823.0,2019
12,1240-01-411-1265,"SIGHT,REFLEX",246,8025.0,50443
119,5855-01-538-8121,"SIGHT,NIGHT VISION SNIPERSCOPE",1,7939.0,2020
125,5895-01-578-1600,"EXTRACTOR,TARGET,INTERROGATOR SET",2,7500.0,2018
174,6710-01-577-8888,"CAMERA,MOTION PICTURE",1,7196.0,2019
105,5855-01-228-0937,NIGHT VISION GOGGLE,2,7156.0,4038
47,2530-01-576-5896,"WHEEL,PNEUMATIC TIRE",8,6450.0,4038
108,5855-01-433-3158,"IMAGE INTENSIFIER,NIGHT VISION",5,6392.0,2019
52,3750-DS-LAN-DSCP,GARDENING IMPLEMENTS AND TOOLS,1,6200.0,2019
92,5180-01-580-7176,"TOOL KIT,VEHICULAR,SPECIAL PURPOSE",12,5952.0,6057
85,5180-00-629-9783,"TOOL KIT,GENERAL MECHANICS",14,5855.0,10097
42,2340-DS-SCO-OTER,SCOOTER,1,5649.0,2019
91,5180-01-537-0489,"TOOL KIT,VEHICULAR,SPECIAL PURPOSE",2,5635.0,2020
120,5855-01-571-1258,"ILLUMINATOR,INTEGRATED,SMALL ARMS",75,5245.0,10092
88,5180-01-477-9080,"TOOL KIT,GENERAL MECHANICS",3,5068.0,4038
111,5855-01-505-3103,"ILLUMINATOR,INFRARED",13,5026.0,2017
86,5180-00-699-5273,"TOOL KIT,GENERAL MECHANICS",3,4618.0,4038
110,5855-01-504-4589,"IMAGE INTENSIFIER TUBE,NIGHT VISION",2,4518.0,4038
83,5130-DS-SAW-0002,"SAW, POWER",5,4262.0,8076
140,6115-DS-GEN-ERA1,"GENERATORS AND GENERATOR SETS, ELECTRICA",4,4174.0,6057
141,6130-01-500-3401,"CHARGER,BATTERY",1,4061.0,2019
180,6760-DS-LEN-S001,"LENS, CAMERA",10,4015.0,8076
106,5855-01-432-0524,"VIEWER,NIGHT VISION",98,3607.0,2019
116,5855-01-533-0555,"ILLUMINATOR,INFRARED",74,3600.0,4036
137,6115-01-501-7368,"GENERATOR SET,DIESEL ENGINE",1,3211.0,2019
35,2330-00-045-7718,"TRAILER,PERSONNEL",1,2980.0,2019
99,5810-01-500-9195,ENCRYPTION-DECRYPTION EQUIPMENT,1,2884.0,2018
170,6620-01-299-1811,"INDICATOR,ELECTRICAL TACHOMETER",3,2849.0,2018
212,7830-DS-TRE-ADM1,TREADMILL,7,2836.0,8080
195,7110-DS-SAF-E000,SAFE,148,2650.0,24228
215,8115-00-168-2275,"CONTAINER,CARGO",4,2648.0,4040
51,3405-DS-SAW-FILE,SAWS AND FILING MACHINES,2,2572.0,4038
206,7830-DS-BIC-YCEE,"BICYCLE, EXERCISE",3,2557.0,4040
54,3920-DS-PAL-LETJ,PALLET JACK,1,2500.0,2019
20,1240-01-589-9332,"SIGHT,INFINITY",3,2307.0,2018
132,5965-01-658-2940,"HEADSET,ELECTRICAL",2,2225.0,4038
138,6115-01-547-2420,"GENERATOR SET,GASOLINE ENGINE",1,2210.0,2019
61,4220-01-520-6429,"DRY SUIT,DIVERS",15,2098.0,2019
160,6515-01-516-2527,"SPINAL KIT,IMMOBILIZATION,FIELD",12,2076.0,6057
192,7110-01-502-5826,"DESK,FIELD",1,2052.0,2019
118,5855-01-538-0191,"ILLUMINATOR,INTEGRATED,SMALL ARMS",30,2028.0,4036
211,7830-DS-STE-PPER,STEPPER,1,2000.0,2019
208,7830-DS-ELL-IPTI,ELLIPTICAL,2,2000.0,2019
16,1240-01-540-3690,"SIGHT,REFLEX",75,1926.0,12103
75,5120-00-081-2309,"WRENCH SET,SOCKET",1,1884.0,2019
213,7910-01-111-8719,"CLEANER,VACUUM,ELECTRIC",2,1719.0,2019
87,5180-01-462-4254,"TOOL KIT,SMALL ARMS",1,1711.0,2019
90,5180-01-506-8287,"TOOL KIT,SMALL ARMS",2,1711.0,2019
57,4110-01-374-4927,"ICE MAKING MACHINE,CUBE",1,1703.0,2019
5,1005-01-523-5978,"RACK,TALL",3,1669.0,4039
122,5855-01-645-0531,"ILLUMINATOR,INFRARED",85,1662.0,2017
67,4310-DS-COM-PRE1,"COMPRESSOR, AIR",2,1523.0,4039
182,6910-01-579-3812,"MANIKIN,TRAUMA AND RESUSCITATION TRAINING",1,1410.0,2019
19,1240-01-576-6134,"SIGHT,REFLEX",27,1338.0,6051
21,1240-DS-OPT-SIGH,OPTICAL SIGHTING AND RANGING EQUIPMENT,12,1336.0,4036
10,1095-00-407-0674,"RACK,STORAGE,SMALL ARMS",18,1307.0,6057
277,8460-DS-LUG-GAGE,LUGGAGE,4,1280.0,8079
136,6110-01-589-4243,"CONTROLLER,WINCH",1,1259.0,2019
66,4240-DS-SAF-ERES,SAFETY AND RESCUE EQUIPMENT,7,1240.0,4038
191,7105-DS-WAR-DRO0,"WARDROBE, HOUSEHOLD",22,1211.0,6060
50,3110-00-872-6968,"BEARING,BALL,DUPLEX",2,1136.0,2019
194,7110-DS-CHA-IR02,"CHAIR, OFFICE",37,1127.0,12119
153,6510-01-549-0939,"DRESSING,CHEST SEAL WOUND",50,1118.0,12118
62,4220-01-608-4478,DIVERS SUIT,15,1100.0,2019
59,4110-DS-REF-RIG0,REFRIGERATOR,2,1099.0,4040
131,5965-01-605-4139,"HEADSET,ELECTRICAL",4,1095.0,2019
142,6130-20-000-3771,"INVERTER,POWER,STATIC",1,1055.0,2019
11,1095-01-602-9994,"RACK,STORAGE,SMALL ARMS",1,1022.0,2019
72,4940-00-529-0451,DEGREASER,1,1005.0,2019
203,7730-DS-TEL-EVI3,"TELEVISION, PERSONAL/HOME USE",6,1000.0,4038
157,6515-01-173-8896,"CUFF,TOURNIQUET",97,982.0,4040
129,5965-01-572-7829,HEADSET-MICROPHONE,30,978.0,2018
130,5965-01-572-7941,HEADSET-MICROPHONE,3,977.0,2019
224,8145-DS-CAS-E004,SHIPPING CASE,27,930.0,10096
293,8465-01-582-8211,"PACK,PATROL,COMBAT",2,928.0,2019
181,6760-DS-TRI-POD0,"TRIPOD, CAMERA",2,884.0,4038
