monthday,calls
01/01/2020,4686
01/02/2020,5220
01/03/2020,5117
01/04/2020,5019
01/05/2020,4427
01/06/2020,4826
01/07/2020,5022
01/08/2020,5112
01/09/2020,5077
01/10/2020,4885
01/11/2020,4573
01/12/2020,4252
01/13/2020,4748
01/14/2020,4752
01/15/2020,5388
01/16/2020,4850
01/17/2020,5209
01/18/2020,4613
01/19/2020,4832
01/20/2020,4606
01/21/2020,5515
01/22/2020,5714
01/23/2020,5489
01/24/2020,5461
01/25/2020,5323
01/26/2020,4811
01/27/2020,4801
01/28/2020,5314
01/29/2020,5387
01/30/2020,5450
01/31/2020,5491
02/01/2020,4905
02/02/2020,4702
02/03/2020,4992
02/04/2020,5232
02/05/2020,5373
02/06/2020,5461
02/07/2020,5526
02/08/2020,4820
02/09/2020,4418
02/10/2020,5112
02/11/2020,5374
02/12/2020,5550
02/13/2020,5464
02/14/2020,5121
02/15/2020,4783
02/16/2020,4594
02/17/2020,4671
02/18/2020,5058
02/19/2020,5777
02/20/2020,5529
02/21/2020,5232
02/22/2020,4680
02/23/2020,4920
02/24/2020,6724
02/25/2020,5984
02/26/2020,5398
02/27/2020,5569
02/28/2020,5392
03/01/2020,4727
03/02/2020,5124
03/03/2020,5234
03/04/2020,5415
03/05/2020,5587
03/06/2020,4897
03/07/2020,4990
03/08/2020,4759
03/09/2020,5021
03/10/2020,4552
03/11/2020,5408
03/12/2020,4283
03/13/2020,4363
03/14/2020,4394
03/15/2020,4531
03/16/2020,4327
03/17/2020,6015
03/18/2020,5783
03/19/2020,5243
03/20/2020,5006
03/21/2020,4717
03/22/2020,3858
03/23/2020,5001
03/24/2020,5224
03/25/2020,5269
03/26/2020,5028
03/27/2020,4724
03/28/2020,4621
03/29/2020,4248
03/30/2020,4413
03/31/2020,5719
04/01/2020,5435
04/02/2020,5371
04/03/2020,4732
04/04/2020,4374
04/05/2020,3999
04/06/2020,4367
04/07/2020,4745
04/08/2020,5068
04/09/2020,3963
04/10/2020,4735
04/11/2020,4426
04/12/2020,4433
04/13/2020,4869
04/14/2020,5640
04/15/2020,5756
04/16/2020,5500
04/17/2020,5591
04/18/2020,5344
04/19/2020,4947
04/20/2020,5218
04/21/2020,5600
04/22/2020,5545
04/23/2020,5674
04/24/2020,5625
04/25/2020,5449
04/26/2020,5104
04/27/2020,5376
04/28/2020,5701
04/29/2020,5785
04/30/2020,5931
05/01/2020,5757
05/02/2020,5596
05/03/2020,5139
05/04/2020,5386
05/05/2020,6151
05/06/2020,6021
05/07/2020,5884
05/08/2020,5685
05/09/2020,5348
05/10/2020,4616
05/11/2020,5213
05/12/2020,6077
05/13/2020,5899
05/14/2020,5844
05/15/2020,5974
05/16/2020,5177
05/17/2020,5129
05/18/2020,5193
05/19/2020,5668
05/20/2020,6070
05/21/2020,5254
05/22/2020,5567
05/23/2020,5972
05/24/2020,5945
05/25/2020,5679
05/26/2020,5548
05/27/2020,4810
05/28/2020,5028
05/29/2020,4128
05/30/2020,2435
05/31/2020,2611
06/01/2020,2702
06/02/2020,2618
06/03/2020,2463
06/04/2020,2485
06/05/2020,2761
06/06/2020,2594
06/07/2020,2830
06/08/2020,2977
06/09/2020,3051
06/10/2020,3743
06/11/2020,4063
06/12/2020,4076
06/13/2020,4082
06/14/2020,3881
06/15/2020,4178
06/16/2020,4617
06/17/2020,4583
06/18/2020,4659
06/19/2020,4522
06/20/2020,4539
