president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Joe Biden,All polls,12/30/2021,43.369715,47.938583,38.800847,51.57065,57.041282,46.100017,09:43:13 30 Dec 2021
Joe Biden,All polls,12/29/2021,43.105517,47.640352,38.570682,51.750632,57.320214,46.181051,09:33:14 29 Dec 2021
Joe Biden,All polls,12/28/2021,43.076009,47.605901,38.546116,51.74528,57.205542,46.285018,09:38:15 28 Dec 2021
Joe Biden,All polls,12/27/2021,42.99479,47.545743,38.443837,51.747572,57.158565,46.336578,09:34:13 27 Dec 2021
Joe Biden,All polls,12/26/2021,43.25585,47.754746,38.756954,51.543636,56.872677,46.214595,08:50:24 27 Dec 2021
Joe Biden,All polls,12/25/2021,43.25585,47.754745,38.756954,51.543636,56.872678,46.214594,08:50:33 27 Dec 2021
Joe Biden,All polls,12/24/2021,43.25585,47.754745,38.756954,51.543636,56.872678,46.214594,08:50:41 27 Dec 2021
Joe Biden,All polls,12/23/2021,43.25585,47.754746,38.756953,51.543636,56.872678,46.214594,15:05:14 23 Dec 2021
Joe Biden,All polls,12/22/2021,43.393962,47.918782,38.869142,51.437616,56.700127,46.175106,12:21:14 22 Dec 2021
Joe Biden,All polls,12/21/2021,43.664251,48.167267,39.161235,51.751454,56.896447,46.60646,20:53:13 21 Dec 2021
Joe Biden,All polls,12/20/2021,43.450916,48.090072,38.811761,51.933969,57.212336,46.655601,13:22:13 20 Dec 2021
Joe Biden,All polls,12/19/2021,43.93048,48.73667,39.124289,50.528406,55.718758,45.338054,09:28:22 20 Dec 2021
Joe Biden,All polls,12/18/2021,43.93048,48.73667,39.124289,50.528406,55.718758,45.338054,09:28:30 20 Dec 2021
Joe Biden,All polls,12/17/2021,43.93048,48.736675,39.124284,50.528406,55.718758,45.338055,16:48:13 17 Dec 2021
Joe Biden,All polls,12/16/2021,43.705067,48.46924,38.940894,50.740676,55.771966,45.709385,15:07:13 16 Dec 2021
Joe Biden,All polls,12/15/2021,43.837404,48.610063,39.064745,50.636105,55.566232,45.705979,20:27:13 15 Dec 2021
Joe Biden,All polls,12/14/2021,43.331325,48.090646,38.572004,50.71889,56.052295,45.385485,14:02:14 14 Dec 2021
Joe Biden,All polls,12/13/2021,43.074321,47.680354,38.468287,50.661553,56.023828,45.299278,09:38:13 13 Dec 2021
Joe Biden,All polls,12/12/2021,43.025095,47.65871,38.391481,50.676902,56.022878,45.330925,09:38:21 13 Dec 2021
Joe Biden,All polls,12/11/2021,43.025095,47.658713,38.391478,50.676902,56.022878,45.330925,09:38:29 13 Dec 2021
Joe Biden,All polls,12/10/2021,43.025095,47.65871,38.391481,50.676902,56.022881,45.330922,21:00:18 10 Dec 2021
Joe Biden,All polls,12/9/2021,42.568008,47.018086,38.117931,50.989003,56.36952,45.608487,13:02:13  9 Dec 2021
Joe Biden,All polls,12/8/2021,42.522661,46.782776,38.262547,51.329697,57.009081,45.650313,11:56:12  8 Dec 2021
Joe Biden,All polls,12/7/2021,42.821155,47.015478,38.626832,51.273021,57.213313,45.332729,20:13:13  7 Dec 2021
Joe Biden,All polls,12/6/2021,42.680474,46.907887,38.453062,50.913629,56.788296,45.038961,20:29:15  6 Dec 2021
Joe Biden,All polls,12/5/2021,42.6072,47.088182,38.126217,51.643644,57.052333,46.234954,09:39:21  6 Dec 2021
Joe Biden,All polls,12/4/2021,42.6072,47.088182,38.126217,51.643644,57.052333,46.234954,09:39:28  6 Dec 2021
Joe Biden,All polls,12/3/2021,42.6072,47.088179,38.126221,51.643644,57.052333,46.234954,09:31:13  3 Dec 2021
Joe Biden,All polls,12/2/2021,42.616224,47.120686,38.111762,51.620404,56.985422,46.255386,21:34:13  2 Dec 2021
Joe Biden,All polls,12/1/2021,42.349388,46.893439,37.805337,51.489896,57.018425,45.961366,13:15:13  1 Dec 2021
Joe Biden,All polls,11/30/2021,42.869872,47.169147,38.570598,51.284809,56.438589,46.131029,20:29:25 30 Nov 2021
Joe Biden,All polls,11/29/2021,42.725346,46.895052,38.555641,51.361603,56.445776,46.277431,20:51:13 29 Nov 2021
Joe Biden,All polls,11/28/2021,42.865003,47.170509,38.559498,51.806104,56.675612,46.936597,09:17:21 29 Nov 2021
Joe Biden,All polls,11/27/2021,42.865003,47.170502,38.559505,51.806104,56.675612,46.936596,09:17:28 29 Nov 2021
Joe Biden,All polls,11/26/2021,42.865003,47.170502,38.559505,51.806104,56.675612,46.936596,09:17:35 29 Nov 2021
Joe Biden,All polls,11/25/2021,42.865003,47.170502,38.559504,51.806104,56.675615,46.936594,09:17:43 29 Nov 2021
Joe Biden,All polls,11/24/2021,42.865003,47.170502,38.559504,51.806104,56.675615,46.936594,11:41:12 24 Nov 2021
Joe Biden,All polls,11/23/2021,42.903037,47.377148,38.428926,52.269821,57.162894,47.376748,20:21:12 23 Nov 2021
Joe Biden,All polls,11/22/2021,42.762737,47.338815,38.186659,52.240825,57.245516,47.236133,14:23:12 22 Nov 2021
Joe Biden,All polls,11/21/2021,42.759668,47.352689,38.166647,52.278773,57.266732,47.290815,13:25:13 21 Nov 2021
Joe Biden,All polls,11/20/2021,42.526121,47.168273,37.883969,51.775293,56.738722,46.811863,13:25:20 21 Nov 2021
Joe Biden,All polls,11/19/2021,42.526121,47.168274,37.883969,51.775293,56.738725,46.81186,14:55:13 19 Nov 2021
Joe Biden,All polls,11/18/2021,42.483309,47.209813,37.756804,51.686698,56.720829,46.652568,21:20:13 18 Nov 2021
Joe Biden,All polls,11/17/2021,42.956841,47.299584,38.614097,51.598342,56.716966,46.479718,09:39:12 17 Nov 2021
Joe Biden,All polls,11/16/2021,42.836017,47.296209,38.375824,51.664529,56.73299,46.596068,09:42:12 16 Nov 2021
Joe Biden,All polls,11/15/2021,42.912122,47.378084,38.44616,51.609069,56.64954,46.568597,20:17:12 15 Nov 2021
Joe Biden,All polls,11/14/2021,42.679897,47.145461,38.214332,51.603303,56.677915,46.528691,13:13:12 14 Nov 2021
Joe Biden,All polls,11/13/2021,42.810891,47.373799,38.247982,51.43519,56.635982,46.234399,13:13:19 14 Nov 2021
Joe Biden,All polls,11/12/2021,42.810891,47.373795,38.247986,51.43519,56.635982,46.234398,16:09:11 12 Nov 2021
Joe Biden,All polls,11/11/2021,42.538759,47.083382,37.994136,51.587632,56.858479,46.316784,12:28:11 11 Nov 2021
Joe Biden,All polls,11/10/2021,42.651123,47.337107,37.965139,51.337574,56.725778,45.94937,20:20:13 10 Nov 2021
Joe Biden,All polls,11/9/2021,42.842128,47.492442,38.191814,51.577108,57.214309,45.939907,09:39:12  9 Nov 2021
Joe Biden,All polls,11/8/2021,42.751221,47.395607,38.106834,51.25495,56.824881,45.685019,12:50:12  8 Nov 2021
Joe Biden,All polls,11/7/2021,42.554764,47.100401,38.009127,51.101013,56.651221,45.550806,13:54:16  7 Nov 2021
Joe Biden,All polls,11/6/2021,42.934132,47.343508,38.524757,50.399428,55.533242,45.265613,13:54:22  7 Nov 2021
Joe Biden,All polls,11/5/2021,42.934132,47.343508,38.524757,50.399428,55.533242,45.265613,13:00:17  5 Nov 2021
Joe Biden,All polls,11/4/2021,43.039544,47.553906,38.525183,50.377122,55.638125,45.116119,20:33:23  4 Nov 2021
Joe Biden,All polls,11/3/2021,42.907958,47.350679,38.465238,50.720721,55.933161,45.508282,11:58:11  3 Nov 2021
Joe Biden,All polls,11/2/2021,42.8065,47.28708,38.32593,50.80684,56.13243,45.48125,11:58:12  2 Nov 2021
Joe Biden,All polls,11/1/2021,42.87445,47.37774,38.37115,50.72952,56.12373,45.3353,13:58:11  1 Nov 2021
Joe Biden,All polls,10/31/2021,43.01981,47.39532,38.6443,51.20585,56.44773,45.96397,12:39:11 31 Oct 2021
Joe Biden,All polls,10/30/2021,43.03038,47.4591,38.60166,50.98335,56.26618,45.70052,10:46:11 30 Oct 2021
Joe Biden,All polls,10/29/2021,43.06408,47.54195,38.58621,50.83033,56.16839,45.49226,13:50:11 29 Oct 2021
