cycle,full_name,state,party,incumbent_challenge_full,district,office_full,receipts,cash_on_hand_end_period
2022,Marjorie Taylor Greene,GA,REP,Incumbent,14,House,7491511.12,3511694.45
2022,Lauren Boebert,CO,REP,Incumbent,3,House,3581612.54,2056771.42
2022,Carla A Spalding,FL,REP,Challenger,23,House,1057663.97,62318.83
2022,Anthony Sabatini,FL,REP,Open seat,7,House,733149.94,468852.04
2022,Samuel James Peters,NV,REP,Challenger,4,House,502190.5,229450
2022,Mark. Pukita,OH,REP,Open seat,0,Senate,288032.66,6886.48
2022,Tina Forte,NY,REP,Challenger,14,House,242420.66,54010.76
2022,Mayra Nohemi Flores,TX,REP,Challenger,34,House,207698.82,29028.78
2022,J R Majewski,OH,REP,Challenger,9,House,200249.48,117611.81
2022,William Sreboe Prempeh,NJ,REP,Challenger,9,House,172981.61,15661.69
2022,"Robert ""Bobby"" Piton",IL,REP,Challenger,0,Senate,147637,62892.36
2022,Bob Lancia,RI,REP,Challenger,2,House,130695.1,67114.49
2022,Cordie Lee. Williams,CA,REP,Challenger,0,Senate,121186.2,110653.27
2022,Lavern Spicer,FL,REP,Challenger,24,House,106491.3,6647.23
2022,Omar Navarro,CA,REP,Challenger,43,House,66675.34,2068.9
2022,Ronald Watkins,AZ,REP,Challenger,2,House,53225.87,30299.25
2022,Darlene Swaffar,FL,REP,Challenger,22,House,42717.26,22518.78
2022,Robert Jeffries,PA,REP,Open seat,0,Senate,41877.5,2052.8
2022,Vic Degrammont,FL,REP,Challenger,20,House,26393.72,1685
2022,Johnny Mark. Teague,TX,REP,Challenger,7,House,24574.82,-15856.87
2022,Christine Yvonne Quinn,FL,REP,Challenger,13,House,19749,2756.94
2022,Jo Rae Perkins,OR,REP,Challenger,0,Senate,12061.13,12865.02
2022,Mike Cargile,CA,REP,Challenger,35,House,10455.51,2769.82
2022,Luis Miguel,FL,REP,Challenger,0,Senate,6645,3632.13
2022,Darren Dione. Aquino,FL,REP,Challenger,25,House,6390,23385.55
2022,Tricia Flanagan,NJ,REP,Challenger,4,House,1577.35,506.47
2022,Ruben Landon Dante,TX,REP,Challenger,14,House,1301.06,4451.06
2022,Samuel Lee Jr Williams,TX,REP,Challenger,16,House,125,125.57
,,,,,,,15297289.46,
