start,end,day_count
2022-03-02T00:00:00.000Z,2022-03-03T00:00:00.000Z,5782
2022-03-03T00:00:00.000Z,2022-03-04T00:00:00.000Z,10099
2022-03-04T00:00:00.000Z,2022-03-05T00:00:00.000Z,10017
2022-03-05T00:00:00.000Z,2022-03-06T00:00:00.000Z,19998
2022-03-06T00:00:00.000Z,2022-03-07T00:00:00.000Z,14079
2022-03-07T00:00:00.000Z,2022-03-08T00:00:00.000Z,9879
2022-03-08T00:00:00.000Z,2022-03-09T00:00:00.000Z,6434
2022-03-09T00:00:00.000Z,2022-03-10T00:00:00.000Z,13264
2022-03-10T00:00:00.000Z,2022-03-11T00:00:00.000Z,12205
2022-03-11T00:00:00.000Z,2022-03-12T00:00:00.000Z,10290
2022-03-12T00:00:00.000Z,2022-03-13T00:00:00.000Z,5047
2022-03-13T00:00:00.000Z,2022-03-14T00:00:00.000Z,13655
2022-03-14T00:00:00.000Z,2022-03-15T00:00:00.000Z,38568
2022-03-15T00:00:00.000Z,2022-03-16T00:00:00.000Z,19005
2022-03-16T00:00:00.000Z,2022-03-17T00:00:00.000Z,16692
2022-03-17T00:00:00.000Z,2022-03-18T00:00:00.000Z,11385
2022-03-18T00:00:00.000Z,2022-03-19T00:00:00.000Z,9778
2022-03-19T00:00:00.000Z,2022-03-20T00:00:00.000Z,5768
2022-03-20T00:00:00.000Z,2022-03-21T00:00:00.000Z,3935
2022-03-21T00:00:00.000Z,2022-03-22T00:00:00.000Z,7292
2022-03-22T00:00:00.000Z,2022-03-23T00:00:00.000Z,5488
2022-03-23T00:00:00.000Z,2022-03-24T00:00:00.000Z,8983
2022-03-24T00:00:00.000Z,2022-03-25T00:00:00.000Z,8690
2022-03-25T00:00:00.000Z,2022-03-26T00:00:00.000Z,13723
2022-03-26T00:00:00.000Z,2022-03-27T00:00:00.000Z,8708
2022-03-27T00:00:00.000Z,2022-03-28T00:00:00.000Z,3692
2022-03-28T00:00:00.000Z,2022-03-29T00:00:00.000Z,5030
2022-03-29T00:00:00.000Z,2022-03-30T00:00:00.000Z,7398
2022-03-30T00:00:00.000Z,2022-03-31T00:00:00.000Z,4486
2022-03-31T00:00:00.000Z,2022-04-01T00:00:00.000Z,5184
2022-04-01T00:00:00.000Z,2022-04-01T15:11:19.000Z,4386
2022-01-30T00:00:00.000Z,2022-01-31T00:00:00.000Z,10115
2022-01-31T00:00:00.000Z,2022-02-01T00:00:00.000Z,8642
2022-02-01T00:00:00.000Z,2022-02-02T00:00:00.000Z,5382
2022-02-02T00:00:00.000Z,2022-02-03T00:00:00.000Z,6121
