,geoid,tract,state,county,place_name,state_name,universe,white_alone,white_pct,black_alone,black_pct,asian_alone,asian_pct,latino_alone,latino_pct,white_alone_moe,black_alone_moe,asian_alone_moe,latino_alone_moe
3560,06037127520,127520,06,037,Los Angeles County,California,3872,202,5.217,314,8.11,157,4.055,3192,82.438,98.0,208.0,99.0,427.0
3561,06059052511,052511,06,059,Orange County,California,5361,3711,69.222,124,2.313,1144,21.339,205,3.824,349.0,125.0,262.0,101.0
3562,06107001400,001400,06,107,Tulare County,California,5570,2730,49.013,18,0.323,0,0.0,2604,46.75,410.0,29.0,132.0,359.0
3563,06067008113,008113,06,067,Sacramento County,California,3921,2649,67.559,23,0.587,71,1.811,1037,26.447,307.0,26.0,64.0,381.0
3564,06071000824,000824,06,071,San Bernardino County,California,5372,1995,37.137,266,4.952,122,2.271,2959,55.082,335.0,131.0,108.0,618.0
3565,06013347000,347000,06,013,Contra Costa County,California,5893,4708,79.891,0,0.0,547,9.282,443,7.517,336.0,132.0,142.0,222.0
3566,06013367100,367100,06,013,Contra Costa County,California,4553,334,7.336,2261,49.66,957,21.019,876,19.24,143.0,366.0,280.0,170.0
3567,06029003400,003400,06,029,Kern County,California,3735,2288,61.258,0,0.0,23,0.616,1248,33.414,343.0,132.0,26.0,475.0
3568,06037407301,407301,06,037,Los Angeles County,California,4314,172,3.987,53,1.229,625,14.488,3464,80.297,112.0,45.0,292.0,480.0
3569,06095252910,252910,06,095,Solano County,California,5611,3162,56.354,524,9.339,300,5.347,1246,22.206,258.0,149.0,132.0,311.0
3570,06073008358,008358,06,073,San Diego County,California,6725,2330,34.647,75,1.115,2547,37.874,1305,19.405,373.0,72.0,641.0,524.0
3571,06037651101,651101,06,037,Los Angeles County,California,5561,2347,42.205,89,1.6,2304,41.431,481,8.65,404.0,55.0,438.0,190.0
3572,06087101200,101200,06,087,Santa Cruz County,California,3542,2548,71.937,81,2.287,153,4.32,605,17.081,446.0,79.0,120.0,308.0
3573,06037532900,532900,06,037,Los Angeles County,California,6315,39,0.618,282,4.466,0,0.0,5994,94.917,47.0,107.0,132.0,546.0
3574,06071000808,000808,06,071,San Bernardino County,California,6103,2777,45.502,48,0.786,791,12.961,2281,37.375,479.0,75.0,484.0,547.0
3575,06037189600,189600,06,037,Los Angeles County,California,3721,2643,71.029,393,10.562,238,6.396,250,6.719,332.0,223.0,148.0,127.0
3576,06037219800,219800,06,037,Los Angeles County,California,3421,18,0.526,667,19.497,15,0.438,2701,78.954,20.0,169.0,18.0,400.0
3577,06081602800,602800,06,081,San Mateo County,California,4276,1178,27.549,71,1.66,2139,50.023,667,15.599,158.0,86.0,264.0,204.0
3578,06083003004,003004,06,083,Santa Barbara County,California,4933,2833,57.43,57,1.155,249,5.048,1686,34.178,246.0,52.0,93.0,361.0
3579,06037232600,232600,06,037,Los Angeles County,California,5960,106,1.779,1864,31.275,55,0.923,3845,64.513,148.0,303.0,63.0,540.0
3580,06037127603,127603,06,037,Los Angeles County,California,3062,610,19.922,184,6.009,0,0.0,2258,73.743,134.0,167.0,132.0,650.0
3581,06059076201,076201,06,059,Orange County,California,5559,3230,58.104,237,4.263,852,15.326,1170,21.047,273.0,244.0,178.0,313.0
3582,06101050201,050201,06,101,Sutter County,California,3575,1265,35.385,74,2.07,111,3.105,1803,50.434,259.0,71.0,100.0,424.0
3583,06059032057,032057,06,059,Orange County,California,6424,4929,76.728,33,0.514,659,10.258,743,11.566,502.0,51.0,216.0,273.0
3584,06053013900,013900,06,053,Monterey County,California,2544,950,37.343,88,3.459,166,6.525,1128,44.34,202.0,63.0,110.0,423.0
3585,06037530003,530003,06,037,Los Angeles County,California,2925,892,30.496,16,0.547,492,16.821,1518,51.897,189.0,23.0,134.0,229.0
3586,06001435103,435103,06,001,Alameda County,California,6311,2356,37.332,373,5.91,2569,40.707,685,10.854,346.0,111.0,444.0,248.0
3587,06029004402,004402,06,029,Kern County,California,5038,143,2.838,287,5.697,21,0.417,4569,90.691,199.0,212.0,45.0,598.0
3588,06037404402,404402,06,037,Los Angeles County,California,4995,387,7.748,35,0.701,496,9.93,4077,81.622,129.0,57.0,173.0,470.0
3589,06037400204,400204,06,037,Los Angeles County,California,7013,4931,70.312,296,4.221,576,8.213,1073,15.3,560.0,251.0,385.0,534.0
3590,06059088902,088902,06,059,Orange County,California,4707,653,13.873,54,1.147,2504,53.197,1470,31.23,251.0,74.0,303.0,332.0
3591,06037530901,530901,06,037,Los Angeles County,California,3855,38,0.986,0,0.0,21,0.545,3786,98.21,45.0,132.0,25.0,522.0
3592,06085511909,511909,06,085,Santa Clara County,California,8664,4458,51.454,38,0.439,3275,37.8,407,4.698,412.0,43.0,323.0,266.0
3593,06001450745,450745,06,001,Alameda County,California,5543,2363,42.63,67,1.209,2506,45.21,315,5.683,271.0,77.0,311.0,290.0
3594,06013367200,367200,06,013,Contra Costa County,California,4927,427,8.667,751,15.243,1438,29.186,2063,41.871,128.0,313.0,252.0,316.0
3595,06037910605,910605,06,037,Los Angeles County,California,3876,629,16.228,474,12.229,127,3.277,2472,63.777,228.0,163.0,74.0,591.0
3596,06037501803,501803,06,037,Los Angeles County,California,4877,441,9.042,0,0.0,124,2.543,4193,85.975,358.0,132.0,135.0,452.0
3597,06059075902,075902,06,059,Orange County,California,7336,3043,41.48,156,2.126,388,5.289,3592,48.964,446.0,139.0,306.0,967.0
3598,06065042733,042733,06,065,Riverside County,California,3137,1637,52.184,21,0.669,138,4.399,1235,39.369,367.0,27.0,124.0,357.0
3599,06075025702,025702,06,075,San Francisco County,California,3635,585,16.094,101,2.779,2144,58.982,698,19.202,165.0,117.0,394.0,161.0
3600,06111007505,007505,06,111,Ventura County,California,3232,2352,72.772,9,0.278,140,4.332,665,20.575,280.0,14.0,96.0,181.0
3601,06097151309,151309,06,097,Sonoma County,California,5029,3776,75.085,17,0.338,267,5.309,768,15.271,347.0,21.0,154.0,267.0
3602,06085507001,507001,06,085,Santa Clara County,California,6812,6168,90.546,8,0.117,324,4.756,254,3.729,407.0,13.0,128.0,104.0
3603,06037111302,111302,06,037,Los Angeles County,California,4410,2053,46.553,386,8.753,1121,25.42,726,16.463,367.0,256.0,320.0,215.0
3604,06083002808,002808,06,083,Santa Barbara County,California,6317,4828,76.429,38,0.602,177,2.802,1017,16.099,454.0,40.0,91.0,340.0
3605,06037204600,204600,06,037,Los Angeles County,California,4638,56,1.207,9,0.194,0,0.0,4564,98.404,44.0,15.0,132.0,504.0
3606,06037910201,910201,06,037,Los Angeles County,California,4042,1067,26.398,413,10.218,145,3.587,2187,54.107,173.0,226.0,142.0,495.0
3607,06073000300,000300,06,073,San Diego County,California,5108,3670,71.848,131,2.565,317,6.206,659,12.901,409.0,95.0,191.0,239.0
3608,06071010015,010015,06,071,San Bernardino County,California,4920,1851,37.622,83,1.687,0,0.0,2915,59.248,273.0,56.0,132.0,487.0
3609,06071002401,002401,06,071,San Bernardino County,California,9336,779,8.344,255,2.731,34,0.364,8099,86.75,231.0,225.0,42.0,796.0
3610,06037139503,139503,06,037,Los Angeles County,California,4919,3927,79.833,193,3.924,166,3.375,576,11.71,466.0,123.0,89.0,202.0
3611,06037532101,532101,06,037,Los Angeles County,California,6456,154,2.385,0,0.0,343,5.313,5959,92.302,115.0,132.0,182.0,497.0
3612,06037650502,650502,06,037,Los Angeles County,California,4600,2368,51.478,85,1.848,1150,25.0,765,16.63,484.0,73.0,214.0,334.0
3613,06067004006,004006,06,067,Sacramento County,California,4906,1665,33.938,1350,27.517,969,19.751,704,14.35,251.0,346.0,228.0,345.0
3614,06019004801,004801,06,019,Fresno County,California,4545,1457,32.057,165,3.63,77,1.694,2732,60.11,278.0,186.0,73.0,651.0
3615,06037106111,106111,06,037,Los Angeles County,California,4829,1310,27.128,383,7.931,155,3.21,2913,60.323,250.0,215.0,128.0,427.0
3616,06055200704,200704,06,055,Napa County,California,4302,2393,55.625,0,0.0,35,0.814,1773,41.213,356.0,132.0,102.0,445.0
3617,06047002202,002202,06,047,Merced County,California,10334,1412,13.664,317,3.068,185,1.79,8058,77.976,304.0,183.0,149.0,917.0
3618,06073008310,008310,06,073,San Diego County,California,5812,4287,73.761,0,0.0,367,6.315,1001,17.223,420.0,132.0,142.0,728.0
3619,06111980000,980000,06,111,Ventura County,California,0,0,,0,,0,,0,,132.0,132.0,132.0,132.0
3620,06037212306,212306,06,037,Los Angeles County,California,3363,82,2.438,22,0.654,1432,42.581,1827,54.326,81.0,35.0,191.0,403.0
3621,06059099406,099406,06,059,Orange County,California,4327,2990,69.101,13,0.3,482,11.139,669,15.461,379.0,20.0,144.0,291.0
3622,06067008510,008510,06,067,Sacramento County,California,4181,3066,73.332,109,2.607,629,15.044,296,7.08,349.0,129.0,158.0,157.0
3623,06037276604,276604,06,037,Los Angeles County,California,4245,2526,59.505,467,11.001,537,12.65,561,13.216,395.0,232.0,186.0,192.0
3624,06067007903,007903,06,067,Sacramento County,California,4326,3336,77.115,21,0.485,294,6.796,460,10.633,283.0,23.0,154.0,172.0
3625,06071008402,008402,06,071,San Bernardino County,California,6463,4106,63.531,173,2.677,336,5.199,1612,24.942,478.0,147.0,139.0,374.0
3626,06111004716,004716,06,111,Ventura County,California,4274,367,8.587,0,0.0,535,12.518,3302,77.258,110.0,132.0,157.0,430.0
3627,06053011204,011204,06,053,Monterey County,California,3045,269,8.834,0,0.0,305,10.016,2471,81.149,149.0,132.0,464.0,442.0
3628,06059052425,052425,06,059,Orange County,California,5433,3494,64.311,231,4.252,793,14.596,694,12.774,348.0,161.0,167.0,358.0
3629,06113010312,010312,06,113,Yolo County,California,4674,2834,60.633,188,4.022,386,8.258,1151,24.626,317.0,115.0,168.0,375.0
3630,06037209403,209403,06,037,Los Angeles County,California,3843,44,1.145,150,3.903,675,17.564,2940,76.503,32.0,141.0,143.0,398.0
3631,06067007426,007426,06,067,Sacramento County,California,2135,1219,57.096,451,21.124,145,6.792,213,9.977,293.0,303.0,120.0,215.0
3632,06037134306,134306,06,037,Los Angeles County,California,3430,753,21.953,115,3.353,737,21.487,1488,43.382,203.0,109.0,189.0,607.0
3633,06075031400,031400,06,075,San Francisco County,California,6133,475,7.745,1506,24.556,2629,42.866,1377,22.452,212.0,525.0,431.0,589.0
3634,06113011204,011204,06,113,Yolo County,California,4801,2780,57.905,0,0.0,237,4.936,1596,33.243,339.0,132.0,167.0,284.0
3635,06039000509,000509,06,039,Madera County,California,6035,3606,59.751,335,5.551,537,8.898,1501,24.872,311.0,206.0,473.0,291.0
3636,06029000504,000504,06,029,Kern County,California,4355,3189,73.226,0,0.0,35,0.804,1013,23.261,438.0,132.0,32.0,393.0
3637,06073003101,003101,06,073,San Diego County,California,3653,148,4.051,1416,38.763,66,1.807,1813,49.63,148.0,219.0,64.0,358.0
3638,06111007202,007202,06,111,Ventura County,California,4416,3610,81.748,124,2.808,256,5.797,319,7.224,292.0,87.0,116.0,156.0
3639,06037401202,401202,06,037,Los Angeles County,California,4507,2374,52.674,61,1.353,398,8.831,1568,34.79,326.0,51.0,274.0,316.0
3640,06065042508,042508,06,065,Riverside County,California,4468,1004,22.471,126,2.82,106,2.372,3131,70.076,518.0,95.0,92.0,446.0
3641,06115040301,040301,06,115,Yuba County,California,3712,1791,48.249,59,1.589,470,12.662,1116,30.065,406.0,69.0,151.0,450.0
3642,06001424002,424002,06,001,Alameda County,California,2108,441,20.92,1038,49.241,219,10.389,271,12.856,116.0,199.0,149.0,191.0
3643,06067000100,000100,06,067,Sacramento County,California,3637,2801,77.014,78,2.145,205,5.637,375,10.311,295.0,121.0,121.0,144.0
3644,06007001500,001500,06,007,Butte County,California,5300,4471,84.358,9,0.17,206,3.887,430,8.113,490.0,15.0,152.0,183.0
3645,06037191500,191500,06,037,Los Angeles County,California,5613,1090,19.419,90,1.603,985,17.549,3448,61.429,269.0,86.0,320.0,575.0
3646,06095251802,251802,06,095,Solano County,California,2411,775,32.144,632,26.213,381,15.803,580,24.056,178.0,229.0,138.0,218.0
3647,06037430701,430701,06,037,Los Angeles County,California,5503,1838,33.4,146,2.653,2656,48.265,559,10.158,263.0,169.0,411.0,228.0
3648,06065042744,042744,06,065,Riverside County,California,3569,1740,48.753,48,1.345,8,0.224,1600,44.83,473.0,57.0,15.0,652.0
3649,06037406102,406102,06,037,Los Angeles County,California,6022,1945,32.298,268,4.45,402,6.676,3242,53.836,293.0,216.0,142.0,535.0
3650,06037267800,267800,06,037,Los Angeles County,California,2919,2215,75.882,48,1.644,415,14.217,82,2.809,273.0,38.0,95.0,71.0
3651,06073011602,011602,06,073,San Diego County,California,3536,387,10.945,192,5.43,163,4.61,2764,78.167,312.0,111.0,134.0,624.0
3652,06033000701,000701,06,033,Lake County,California,4300,3428,79.721,222,5.163,14,0.326,410,9.535,605.0,130.0,24.0,296.0
3653,06053010604,010604,06,053,Monterey County,California,5983,527,8.808,68,1.137,698,11.666,4665,77.971,242.0,99.0,138.0,613.0
3654,06059099223,099223,06,059,Orange County,California,4940,845,17.105,0,0.0,2814,56.964,1212,24.534,195.0,132.0,528.0,583.0
3655,06071002301,002301,06,071,San Bernardino County,California,7896,783,9.916,588,7.447,275,3.483,6132,77.66,261.0,124.0,231.0,773.0
3656,06037535606,535606,06,037,Los Angeles County,California,2064,0,0.0,0,0.0,0,0.0,2064,100.0,132.0,132.0,132.0,177.0
3657,06037542800,542800,06,037,Los Angeles County,California,3292,0,0.0,1636,49.696,0,0.0,1629,49.484,132.0,501.0,132.0,373.0
