flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
718174262,7867318,B2095,B77L,CAO1059,CA1059,PVG,LAX,LAX,
718124238,7785911,9VSMW,A359,SIA37,SQ37,LAX,SIN,SIN,
718170126,7455586,HL8362,A359,AAR2067,OZ2067,ICN,LAX,LAX,
718165091,7701483,RPC7778,B77W,PAL102,PR102,MNL,LAX,LAX,
718173962,10799003,N407KZ,B744,GTI7101,KZ7101,LAX,NRT,NRT,
718134765,4958536,TCJJH,B77W,THY9,TK9,IST,LAX,LAX,
718154578,11137734,N740CK,B744,CKS335,K4335,LAX,ICN,ICN,
718160331,7869255,B1085,A359,CCA681,CA681,PEK,LAX,LAX,
718160725,4921630,HBJNI,B77W,SWR40,LX40,ZRH,LAX,LAX,
718162146,4595545,OHLWR,A359,FIN3,AY3,ARN,LAX,LAX,
718172237,4225428,GSTBO,B77W,BAW281,BA281,LHR,LAX,LAX,
718170995,8819250,JA788A,B77W,ANA106,NH106,HND,LAX,LAX,
718163134,7785914,9VSMZ,A359,SIA38,SQ38,SIN,LAX,LAX,
718161016,8159335,VHZND,B789,QFA93,QF93,MEL,LAX,LAX,
718164477,7866449,B6546,A332,CES7577,MU7577,PVG,LAX,LAX,
718172518,5046592,LXOCV,B744,CLX83N,CV8367,LUX,LAX,LAX,
718180920,7454217,HL7609,B748,KAL8203,KE8203,ICN,LAX,LAX,
718182455,434956,A7BFY,B77L,QTR64W,QR8172,LAX,LGG,LGG,
718181345,11221078,N822AN,B789,AAL9726,AA9726,LAX,ICN,ICN,
718183717,7865542,B2071,B77L,CSN446,CZ446,LAX,PVG,PVG,
718176022,4224980,GVRNB,A35K,VIR23J,VS23,LHR,LAX,LAX,
718177629,10881822,N489MC,B744,GTI8133,5Y8133,LAX,ICN,ICN,
718185361,9015323,B18001,B77W,CAL008,CI8,TPE,LAX,LAX,
718189818,9015514,B16711,B77W,EVA016,BR16,TPE,LAX,LAX,
718191038,10499941,N113AN,A321,AAL1379,AA1379,LAX,BOS,BOS,
718189701,7868563,B1566,B789,CXA829,MF829,XMN,LAX,LAX,
718190909,7867109,B2039,B77W,CCA655,CA655,PEK,LAX,LAX,
